Index,Clue,Solution,Spaced_Solution,gemma_predicted
44083,"Language barrier in American intelligence, being backward",arabic,arabic,anagram
102607,"When terribly lost, read navigation guide",lodestar,lodestar,anagram
88338,Vegetable in garden for a change,orach,orach,anagram
103214,Broken zip not that unknown - fasten with another fastener,safetypin,safety pin,anagram
109241,Simple or complicated requests,implores,implores,anagram
8558,Unusual topic related to the eye,optic,optic,anagram
18331,Odd dialect in fortress,citadel,citadel,anagram
38773,It is eaten from this Paget dish,spaghetti,spaghetti,anagram
25189,Lawgiver is left in flowing river,legislator,legislator,anagram
74352,Eliza Doolittle's refined arts?,hertfordshire,hertfordshire,anagram
37578,Resembled a damaged knee-cap on the outside,likened,likened,anagram
112464,Composer's displaced river birds,bitterns,bitterns,anagram
88537,Reissued order to a fighter in the ring,toreador,toreador,anagram
114480,E. John's backing out of Italian rock,oolite,oolite,anagram
19289,"A Fowler, perhaps, spoiled Rene's date",eastender,eastender,anagram
89600,"Greatness, sadly, sets one apart",estranges,estranges,anagram
87582,Unpleasantly satisfied when turning sticks,smug,smug,anagram
68576,Tails begin to stop wagging - how sad!,shadows,shadows,anagram
129260,"Angstrom bewitched women ultimately, pick-ups being his forte",strongman,strong man,anagram
6351,Signary used in the plant,syringa,syringa,anagram
42197,Some porn he circulated could account for sexual arousal,pheromones,pheromones,anagram
130732,Presiding officers trading power for new shoes?,sneakers,sneakers,anagram
140167,Raises false alarm as crow flies not straight,crieswolf,cries wolf,anagram
136748,They provided new items here and original Christmas gifts,threewisemen,three wise men,anagram
95415,A song about tourist information centre initially uncertain,agnostic,agnostic,anagram
109758,"Senior cleric, unfortunately never competent",venerable,venerable,anagram
108503,Any hitch may be attributable to this bulb going out,hyacinth,hyacinth,anagram
62952,Tie leaves back,strap,strap,anagram
64537,"Teaches a number in English, perhaps",enlightens,enlightens,anagram
120652,"Sell pint that's dodgy, getting wasted",illspent,ill spent,anagram
126582,What could make florist pay for baker's item?,filopastry,filo pastry,anagram
8256,A bird others turn to,skua,skua,anagram
14424,Something suggestive of the rise of corporations,smut,smut,anagram
90882,Unexpected gripe about live changes producing special benefit,privilege,privilege,anagram
11567,Fashion arbiter of Welsh taste,rarebit,rarebit,anagram
6382,Tropical plant's a mess when crushed by earth,sesame,sesame,anagram
28291,"Turn into (maybe) lira, see?",realise,realise,anagram
57375,New deal for vote loser? Hardly,roosevelt,roosevelt,anagram
39962,He'll store brews for the landlord,hosteller,hosteller,anagram
39942,Handicap by turning right and heading back,trammel,trammel,anagram
6781,Refrains from upsetting sides on the way back,desists,desists,anagram
128339,Brown's work for England made sons rebel,angelsanddemons,angels and demons,anagram
111429,"Upper-class bigot is to peer, roughly, as middle class to lower?",petitbourgeois,petit bourgeois,anagram
117372,Boy found embracing girl is beaten,lashed,lashed,anagram
80305,What can't be caught can be made bad in lieu,inaudible,inaudible,anagram
118630,"Being naughty, entice with sex",existence,existence,anagram
63517,"Coming from Greece, men at sea",emergence,emergence,anagram
97230,What's funny about stuff,stow,stow,anagram
17168,State positive European words maintained by Turner,louisiana,louisiana,anagram
23048,Dutch product manufactured to be sent North,edam,edam,anagram
99635,Unnatural is the hold-up,heist,heist,anagram
103444,Sean sent new order,neatness,neatness,anagram
21537,"Ran election chaotically, showing inability to endure possible consequence",intolerance,intolerance,anagram
98272,Eh? Ben's a confused old-timer,hasbeen,has been,anagram
36665,"Herein a peculiar tale, out of this world",ethereal,ethereal,anagram
75628,Instrument is changing pitch,sitar,sitar,anagram
126186,Comply with the last of compulsory orders in cell,lymphocyte,lymphocyte,anagram
13216,Mince pie and kipper for bon vivant,epicure,epicure,anagram
18779,Piece of music lisped by beater,thong,thong,anagram
141849,Brew one's drunk with more sediment?,bittier,bittier,anagram
8924,A scene suited for necromancy?,seance,seance,anagram
124012,Nasty tear on doll (snapped again?),retaken,retaken,anagram
75534,"Run down gradient, tumbling close to barricade",denigrate,denigrate,anagram
1550,"Writing after death, I go in to bury a revolutionary",obituary,obituary,anagram
114995,"I must note effect of putting verbs at end of clauses, say",teutonism,teutonism,anagram
41251,Instrument for getting firm out of rotten mess,cornetto,cornetto,anagram
81307,One sort of mansion that would stop you from going off,insomnia,insomnia,anagram
57195,Outlet for dispersing fuel,flue,flue,anagram
134575,Carl and Rita up for a romp - suspect initially these might get taken down,particulars,particulars,anagram
119901,One proving superior bringing about reprieval,prevailer,prevailer,anagram
111112,Poe's ghost creeps shapelessly round the centre of Seattle,specter,specter,anagram
120974,"Bringing off crime, saint not I?",miscreant,miscreant,anagram
94310,Deleted it by mistake in an important document,titledeed,title deed,anagram
25521,Letter arranging to return in first-class accommodation,iota,iota,anagram
103016,Not believing a lot can be changed,fatalistic,fatalistic,anagram
111768,Ascertain unusual view of a philosopher,cartesian,cartesian,anagram
35202,"Singer, collapsing, to bow out",resign,resign,anagram
85043,Untouchable Costa Ricans want one badly,sacrosanct,sacrosanct,anagram
27839,As classical wool gatherers slaughter a runic goat,argonautic,argonautic,anagram
132575,Scrap dealer keeps Ethel confused? Exactly!,totheletter,to the letter,anagram
81545,Stirring march tune may be what weary walkers long for,armchair,armchair,anagram
67808,One with a peculiar attachment - perhaps she fits it,fetishist,fetishist,anagram
101178,Almost the end of the match?,decreenisi,decree nisi,anagram
110447,I name this compound an irritant,histamine,histamine,anagram
122705,Unusual instances happening all the time,incessant,incessant,anagram
110475,"Fantastic scenery: when sun comes out, see the old city",cyrene,cyrene,anagram
90522,Walk in nature's strange way,saunter,saunter,anagram
111957,Torpedo carriers ordered to base,eboats,e boats,anagram
109395,It's hard to recall ingredients of country remedy,emery,emery,anagram
100066,Then hear dean get potty about old Bible and what's in it?,heavenandearth,heaven and earth,anagram
29555,Alter formation? Not yet,later,later,anagram
87619,CNN hired a drunk with an impediment,hindrance,hindrance,anagram
949,A notion to be cast as the Merchant of Venice,antonio,antonio,anagram
61523,A bees' nest disturbed by non-attentive people?,absentees,absentees,anagram
127953,Cornered gnu dealt a blow,angulated,angulated,anagram
99040,Bind by inane church regulation?,enchain,enchain,anagram
12868,Log mania destroyed arboreal specimen,magnolia,magnolia,anagram
141648,Joke brings judge appalling disrepute,jeudesprit,jeu desprit,anagram
42518,"Apprentice isn't giving up time in plane, say",trainee,trainee,anagram
49845,"A humble fan to be moved, too deep for words",unfathomable,unfathomable,anagram
18086,"Regarding difficult clues, one is not inclined to be forthcoming",recluse,recluse,anagram
113724,Push blend of US pop and Lion King (short version),propulsion,propulsion,anagram
121731,Tempera is mixed at leisure,sparetime,spare time,anagram
125877,Royals are distraught in period of world revolution,solaryear,solar year,anagram
114177,Edna's kebab is mixed with cheap tinned food,bakedbeans,baked beans,anagram
73103,Newcomer makes engine turn ...,ingenue,ingenue,anagram
39523,Stride about ship in trouble,distress,distress,anagram
104166,Hopes are renewed when soldiers ride in Western,horseopera,horse opera,anagram
7077,Kind to preside over slightly twisted board,charitable,charitable,anagram
21358,It's dangerous to ruin her plans,shrapnel,shrapnel,anagram
105213,"Injured sister OK? No? Nephews, except Gilbert, remain calm",keeponesshirton,keep ones shirt on,anagram
140557,Penalty on account of bad ref I oft rue,forfeiture,forfeiture,anagram
119274,Scots Amish splinter group getting pleasure from pain,masochists,masochists,anagram
108587,"Exceptionally animated, sparkling stuff",diamante,diamante,anagram
132564,"Gloom and doom with this blue mood, not married sadly",doubleo,double o,anagram
123184,"Lumbar puncture for American applicants, annoyed when giving up cocaine",spinaltap,spinal tap,anagram
74293,Antipathy from the gallery,allergy,allergy,anagram
79087,Time to take in strange rite by the Red Sea,eritrea,eritrea,anagram
119268,"Gloomy playing besets universal, faithfully reproduced Chopin study, maybe",musicology,musicology,anagram
75438,Abbey Arts money collection,monastery,monastery,anagram
135596,Odd role rewritten by an idle scribbler,doodler,doodler,anagram
86945,Hopeless couple taken in by bad design,despairing,despairing,anagram
95470,Divine drawing of lots of egrets smeared with oil,sortilege,sortilege,anagram
117337,Transferring teacher to university tripled the best habits,hautecouture,haute couture,anagram
101443,Conservative backing the centre was sacked,troy,troy,anagram
41913,In love with exotic demeanour,enamoured,enamoured,anagram
86303,She went in outlandish make-up to get publicised,inthenews,in the news,anagram
139570,"Surly git, ’e's playing at this time of year?",uglysister,ugly sister,anagram
127474,They reared up in classic race,thederby,the derby,anagram
96904,"Hard life, or nothing could be more death-defying",foolhardier,foolhardier,anagram
99008,Chay - name associated with mast?,yachtsman,yachtsman,anagram
117890,"Deionise compound, infusing two litres as plant extract",linseedoil,linseed oil,anagram
29376,"Ray, perhaps, uncovering rare find",infrared,infra red,anagram
108782,"Peter with men in resort, having no match",preeminent,pre eminent,anagram
24035,Clothes worn back-to-front for game,brag,brag,anagram
105075,Wrong one can upset clergyman,inaccurate,inaccurate,anagram
43067,Pea soup everyone sent back - another dish wanted,paella,paella,anagram
101750,Left from funerals shaken and more vulnerable,unsafer,unsafer,anagram
5651,"Part of a spur that's further down, left to right and vice versa",rowel,rowel,anagram
123599,"Paddle in doubt, struggling to find boat's motor",outboard,outboard,anagram
135953,Daughter is busy frittering allowance,subsidy,subsidy,anagram
102752,A desperate fellow coming back with nothing,nada,nada,anagram
60006,Deceptively conclusive state official,viceconsul,vice consul,anagram
19080,Character brewing tea with urn,nature,nature,anagram
122036,Don't interfere before time: let's go wandering,getlost,get lost,anagram
102495,Joining EU may be unsuitable,istanbul,istanbul,anagram
60316,Produce to fill a lot - of ships?,flotilla,flotilla,anagram
38436,A trail possibly taken to rodeo by cowboy,lariat,lariat,anagram
107308,I misdo translation of particular expressions,idioms,idioms,anagram
10049,Mere mortals about to go wild for Norwegian spinner,maelstrom,maelstrom,anagram
44652,Our stamina is restored here,sanatorium,sanatorium,anagram
137362,"Numbers game played with iPad, rules added",epidurals,epidurals,anagram
85811,Give out overtime,emit,emit,anagram
27028,Taunt Linus about blanket at the end,insult,insult,anagram
89,"Hereditary earls can't, unfortunately",ancestral,ancestral,anagram
108989,"Swinging instrumentalist, a corrupt, hag-ridden Trojan",djangoreinhardt,django reinhardt,anagram
124188,Lira - foreign currency in Guiana circulating as means of exchange,linguafranca,lingua franca,anagram
107058,Bad lad drew trailer,dawdler,dawdler,anagram
130948,Bone fused at least with arm,metatarsal,metatarsal,anagram
125201,Nearly led astray with erudition?,learnedly,learnedly,anagram
119386,"Caspian, say, gets Annie's lad off",inlandsea,inland sea,anagram
102494,Built as arranged around northern capital at one time,istanbul,istanbul,anagram
38356,Teen rave as a new form of worship,venerate,venerate,anagram
138241,"""Almost clean"" Brexit arranged, that can be delivered",extricable,extricable,anagram
35073,Fabric made up in the form of a circular cylinder,lycra,lycra,anagram
45824,Local store has shaved the fuzz for Spooner?,cornershop,corner shop,anagram
133934,Normal prices for stocks when re-ordering Super Lava,parvalues,par values,anagram
49501,Nerve broken? Not at all!,never,never,anagram
38988,Gun with catches set back,sten,sten,anagram
137586,Lad choosy about place of education,dayschool,day school,anagram
8442,Lease administered by the church in London,chelsea,chelsea,anagram
16450,Destroyer's ruse at sea to protect stricken boat,saboteur,saboteur,anagram
37407,"Charge for rope trick, get back inside!",protege,protege,anagram
46934,Bound to sound like a current variation,tied,tied,anagram
134198,Retired official tucks into entire assorted hamper,interfere,interfere,anagram
84847,Beekeeper looks very much like a pianist,apiarist,apiarist,anagram
72615,"Sipped, say, stew causing stomach upset",dyspepsia,dyspepsia,anagram
133502,Don't lose hope! Do I deserve any?,neversaydie,never say die,anagram
5254,It's maybe left to staircase when it's not there,escalator,escalator,anagram
134316,Neuro-doctor operated on Shakespeare's Globe?,rondure,rondure,anagram
93994,There's poor Rodney,yonder,yonder,anagram
118143,Change from krone needed to join Hellish Biker Club,knobkerrie,knobkerrie,anagram
104266,Drunken pest with dope barred from the bar?,estopped,estopped,anagram
91322,"Adrift, mid ocean, without soft puzzle collections",compendia,compendia,anagram
18183,Downfall makes temper return,doom,doom,anagram
4328,Is Helen bound over to be free of obligation?,unbeholden,unbeholden,anagram
85540,Times edition for children,mites,mites,anagram
69135,Operatic singer keen to make a comeback,diva,diva,anagram
111270,"Bow to wear, twisted",nod,nod,anagram
107952,Draw spirit miles up,raffle,raffle,anagram
15724,Principles embodying rights of one in the crumbling Civil Service,ethics,ethics,anagram
29034,Opposes odd-looking sisters,resists,resists,anagram
56345,Fancy coping with bare adults dancing around?,balustrade,balustrade,anagram
131404,Bit of a setback for brownie lovers,snaffle,snaffle,anagram
65277,Turning grey? Not us - nor him,youngster,youngster,anagram
137515,Scientist works here with harpoon and cage? Not he,oceanographer,oceanographer,anagram
95370,"A month back, penniless in old money",lira,lira,anagram
96273,Medicines that vary in cost,tonics,tonics,anagram
45120,Spilt glue on loaf!,lounge,lounge,anagram
50506,Aunt Ryder switched to a cheaper fare,dayreturn,day return,anagram
47980,"Go for a jog, taking wrong turn",trot,trot,anagram
19550,"Prune, I gathered, not ready to eat",unripe,unripe,anagram
102427,"Irritated seducer, not being alone",unescorted,unescorted,anagram
83419,Absorbent soup or stew,porous,porous,anagram
45035,Confused order in account associated with cooking?,coriander,coriander,anagram
84499,Very amusing - unruly hairstyle covers Conservative,hysterical,hysterical,anagram
41517,Composer's important name changed a bit where the rubbish goes,bernstein,bernstein,anagram
95732,A toy used at tea time said to make one hoarse,throaty,throaty,anagram
84386,Al names Dickey in sign language,ameslan,ameslan,anagram
105829,Can come to play with model construction set,meccano,meccano,anagram
80712,Maniacs fit to bust - displaying this,fanaticism,fanaticism,anagram
141016,"Refusing to change opinion of university, Wayne Slob, a mess, drops round",unswayable,unswayable,anagram
121551,Rubbish put out? It rusted!,detritus,detritus,anagram
111306,Ringtones are annoying,resonate,resonate,anagram
28408,Shape of playing field a mess,rectangle,rectangle,anagram
115660,Such food's origin can be suspicious,inorganic,inorganic,anagram
121234,"Long dress, backless, seen in French capital",londres,londres,anagram
128191,Paul's wife in cutie snatched by virtually mad African,zimbabwean,zimbabwean,anagram
142116,Backward-looking philosophy to suit minister being nasty,restitutionism,restitutionism,anagram
50168,New seat given to sailors behind,astern,astern,anagram
85326,Sadie's naughty whispers,asides,asides,anagram
79954,"Possibly found in bar seats, but they're not drinking",abstainers,abstainers,anagram
99131,House of lead: fear melting within,prefab,prefab,anagram
105061,Shelter shimmering in sunset gets hot inside,nissenhut,nissen hut,anagram
58991,"Lass, like this clue, n end f rpe?",noose,noose,anagram
118501,A little pretence and no mistake,onepercent,one percent,anagram
104850,One Turin game that's free of charge,neutrino,neutrino,anagram
186,Put off one with disease returning,repel,repel,anagram
141528,"Executive position, brewing cider - sort drunk with joint",directorship,directorship,anagram
58320,Nader the stabiliser - so peril's averted,spoiler,spoiler,anagram
63885,Let priest go to cast out unwanted spirit,poltergeist,poltergeist,anagram
131773,Turning in one's irritation increased,risen,risen,anagram
34039,Averts disaster fast!,starve,starve,anagram
117901,"In old English, revision of chapter left by Lords to Commons",otherplace,other place,anagram
78168,"Without preparation, extreme confusion surrounds Post Office",extempore,extempore,anagram
134193,Those going through life with US and Iraq in conflict,qualifiers,qualifiers,anagram
122725,Very large animal initially kept in pen (hint: eel's wrong),elephantine,elephantine,anagram
44727,"Attic half overturned, brought to order",garter,garter,anagram
115494,Bearing maintained by naughty nineties director,eisenstein,eisenstein,anagram
19272,Broken lance not spotted,clean,clean,anagram
129429,A brother we found devastated by conflict,theboerwar,the boer war,anagram
117766,"Setter mistakenly missing turn, goes without nothing but throws up",disgorges,disgorges,anagram
8764,"Mad to reverse, try going forward",stab,stab,anagram
130149,Compel family to cycle (should not go out during major sporting event),olympicflame,olympic flame,anagram
18542,"Boatman's cover is partial, unsurprisingly",tarpaulin,tarpaulin,anagram
117057,Handles books don ordered about queen,doorknobs,doorknobs,anagram
95882,Scotched her father's inspiration,freshheart,fresh heart,anagram
142353,Dodgy polaroids safe? Happiness short-lived,foolsparadise,fools paradise,anagram
111010,Asian last to rattle adversary,assailant,assailant,anagram
41906,"Spoony, perhaps, with stirring demeanour",enamoured,enamoured,anagram
85804,Derby date produced a favourite among three-year-olds,teddybear,teddy bear,anagram
132807,"Raises cost somehow, or gets cut off",ostracises,ostracises,anagram
7879,Temper the effects of sausage roll,assuage,assuage,anagram
36689,Mysterious name from masonic tiles?,mosaic,mosaic,anagram
106251,Way to be impressed by sunrise's form - or lack of it?,rustiness,rustiness,anagram
64158,"Voltaire, say - deep cynic lost at sea",encyclopedist,encyclopedist,anagram
85727,Hour in which ethnic group rises for fresh start,rebirth,rebirth,anagram
24378,Past master in sari and hot pants,historian,historian,anagram
74304,See a clip supposed to be great,especial,especial,anagram
45126,"Sends Evelyn, as I'd rectified a number of faults",sevendeadlysins,seven deadly sins,anagram
142173,"It's Red Revolution, the worst",direst,direst,anagram
79999,Insisted order must be a good order,tidiness,tidiness,anagram
86848,Wizards are most active on Sunday,maestros,maestros,anagram
83436,Translate name found in prettier version,interpret,interpret,anagram
74572,Artisan alters creation,slater,slater,anagram
33740,Man trained with choir for musical,harmonic,harmonic,anagram
59224,Bear guest destroying plant,sugarbeet,sugar beet,anagram
64901,"One sumo wrestling in Finland, as locals would say",suomi,suomi,anagram
111096,Scientists here made flexible card envelopes,academe,academe,anagram
100214,Presley lives again!,elvis,elvis,anagram
37294,Sad ears need music,serenade,serenade,anagram
130173,Tiny creature avoiding northern frontier resort,rotifer,rotifer,anagram
39575,Soup with ices? Unusually plausible but wrong!,specious,specious,anagram
99995,"Rare rat, I suspect, in glass cages",terraria,terraria,anagram
45719,Picadors are involved here and there,sporadic,sporadic,anagram
103996,Guffaw if her goulash is awful,horselaugh,horse laugh,anagram
4215,She requires daily refreshment,lydia,lydia,anagram
51563,Column almost collapsing? I'll fill the gap,locum,locum,anagram
122653,X-ray of man or egg - or net product,roentgenogram,roentgenogram,anagram
32747,Missionary agents live abroad,evangelist,evangelist,anagram
126386,"Tokay, heated mistakenly, following pages? Don't go to work!",takethedayoff,take the day off,anagram
60671,"Where noise is unsettling, in general",eisenhower,eisenhower,anagram
114865,Where a Londoner hates damp spreading,hampstead,hampstead,anagram
76210,Meet price as arranged for tour de force,masterpiece,masterpiece,anagram
117150,"Starting over, the ophthalmic surgeons manage to get the wrong instrument!",otoscope,otoscope,anagram
29275,Famous Greek plot - a disaster,plato,plato,anagram
78071,Maybe his place is rented out,resident,resident,anagram
41418,Sartre's letters giving rise to apprehension,arrest,arrest,anagram
99954,"Ballot fixers in attractive colours, not our problem",tacticalvoters,tactical voters,anagram
10596,It's found in church building patterns,transept,transept,anagram
23223,Order shop sent to stock cover of Elton's Rocket Man,stephenson,stephenson,anagram
102624,"Assured novel, but wilder movie",sunsetboulevard,sunset boulevard,anagram
5533,Flavouring and cooking man's tripe,spearmint,spearmint,anagram
52467,Catch ten fresh fish,entangle,entangle,anagram
39033,Old artist mostly upset,aged,aged,anagram
99172,"Singer with no regrets, if paid the rent?",edithpiaf,edith piaf,anagram
115659,In love and caring fantastically - it's a sort of chemistry,inorganic,inorganic,anagram
41823,Tree could be so creamy,sycamore,sycamore,anagram
87504,Choir with its quavers breaking new ground,historic,historic,anagram
76062,Processed heroin available at a price,onhire,on hire,anagram
127336,"Musical system that can be revised for solo, in fact",tonicsolfa,tonic sol fa,anagram
951,He owed a pound of flesh? A strange notion,antonio,antonio,anagram
114210,Criticises card game's return,pans,pans,anagram
13585,Irene may appear when he's around,ernie,ernie,anagram
76938,Thwart the unknown in confused times,stymie,stymie,anagram
107566,"Rich, turning up, is on cue",pecunious,pecunious,anagram
50078,Where to find Lorelei in her distress,rhine,rhine,anagram
12632,It shows pressure or bias is developing,isobar,isobar,anagram
138977,"Executing rogue, sorrowful earl replaces head of axe",implementing,implementing,anagram
15394,"Tell one all we arranged and, if it ain't broke, don't fix it",letwellalone,let well alone,anagram
108427,One's crisis forced annulment,rescission,rescission,anagram
132221,Smart clothes are endlessly turning up for French politician,chirac,chirac,anagram
126424,Determined a doubter will convert,obdurate,obdurate,anagram
68791,Convert her with my short poem!,rhyme,rhyme,anagram
68900,Gets messing about in boats,obtains,obtains,anagram
106085,Members unite having right to work for this?,reimbursement,reimbursement,anagram
