Index,Clue,Solution,Spaced_Solution,gemma_predicted
134993,Language of medic (a junior),cajun,cajun,hidden word
36471,Plant when season's not begun,inter,inter,hidden word
122067,"Bring back some relic, if use relates to a Muslim",sufic,sufic,hidden word
8710,Saw road agent removing wings,adage,adage,hidden word
25450,"Rusbridger cycled in, worn down",eroded,eroded,hidden word
13700,Where to get meat in set menu,estaminet,estaminet,hidden word
128567,Something quite clear can easily become mysterious,arcane,arcane,hidden word
8750,Reason some complain ferociously,infer,infer,hidden word
82714,"Covered, so wings off for Cyclades",clad,clad,hidden word
50045,"Rounds with ham, more sandwiches",ammo,ammo,hidden word
10189,"Dye brown paper, cutting top and bottom",anil,anil,hidden word
17796,One has got to go out in New Zealand,otago,otago,hidden word
11421,Involving one's stomach in following a strict diet,gastric,gastric,hidden word
48837,Section of church used by Paisley,aisle,aisle,hidden word
31710,What's this? Oddly coloured?,clue,clue,hidden word
83991,Some sang harmoniously in the Buddhist community,sangha,sangha,hidden word
75473,Exclude being served by rude baristas,debar,debar,hidden word
50777,Bird found in or near Headingley,rhea,rhea,hidden word
53773,Crater here buried in decadence,aden,aden,hidden word
104877,It may be found in winter sportsmen's kit,ski,ski,hidden word
100107,Olympic champion raised kids in nearby house,ennis,ennis,hidden word
123111,Tailors are not entirely involved in such matters,sartorial,sartorial,hidden word
135178,Banks excluded from data legislation,act,act,hidden word
81778,Undesirable movement practically contained,tic,tic,hidden word
713,Conspicuous poverty traps,overt,overt,hidden word
44701,She showed some initiative in revolution,evita,evita,hidden word
136278,Wet chamois tends to gather,moisten,moisten,hidden word
117260,Yours only houses a porcupine,urson,urson,hidden word
55141,Cruciverbalist's sidekick with some incredible wisdom,lewis,lewis,hidden word
28829,"Furthermore, lacks great enthusiasm for measure",therm,therm,hidden word
17799,Protagonists content here in New Zealand,otago,otago,hidden word
38882,Asian city of fragrancy,agra,agra,hidden word
59338,"Plover, nestling, swallows, eagle",erne,erne,hidden word
5173,Stalag ground is filled with hostility,aggro,aggro,hidden word
78001,Mission in a real amount of difficulty,alamo,alamo,hidden word
114238,Resting places used by Francis of Assisi,sofas,sofas,hidden word
71731,Hunter occasionally bagged fantastic bird,roc,roc,hidden word
26867,Olympic ultimatum has weight in China,picul,picul,hidden word
42138,What that enemy harbours?,hate,hate,hidden word
55872,Code for the thick-headed,ethic,ethic,hidden word
29453,They clip specific items studio requires after vacation,scissors,scissors,hidden word
31862,Famous item in entrants' pockets,eminent,eminent,hidden word
24572,Animal a wigeon's caught in the country,malawi,malawi,hidden word
22918,Club in which the password is courage,disco,disco,hidden word
105460,Dean captures heart of chorister,inge,inge,hidden word
44192,Grave words from some decrepit aphorist,epitaph,epitaph,hidden word
16520,Song in which black sheep gets shorn,aria,aria,hidden word
72094,The crux of recent research,centre,centre,hidden word
27920,Some odds never to back?,evens,evens,hidden word
34779,Expand section of integral network retrospectively,enlarge,enlarge,hidden word
47414,Hut of iron is sent for,nissen,nissen,hidden word
131513,Some contradict umpire's ruling,dictum,dictum,hidden word
55091,Trainee as part of a performing act in the auditorium,intern,intern,hidden word
113442,Inadequate hatless uncle,lender,lender,hidden word
96989,Book up a little table in a diner,daniel,daniel,hidden word
104170,Mistake is nonsense - rub out,bish,bish,hidden word
32377,"What's in your head, if not entirely wide awake",idea,idea,hidden word
22685,"Girl in passageway stopping short, looking back",ella,ella,hidden word
6299,"Partly train a director to cope with bottom of recession, perhaps",nadir,nadir,hidden word
94477,Sam Weller's face doesn't appear with a message,thames,thames,hidden word
55226,Give consent in Gretna Green,agree,agree,hidden word
123330,Huge numbers in India holding rupees in central parts,crores,crores,hidden word
82583,"Start from birds in general, one in particular",owl,owl,hidden word
108151,Study in selective education by ...,coningsby,coningsby,hidden word
71682,"""A pathological sac"", said Sister, with no hesitation",cyst,cyst,hidden word
36352,Employed in house design,used,used,hidden word
98065,Not those from the area around Dover,these,these,hidden word
307,Berliner's odd bits of cheese,brie,brie,hidden word
17992,Blend or brew or fictional small family member?,borrower,borrower,hidden word
121519,Party leads to chaos after boozy antics listed,cabal,cabal,hidden word
125101,She returns in an instant,nina,nina,hidden word
15501,Some cauliflower from cholesterol-free lunch left over,floret,floret,hidden word
16522,Melody featured in Enigma Variations?,aria,aria,hidden word
99223,What you encounter in nuclear theory is dull,earthbound,earthbound,hidden word
1183,Wretch in peasant garb removing top,louse,louse,hidden word
65983,Some American depositors backed this inventor,otis,otis,hidden word
19849,Resident in area luckily unaffected,real,real,hidden word
71415,Mountain dweller coming in without more ado,oread,oread,hidden word
128936,"Some bits pong, especially bums",sponges,sponges,hidden word
100277,Old tape in use to maintain clear reproduction,incle,incle,hidden word
117208,Addition to passport not altogether advisable,visa,visa,hidden word
7714,Fighter for crown in Punic or Napoleonic wars,unicorn,unicorn,hidden word
34023,Capital investment in brothels in Kiev,helsinki,helsinki,hidden word
3557,Europe set against taking in former currency,peseta,peseta,hidden word
5178,"""Nul points"" in the Brazil-Chile match",zilch,zilch,hidden word
73395,"It's needed by diplomat, actually",tact,tact,hidden word
12702,This is a distinguishing feature of a hurtful type,sadist,sadist,hidden word
73827,Examining some money in great detail,eying,eying,hidden word
59334,Bird of the wilderness,erne,erne,hidden word
45768,Not so busy class enthralled by Beatles songs,lesson,lesson,hidden word
36966,Fight in a Somerset town,setto,set to,hidden word
33789,Fairy getting some Yorkshire pudding to rise,peri,peri,hidden word
25459,Famine departs this world,dearth,dearth,hidden word
19458,Manx bird's style,chic,chic,hidden word
134541,Ogle diva regularly? I see plays here,oldvic,old vic,hidden word
137186,Part of grant is ring-fenced for some weeks,tisri,tisri,hidden word
71110,Productive element in electric heater,rich,rich,hidden word
64607,Group of stars in earthy drama,hydra,hydra,hidden word
7418,Language from overseas,erse,erse,hidden word
109475,"Showing some Picasso on a screen, once",assoonas,as soon as,hidden word
45512,Forecast for fish,orfe,orfe,hidden word
87033,"Some tinted spectacles have acrylic rims, only they must be red",crimson,crimson,hidden word
58080,Terrifying regular visitors to Dorset and Leeds,dreaded,dreaded,hidden word
8089,Old South American driving endlessly?,inca,inca,hidden word
4143,"Land in the Minch, perhaps",inch,inch,hidden word
113572,Amount he regularly gives mum,mute,mute,hidden word
58628,"In Shiraz, Edwin got knocked down",razed,razed,hidden word
67352,Russian girl is ashamed to part,sasha,sasha,hidden word
134510,"Parachutist maybe in battle region, not the first or last",lander,lander,hidden word
23605,Substitute bankers at Zurich centre,ersatz,ersatz,hidden word
99736,He finds fault in fancy nicknames,cynic,cynic,hidden word
10869,Brilliance of a single amethyst,gleam,gleam,hidden word
43078,Torture's not even legitimate,TRUE,TRUE,hidden word
47209,Many inherit from one retiring,hermit,hermit,hidden word
29701,Poem makes one fairly rich? Not entirely,lyric,lyric,hidden word
94674,Port (Shanghai) fabricates houses,haifa,haifa,hidden word
52782,Flower of the Bronx,ebro,ebro,hidden word
20051,In my absence a member is seen in a cautious light,amber,amber,hidden word
89065,"Ethelred evidently reveals it, despite his reputation",rede,rede,hidden word
114001,"From within deer, a female deer",hind,hind,hidden word
139267,Gutless gangster mugs shoppers,grasses,grasses,hidden word
118232,Rushed a hideout,hied,hied,hidden word
93470,Reciprocal element reflected in typical autumn fashion,mutual,mutual,hidden word
21437,In my sleep I composed a long poem,epic,epic,hidden word
69232,Some found Eton a terrific blast!,detonate,detonate,hidden word
69417,"Norse collection needed, say, regularly",edda,edda,hidden word
35015,"Brought up without the social graces, I maintained harmony",union,union,hidden word
35100,Chaos could be regarded as fun,snafu,snafu,hidden word
79313,"Poet certified Prisoner of Zenda, up or out",ezrapound,ezra pound,hidden word
119094,Hint that simply pointless,imply,imply,hidden word
69390,Some peculiar denizens of the forest,arden,arden,hidden word
9526,Imagine Dr West coming back!,dream,dream,hidden word
44433,Prognostications provided by women's magazine,omens,omens,hidden word
90619,Partly dishonest one remains a potential executioner,stoner,stoner,hidden word
44993,Cheeky? Section of arena talking,natal,natal,hidden word
105167,Frontiersman finds the front line at regular intervals,bowie,bowie,hidden word
12184,Spot in Hautes-Pyrénées,espy,espy,hidden word
12711,Where more than one rider is seen in A & E,tandem,tandem,hidden word
39611,Drink supplied in plastic container,asti,asti,hidden word
75368,Divine seen in windows etc,dowse,dowse,hidden word
89797,That's how not to be hidden,show,show,hidden word
94588,Serbia sedulously protecting partisan,biased,biased,hidden word
135424,Regularly scrubbing toughened moulding,ogee,ogee,hidden word
120054,"Group of islands off, mainly, New York perhaps ...",orkney,orkney,hidden word
28882,Subject of the Middle East ...,theme,theme,hidden word
71298,One who wrote odes in a church or a cemetery,horace,horace,hidden word
7623,"Found in morgues, some who were shot",guess,guess,hidden word
94419,Bacterium in silo certain to come up,ecoli,e coli,hidden word
134835,Guess what he or I secretly collect!,theorise,theorise,hidden word
70556,Press used by Turgenev,urge,urge,hidden word
64049,Fine instrument dramatist uses,amati,amati,hidden word
4820,"Sister's child needs some condemnation, ie censure",niece,niece,hidden word
272,Become engaged in some sharp practice,mesh,mesh,hidden word
8231,Costermonger's duck,scoter,scoter,hidden word
53339,Did her arrival made Browning homesick?,april,april,hidden word
136717,"Our nation oddly omitted to, in the past",unto,unto,hidden word
28046,Wool producer in the Western Isles,ewe,ewe,hidden word
47495,Fiddle starts to sound clear as mud,scam,scam,hidden word
13022,In dire necessity find personification of peace for Greeks?,irene,irene,hidden word
72499,Cocoa and chocolate are one originally,cacao,cacao,hidden word
127107,"Bloodhound, I think, ignored trash",shlock,shlock,hidden word
138130,"Remains for ever in mind, we'll swear",indwells,indwells,hidden word
110880,Baffled by sensational wordplay with nine letters missing,ataloss,at a loss,hidden word
37914,Concert piece not getting an encore,once,once,hidden word
73151,Iceberg holds back diver,grebe,grebe,hidden word
56774,Bird fluttering right to left in Chingford?,goldfinch,goldfinch,hidden word
98764,"Outgoing type of regular mermaid girl, eh?",emigre,emigre,hidden word
114559,Telescopes of universities partially looking up for them,ufos,ufos,hidden word
30096,"Penned by Delany, Longfellow's material",nylon,nylon,hidden word
61042,Launch a steamship that's partly corrupt,unchaste,unchaste,hidden word
135668,"Middle Eastern nirvana in it's elapsed, somewhat in recession",palestinian,palestinian,hidden word
550,The suffering a preacher tries to hide,ache,ache,hidden word
94761,Theft from canonized studio,stealing,stealing,hidden word
22964,Some telephones transmit direct,honest,honest,hidden word
101117,Was book's content order intended to be restrictive?,asbo,asbo,hidden word
25691,Record some inadvertent errors,enter,enter,hidden word
67811,Representation in holding company,icon,icon,hidden word
88178,Some characters in Tristram Shandy are flipping clever!,smart,smart,hidden word
38045,US composer into percussive sounds,ives,ives,hidden word
116829,Query the manner in which I turn red,erythema,erythema,hidden word
124757,Endless succession of agency clerks,cycle,cycle,hidden word
29978,Dramatist arranging central part for top actor,star,star,hidden word
130272,Pansy among daffodils is symbolic,sissy,sissy,hidden word
67716,"From Istanbul, a way of getting to African city",bulawayo,bulawayo,hidden word
24803,Keep going in Felixtowe Road,tower,tower,hidden word
13154,Apparent disgust often betrays enthusiasm,gusto,gusto,hidden word
71144,"Some papers are amusing, to some extent",ream,ream,hidden word
82285,A little animal taken in island,malta,malta,hidden word
111529,A venerable name in our illustrious past,bede,bede,hidden word
6979,"Wreck's sunk into ground, obviously",undo,undo,hidden word
19735,Gibbon's ailing somewhat due to small growth,bonsai,bonsai,hidden word
37347,"Some styles return, returning briefly",tersely,tersely,hidden word
122252,Where to find swimmers showing promise in class on regular basis,lidos,lidos,hidden word
138773,Local London football team spurned by Poles,areal,areal,hidden word
59616,Vessels a Scottish poet topped,urns,urns,hidden word
65222,Admits top of hanger is missing,allows,allows,hidden word
17174,He composed some enjoyable harmonies,lehar,lehar,hidden word
72114,Amplifier to help retail a service,laser,laser,hidden word
7350,First drops in wood more than adequate,ample,ample,hidden word
138913,Craving for flour - is it regular?,lust,lust,hidden word
46005,"Line drawn in pub, no cheap drinks",oche,oche,hidden word
25725,It's commonly wrong in a telegram or a letter,amoral,amoral,hidden word
116488,How church worker can offer praise?,chant,chant,hidden word
43975,Some bandit took the same again,ditto,ditto,hidden word
10120,"Essential for galop, metronome's rising speed",tempo,tempo,hidden word
87682,Anonymous donor makes an entrance,door,door,hidden word
24337,Got off just over halfway through dismal government-free existence,reality,reality,hidden word
674,"Culottes Lafayette pulled up somewhat too tight, hence his voice",falsetto,falsetto,hidden word
33905,Explosive component of Ulster on time? On the contrary,nitre,nitre,hidden word
132308,Somewhat minimalist hat? I think I expected more!,isthatit,is that it,hidden word
134737,They succeed in their schemes,heirs,heirs,hidden word
65854,Extract from Kafka or Tallis that comes straight from the heart,aorta,aorta,hidden word
26075,Some colleges say education is tried,essayed,essayed,hidden word
57004,esitate with time to turn aside,avert,avert,hidden word
99868,Aunt Georgia oddly lacking internal organs,uteri,uteri,hidden word
47183,Grant is held up by student peccadilloes,accept,accept,hidden word
5649,A bit of a spur some hero welcomes,rowel,rowel,hidden word
62265,Group going in for ultra-vision,travis,travis,hidden word
48088,Tesco ragout goes down well in Paris,escargot,escargot,hidden word
127479,Finishing touches in sketch you made - needs colours,hues,hues,hidden word
77672,In Strasbourg I must accept one follower of May,june,june,hidden word
16499,"Instead, ancestral afternoon entertainment is provided",teadance,tea dance,hidden word
9451,Up in arms freebooter is beheaded,irate,irate,hidden word
99951,Arab statesman involved in womanising,omani,omani,hidden word
19187,See edges taken off by the ears,otic,otic,hidden word
65515,"Move unexpectedly, taking nothing from the best room",lunge,lunge,hidden word
18270,Portion of tandoori cottage cheese,ricotta,ricotta,hidden word
81517,"Protest, showing some degenerate tarts no mercy in return",remonstrate,remonstrate,hidden word
86380,Logic duo displayed in volunteer's mission statement,icouldgo,i could go,hidden word
15626,Rome's fateful date in Gobi desert,ides,ides,hidden word
57190,Clouds rising from Maghrib mines,nimbi,nimbi,hidden word
11686,Never let backs go round the team,eleven,eleven,hidden word
69007,Some fanciful name for part of the arm,ulna,ulna,hidden word
111934,Take advantage of 'obgoblin's stockings,impose,impose,hidden word
8440,Provision of much else as well,chelsea,chelsea,hidden word
4510,Type of paste used by salmon daily,almond,almond,hidden word
45993,Flag some citizens ignore,ensign,ensign,hidden word
5406,Rastafarian held at more than arm's length,afar,afar,hidden word
55319,"A number smash up the inn, yet set free",ninety,ninety,hidden word
94420,Green at heart? Jealous ego? It could make you ill,ecoli,e coli,hidden word
