Index,Clue,Solution,Spaced_Solution,gemma_predicted,gpt_solved_answer
58154,Albatrosses both taking turn to incubate brood,obsess,obsess,hidden word,STROKE,0
5047,Part of Roman villa block,anvil,anvil,hidden word,VILLA,0
1876,Deity some see as a tyrant,satyr,satyr,hidden word,SATAN,0
141168,"Round openings with no actual fit, regularly",oculi,oculi,hidden word,HOLES,0
6095,Boundaries some defend successfully,ends,ends,hidden word,LINES,0
134993,Language of medic (a junior),cajun,cajun,hidden word,LATIN,0
36471,Plant when season's not begun,inter,inter,hidden word,PLANT,0
122067,"Bring back some relic, if use relates to a Muslim",sufic,sufic,hidden word,RELIG,0
8710,Saw road agent removing wings,adage,adage,hidden word,AGENT,0
25450,"Rusbridger cycled in, worn down",eroded,eroded,hidden word,BURGER,0
13700,Where to get meat in set menu,estaminet,estaminet,hidden word,DELI,0
128567,Something quite clear can easily become mysterious,arcane,arcane,hidden word,OBVIOUS,0
8750,Reason some complain ferociously,infer,infer,hidden word,CAUSE,0
82714,"Covered, so wings off for Cyclades",clad,clad,hidden word,COVE,0
50045,"Rounds with ham, more sandwiches",ammo,ammo,hidden word,BUNS,0
10189,"Dye brown paper, cutting top and bottom",anil,anil,hidden word,DYE,0
17796,One has got to go out in New Zealand,otago,otago,hidden word,KIWIS,0
11421,Involving one's stomach in following a strict diet,gastric,gastric,hidden word,DIETING,0
48837,Section of church used by Paisley,aisle,aisle,hidden word,PAISE,0
31710,What's this? Oddly coloured?,clue,clue,hidden word,WHAT,0
83991,Some sang harmoniously in the Buddhist community,sangha,sangha,hidden word,CHANTS,0
75473,Exclude being served by rude baristas,debar,debar,hidden word,EXILE,0
50777,Bird found in or near Headingley,rhea,rhea,hidden word,LARK,0
53773,Crater here buried in decadence,aden,aden,hidden word,DELL,0
104877,It may be found in winter sportsmen's kit,ski,ski,hidden word,SKI,1
100107,Olympic champion raised kids in nearby house,ennis,ennis,hidden word,MOTHER,0
123111,Tailors are not entirely involved in such matters,sartorial,sartorial,hidden word,AFFAIRS,0
135178,Banks excluded from data legislation,act,act,hidden word,ACT,1
81778,Undesirable movement practically contained,tic,tic,hidden word,RAT,0
713,Conspicuous poverty traps,overt,overt,hidden word,POVERTY,0
44701,She showed some initiative in revolution,evita,evita,hidden word,LEADER,0
136278,Wet chamois tends to gather,moisten,moisten,hidden word,MISTED,0
117260,Yours only houses a porcupine,urson,urson,hidden word,YOURS,0
55141,Cruciverbalist's sidekick with some incredible wisdom,lewis,lewis,hidden word,CROSS,0
28829,"Furthermore, lacks great enthusiasm for measure",therm,therm,hidden word,FURTH,0
17799,Protagonists content here in New Zealand,otago,otago,hidden word,KIWIS,0
38882,Asian city of fragrancy,agra,agra,hidden word,ASIA,0
59338,"Plover, nestling, swallows, eagle",erne,erne,hidden word,EAGLE,0
5173,Stalag ground is filled with hostility,aggro,aggro,hidden word,ANGRY,0
78001,Mission in a real amount of difficulty,alamo,alamo,hidden word,TRIAL,0
114238,Resting places used by Francis of Assisi,sofas,sofas,hidden word,TROVE,0
71731,Hunter occasionally bagged fantastic bird,roc,roc,hidden word,HEN,0
26867,Olympic ultimatum has weight in China,picul,picul,hidden word,TONNE,0
42138,What that enemy harbours?,hate,hate,hidden word,HOST,0
55872,Code for the thick-headed,ethic,ethic,hidden word,BLOCK,0
29453,They clip specific items studio requires after vacation,scissors,scissors,hidden word,CLIPPED,0
31862,Famous item in entrants' pockets,eminent,eminent,hidden word,CURRENCY,0
24572,Animal a wigeon's caught in the country,malawi,malawi,hidden word,WILDLIFE,0
22918,Club in which the password is courage,disco,disco,hidden word,BRAVE,0
105460,Dean captures heart of chorister,inge,inge,hidden word,DEAN,0
44192,Grave words from some decrepit aphorist,epitaph,epitaph,hidden word,EPITAPH,1
16520,Song in which black sheep gets shorn,aria,aria,hidden word,COWS,0
72094,The crux of recent research,centre,centre,hidden word,ESSENCE,0
27920,Some odds never to back?,evens,evens,hidden word,NEVER,0
34779,Expand section of integral network retrospectively,enlarge,enlarge,hidden word,EXPAND,0
47414,Hut of iron is sent for,nissen,nissen,hidden word,HUTCH,0
131513,Some contradict umpire's ruling,dictum,dictum,hidden word,UMPIRE,0
55091,Trainee as part of a performing act in the auditorium,intern,intern,hidden word,STUDENT,0
113442,Inadequate hatless uncle,lender,lender,hidden word,UNCLE,0
96989,Book up a little table in a diner,daniel,daniel,hidden word,TABLES,0
104170,Mistake is nonsense - rub out,bish,bish,hidden word,ERRO,0
32377,"What's in your head, if not entirely wide awake",idea,idea,hidden word,DREAM,0
22685,"Girl in passageway stopping short, looking back",ella,ella,hidden word,LASS,0
6299,"Partly train a director to cope with bottom of recession, perhaps",nadir,nadir,hidden word,TRAIN,0
94477,Sam Weller's face doesn't appear with a message,thames,thames,hidden word,MESSAGE,0
55226,Give consent in Gretna Green,agree,agree,hidden word,AGREE,1
123330,Huge numbers in India holding rupees in central parts,crores,crores,hidden word,NUMBERS,0
82583,"Start from birds in general, one in particular",owl,owl,hidden word,AVI,0
108151,Study in selective education by ...,coningsby,coningsby,hidden word,EDUCATION,0
71682,"""A pathological sac"", said Sister, with no hesitation",cyst,cyst,hidden word,CYST,1
36352,Employed in house design,used,used,hidden word,USED,1
98065,Not those from the area around Dover,these,these,hidden word,LOCAL,0
307,Berliner's odd bits of cheese,brie,brie,hidden word,BITE,0
17992,Blend or brew or fictional small family member?,borrower,borrower,hidden word,NIBBLER,0
121519,Party leads to chaos after boozy antics listed,cabal,cabal,hidden word,CHAOS,0
125101,She returns in an instant,nina,nina,hidden word,SEES,0
15501,Some cauliflower from cholesterol-free lunch left over,floret,floret,hidden word,LEFTS,0
16522,Melody featured in Enigma Variations?,aria,aria,hidden word,MELODY,0
99223,What you encounter in nuclear theory is dull,earthbound,earthbound,hidden word,ENCOUNTER,0
1183,Wretch in peasant garb removing top,louse,louse,hidden word,WRETCH,0
65983,Some American depositors backed this inventor,otis,otis,hidden word,EDISON,0
19849,Resident in area luckily unaffected,real,real,hidden word,AREA,0
71415,Mountain dweller coming in without more ado,oread,oread,hidden word,INUIT,0
128936,"Some bits pong, especially bums",sponges,sponges,hidden word,SOMEBS,0
100277,Old tape in use to maintain clear reproduction,incle,incle,hidden word,TAPES,0
117208,Addition to passport not altogether advisable,visa,visa,hidden word,NOTE,0
7714,Fighter for crown in Punic or Napoleonic wars,unicorn,unicorn,hidden word,CORSIC,0
34023,Capital investment in brothels in Kiev,helsinki,helsinki,hidden word,CAPITAL,0
3557,Europe set against taking in former currency,peseta,peseta,hidden word,EUROPE,0
5178,"""Nul points"" in the Brazil-Chile match",zilch,zilch,hidden word,POINT,0
73395,"It's needed by diplomat, actually",tact,tact,hidden word,NEED,0
12702,This is a distinguishing feature of a hurtful type,sadist,sadist,hidden word,TRAIT,0
73827,Examining some money in great detail,eying,eying,hidden word,MINED,0
59334,Bird of the wilderness,erne,erne,hidden word,WREN,0
45768,Not so busy class enthralled by Beatles songs,lesson,lesson,hidden word,BEATY,0
36966,Fight in a Somerset town,setto,set to,hidden word,WARF,0
33789,Fairy getting some Yorkshire pudding to rise,peri,peri,hidden word,FAIR,0
25459,Famine departs this world,dearth,dearth,hidden word,EARTH,0
19458,Manx bird's style,chic,chic,hidden word,MALL,0
134541,Ogle diva regularly? I see plays here,oldvic,old vic,hidden word,THEA,0
137186,Part of grant is ring-fenced for some weeks,tisri,tisri,hidden word,GRANT,0
71110,Productive element in electric heater,rich,rich,hidden word,HEAT,0
64607,Group of stars in earthy drama,hydra,hydra,hidden word,DRAMA,0
7418,Language from overseas,erse,erse,hidden word,LANG,0
109475,"Showing some Picasso on a screen, once",assoonas,as soon as,hidden word,AS FAR AS,0
45512,Forecast for fish,orfe,orfe,hidden word,FISH,0
87033,"Some tinted spectacles have acrylic rims, only they must be red",crimson,crimson,hidden word,TINTED,0
58080,Terrifying regular visitors to Dorset and Leeds,dreaded,dreaded,hidden word,DREADS,0
8089,Old South American driving endlessly?,inca,inca,hidden word,INCA,1
4143,"Land in the Minch, perhaps",inch,inch,hidden word,ISLE,0
113572,Amount he regularly gives mum,mute,mute,hidden word,MUMS,0
58628,"In Shiraz, Edwin got knocked down",razed,razed,hidden word,EDWIN,0
67352,Russian girl is ashamed to part,sasha,sasha,hidden word,LASSY,0
134510,"Parachutist maybe in battle region, not the first or last",lander,lander,hidden word,CAMPER,0
23605,Substitute bankers at Zurich centre,ersatz,ersatz,hidden word,SUBST,0
99736,He finds fault in fancy nicknames,cynic,cynic,hidden word,NICKS,0
10869,Brilliance of a single amethyst,gleam,gleam,hidden word,GLINT,0
43078,Torture's not even legitimate,TRUE,TRUE,hidden word,TORT,0
47209,Many inherit from one retiring,hermit,hermit,hidden word,HEIRS,0
29701,Poem makes one fairly rich? Not entirely,lyric,lyric,hidden word,SONG,0
94674,Port (Shanghai) fabricates houses,haifa,haifa,hidden word,SHANG,0
52782,Flower of the Bronx,ebro,ebro,hidden word,ROSE,0
20051,In my absence a member is seen in a cautious light,amber,amber,hidden word,LAMP,0
89065,"Ethelred evidently reveals it, despite his reputation",rede,rede,hidden word,READ,0
114001,"From within deer, a female deer",hind,hind,hidden word,DEER,0
139267,Gutless gangster mugs shoppers,grasses,grasses,hidden word,SPINEY,0
118232,Rushed a hideout,hied,hied,hidden word,HIDE,0
93470,Reciprocal element reflected in typical autumn fashion,mutual,mutual,hidden word,LEAVES,0
21437,In my sleep I composed a long poem,epic,epic,hidden word,EPIC,1
69232,Some found Eton a terrific blast!,detonate,detonate,hidden word,FIREWORK,0
69417,"Norse collection needed, say, regularly",edda,edda,hidden word,NORD,0
35015,"Brought up without the social graces, I maintained harmony",union,union,hidden word,CIVIL,0
35100,Chaos could be regarded as fun,snafu,snafu,hidden word,FROST,0
79313,"Poet certified Prisoner of Zenda, up or out",ezrapound,ezra pound,hidden word,RUDY BLAKE,0
119094,Hint that simply pointless,imply,imply,hidden word,HINTS,0
69390,Some peculiar denizens of the forest,arden,arden,hidden word,ELMUS,0
9526,Imagine Dr West coming back!,dream,dream,hidden word,DREAM,1
44433,Prognostications provided by women's magazine,omens,omens,hidden word,MAGAZ,0
90619,Partly dishonest one remains a potential executioner,stoner,stoner,hidden word,MURDER,0
44993,Cheeky? Section of arena talking,natal,natal,hidden word,ARENA,0
105167,Frontiersman finds the front line at regular intervals,bowie,bowie,hidden word,FRONT,0
12184,Spot in Hautes-Pyrénées,espy,espy,hidden word,SPOT,0
12711,Where more than one rider is seen in A & E,tandem,tandem,hidden word,STABLE,0
39611,Drink supplied in plastic container,asti,asti,hidden word,CUPS,0
75368,Divine seen in windows etc,dowse,dowse,hidden word,ANGEL,0
89797,That's how not to be hidden,show,show,hidden word,OUTS,0
94588,Serbia sedulously protecting partisan,biased,biased,hidden word,SERBS,0
135424,Regularly scrubbing toughened moulding,ogee,ogee,hidden word,BARS,0
120054,"Group of islands off, mainly, New York perhaps ...",orkney,orkney,hidden word,GRENAD,0
28882,Subject of the Middle East ...,theme,theme,hidden word,ISRAEL,0
71298,One who wrote odes in a church or a cemetery,horace,horace,hidden word,POETRY,0
7623,"Found in morgues, some who were shot",guess,guess,hidden word,CORPS,0
94419,Bacterium in silo certain to come up,ecoli,e coli,hidden word,E. COLI,1
134835,Guess what he or I secretly collect!,theorise,theorise,hidden word,HYPOTHESIS,0
70556,Press used by Turgenev,urge,urge,hidden word,PUSH,0
64049,Fine instrument dramatist uses,amati,amati,hidden word,FINE,0
4820,"Sister's child needs some condemnation, ie censure",niece,niece,hidden word,NEPHEW,0
272,Become engaged in some sharp practice,mesh,mesh,hidden word,BID,0
8231,Costermonger's duck,scoter,scoter,hidden word,PENNY,0
53339,Did her arrival made Browning homesick?,april,april,hidden word,SAD,0
136717,"Our nation oddly omitted to, in the past",unto,unto,hidden word,OURS,0
28046,Wool producer in the Western Isles,ewe,ewe,hidden word,EWE,1
47495,Fiddle starts to sound clear as mud,scam,scam,hidden word,MUDD,0
13022,In dire necessity find personification of peace for Greeks?,irene,irene,hidden word,EIRE,0
72499,Cocoa and chocolate are one originally,cacao,cacao,hidden word,COCOA,0
127107,"Bloodhound, I think, ignored trash",shlock,shlock,hidden word,HOUND,0
138130,"Remains for ever in mind, we'll swear",indwells,indwells,hidden word,SWARMS,0
110880,Baffled by sensational wordplay with nine letters missing,ataloss,at a loss,hidden word,AT A LOSS,1
37914,Concert piece not getting an encore,once,once,hidden word,SONG,0
73151,Iceberg holds back diver,grebe,grebe,hidden word,BERG,0
56774,Bird fluttering right to left in Chingford?,goldfinch,goldfinch,hidden word,FLUTTER,0
98764,"Outgoing type of regular mermaid girl, eh?",emigre,emigre,hidden word,MERMAID,0
114559,Telescopes of universities partially looking up for them,ufos,ufos,hidden word,LENS,0
30096,"Penned by Delany, Longfellow's material",nylon,nylon,hidden word,VERSE,0
61042,Launch a steamship that's partly corrupt,unchaste,unchaste,hidden word,LAUNCHES,0
135668,"Middle Eastern nirvana in it's elapsed, somewhat in recession",palestinian,palestinian,hidden word,ENLIGHTENMENT,0
550,The suffering a preacher tries to hide,ache,ache,hidden word,PAIN,0
94761,Theft from canonized studio,stealing,stealing,hidden word,LARCENY,0
22964,Some telephones transmit direct,honest,honest,hidden word,DIRECT,0
101117,Was book's content order intended to be restrictive?,asbo,asbo,hidden word,MEAN,0
25691,Record some inadvertent errors,enter,enter,hidden word,ERRS,0
67811,Representation in holding company,icon,icon,hidden word,ICON,1
88178,Some characters in Tristram Shandy are flipping clever!,smart,smart,hidden word,SMART,1
38045,US composer into percussive sounds,ives,ives,hidden word,GERS,0
116829,Query the manner in which I turn red,erythema,erythema,hidden word,CRIMSON,0
124757,Endless succession of agency clerks,cycle,cycle,hidden word,CHAIN,0
29978,Dramatist arranging central part for top actor,star,star,hidden word,STAR,1
130272,Pansy among daffodils is symbolic,sissy,sissy,hidden word,LILY,0
67716,"From Istanbul, a way of getting to African city",bulawayo,bulawayo,hidden word,ISTANBUL,0
24803,Keep going in Felixtowe Road,tower,tower,hidden word,STAY,0
13154,Apparent disgust often betrays enthusiasm,gusto,gusto,hidden word,FROWN,0
71144,"Some papers are amusing, to some extent",ream,ream,hidden word,SOME,0
82285,A little animal taken in island,malta,malta,hidden word,MOUSE,0
111529,A venerable name in our illustrious past,bede,bede,hidden word,NOME,0
6979,"Wreck's sunk into ground, obviously",undo,undo,hidden word,SUNK,0
19735,Gibbon's ailing somewhat due to small growth,bonsai,bonsai,hidden word,BUNGLE,0
37347,"Some styles return, returning briefly",tersely,tersely,hidden word,STYLES,0
122252,Where to find swimmers showing promise in class on regular basis,lidos,lidos,hidden word,SWIM,0
138773,Local London football team spurned by Poles,areal,areal,hidden word,ARSEN,0
59616,Vessels a Scottish poet topped,urns,urns,hidden word,BOAT,0
65222,Admits top of hanger is missing,allows,allows,hidden word,ADMITS,0
17174,He composed some enjoyable harmonies,lehar,lehar,hidden word,SONGS,0
72114,Amplifier to help retail a service,laser,laser,hidden word,RADIO,0
7350,First drops in wood more than adequate,ample,ample,hidden word,TREES,0
138913,Craving for flour - is it regular?,lust,lust,hidden word,HUNY,0
46005,"Line drawn in pub, no cheap drinks",oche,oche,hidden word,LINE,0
25725,It's commonly wrong in a telegram or a letter,amoral,amoral,hidden word,GRAMS,0
116488,How church worker can offer praise?,chant,chant,hidden word,CHANT,1
43975,Some bandit took the same again,ditto,ditto,hidden word,REPEAT,0
10120,"Essential for galop, metronome's rising speed",tempo,tempo,hidden word,RAPID,0
87682,Anonymous donor makes an entrance,door,door,hidden word,GIVE,0
24337,Got off just over halfway through dismal government-free existence,reality,reality,hidden word,ESCAPED,0
674,"Culottes Lafayette pulled up somewhat too tight, hence his voice",falsetto,falsetto,hidden word,ALFONSO,0
33905,Explosive component of Ulster on time? On the contrary,nitre,nitre,hidden word,NITRO,0
132308,Somewhat minimalist hat? I think I expected more!,isthatit,is that it,hidden word,TOO MUCH,0
134737,They succeed in their schemes,heirs,heirs,hidden word,PLANS,0
65854,Extract from Kafka or Tallis that comes straight from the heart,aorta,aorta,hidden word,EXTRACT,0
26075,Some colleges say education is tried,essayed,essayed,hidden word,COLLEGE,0
57004,esitate with time to turn aside,avert,avert,hidden word,HESIT,0
99868,Aunt Georgia oddly lacking internal organs,uteri,uteri,hidden word,GAUNT,0
47183,Grant is held up by student peccadilloes,accept,accept,hidden word,GRANTS,0
5649,A bit of a spur some hero welcomes,rowel,rowel,hidden word,SPURT,0
62265,Group going in for ultra-vision,travis,travis,hidden word,GROUPS,0
48088,Tesco ragout goes down well in Paris,escargot,escargot,hidden word,GOUTIER,0
127479,Finishing touches in sketch you made - needs colours,hues,hues,hidden word,HUES,1
77672,In Strasbourg I must accept one follower of May,june,june,hidden word,MAYO,0
16499,"Instead, ancestral afternoon entertainment is provided",teadance,tea dance,hidden word,AFTERNOON,0
9451,Up in arms freebooter is beheaded,irate,irate,hidden word,PIRATE,0
99951,Arab statesman involved in womanising,omani,omani,hidden word,ARABS,0
19187,See edges taken off by the ears,otic,otic,hidden word,SEEN,0
65515,"Move unexpectedly, taking nothing from the best room",lunge,lunge,hidden word,ROOMS,0
18270,Portion of tandoori cottage cheese,ricotta,ricotta,hidden word,COTTAGE,0
81517,"Protest, showing some degenerate tarts no mercy in return",remonstrate,remonstrate,hidden word,TORTURESS,0
86380,Logic duo displayed in volunteer's mission statement,icouldgo,i could go,hidden word,A CASE OF,0
15626,Rome's fateful date in Gobi desert,ides,ides,hidden word,IDES,1
57190,Clouds rising from Maghrib mines,nimbi,nimbi,hidden word,MISTS,0
11686,Never let backs go round the team,eleven,eleven,hidden word,RELEAS,0
69007,Some fanciful name for part of the arm,ulna,ulna,hidden word,NAME,0
111934,Take advantage of 'obgoblin's stockings,impose,impose,hidden word,GOBBLE,0
8440,Provision of much else as well,chelsea,chelsea,hidden word,PROVISION,0
4510,Type of paste used by salmon daily,almond,almond,hidden word,SALMON,0
45993,Flag some citizens ignore,ensign,ensign,hidden word,BANNER,0
5406,Rastafarian held at more than arm's length,afar,afar,hidden word,DREAD,0
55319,"A number smash up the inn, yet set free",ninety,ninety,hidden word,UNLEASH,0
94420,Green at heart? Jealous ego? It could make you ill,ecoli,e coli,hidden word,SICK,0
