Index,Clue,Solution,Spaced_Solution,gemma_predicted,gpt_solved_answer
54355,"Writer, a good man, seen inside foreign restaurant",bistro,bistro,container,AUTHOR,0
549,Pain beginning to hurt in one,ache,ache,container,ACHE,1
100634,Poem about mountains given top grade -- sparkling stuff,orangeade,orangeade,container,GARNETTS,0
131081,"In a maddening way, shrewd Brown standing inside",frustratingly,frustratingly,container,EXASPERATING,0
31731,"Wild duck swallows English dram, if dry",teetotal,teetotal,container,DRAUGHTY,0
39851,He fails to show up the defect in the return pipe,defaulter,defaulter,container,DEFACTOR,0
91842,Spending allowance to be cut in move,budge,budge,container,ALLOW,0
90127,Giving medical treatment to stray pet held,dosing,dosing,container,TREATED,0
43685,Player with no time for a bet,fluter,fluter,container,PLAYER,0
134058,Harry and Henry nabbed by someone not in uniform,chivvy,chivvy,container,ARREST,0
120426,Prime made out to include another,seven,seven,container,RATIO,0
44396,No time for Mister Scrooge,miser,miser,container,EBENEZER,0
85944,Biblical dupe keeping bridge players up with sense of foreboding,unease,unease,container,DUPLIC,0
102268,Strangler with soldiers going around in band,garroter,garroter,container,STRANGLER,0
138620,Manual actions in service taking a long time,massages,massages,container,MANUALS,0
26494,"European composer, in recital, has things to do",checklist,checklist,container,COMPOSER,0
81195,"Flash not very bright, introducing copper for a bit",modicum,modicum,container,FLASHER,0
141319,Radioactive element in preservative for good health,salut,salut,container,IODINE,0
14311,Plant with a sting stuck in the chimney,laburnum,laburnum,container,NETTLE,0
36078,"Soldier's gear, which stays at home",tinhat,tin hat,container,KIT CAT,0
119078,"Time off, stuff punctuated by irregular pay",gapyear,gap year,container,TIME OFF,0
93033,Record claiming uranium is brownish-grey,taupe,taupe,container,DUNES,0
88134,Wolf circling eastern Galloway?,george,george,container,WOLVES,0
58772,"Hundreds pocketed by accountants, the rotters!",cads,cads,container,CABS,0
87361,Heartless Shakespeare heroine keeping beret for a head,percapita,per capita,container,LADY MACBETH,0
116622,Ruled measure government introduced must be reversed,reigned,reigned,container,DECREED,0
21476,"Engaged, that's the outcome about me and a girl",enmeshed,enmeshed,container,MARRIAGE,0
128290,Tough solidity for road transport crossing a bit of rail track,burliness,burliness,container,SOLIDITY,0
31476,Artist in car skirting ancient city,seurat,seurat,container,CARAVAGGIO,0
36592,Male child consumes duck quickly,soon,soon,container,KID,0
83799,Vehicles boy goes in are always late,cadavers,cadavers,container,LATECOMER,0
28350,Best food Mike's brother found in the continent,ambrosia,ambrosia,container,AFRICAN,0
37285,Like supporter at home holding a kind of sign inside boundary,infavour,in favour,container,HOME GAME,0
29221,"Poet's dawn air ""threaded with gold""",aurora,aurora,container,AURORA,1
100999,Dessert like jelly seen around the globe,sorbet,sorbet,container,GLOBES,0
198,Fend off leader of pirates in film,repel,repel,container,FENCE,0
38797,English general accepts tax raise,elevate,elevate,container,ENHANCE,0
77301,Gets the dog and looks around,secures,secures,container,GLOOMED,0
135945,Tubes bringing a form of medication to stop decay,capillaries,capillaries,container,CATHETERS,0
111629,Criminals returning so as to be split in opposing,cosanostra,cosa nostra,container,EVIL DOERS,0
7600,Left holding baby after this,labour,labour,container,AFTER,0
10326,Lousiest material editor's chucked out,worst,worst,container,SLOSH,0
105900,Not a street where things happen,venue,venue,container,NIGHT,0
118322,"Cajole alien, within reason",getround,get round,container,WINNING,0
14203,Cleaner copies including past papers,coldcream,cold cream,container,CLEANER,0
74224,Worry about horse slaughter,carnage,carnage,container,FRETTED,0
54062,Signified by inserting negative in Act,denoted,denoted,container,SIGNIFY,0
28030,"Doctor, one breaking smart fellow's chemistry apparatus",alembic,alembic,container,BUREAUX,0
22581,Water drowned second biblical brother,esau,esau,container,ABEL,0
22983,Surgeon given sixpence outside the theatre,trepanner,trepanner,container,SURGEON,0
121769,Yellow streak will put celebrity status out of order in time,dastardy,dastardy,container,YELLOWED,0
49010,Relative gives away article free,untie,untie,container,UNCLE,0
93780,"Bill wears Sikh wedding rings, hard in a Muslim land",bangladesh,bangladesh,container,KASHMIRIS,0
573,"Faithful, but getting new man into bed",constant,constant,container,STEADY,0
10902,Cheap accommodation always in part of journey,steerage,steerage,container,HOSTEL,0
63379,Fish seems to be right in the light,bream,bream,container,LIGHT,0
108160,"Inexpert folk, handicapped, retaining unknown name",laymen,laymen,container,UNSKIL,0
111080,Noise inside gear when travelling,riding,riding,container,RUMBLE,0
7301,Angry outburst from one stuck in traffic,tirade,tirade,container,FUMES,0
130849,Inadequate lavatory in filthy place,scanty,scanty,container,TOILET,0
15464,Girl turned over one in the grass,sisal,sisal,container,CLOVER,0
23145,Sharp taste rolled around centre of mouth,astute,astute,container,ACIDY,0
114103,Book Nine in academic citation,donquixote,don quixote,container,APA STYLE,0
50323,Peg will see about soldier getting back,spigot,spigot,container,GAMBIT,0
127587,"In running for cover, lesbian freely admits ""game up""",insurable,insurable,container,SHELTER,0
134593,Cold island imports temperature,stark,stark,container,ICELAND,0
31228,Directions are in the mail for making a warming winter drink,posset,posset,container,MULLED,0
21423,Beast about to catch girl - not fair!,brunette,brunette,container,UNFAIR,0
9774,Kangaroo eating large loaf,bloomer,bloomer,container,KANGAROO,0
70974,Humble cleric taking me to heart,demean,demean,container,MEANER,0
67206,Bird is injected with thiamine,ibis,ibis,container,TERN,0
62043,"Note circling reptile is a threat, in the main",uboat,u boat,container,A THREAT,0
71737,English naval officer is about to impress,commandeer,commandeer,container,ADMIRALTY,0
105218,Directions limiting poet producing epic verse,epopee,epopee,container,HOMER,0
95116,Primate admitting self-elevation is the highest point,apogee,apogee,container,SUMMIT,0
137457,"Poor Billy, regularly infested with moth",beggarly,beggarly,container,BILLY,0
119800,A spinner's short period in work,gyro,gyro,container,SPIN,0
46277,They do up house: home counties housing spikes,shoelaces,shoelaces,container,DEVELOP,0
1792,"Plane perhaps hijacked by buccaneer, turning back",tree,tree,container,PLAN,0
111215,Parson first in seat to see what's coming,preview,preview,container,PROPHET,0
76959,Nothing less holds nothing threatening,ominous,ominous,container,DREAD,0
127854,Former partners keep pamphlet of selected passages,extracts,extracts,container,EXCERPTS,0
104569,Prepared to pass through study,readied,readied,container,PASSED,0
55717,Make annoyed and angry about unfinished ceremony,irritate,irritate,container,IRRITATE,1
81603,Unfeeling male absorbed in the nitty-gritty,numb,numb,container,COLD,0
73538,Smack around side of face: buzz off!,clearout,clear out,container,SLAP IN,0
54350,Writer goes round stone consumer's place,bistro,bistro,container,AUTHOR,0
107398,Force occupants of central Venice to be displaced by macho types,vehemence,vehemence,container,MACHOS,0
46677,Screw going round prison in fear,panicky,panicky,container,SCREWED,0
16962,"Most insignificant little bird circling European river, endlessly rising",tiniest,tiniest,container,INSIGNIA,0
54089,"Going round by word of mouth, part gets assimilated",orbital,orbital,container,ORALITY,0
116756,Upending Brad in a barrel is courageous,valiant,valiant,container,BRAVERY,0
121689,A king given independence in new surroundings is a bit odd,freakish,freakish,container,KINDRED,0
24565,Hear about a new type of pen without getting excited,tranquilly,tranquilly,container,ADRENALS,0
119271,Meat Hazard placed in trap,griskin,griskin,container,MEATY,0
109281,Drive around in carriage with zeal,fervidly,fervidly,container,DRIVEWAY,0
63155,"Perishes, without help, from illness",diabetes,diabetes,container,DIESOFF,0
57658,"Sign of something wrong with performance? See about that, just!",exactly,exactly,container,SIGNAL,0
22728,"Checked in, in a rush",reined,reined,container,CHECKED,0
127164,Time in replicated environment provides excitement,stimulation,stimulation,container,ENTERTAIN,0
71619,One caught by the actual crime,thievery,thievery,container,ACTUALITY,0
13974,It was created with latitude in the scriptures,world,world,container,GENRE,0
61074,Happen to see bird nesting as resident,occupier,occupier,container,OCCURRING,0
95092,"Having ensnared male, sexy cuddles on the agenda",scheduled,scheduled,container,SEDUCING,0
63169,Attractive catch in illusionism,magnetic,magnetic,container,CHARMING,0
46189,Philosopher passing through American Customs,usages,usages,container,RUSSELL,0
84221,"Bottle company prompt, coming about midday",courage,courage,container,BOTTLED,0
81856,Poster plugging good show is boasting,bravado,bravado,container,POSTERS,0
111133,Fruit getting stuffed with date and walnut toppings for tellers of tales,oldwives,old wives,container,"FIGS, NUTS",0
50977,In favour of accepting a pound in coin,florin,florin,container,FORCE,0
123823,Rejects chipped plate with pasty in it,disallows,disallows,container,DISCARDS,0
76829,Stays if made content,satisfy,satisfy,container,FIFTHS,0
5641,"Winds about, missing the German ways",means,means,container,SWAYS,0
79354,"Female in a feeble way in sultan's place, in need",womanish,womanish,container,SULTANA,0
29728,"Poem, say, inscribed in cathedral",elegy,elegy,container,ODEON,0
117222,Monsters out of hospital go to fatherland,wales,wales,container,MONDO,0
57663,Go through childhood with small gang of people around,growup,grow up,container,GROW UP,1
110364,"Something online for minors, I say, drinking liquor",choochoo,choo choo,container,KID'S BAR,0
113959,"Essay penned by school square, a killer",strychnine,strychnine,container,ESSAYIST,0
104392,"Vicious in a swarm, moreover",besides,besides,container,SWARMING,0
52548,One accepts student as dim,unlit,unlit,container,DULLS,0
133404,Cherish men forgoing male hour during function,enshrine,enshrine,container,TREASURE,0
71078,Nothing can interrupt drink and drug,aloe,aloe,container,CUPP,0
87795,Tonic for yuppie flu found in truck,pickmeup,pick me up,container,GIN TO GO,0
16759,Letter from Greece about favoured animals,rhino,rhino,container,ELOPE,0
66546,Rubbish government consumed by nastiness,bilge,bilge,container,CRAP,0
89334,Caught amid whimsical manoeuvre,jockey,jockey,container,CAUGHT,0
14131,Suitable belief accepted by primate,apposite,apposite,container,APPROVED,0
21851,Pick boundaries for lake district environs,selection,selection,container,PICKINGS,0
138255,"Like English chaps in financial difficulty, in shame",debasement,debasement,container,SHAMELESS,0
52453,Understand about opening heart in solemn procession,cortege,cortege,container,PROCESS,0
71966,"Drive first person boarding cleaner, low-level transport",pushchair,pushchair,container,CARTELLE,0
34960,Guarantee securing a boy for a limited period,seasonal,seasonal,container,SURETY,0
118295,Thinks the current recession splits friends,meditates,meditates,container,THINKERS,0
65352,Aim to skirt centre of Manchester after all,intheend,in the end,container,OUT OF THE,0
101378,Wrongdoing concealed by angry criminal where lawyers abound,graysinn,grays inn,container,CRIME OF,0
74120,A province with street harbouring cunning freedom fighter?,anarchist,anarchist,container,GUERRILLA,0
139585,Japanese game is uplifting when astride pig,shogi,shogi,container,GO,0
7090,"Miserable miss, on reflection, breaking engagement",desolate,desolate,container,DREADFUL,0
63262,Helpful having fluorine in the water,ofuse,of use,container,OF THE,0
134039,"Agreed it's forged, detectives admitted",coincided,coincided,container,CONCEDED,0
7060,"Shown the way in, as well, in Spain",toledo,toledo,container,AS WELL,0
103054,United Nations upholding a role for American statesman,utahan,utahan,container,NATIONS,0
99308,Tiny distance covered by which bird?,whinchat,whinchat,container,HUMMINGBIRD,0
135048,Guts shown by couple turning and smothering last of fire,duodena,duodena,container,COURAGE,0
7355,London university splitting noble gas particle,nucleon,nucleon,container,LONDON,0
139050,Not at home during quiet quarter,south,south,container,AWAY,0
50399,Wait under a second with the eyes of an optimist,starry,starry,container,WAITING,0
66633,A painful condition oppresses one rodent,agouti,agouti,container,PAIN,0
43447,Point to a hundred in stock that's prolific,fecund,fecund,container,POINT,0
7916,Ignore alarm bells echoing in error,sleepin,sleep in,container,RINGING,0
61682,American thug pinches Nintendo console for child,godson,godson,container,KIDNAP,0
8033,Plain tart takes in Romeo's look,prairie,prairie,container,TARTARE,0
75425,"Reached high to marry, taking in royalty",towered,towered,container,ASCENDED,0
54837,"Doctor having admitted crime, it's curtains for him!",draper,draper,container,DOOMED,0
62087,Animosity about responsibilities is concerning rogues,picaresque,picaresque,container,HOSTILITY,0
85318,Crowds turning up for play about love,troops,troops,container,AUDIENCE,0
114810,Relative beings from an edge of space bounded by locators,sisters,sisters,container,RELATIVES,0
128642,"Emits gas skyward, securing incomplete image of sports icon",steffigraf,steffi graf,container,PULLS FACE,0
12734,"Panic, being about a hundred short",scarce,scarce,container,FRENZY,0
69809,Teach development in the glen,enlighten,enlighten,container,EDUCATION,0
79037,Can active culture protect against disease?,vaccinate,vaccinate,container,YOGHURTS,0
87103,Convict surrounded by a stack of booty,pillage,pillage,container,BOOTYED,0
103666,Lots of storage needed when Ms Roslin moves into French accommodation,gigabytes,gigabytes,container,STORAGE,0
21701,Book in first-class accommodation for one in opposition,anti,anti,container,TOME,0
27085,Very pretty is Peg when carrying little weight,twee,twee,container,GEMM,0
22962,The Castilian comes into part of the story,relation,relation,container,NARRATIVE,0
74518,Soldiers authorised to appropriate a vehicle - and appropriate's the word for it!,relevant,relevant,container,REPOSSES,0
84417,Sound of crew receiving nowt?,moan,moan,container,CROW,0
85266,Model is bashful grabbing a pee,copy,copy,container,MUTE,0
123776,Steal work left during work period,shoplift,shoplift,container,LIFTING,0
57601,Animal makes nest in rubbish,rodent,rodent,container,ANIMAL,0
54707,Cover for beast that eats cooked hams,yashmak,yashmak,container,COVERED,0
27169,Make certain of result by capturing rook,ensure,ensure,container,SURELY,0
91518,Bridge player takes smack that's most pure,whitest,whitest,container,BRIDGE,0
112618,Allen losing everything in Sin City,venice,venice,container,ALLENS,0
55582,Diligent couple welcoming Lawrence to the States,duteous,duteous,container,DILIGENT,0
76166,Prejudice exists to break up a masterpiece,ageism,ageism,container,PREJUD,0
65112,Death of parent touring Peru,reaper,reaper,container,PARENT,0
40949,Shade round bottom of willow tree,rowan,rowan,container,SHADE,0
120945,Conflict taking month to heat up,warm,warm,container,HEAT,0
17095,Place where no one tense is put up,situation,situation,container,TENSION,0
43581,"Cry from wolf, perhaps, breaking gate",entreaty,entreaty,container,WAILING,0
104171,Poet's written about return of Irish hooligan,larrikin,larrikin,container,BARDISH,0
70663,I wave - interrupting myself with skill - to show no chance of leaks,impermeability,impermeability,container,WATERPROOF,0
117563,Primate includes a bishop in blessing,baboon,baboon,container,ABOON,0
33680,Agent without sleep is irritable,snappy,snappy,container,AGENT,0
35458,Endless Soviet labour camp fenced by stake with spikes,angulate,angulate,container,GULAGGED,0
16319,Islander gutted coastal town,briton,briton,container,GUTTED,0
81877,"Journos, gathering in loose ends, raise them in anger",hackles,hackles,container,OUTRAGE,0
13481,Abuse found in rapid dispensing of drugs,pharmacy,pharmacy,container,ABUSE,0
13035,Bound to put small amount in hat,limited,limited,container,LIMBOS,0
45571,Laments about flowers for virtuous statues,plastersaints,plaster saints,container,VIRGINAL,0
3200,A foot of water in the diocese,spondee,spondee,container,BISHOP,0
60472,Councillor that is protecting main character in Miami Vice,crime,crime,container,MAYOR,0
49189,Girl came in to study the weapon,cannon,cannon,container,ARMED,0
55307,Sadness in love in some ways,pathos,pathos,container,SORROW,0
70427,Fatherly friend swallows a tear,parental,parental,container,PATERNAL,0
15239,It's carried on a sleigh (wherein is a joke),luggage,luggage,container,SLEIGH,0
17091,Upset about head of family one's butted?,rifle,rifle,container,MADAM,0
92006,Company importing wine is manageable,plastic,plastic,container,VIABLE,0
5752,"Most respected member, female poet entertaining you",doyenne,doyenne,container,LAUREATE,0
65442,It's pinned to hold in fabric,grenadine,grenadine,container,BROOCHES,0
141335,"Create difference, namely in refereeing scandal?",variegate,variegate,container,VARIANCE,0
139094,"Rich man making appeal for help, having hoarded gold",soros,soros,container,MOGUL,0
57065,UN quits panel sitting in judgment of a group,tribal,tribal,container,APPEAL,0
12537,Make allowances when catching the tube,catheter,catheter,container,CONCESSION,0
58833,"In the stretch between wings, a sole player",thespian,thespian,container,STRINGS,0
121204,"Universal fighter in imaginative work, Asia's missing pest controller",fumigant,fumigant,container,FANTASIA,0
33279,Captain is first into bed,pilot,pilot,container,CAPTAIN,0
90495,"They're here, being inexperienced in the ATS",attenders,attenders,container,TRAINEES,0
71891,"Father in pain, but brave",apache,apache,container,BRAVE,0
44521,"Cut inside out, including first chapter",incised,incised,container,CUTOUT,0
12896,Adult taken in by party game,snap,snap,container,ADAM,0
83720,Dancer to see in uniform,salome,salome,container,TANGO,0
13482,Drug provider causing fast internal damage,pharmacy,pharmacy,container,DRAMATIC,0
34947,Meal inside the German hotel,dinner,dinner,container,GERMAN,0
3354,English associate adopts an issue,emanate,emanate,container,ISSUE,0
137986,Be inclined to keep work of the highest quality,topend,top end,container,TOP NOTCH,0
102660,Politician with burst ulcer getting out of crush,crumple,crumple,container,CRUSHER,0
20350,Space to include afterthought on one line over letter,epsilon,epsilon,container,AFTER,0
103019,Smirked before getting taken outside,leered,leered,container,SMIRKED,0
139048,Desolate portrait painter holds on,lonely,lonely,container,DESOLATE,0
140509,Foxy Liberal secured for Strictly,slavishly,slavishly,container,FOXINESS,0
67897,Lied about a king's garment,sarong,sarong,container,DRESSED,0
109040,"Conceals in hand, holding second book of verses",psalms,psalms,container,COVERS,0
109953,"Foot I test out, trapping two balls?",tootsie,tootsie,container,FOOTBALL,0
82109,Came across a can containing nothing in the bottom,foundation,foundation,container,ENCLOSED,0
109800,Chief designer admitting resistance to shock treatment …,director,director,container,DESIGNER,0
124475,Decisive defeat with terrorist group at first in poor spirits,rotgut,rotgut,container,DEFEAT,0
14785,Article about soldier's figure,three,three,container,FIGURE,0
77439,Gubbins the church brought in for limiting population,contraception,contraception,container,SUBGOVERNMENT,0
82772,Explosive individual in explosive situation off the coast,thesolent,the solent,container,HARD CASE,0
42374,Excited about nothing? That's a laugh!,hoot,hoot,container,GAGG,0
44670,Meeting of opponents in choice setting,plenum,plenum,container,DEBATE,0
82599,Merseyside Blues become green in time,everton,everton,container,LIVERPOOL,0
61990,Girl taken in by scholar's miraculous food,manna,manna,container,GOURD,0
122645,Nordic person catches an extra fish,finnan,finnan,container,NORWEGIAN,0
115979,Prospector keeps sick retailer,milliner,milliner,container,GOLDMINER,0
71111,It's cunning to carry a weapon with a loud noise,stridently,stridently,container,SNEAKY,0
47608,Informer keeps president absorbed,rapt,rapt,container,SPY,0
41044,Sound made by soldier entering hostelry,logical,logical,container,HOSTEL,0
39386,Makes financial provision on getting bad news about party,endows,endows,container,CUSHION,0
32773,Settled group covered in embarrassment,resided,resided,container,ASHAMED,0
52696,Discover ruffian keeps right in front of the fire,hearthrug,hearthrug,container,FINDOUT,0
58680,Home established in primitive setting with determination,earnestly,earnestly,container,HOMESTEAD,0
55455,Tame animal - it is eaten by wild one wanting food,appetite,appetite,container,CARNIVOR,0
24542,"Flower, European, containing odd bits of blue receding",danube,danube,container,LOBELIA,0
115372,Obscene play - interrupt endlessly,prurient,prurient,container,VULGAR,0
1134,Worker accepted Lawrence before becoming a fan,adherent,adherent,container,FANATIC,0
72813,Butcher eating right seafood,krill,krill,container,STEAK,0
66417,Put down action restricting newspapers,depressed,depressed,container,SUBDUING,0
57932,One in a row put in dries out,disputer,disputer,container,DROUGHTS,0
51436,Richard about to drop a brick from crane,derrick,derrick,container,CRUSHER,0
135242,Many a servant wants to hold you back,lackeys,lackeys,container,MASTERS,0
115225,Fuss about drink - situation causing disapproval?,arumdo,a rum do,container,TO DO IT,0
58079,Jocularly feared? Jocularly killed's about right,dreaded,dreaded,container,JOKERED,0
130032,Bean you are told to put in liqueur,curacao,curacao,container,AMARETTO,0
118835,"Presiding officer, a Marxist, driven round in car",moderator,moderator,container,CHAIRMAN,0
138930,"Plucks out, at last, name amongst sporting partners",twangs,twangs,container,NAMES,0
114302,Country put in a word of thanks for foreign capital,tirana,tirana,container,THAILAND,0
100749,Roman leader's watching out for Roman poet,virgil,virgil,container,OVIDS,0
61652,Ring road goes round a kiln,oast,oast,container,RING,0
125182,Be involved with a lot of time put into unfinished machine,engagein,engage in,container,IN FOR,0
103977,Journalists in house taken up as recruits for the navy,impresses,impresses,container,RESERVES,0
95274,Jailed Liberal group?,clan,clan,container,CELL,0
5601,Maintain penniless specialist,exert,exert,container,STAY,0
73737,Setter withdraws; Berber remains,embers,embers,container,TANGIER,0
120101,Waterside bird going unsteadily around end of pond,reedling,reedling,container,WADERS,0
62128,Saving firm beset by money trouble,economy,economy,container,SAVING,0
137279,Revered former editor pinching a large journalist's bottom,exalted,exalted,container,REVERED,0
103517,Shanty about popular salt?,seasoning,seasoning,container,COTTAGE,0
12739,Having clear head in panic is unusual,scarce,scarce,container,CALM,0
86561,"Liberated, topless and hot, embraced by one who pulls hippie type",treehugger,tree hugger,container,FREE SPIRIT,0
108483,Reserves have to practise during breaks,restraints,restraints,container,STOCKPILE,0
112949,French university in German city's resentful about it,sorbonne,sorbonne,container,RESENTFUL,0
30914,Passage taken from book unless grabbing reader at the start,excerpt,excerpt,container,EXCERPT,1
92929,Elizabeth I's favourite beer in curtailed privilege,raleigh,raleigh,container,ALEHOUSE,0
137810,Shifty of you French to pinch Naomi's bottom,devious,devious,container,SNEAKY,0
8523,I keep a number of lawyers from Prohibition,embargo,embargo,container,CARTEL,0
38626,"Round, with brains in colour, not straight",oblique,oblique,container,CIRCULAR,0
5428,Finished in a state between Scylla and Charybdis?,endangered,endangered,container,CALAMITY,0
78155,Something fishy leads to warning about air trip,caviare,caviare,container,ALERTS,0
112584,Offered and was inclined to embrace soldier,tendered,tendered,container,EMBRACED,0
105988,Unaware of nice mess in egg container,nescient,nescient,container,EGGHEADS,0
124311,Men taking the bait and ringing,orbiting,orbiting,container,MENACING,0
43804,"It's a capital living, admits one leading jockey",beijing,beijing,container,JOCKEYS,0
28437,A case of silence stifling passion,sheath,sheath,container,FETISH,0
96141,A measure adopted by prince of the blood,haemal,haemal,container,PRINCE,0
84685,"George Orwell and Colette finally breaking even, which produces a high note",flageolet,flageolet,container,CRESCENDO,0
140446,African people go off into depot,barotse,barotse,container,AFRICANS,0
74584,Diva cries about article,callas,callas,container,DANGER,0
29525,Fellows entering into a welcome correspondence,agreement,agreement,container,CONGRATS,0
135527,Gardner is hugged by admirer in plant,favabean,fava bean,container,LOVE SEAT,0
129908,Therapist of the nose? Pay attention to include wise report about that,psychoanalyst,psychoanalyst,container,OTOLARYNGOLOGIST,0
37465,What's gloomy about me - I can't concentrate,dreamer,dreamer,container,DREAMY,0
135701,Leaked info set back work during disputes,tipoffs,tip offs,container,LEAKED,0
45234,Draw sleek creature in lovely shell,lottery,lottery,container,SLEEKER,0
128742,A radio personality in a hairstyle that's a mess,abadjob,a bad job,container,A DJ IN,0
26632,"Bishop drinking whiskey with solver, unemotional",dryeyed,dry eyed,container,BISHOP,0
22563,Greek captured by wanton scoundrel,rogue,rogue,container,GREEK,0
54349,Way out writer in French restaurant,bistro,bistro,container,EXIT,0
72395,"Sage, I'm sorry to say, comes back around six",salvia,salvia,container,SIXTH,0
99858,Column of Dutch sheep?,newel,newel,container,COLUMN,0
67831,Reel drunkenly in game lacking spirit,cheerless,cheerless,container,REELING,0
24369,Experts attempt to incorporate new blood,ancestry,ancestry,container,SPECIAL,0
84007,Refusal to include pollarded tree in mock sea battle,naumachy,naumachy,container,BATTLES,0
72899,"Look in the bin, to wit, to get one's own back",scavenge,scavenge,container,REVENGE,0
4624,Roundhead boarding weary compiler's boat,trireme,trireme,container,LONGBOAT,0
68820,"Descartes seen outside clinic, half-shattered, needing rest",recline,recline,container,RESTING,0
29936,Communist receives a caution over Socialist fortune-tellers,tarotcards,tarot cards,container,CRYSTAL BALL,0
73739,Cavalryman turns back without thinking about us,hussar,hussar,container,CAVALY,0
30843,"Paddy takes it, being small",petit,petit,container,PINTS,0
110483,Blend includes art arranged in rectangular array,matrix,matrix,container,TARTAN,0
58232,Turn evil during temperance drive by New Labour?,modernisation,modernisation,container,ABSTINENCE,0
64335,"Rope, look, tethering donkey",lasso,lasso,container,LASSO,1
9137,Force hospital into consortium,thrust,thrust,container,FORCE,0
119364,Where top artists seek inclusion with nude?,intheraw,in the raw,container,IN THE ART,0
21240,"The rock of ""rock, paper, scissors"" keeps right on top",first,first,container,PAPER,0
12824,Charlie leaves boat for shrine,oracle,oracle,container,CHAPEL,0
122095,"Solicitor nabs service people, securing title in contest",tournament,tournament,container,LITIGANTS,0
1219,Juliet's town is not on for her,vera,vera,container,VERO,0
21003,Insect burrowing into straight banana,plantain,plantain,container,TERMITE,0
20182,Skin disease going around English riding school,manege,manege,container,ECZEMA,0
9485,It's an effort to go round Waterloo with it,trendy,trendy,container,EFFORT,0
96325,Swirling mist hides the way forward,immodest,immodest,container,MISTING,0
93475,Smirks about power of social outcasts,lepers,lepers,container,SMIRKS,0
16414,Nasty skin complaint through sprawling outside,bitchy,bitchy,container,PSORIS,0
73202,Falsely accused by FBI man about crash,framed,framed,container,BOMBED,0
115234,Excessive praise about Edward at university starting course for mature students,adulteducation,adult education,container,OVER THE TOP,0
104625,Boy from the West in Scottish burgh,edwin,edwin,container,BOYNE,0
123401,Spicy stuff to read outside pub before lunch,cinnamon,cinnamon,container,CHILIAD,0
43593,Like beauty of a sort with ooze about it,skindeep,skin deep,container,FORMAL,0
107689,"Politician, during progressive period, is acquiring intelligence",reconnaissance,reconnaissance,container,CONGRESSMAN,0
37564,Miracle drug for backside in trouble,elixir,elixir,container,PANACEA,0
7968,"A powerful man, the ambassador makes a pronouncement about cold",hercules,hercules,container,DICTATOR,0
65680,Belief about view endlessly increasing,crescendo,crescendo,container,CREDENCE,0
38417,"Refuse to ride horse, using whip",thrash,thrash,container,REJECT,0
102956,Individual giant houses for Renaissance man,titian,titian,container,HUMAN,0
9206,"Continent, not island, shortly to be put in geography book",atlantis,atlantis,container,AFRICA,0
4790,Beefy type crosses state to find gem,onyx,onyx,container,ONYX,1
124445,Began to wriggle around in truck,loganberry,loganberry,container,WIGGLED,0
126215,Hot glow of anger in experience with BA?,firelight,firelight,container,FUROROUS,0
40719,Secretary in the States is a sap,upas,upas,container,SAP,0
70011,Vulgar American four entertained by their President no longer,abusive,abusive,container,CRASSER,0
45410,A number observed outside happening,seventeen,seventeen,container,NUMERAL,0
