Index,Clue,Solution,Spaced_Solution,gemma_predicted,llama_solved_answer
68452,Turn and hide glass,windscreen,windscreen,assemblage,CONVERTGLASS,0
110387,Briefly contemplate a chop reserved for Spaniard's meal,gazpacho,gazpacho,assemblage,TAPASBAR,0
3418,A buddy rejects sport for which he's not paid,amateur,amateur,assemblage,AMATEUR,1
76110,Virgil's lines against leaving heaven during tide change,theaeneid,the aeneid,assemblage,EVEN SONG,0
12579,Benefit favouring the healthy,profit,profit,assemblage,ASSETS,0
53052,Fish ate weed,haddock,haddock,assemblage,SEAWED,0
6637,One vintage port that's perfect,ideal,ideal,assemblage,OPORT,0
75375,Parliament success: what about Mr Coe? Negative,naseby,naseby,assemblage,BYELEC,0
101963,Where to hole a vessel among the fleet,amidships,amidships,assemblage,DOCKYARD,0
137716,Fiddle with French car that's dropping back,fraud,fraud,assemblage,TINKER,0
136954,One hesitates to revive English leader after knockout,anaesthetise,anaesthetise,assemblage,RECOVER,0
14556,The bicycle provided for coppers at one time,pennyfarthing,penny farthing,assemblage,PANDAS,0
78921,Poem about Ulysses essentially at end of Troy,odyssey,odyssey,assemblage,ILIADS,0
46124,Backward country's government relinquished control,rein,rein,assemblage,REIN,1
18147,Cautionary cry in Somerset,watchet,watchet,assemblage,AVERTED,0
83781,Lack of control in a Hackney report,ataxy,ataxy,assemblage,CHAOS,0
135550,"Ruin what you do, separating messily in NYC",insolvency,insolvency,assemblage,MISCONDUCT,0
89259,"Better old city parking, as on board?",surpass,surpass,assemblage,BETTER,0
131774,How one may make progress on one's feet,insteps,insteps,assemblage,FOOTING,0
118699,"Awake, went out rejuvenated",updated,updated,assemblage,REFRESH,0
49154,Give up because of one's self-image?,forego,forego,assemblage,EGOIST,0
33759,Bishop has to dismiss rising resistance to church,exarch,exarch,assemblage,PRIEST,0
88824,Unpleasant period having fibre to eat,roughage,roughage,assemblage,DIETARY,0
36873,One may have a fair throw at it,coconutshy,coconut shy,assemblage,CARNIVAL,0
136427,They're not static water towers,tugboats,tugboats,assemblage,DYNAMOS,0
20590,"Very strict cook, marginally improved",rigid,rigid,assemblage,HARSH,0
27022,"Silver and jade, like Yeatsian midnight",aglimmer,aglimmer,assemblage,GREENISH,0
68631,Ascetic almost spoiled food,yoghurt,yoghurt,assemblage,HERMIT,0
52780,A despatch note?,deathwarrant,death warrant,assemblage,AIR MAIL,0
113746,Influence of Tory boor,clout,clout,assemblage,SWAY,0
97348,"If that's really the hat you want, I'm not stopping you",onyourheadbeit,on your head be it,assemblage,IF YOU WANT,0
103047,Firm recalled watchmaker at noon for special event,occasion,occasion,assemblage,ANNIVERS,0
130037,Agency worker almost the last word in saucy humour,temperament,temperament,assemblage,TEMPORARILY,0
58815,Sexy bottom? It might encourage rapid but unwelcome developments,hotbed,hotbed,assemblage,REARLY,0
120027,Off day? That is criminal,baddie,baddie,assemblage,ADAYO,0
131905,"God, who's flipping cut grass that's already been cut and dried?",yahweh,yahweh,assemblage,LAWNM,0
8075,Dog mounting sheep,mutton,mutton,assemblage,RAMBLE,0
90907,What the publican calls late on many occasions,timeaftertime,time after time,assemblage,LAST ORDERS,0
92289,They watch as three points can go to Golf driver,sentinels,sentinels,assemblage,REFEREES,0
27833,Finish urge - that woman will,eggshell,eggshell,assemblage,COMPLETE,0
87664,"Gather together in the morning, when heading to school",amass,amass,assemblage,ASSEMB,0
136259,Current tests pushed back repressive force,stasi,stasi,assemblage,TIDES,0
45328,Judge a royal nipper,arbiter,arbiter,assemblage,ASSIZEE,0
134097,Best of United's wingers running round Hearts scorer?,georgegershwin,george gershwin,assemblage,CRISTIANO,0
97538,"Came across a sailor, oddly skin and bones",metatarsi,metatarsi,assemblage,RANACROSS,0
119876,Official order to blockade islands when there's a disturbance,incident,incident,assemblage,EDICTSIS,0
102393,Distress with endless problems one day before,aggrieve,aggrieve,assemblage,UPSETDAY,0
110550,Display unit of wine and spirits,reddevils,red devils,assemblage,DEC LITRE,0
114055,Boatman in youth given order to vacate land,navalcadet,naval cadet,assemblage,ROW BOAT,0
94794,Nothing to bone of bones,osteal,osteal,assemblage,OSSEIN,0
12544,One gets up flowers,irises,irises,assemblage,DAISIES,0
28275,Prepare for scan on the Fourth of July,ready,ready,assemblage,XRAYED,0
64787,"Apart from Spanish white wine, mostly French white wine",barsac,barsac,assemblage,ALBARO,0
78750,Paid pounds for something at auction,gavel,gavel,assemblage,BIDED,0
45235,Gamble a great deal on a patched-up tyre,lottery,lottery,assemblage,BETTER,0
80812,One's inclined to strike with Popular Front,ramp,ramp,assemblage,SLED,0
328,Smooth limb at end of torso,legato,legato,assemblage,THIGH,0
101752,"Restricted middle section used to be soft, then it was revised",waspwaist,wasp waist,assemblage,WAIST,0
132261,Contract gamble upset live broadcaster?,beeb,beeb,assemblage,WAGER,0
17691,Like to take one to a region where Jesus was born,asia,asia,assemblage,NAZI,0
133184,Excite poorly-fed bird first,titillate,titillate,assemblage,STARVE,0
86199,Alumnus sitting with Scarface is haunted,obsessional,obsessional,assemblage,ALUMNUS,0
12053,"Listener's home, the grave?",earnest,earnest,assemblage,TOMBST,0
132191,"When pressed, manages passes",getsby,gets by,assemblage,IN AP,0
120780,"Shows insubordination, giving support to negotiations",talksback,talks back,assemblage,DEFYS,0
25985,One bombardier gets in before another,encore,encore,assemblage,BEATS,0
87722,Writer improperly abridged,amis,amis,assemblage,AUTH,0
19647,Old empress giving away last instrument,ocarina,ocarina,assemblage,TSARIN,0
95875,President exchanges vote for new fabric,ninon,ninon,assemblage,TAFTA,0
102140,"Floater, one joining church to criticise",icepan,ice pan,assemblage,IONA,0
103076,Function applied to cube with no fixed date,sinedie,sine die,assemblage,ROOT,0
13659,Wanted revolutionary to support sideshow,desired,desired,assemblage,CIRCUS,0
43509,Herod's son to gain entree to Rome ?,antipasto,antipasto,assemblage,HERODIAN,0
123013,"Lawless one meeting end in electric chair, perhaps",anarchic,anarchic,assemblage,OUTLAWED,0
83431,Odd people in error in Eden,originalsin,original sin,assemblage,ODD FELLOWS,0
54257,"Squeeze round corners, leaning heads skywards in ravine",gulch,gulch,assemblage,GORGE,0
33788,I follow through with spirit,peri,peri,assemblage,SEEM,0
121561,"After head start, wind up on winners' tail: put your shirt on them?",hangers,hangers,assemblage,BACKERS,0
89373,Quarrel can get personal in place like Harrogate,spatown,spa town,assemblage,SPA TOWN,1
61851,Astonished by one-way fold,awestruck,awestruck,assemblage,FLABBERGAST,0
70788,"Mammals (the last shall be first), named like Washington, say",eponymous,eponymous,assemblage,MARSUPIAL,0
88354,"Former eastern country, catching bug, going west with eastern dressing",mayonnaise,mayonnaise,assemblage,VIETNAMISE,0
42965,Emitting light from silver base,aglow,aglow,assemblage,AGLOW,1
116963,"Taking public transport back to worker after ten, he pays part of lease",subtenant,subtenant,assemblage,COMMUTER,0
87505,"Argument tense, blowing top",tiff,tiff,assemblage,ROWS,0
68732,Prompt service for TV presenters,idiotboard,idiot board,assemblage,NEWS TEAM,0
260,Provincial half of army behind endless abuse,insular,insular,assemblage,RUSTICS,0
71142,Poet having gone short of books,abse,abse,assemblage,AUDS,0
104224,Numbers of a nonstarter,nono,no no,assemblage,NO GO,0
69095,Blue wine is a washout,sadsack,sad sack,assemblage,VIN BAD,0
20326,A daughter in French port finally off? Not so fast!,andante,andante,assemblage,HASTEN,0
47811,Artists apply to less than saintly monk,rasputin,rasputin,assemblage,MONKSAP,0
85426,Mechanism for turning right in an agitated state,lather,lather,assemblage,GEARBOX,0
107684,Composer's scornful work not given run,satie,satie,assemblage,OPERA,0
139214,Over the moon here to have secret room,deepspace,deep space,assemblage,ON THE,0
83334,"Crude, Puck? Not at first, with well-connected people",oilmen,oilmen,assemblage,CRUDE,0
140963,Actor with sheet sings from the bottom,filmstar,film star,assemblage,ELVIS,0
99777,The work yet to come from PL for truly harmon-ious movement,poetryinmotion,poetry in motion,assemblage,PLANO SONATA,0
111745,"Dead popular thought, disposing of male!",insentient,insentient,assemblage,DEADLOCK,0
83741,"Sailor, soldier and girl join in dance",tarantella,tarantella,assemblage,TANGOLINE,0
35240,Hair and metallic mineral stink,furore,furore,assemblage,OREADA,0
77728,"Superior selection of wines, we hear, which has sold a lot",bestseller,bestseller,assemblage,BESTSELLER,1
14218,Circulator to bear losing head,eddy,eddy,assemblage,FAN,0
20346,"First letter is open, perhaps letter from abroad",epsilon,epsilon,assemblage,AEROGRAM,0
44148,Bridge team that's in switched-off state - it can't last,transience,transience,assemblage,POWERLESS,0
115544,Gym instruction by top man in place of games once,peking,peking,assemblage,EXERCSE,0
91339,More than is required for six deliveries?,overcapacity,overcapacity,assemblage,OVERDELIVER,0
35103,United supporters come back in a mess,snafu,snafu,assemblage,REDUX,0
79676,Make use of the quality of diamonds - without diamonds,harness,harness,assemblage,USECARAT,0
116745,Hit I have in a regular series,successive,successive,assemblage,SUCCESSIVE,1
42522,Insects delightful? Not one - that's right!,licence,licence,assemblage,BEETLES,0
131796,Mate rounded Cape unnoticed,hubby,hubby,assemblage,COMRADE,0
62123,Indian sage that's been topped and crushed by child's mother,mahatma,mahatma,assemblage,MAHATMA,1
10169,Nation in plan to lose weight,india,india,assemblage,DIETS,0
110915,Lady golfer embraces feminist model in smart dress,whitetie,white tie,assemblage,ANNIE OAKLEY,0
33803,Tot's taking mother across river,dram,dram,assemblage,TOTS,0
9566,Volunteers to return sombre tunic,tabard,tabard,assemblage,DONATE,0
104675,Graphic artist uses wire and string,signwriter,signwriter,assemblage,ILLUSTRATOR,0
2174,Herb in paper covering's behind the salt,tarragon,tarragon,assemblage,THYMEWRAP,0
90362,Article comes together for Guardian messengers?,angels,angels,assemblage,ANGELS,1
83569,Thin binding weed - it's what's observed on road,speedlimit,speed limit,assemblage,SPOT ON,0
121660,"Sweet where OAP is in EastEnders, perhaps?",afters,afters,assemblage,TOFFEE,0
91077,Dress up a day in advance for lover,girlfriend,girlfriend,assemblage,PREENING,0
12080,Lie concerning strength of character,fibre,fibre,assemblage,MORAL,0
121128,Scruffy label on scruffy item of clothing,ragtag,ragtag,assemblage,LABELS,0
120450,Priest's crime taking time in a clerical residence,parsonage,parsonage,assemblage,VICARS,0
102609,"Suffering different elements, primarily hail",hellothere,hello there,assemblage,HAIL STORM,0
91484,Composer left a little bit of nonsense,fallal,fallal,assemblage,MOZART,0
21197,About to experience the finale of William Tell,inform,inform,assemblage,ORESTO,0
15736,"Opening for a salesman turned up, true to form",aperture,aperture,assemblage,SALESPI,0
25655,"Enter Dotty, with bird's dance movement",entrechat,entrechat,assemblage,INTRODUE,0
142265,Cry out for the old record format,yelp,yelp,assemblage,EPIC,0
56118,"Petit dejeuner, one tucked away by worker in a bad mood?",croissant,croissant,assemblage,CROISSANT,1
132272,"After a drink, German enthusiast gets a biscuit",gingernut,ginger nut,assemblage,PETIT BE,0
15122,Drink for each returning academic,pernod,pernod,assemblage,TEA FOR,0
9582,Top-class detectives initially left in clear,lucid,lucid,assemblage,ALIAS,0
46160,Primitive sailor of marked individuality,aboriginal,aboriginal,assemblage,NAUTICAL,0
116989,Parent with fruit,papaw,papaw,assemblage,MOTHER,0
58349,Travel through East End district with offensive weapon,crossbow,crossbow,assemblage,HACKNEYED,0
102947,Bones in the head all turned to point,patellae,patellae,assemblage,CRANIAL,0
82828,Mark Antony's extreme spirit,brandy,brandy,assemblage,ORATES,0
133038,"Go for somewhere in Scotland, as Dickens character",pickwick,pickwick,assemblage,GO NORTH,0
24289,Penny has beer and pasty,pale,pale,assemblage,TART,0
2119,Is young Blair a supporter? Insert number in Irish Sea,isleofman,isle of man,assemblage,IS IN,0
31193,Prince not turning up for dance,charleston,charleston,assemblage,PRINCEDANCE,0
130810,Joint drinks parties,kneesups,knees ups,assemblage,KNEE CAP,0
123507,Cats finally sounding happy? That's encouraging,spurring,spurring,assemblage,PURRING,0
64343,Clothing society suffering legal action,shellsuit,shell suit,assemblage,SUITS U,0
129802,Hawk seizing tail of mynah bird,chough,chough,assemblage,KESTREL,0
80173,Returns to digs for economy's sake,retrenches,retrenches,assemblage,RENTING,0
17188,Snooker player breaks with end of cue,white,white,assemblage,STEVE,0
123957,We murmur a short reply,humans,humans,assemblage,WE SAY,0
84810,"Taffy's home - right, left and roundabout",landofmyfathers,land of my fathers,assemblage,WALES ROUND,0
46118,Racket's centre starts to buckle under bombardment,hubbub,hubbub,assemblage,SIEGE,0
100731,Close to last time food warnings ensue,threats,threats,assemblage,NEARLY,0
53604,Dramatic confidence?,stagewhisper,stage whisper,assemblage,THE PLAY,0
137650,Model receiving complaint to consider retiring after hostilities ended,postbellum,post bellum,assemblage,TOY BOAT,0
131463,Badger resorted to exit by road,streetdoor,street door,assemblage,OTTERS OUT,0
40206,American small change being found in school is dodgy,suspect,suspect,assemblage,COUNTER,0
76832,To compensate for one short day is to take heart from another,satisfy,satisfy,assemblage,MAKEUP,0
77279,Crazy over North American icon,madonna,madonna,assemblage,MANIACS,0
85039,"Each one opening, under no circumstances remaining open",uncover,uncover,assemblage,ONIONS,0
132678,East European city where two vessels turned up,krakow,krakow,assemblage,ODESSA,0
10979,Check demand for material,damask,damask,assemblage,CANVAS,0
89803,Mobster's joint is cover for card operation,scarface,scarface,assemblage,CASINOES,0
120047,"C, half-cut Bush, for example, gatecrashing his party?",cameron,cameron,assemblage,CRASHER,0
31190,Prince not getting up for the dance,charleston,charleston,assemblage,PRINCECHARMING,0
14982,Boy-meets-girl opera,leonora,leonora,assemblage,LABOHME,0
38536,Getting through to farms about ground that's always frozen,permafrost,permafrost,assemblage,REACHING,0
93127,Prima donna gets a quid for appearing in lights,divali,divali,assemblage,DIVAFOE,0
67110,"An abstract point, to be exact",precise,precise,assemblage,ONTHE,0
112609,Sleep until noon (twelve),dozen,dozen,assemblage,SLEEP,0
120758,Snowman? College erected it,inuit,inuit,assemblage,ICEMAN,0
6072,Bottom of league in Cheshire and East Lancashire?,cheese,cheese,assemblage,BASELY,0
140892,Setter's upset over good answers to puzzles,enigmas,enigmas,assemblage,PUZZLED,0
84465,Eat away without starting to bring back,etch,etch,assemblage,EROS,0
56976,European in next cell tortured in capital,excellent,excellent,assemblage,ENGLISH,0
121312,Hole number dealing with bad habit,crevice,crevice,assemblage,PARFIVE,0
61605,"Bulbs shining, these charged",onions,onions,assemblage,ONIONS,1
108513,Its partition was booked,redsea,red sea,assemblage,IT IS,0
132928,"Beacons required to follow this, if range is to be obtained",brecon,brecon,assemblage,RANGES,0
100257,Help fool individual with attitude,assistance,assistance,assemblage,ASSISTANT,0
70181,Peculiar issue more likely than not,oddson,odds on,assemblage,ODDS,0
28384,"I am the cat among dairy produce, going to overlap?",imbricate,imbricate,assemblage,BUTTERING,0
64671,I throw my weight around the angel,islington,islington,assemblage,CHERUBIM,0
19964,Honour given to boy king ...,oberon,oberon,assemblage,OSCARS,0
1697,"Like mistletoe, it is a hit when put up, caught underneath",parasitic,parasitic,assemblage,PARASITE,0
58634,Praise the boot rejected by lieutenant,exalt,exalt,assemblage,LAUDS,0
40505,Ass in America leading to American kerfuffle,rumpus,rumpus,assemblage,DONKEY,0
3319,"Blue died, a bit of an act",obscene,obscene,assemblage,MELANCH,0
134763,Male children's book character heard singing in church?,hymnody,hymnody,assemblage,CHORISTER,0
61642,Badly treated and is unserviceable in the sea,misused,misused,assemblage,MAROONED,0
118902,Tabloid pictures which closely resemble one another,mirrorimages,mirror images,assemblage,LOOKALIKES,0
9249,First of Walter Mitty's turns: provide defence and make me conform,twistmyarm,twist my arm,assemblage,I FIT IN,0
20073,"One in dock, employed by a county council",accused,accused,assemblage,BOROUGH,0
84068,Contrary commercial jingle,adverse,adverse,assemblage,ADVERSE,1
103255,Anxiety about hair stops you sleeping,alarmclock,alarm clock,assemblage,BAD DREAM,0
25043,Australian one needing invigorating air,ozone,ozone,assemblage,KOOKAB,0
90023,Live at home after a short break as an artist,holbein,holbein,assemblage,RESIDE,0
38309,"Very French attempt to seduce is wrong, legally",trespass,trespass,assemblage,GALLICLY,0
41551,Report to do with extremity,retail,retail,assemblage,TOEING,0
40401,Town's ancient guy who must have been out of the ark,oldham,oldham,assemblage,NOAHIC,0
86393,Tick Kennedy's heart's condition,jiff,jiff,assemblage,ECST,0
17359,Student caught with a dictionary,coed,coed,assemblage,PUPL,0
14827,Battle later developed into chase,waterloo,waterloo,assemblage,SKIRMISH,0
121362,Pet with pal struggling over a tree,catalpa,catalpa,assemblage,PATTER,0
123072,"Bird back after season abroad, man's problem afoot?",fallenarches,fallen arches,assemblage,EMU IN SOLE,0
129375,Resident superpower stuffing herb in meat product,liversausage,liver sausage,assemblage,TENANT,0
91232,"Power governs tube centrally - US tube, that is",subway,subway,assemblage,RULES,0
26262,Finally gives woman liquid nitrogen to make frozen sculpture,snowman,snowman,assemblage,ICICLE,0
59714,She provides father with cooked meal,pamela,pamela,assemblage,MOTHER,0
85449,Musicians send naughty messages to alien,sextet,sextet,assemblage,ETUDES,0
91286,"North African halves a number, then doubles it",berber,berber,assemblage,TUNIS,0
32282,Asian city is unfinished - that's symbolic,mandala,mandala,assemblage,TOKYOIS,0
85069,First class return to Southern Pacific country,australia,australia,assemblage,CHILEANS,0
85059,"Understands about grinding lens with cunning, but without reason",senselessly,senselessly,assemblage,COMPREHENDS,0
110739,Poet (Her Majesty's jester) in banjo performance,sirjohnbetjeman,sir john betjeman,assemblage,ROYAL COURT JESTER,0
133661,Setting about ’eadgear to protect aviator,flyingat,flying at,assemblage,FLY HAT,0
7751,One's brief trade with a Mediterranean isle,ibiza,ibiza,assemblage,IBIZA,1
63748,Mums and dads are not welcomed by attendant,parentage,parentage,assemblage,STEWARDS,0
93074,Hotlines to the Met Office,isotherms,isotherms,assemblage,WEATHERS,0
32854,"Stipulation for and against one's opinion, at first",proviso,proviso,assemblage,PROCON,0
134372,"Initially, Gilbert holds back blows",wafts,wafts,assemblage,GILDS,0
53279,"Drink triple gin, initially, with one rum",eggnog,eggnog,assemblage,GINTON,0
133634,Entrenched bridge adversaries scrap over inches,enshrined,enshrined,assemblage,TRENCHES,0
114251,Non-interventionist passes away,handsoff,hands off,assemblage,IS DEAD,0
21379,Fast on the Italian pulse,lentil,lentil,assemblage,RAPIDO,0
88237,"Unfaithful wife seen in food shop, note",delilah,delilah,assemblage,ADULTER,0
109206,The Guardian starts to assess Roman government under Severus,argus,argus,assemblage,SEPTIC,0
32865,Excited by a small bet,aflutter,aflutter,assemblage,TURNEDON,0
111818,One comes across despondency behind the game,humpbackbridge,humpback bridge,assemblage,BEHINDTHE,0
109262,One article by Belgian author,ianfleming,ian fleming,assemblage,UNO BY SIMENON,0
46284,A small drink including minimum of table wine for starters,antipasti,antipasti,assemblage,APERTIFS,0
93561,"Abroad, I start to eat angel cakes for tea",darjeeling,darjeeling,assemblage,ABROADTEAS,0
23791,Question One is on Irish force seen in the Middle East,iraqi,iraqi,assemblage,IRAQI,1
80430,Allows to go free the wrong way round shops,outlets,outlets,assemblage,LETSHOP,0
92531,Exercise about to strengthen soldiers' disposition,placement,placement,assemblage,ATTITUDE,0
107908,Dislike Greece?,hellas,hellas,assemblage,HATEIT,0
56894,Drunken Scottish soldiers vote for abuse to the optically challenged,foureyes,four eyes,assemblage,SO PI,0
140402,"Almost stop working, stupid",goof,goof,assemblage,DAFT,0
123938,Special quality that's needed by female member of cast,xfactor,x factor,assemblage,A STAR,0
56836,Dives with power to crap - occasionally gull slightly worried tour leader,plutocrat,plutocrat,assemblage,TOURLEAD,0
24314,Fancy a chart-topping single,imagine,imagine,assemblage,FANCYS,0
134583,Leading pairs eliminated from race came late - very grave situation,cemetery,cemetery,assemblage,CRITICAL,0
40818,Entertained everyone sitting initially in the pit,hades,hades,assemblage,SEATS,0
48911,"Deceived by the devil, though not in so many words",implied,implied,assemblage,LIEDTO,0
123424,People of intelligence love to have the last word,ciao,ciao,assemblage,ELHI,0
61555,"Say: ""Don't stop her entering ring or pillar?""",letterbox,letter box,assemblage,LET HER,0
119780,Label report of familiar ex-captain,gucci,gucci,assemblage,TAGAL,0
29427,"Home Secretary and rock'n'roll guitarist: one's barren, another's wild",strawberry,strawberry,assemblage,HOMEOWNER,0
43832,About to pick up Boris's book,rebecca,rebecca,assemblage,BORROW,0
18596,"Sailor, for example, said to observe traveller",seafarer,seafarer,assemblage,NAVIGATE,0
134677,Writer's sweet Breton confection,charlottebronte,charlotte bronte,assemblage,CREME BRULEE,0
71414,"Exhortation to study ""The Maid of the Mountain""",oread,oread,assemblage,URGES,0
51311,"Eat half of plate, then drink",digin,dig in,assemblage,EAT TEA,0
34678,To have one return a casual hug is sufficient,enough,enough,assemblage,ENOUGH,1
83450,Spirit of revolutionary beasts? Extremely serious!,spunkiness,spunkiness,assemblage,GRAVITONS,0
60190,Earwig could make part of house fall down,eavesdrop,eavesdrop,assemblage,EAVESDROP,1
111345,"Sanction a run in souped-up car, a small one for racing",gokart,go kart,assemblage,OK AYGO,0
86446,Escorts backing The One Show,gigolos,gigolos,assemblage,ESCORTS,0
22268,Boy game to help people across the Thames,albertbridge,albert bridge,assemblage,FERRY MAN,0
120159,"He's done his money and he's back for mine too, note",prodigalson,prodigal son,assemblage,ROBBED ME,0
28086,The French in their way backing Swiss mathematician,euler,euler,assemblage,EUCLID,0
8939,Where there's very little point to motor to London?,scarcity,scarcity,assemblage,NOWHERE,0
125319,Broadcast with some singers heard in military locations,airbases,airbases,assemblage,BASESTAS,0
37108,"No longer single speed, that's clear",exonerate,exonerate,assemblage,GEARBOXES,0
107391,Patriots withdrawing singular honour for Hollywood legend?,stanlaurel,stan laurel,assemblage,JOHN WAY,0
38175,Love Jack's preaching,orating,orating,assemblage,ADORES,0
111666,"Weber's first, A minor (unfinished) - it's avant-garde",wayout,way out,assemblage,AVA GU,0
108542,Firm support in car ...,fastback,fastback,assemblage,SEATBELT,0
105720,"Rhythmic sound heard initially in jazz performer, pet scarpering",thrum,thrum,assemblage,BEATS,0
13664,Spare a bob - by one having plenty to spare,slender,slender,assemblage,LENTOUT,0
37110,"Solitary sailor, capsized in river, gets clear",exonerate,exonerate,assemblage,TRANQUIL,0
66726,"Without moving anything, replaces money in cash register",stockstill,stock still,assemblage,STILL BILL,0
19537,Anticipate everyone's after lots of trees,forestall,forestall,assemblage,EXPECT,0
53125,Perform in panto horse perhaps? That creates interest,behalf,behalf,assemblage,ACTING,0
44923,Adult paper under discussion,atissue,at issue,assemblage,AD IT,0
61299,State whether it's high and rocky,massif,massif,assemblage,TERAIN,0
78323,Learned a lot of rubbish about time,literate,literate,assemblage,ERUDITE,0
24523,"Don't cook enough food, red nuts having been shelled and sent back",underdo,underdo,assemblage,UNDERDO,1
123841,"Extract from pool: if hurt, yell",fishout,fish out,assemblage,DRAW P,0
63158,"After St Giles' day, many are turning rotten",septic,septic,assemblage,SEPALS,0
55980,"Savage, being sorrowful, is twitching",sadistic,sadistic,assemblage,FERALIST,0
66489,Dim British king on stage,blear,blear,assemblage,REGAL,0
36268,Shakespeare gave her a dream lover. Her mother grabbed one too!,hermia,hermia,assemblage,HELEN,0
94662,Drinker's hangover?,beergut,beer gut,assemblage,NEED TO,0
62973,Unhappy lord outside Parliament finally gives indication of imminent departure,bluepeter,blue peter,assemblage,EARL OUT,0
133577,Fine to repeat old clue about diamonds,okeydokey,okey dokey,assemblage,A OKAY,0
95206,"It's remote without a good car, that is - so his work is done on the hoof",farrier,farrier,assemblage,COWBOY,0
32820,Smart girl with copper chain,cutie,cutie,assemblage,LASSO,0
49005,The BBC hasn't begun to deliver,untie,untie,assemblage,IBEA,0
66368,Unpredictable after opening of safety pin,skittle,skittle,assemblage,CAPRIC,0
95297,Centre back in attack last to display violence,ferocity,ferocity,assemblage,BRUTALLY,0
69595,Ride high where observation was out of this world,goonhilly,goonhilly,assemblage,SPACECRAFT,0
38198,Army block retreat to capital,rabat,rabat,assemblage,BEIJU,0
71503,Sailor to keep going round with vocalist,nelsoneddy,nelson eddy,assemblage,SAIL ON,0
