Index,Clue,Solution,Spaced_Solution,gemma_predicted,gemma_solved_answer
21437,In my sleep I composed a long poem,epic,epic,hidden word,EPIC,1
69232,Some found Eton a terrific blast!,detonate,detonate,hidden word,DETONATE,1
69417,"Norse collection needed, say, regularly",edda,edda,hidden word,SAGA,0
35015,"Brought up without the social graces, I maintained harmony",union,union,hidden word,TUNED,0
35100,Chaos could be regarded as fun,snafu,snafu,hidden word,SNAFU,1
79313,"Poet certified Prisoner of Zenda, up or out",ezrapound,ezra pound,hidden word,LORD BYRON,0
119094,Hint that simply pointless,imply,imply,hidden word,BLUNT,0
69390,Some peculiar denizens of the forest,arden,arden,hidden word,ARDEN,1
9526,Imagine Dr West coming back!,dream,dream,hidden word,DREAM,1
44433,Prognostications provided by women's magazine,omens,omens,hidden word,OMENS,1
90619,Partly dishonest one remains a potential executioner,stoner,stoner,hidden word,HONEST,0
44993,Cheeky? Section of arena talking,natal,natal,hidden word,LIPPY,0
105167,Frontiersman finds the front line at regular intervals,bowie,bowie,hidden word,TRENT,0
12184,Spot in Hautes-Pyrénées,espy,espy,hidden word,ESPY,1
12711,Where more than one rider is seen in A & E,tandem,tandem,hidden word,TANDEM,1
39611,Drink supplied in plastic container,asti,asti,hidden word,ASTI,1
75368,Divine seen in windows etc,dowse,dowse,hidden word,SAINT,0
89797,That's how not to be hidden,show,show,hidden word,OVERT,0
94588,Serbia sedulously protecting partisan,biased,biased,hidden word,BIASED,1
135424,Regularly scrubbing toughened moulding,ogee,ogee,hidden word,OGEE,1
120054,"Group of islands off, mainly, New York perhaps ...",orkney,orkney,hidden word,SAYYID,0
28882,Subject of the Middle East ...,theme,theme,hidden word,THEME,1
71298,One who wrote odes in a church or a cemetery,horace,horace,hidden word,HORACE,1
7623,"Found in morgues, some who were shot",guess,guess,hidden word,OGRES,0
94419,Bacterium in silo certain to come up,ecoli,e coli,hidden word,E COLI,1
134835,Guess what he or I secretly collect!,theorise,theorise,hidden word,THEORISE,1
70556,Press used by Turgenev,urge,urge,hidden word,URGE,1
64049,Fine instrument dramatist uses,amati,amati,hidden word,SHARP,0
4820,"Sister's child needs some condemnation, ie censure",niece,niece,hidden word,NIECE,1
272,Become engaged in some sharp practice,mesh,mesh,hidden word,ETCH,0
8231,Costermonger's duck,scoter,scoter,hidden word,CANARD,0
53339,Did her arrival made Browning homesick?,april,april,hidden word,PINES,0
136717,"Our nation oddly omitted to, in the past",unto,unto,hidden word,UNTO,1
28046,Wool producer in the Western Isles,ewe,ewe,hidden word,EWE,1
47495,Fiddle starts to sound clear as mud,scam,scam,hidden word,SCAM,1
13022,In dire necessity find personification of peace for Greeks?,irene,irene,hidden word,IRENE,1
72499,Cocoa and chocolate are one originally,cacao,cacao,hidden word,CACAO,1
127107,"Bloodhound, I think, ignored trash",shlock,shlock,hidden word,SNOOP,0
138130,"Remains for ever in mind, we'll swear",indwells,indwells,hidden word,CADAVERS,0
110880,Baffled by sensational wordplay with nine letters missing,ataloss,at a loss,hidden word,AT A LOSS,1
37914,Concert piece not getting an encore,once,once,hidden word,OPUS,0
73151,Iceberg holds back diver,grebe,grebe,hidden word,GREBE,1
56774,Bird fluttering right to left in Chingford?,goldfinch,goldfinch,hidden word,GOLDFINCH,1
98764,"Outgoing type of regular mermaid girl, eh?",emigre,emigre,hidden word,EMIGRE,1
114559,Telescopes of universities partially looking up for them,ufos,ufos,hidden word,SEES,0
30096,"Penned by Delany, Longfellow's material",nylon,nylon,hidden word,NYLON,1
61042,Launch a steamship that's partly corrupt,unchaste,unchaste,hidden word,SSTARTED,0
135668,"Middle Eastern nirvana in it's elapsed, somewhat in recession",palestinian,palestinian,hidden word,PALESTINIAN,1
550,The suffering a preacher tries to hide,ache,ache,hidden word,ACHE,1
94761,Theft from canonized studio,stealing,stealing,hidden word,STEALING,1
22964,Some telephones transmit direct,honest,honest,hidden word,STRAIT,0
101117,Was book's content order intended to be restrictive?,asbo,asbo,hidden word,BOND,0
25691,Record some inadvertent errors,enter,enter,hidden word,ENTER,1
67811,Representation in holding company,icon,icon,hidden word,ICON,1
88178,Some characters in Tristram Shandy are flipping clever!,smart,smart,hidden word,SMART,1
38045,US composer into percussive sounds,ives,ives,hidden word,IVES,1
116829,Query the manner in which I turn red,erythema,erythema,hidden word,SASKATCH,0
124757,Endless succession of agency clerks,cycle,cycle,hidden word,PAGES,0
29978,Dramatist arranging central part for top actor,star,star,hidden word,STAR,1
130272,Pansy among daffodils is symbolic,sissy,sissy,hidden word,TOKEN,0
67716,"From Istanbul, a way of getting to African city",bulawayo,bulawayo,hidden word,KHARTOUM,0
24803,Keep going in Felixtowe Road,tower,tower,hidden word,EXIST,0
13154,Apparent disgust often betrays enthusiasm,gusto,gusto,hidden word,GUSTO,1
71144,"Some papers are amusing, to some extent",ream,ream,hidden word,DROL,0
82285,A little animal taken in island,malta,malta,hidden word,SABLE,0
111529,A venerable name in our illustrious past,bede,bede,hidden word,SAGE,0
6979,"Wreck's sunk into ground, obviously",undo,undo,hidden word,REAL,0
19735,Gibbon's ailing somewhat due to small growth,bonsai,bonsai,hidden word,BABOON,0
37347,"Some styles return, returning briefly",tersely,tersely,hidden word,TERSELY,1
122252,Where to find swimmers showing promise in class on regular basis,lidos,lidos,hidden word,BASIN,0
138773,Local London football team spurned by Poles,areal,areal,hidden word,VILLA,0
59616,Vessels a Scottish poet topped,urns,urns,hidden word,URNS,1
65222,Admits top of hanger is missing,allows,allows,hidden word,ALLOWS,1
17174,He composed some enjoyable harmonies,lehar,lehar,hidden word,SATIE,0
72114,Amplifier to help retail a service,laser,laser,hidden word,RELAY,0
7350,First drops in wood more than adequate,ample,ample,hidden word,AMPLE,1
138913,Craving for flour - is it regular?,lust,lust,hidden word,LUST,1
46005,"Line drawn in pub, no cheap drinks",oche,oche,hidden word,RAIL,0
25725,It's commonly wrong in a telegram or a letter,amoral,amoral,hidden word,AMISS,0
116488,How church worker can offer praise?,chant,chant,hidden word,EXTOL,0
43975,Some bandit took the same again,ditto,ditto,hidden word,DITTO,1
10120,"Essential for galop, metronome's rising speed",tempo,tempo,hidden word,TEMPO,1
87682,Anonymous donor makes an entrance,door,door,hidden word,DOOR,1
24337,Got off just over halfway through dismal government-free existence,reality,reality,hidden word,ALIGHTS,0
674,"Culottes Lafayette pulled up somewhat too tight, hence his voice",falsetto,falsetto,hidden word,FALSETTO,1
33905,Explosive component of Ulster on time? On the contrary,nitre,nitre,hidden word,NITRO,0
132308,Somewhat minimalist hat? I think I expected more!,isthatit,is that it,hidden word,IS THAT IT,1
134737,They succeed in their schemes,heirs,heirs,hidden word,HEIRS,1
65854,Extract from Kafka or Tallis that comes straight from the heart,aorta,aorta,hidden word,AORTA,1
26075,Some colleges say education is tried,essayed,essayed,hidden word,ESSAYED,1
57004,esitate with time to turn aside,avert,avert,hidden word,WAVER,0
99868,Aunt Georgia oddly lacking internal organs,uteri,uteri,hidden word,UTERI,1
47183,Grant is held up by student peccadilloes,accept,accept,hidden word,LAPSES,0
5649,A bit of a spur some hero welcomes,rowel,rowel,hidden word,USHER,0
62265,Group going in for ultra-vision,travis,travis,hidden word,VISION,0
48088,Tesco ragout goes down well in Paris,escargot,escargot,hidden word,GASTRONE,0
127479,Finishing touches in sketch you made - needs colours,hues,hues,hidden word,DYED,0
77672,In Strasbourg I must accept one follower of May,june,june,hidden word,MIMI,0
16499,"Instead, ancestral afternoon entertainment is provided",teadance,tea dance,hidden word,THE MATINEE,0
9451,Up in arms freebooter is beheaded,irate,irate,hidden word,ARMED,0
99951,Arab statesman involved in womanising,omani,omani,hidden word,NASSER,0
19187,See edges taken off by the ears,otic,otic,hidden word,EARS,0
65515,"Move unexpectedly, taking nothing from the best room",lunge,lunge,hidden word,STUMP,0
18270,Portion of tandoori cottage cheese,ricotta,ricotta,hidden word,PANEER,0
81517,"Protest, showing some degenerate tarts no mercy in return",remonstrate,remonstrate,hidden word,REMONSTRATE,1
86380,Logic duo displayed in volunteer's mission statement,icouldgo,i could go,hidden word,A POINT TO,0
15626,Rome's fateful date in Gobi desert,ides,ides,hidden word,IDES,1
57190,Clouds rising from Maghrib mines,nimbi,nimbi,hidden word,NIMBI,1
11686,Never let backs go round the team,eleven,eleven,hidden word,S-T-I-D-E-L,0
69007,Some fanciful name for part of the arm,ulna,ulna,hidden word,ULNA,1
111934,Take advantage of 'obgoblin's stockings,impose,impose,hidden word,SPONGE,0
8440,Provision of much else as well,chelsea,chelsea,hidden word,SURPLUS,0
4510,Type of paste used by salmon daily,almond,almond,hidden word,ALMOND,1
45993,Flag some citizens ignore,ensign,ensign,hidden word,ENSIGN,1
5406,Rastafarian held at more than arm's length,afar,afar,hidden word,AFAR,1
55319,"A number smash up the inn, yet set free",ninety,ninety,hidden word,UNTIE,0
94420,Green at heart? Jealous ego? It could make you ill,ecoli,e coli,hidden word,A FLU,0
