Index,Clue,Solution,Spaced_Solution,gemma_predicted,gemma_solved_answer
48600,"Monstrously stab king, and profit? It's hard to fathom",abstruse,abstruse,anagram,PROFOUND,0
105648,City state ground out small business,cottageindustry,cottage industry,anagram,SQUARE DEALING,0
47492,Retired Scotsman's trick,scam,scam,anagram,SCAM,1
5366,Boss lost in dust storm,stud,stud,anagram,STUD,1
1030,Iberian prince angered in revolt,grandee,grandee,anagram,SPANISH,0
122484,Head of state with guns to tame rioting,maotsetung,mao tse tung,anagram,THE SUN KING,0
116450,Inexperience wears off: name gained success finally,rawness,rawness,anagram,NAIVETY,0
9207,Sat Latin translation in a lost realm of fancy,atlantis,atlantis,anagram,ATLANTIS,1
40287,Laciest piece in the sewing box? That's stretching it!,elastic,elastic,anagram,ELASTIC,1
34241,One's captivated by star-shaped feature of fluted column,stria,stria,anagram,STRIA,1
79225,No bunker could be perfectly even,unbroken,unbroken,anagram,UNBROKEN,1
86453,Crossover door,rood,rood,anagram,GATE,0
84783,Sent us out at the end of the day,sunset,sunset,anagram,SUNSET,1
22379,Old king failing to make the grade,edgar,edgar,anagram,BELOW,0
106492,"Alas, old Bob Dylan cut short touring",sadly,sadly,anagram,ADIEU,0
130471,"Raw food cursed, it needing to be cooked",crudites,crudites,anagram,CRUDITES,1
26686,Knock run off spin bowler,elbow,elbow,anagram,S-P-I-N-S,0
71373,Loved to see the dreadnought wrecked,adored,adored,anagram,ADORED,1
120766,President strangely agin dancing,polkaing,polkaing,anagram,S-A-N-D-I-N-O,0
129534,"Try, as arranged, one caught being excessively lustful",satyric,satyric,anagram,SATYRIC,1
111244,Toxic soup I soon blended,poisonous,poisonous,anagram,POISONOUS,1
82539,"Rep's car goes off, making a hasty departure",scarper,scarper,anagram,SCARPER,1
109400,October's brief time for playing with ritualistic symbolism,totemic,totemic,anagram,TOTEMIC,1
101513,A crop is knocked flat,prosaic,prosaic,anagram,S-L-A-P-P-E-D,0
85628,A hem one should repair: everyone knows that,householdname,household name,anagram,S-U-N-D-E-R-S-H-O-O-T,0
59956,Crazy bit by Len's father needs re-writing,batsinthebelfry,bats in the belfry,anagram,S-L-I-P-O-F-T-H-E-T-O-N-G-U-E,0
95550,Failing to disrupt the indolence,onthedecline,on the decline,anagram,I-N-T-H-E-S-L-O-W-S,0
129083,Explain about what keeps a wheel on,axlepin,axle pin,anagram,S-P-E-L-L-O-U-T,0
90108,Build new Northern capital,dublin,dublin,anagram,A-C-C-R-U-E,0
23025,Cowherd's pie and broth,chowder,chowder,anagram,S-T-E-W-A-R-D,0
12794,Pitfall for member when rising,trap,trap,anagram,TRAP,1
8693,"Five earth-filled urinals, recycling all-inclusive",universal,universal,anagram,U-N-I-V-E-R-S-A-L,1
107975,Bags of vicious cruelties,reticules,reticules,anagram,S-U-R-R-O-U-N-D-S,0
59692,A sort able to produce old instrument,astrolabe,astrolabe,anagram,S-T-A-R-T-A-B-L-E,0
82165,Drunken expat in public house has a nagging wife,xanthippe,xanthippe,anagram,XANTHIPPE,1
82360,Fantastic start to theatrical career involving N. Coward,recreant,recreant,anagram,TRUNNOEL,0
125168,Badly-treated migrants feeling hurt,smarting,smarting,anagram,SMARTING,1
27602,It peels off note,epistle,epistle,anagram,BANANAS,0
65483,"Ear inflammation aggravated, so it doubled",otitis,otitis,anagram,OTITIS,1
126646,Songs of Praise hasn't managed to retain big space,anthems,anthems,anagram,EXPANSE,0
51261,Flu? See a doctor at home,easeful,easeful,anagram,CURRENT,0
44011,"After dissection, I preserved dead mammal",peredavidsdeer,pere davids deer,anagram,STUFFED DEAD BEAR,0
23751,Order alteration in grey coat,category,category,anagram,CATEGORY,1
85296,Disorderly scene may come to be arranged,beargarden,bear garden,anagram,MESSY SCENE,0
113761,"Rescue injured relative, overcoming resistance",retrieval,retrieval,anagram,RETRIEVAL,1
4874,Playfully delicate life abused and shortened,elfin,elfin,anagram,FRAIL,0
35477,"Tandoor cooking, though aromatic, ...",odorant,odorant,anagram,SAFFRON,0
109810,Circle left to access champ hit badly about the eye,ophthalmic,ophthalmic,anagram,OPHTHALMIC,1
11062,"Taken aback by swindles, tag was changed outside",aghast,aghast,anagram,AGHAST,1
113847,Where some African countries are off the leash,sahel,sahel,anagram,SAHEL,1
63839,Roger eagerly brewing tea for this prime minister,earlgrey,earl grey,anagram,ROGER EGER,0
95584,"Bone came apart, fragments left",metacarpal,metacarpal,anagram,METATARSAL,0
25834,Player's boot is undone,oboist,oboist,anagram,OBOIST,1
131014,Does nothing in particular for protest movement,potters,potters,anagram,STASIS,0
43572,A bit of a laugh in porn version of Oliver!?,orphan,orphan,anagram,ORPHAN,1
140261,Islander with a sore bum getting into heavy metal,faroese,faroese,anagram,LESBIAN,0
135475,Regular myth set in rich ground,rhythmic,rhythmic,anagram,RHYTHMIC,1
96009,Epstein left centre awfully cross,splenetic,splenetic,anagram,SPLENETIC,1
120515,Yes-men with absurd cares about a line,accorders,accorders,anagram,RELIANCES,0
64540,It currently controls others at assembly,rheostat,rheostat,anagram,RHEOSTAT,1
129187,Gentleman grappling with tens of complicated relationships,entanglements,entanglements,anagram,ENTANGLEMENTS,1
44083,"Language barrier in American intelligence, being backward",arabic,arabic,anagram,ARABIC,1
102607,"When terribly lost, read navigation guide",lodestar,lodestar,anagram,LODESTAR,1
88338,Vegetable in garden for a change,orach,orach,anagram,SWEDE,0
103214,Broken zip not that unknown - fasten with another fastener,safetypin,safety pin,anagram,SAFETY PIN,1
109241,Simple or complicated requests,implores,implores,anagram,SOLICITS,0
8558,Unusual topic related to the eye,optic,optic,anagram,OPTIC,1
18331,Odd dialect in fortress,citadel,citadel,anagram,CITADEL,1
38773,It is eaten from this Paget dish,spaghetti,spaghetti,anagram,SPAGHETTI,1
25189,Lawgiver is left in flowing river,legislator,legislator,anagram,LEGISLATOR,1
74352,Eliza Doolittle's refined arts?,hertfordshire,hertfordshire,anagram,PHONETICIANS,0
37578,Resembled a damaged knee-cap on the outside,likened,likened,anagram,KNEELED,0
112464,Composer's displaced river birds,bitterns,bitterns,anagram,ROSSINIS,0
88537,Reissued order to a fighter in the ring,toreador,toreador,anagram,REBOXING,0
114480,E. John's backing out of Italian rock,oolite,oolite,anagram,BASALT,0
19289,"A Fowler, perhaps, spoiled Rene's date",eastender,eastender,anagram,SERENATED,0
89600,"Greatness, sadly, sets one apart",estranges,estranges,anagram,STRANGEST,0
87582,Unpleasantly satisfied when turning sticks,smug,smug,anagram,SATED,0
68576,Tails begin to stop wagging - how sad!,shadows,shadows,anagram,SADNESS,0
129260,"Angstrom bewitched women ultimately, pick-ups being his forte",strongman,strong man,anagram,STRONG MAN,1
6351,Signary used in the plant,syringa,syringa,anagram,INSIGNIA,0
42197,Some porn he circulated could account for sexual arousal,pheromones,pheromones,anagram,ERECTILITY,0
130732,Presiding officers trading power for new shoes?,sneakers,sneakers,anagram,SPEAKERS,0
140167,Raises false alarm as crow flies not straight,crieswolf,cries wolf,anagram,CROSSWISE,0
136748,They provided new items here and original Christmas gifts,threewisemen,three wise men,anagram,FIRST HAND SET,0
95415,A song about tourist information centre initially uncertain,agnostic,agnostic,anagram,AGNOSTIC,1
109758,"Senior cleric, unfortunately never competent",venerable,venerable,anagram,VENERABLE,1
108503,Any hitch may be attributable to this bulb going out,hyacinth,hyacinth,anagram,SCALLION,0
62952,Tie leaves back,strap,strap,anagram,STRAP,1
64537,"Teaches a number in English, perhaps",enlightens,enlightens,anagram,ENLIGHTENS,1
120652,"Sell pint that's dodgy, getting wasted",illspent,ill spent,anagram,ALL SPILT,0
126582,What could make florist pay for baker's item?,filopastry,filo pastry,anagram,PUFF PASTRY,0
8256,A bird others turn to,skua,skua,anagram,TERN,0
14424,Something suggestive of the rise of corporations,smut,smut,anagram,SINC,0
90882,Unexpected gripe about live changes producing special benefit,privilege,privilege,anagram,PRIVILEGE,1
11567,Fashion arbiter of Welsh taste,rarebit,rarebit,anagram,MODISTE,0
6382,Tropical plant's a mess when crushed by earth,sesame,sesame,anagram,SESAME,1
28291,"Turn into (maybe) lira, see?",realise,realise,anagram,REALISE,1
57375,New deal for vote loser? Hardly,roosevelt,roosevelt,anagram,SCARCELY,0
39962,He'll store brews for the landlord,hosteller,hosteller,anagram,CELLARMAN,0
39942,Handicap by turning right and heading back,trammel,trammel,anagram,HINDERS,0
6781,Refrains from upsetting sides on the way back,desists,desists,anagram,DESISTS,1
128339,Brown's work for England made sons rebel,angelsanddemons,angels and demons,anagram,SIGNED AND SEALED,0
111429,"Upper-class bigot is to peer, roughly, as middle class to lower?",petitbourgeois,petit bourgeois,anagram,SMALL LETTERING,0
117372,Boy found embracing girl is beaten,lashed,lashed,anagram,BASHED,0
80305,What can't be caught can be made bad in lieu,inaudible,inaudible,anagram,UNBIASED,0
118630,"Being naughty, entice with sex",existence,existence,anagram,SEDUCTIVE,0
63517,"Coming from Greece, men at sea",emergence,emergence,anagram,HELLENISM,0
97230,What's funny about stuff,stow,stow,anagram,HASH,0
17168,State positive European words maintained by Turner,louisiana,louisiana,anagram,STATEMENT,0
23048,Dutch product manufactured to be sent North,edam,edam,anagram,EDAM,1
99635,Unnatural is the hold-up,heist,heist,anagram,STIFF,0
103444,Sean sent new order,neatness,neatness,anagram,SENTENCE,0
21537,"Ran election chaotically, showing inability to endure possible consequence",intolerance,intolerance,anagram,INTOLERANCE,1
25521,Letter arranging to return in first-class accommodation,iota,iota,anagram,TIDE,0
103016,Not believing a lot can be changed,fatalistic,fatalistic,anagram,MUTABILITY,0
111768,Ascertain unusual view of a philosopher,cartesian,cartesian,anagram,DETERMINE,0
35202,"Singer, collapsing, to bow out",resign,resign,anagram,RESIGN,1
85043,Untouchable Costa Ricans want one badly,sacrosanct,sacrosanct,anagram,SACROSANCT,1
27839,As classical wool gatherers slaughter a runic goat,argonautic,argonautic,anagram,CARTHUSIAN,0
132575,Scrap dealer keeps Ethel confused? Exactly!,totheletter,to the letter,anagram,TO THE LETTER,1
81545,Stirring march tune may be what weary walkers long for,armchair,armchair,anagram,RESTSTOP,0
67808,One with a peculiar attachment - perhaps she fits it,fetishist,fetishist,anagram,SASH-WEIGHT,0
101178,Almost the end of the match?,decreenisi,decree nisi,anagram,CLOSE CALL,0
110447,I name this compound an irritant,histamine,histamine,anagram,AMINETHIS,0
122705,Unusual instances happening all the time,incessant,incessant,anagram,INCESSANT,1
110475,"Fantastic scenery: when sun comes out, see the old city",cyrene,cyrene,anagram,UNREAL,0
90522,Walk in nature's strange way,saunter,saunter,anagram,SAUNTER,1
111957,Torpedo carriers ordered to base,eboats,e boats,anagram,A SUB-S,0
109395,It's hard to recall ingredients of country remedy,emery,emery,anagram,TONIC,0
100066,Then hear dean get potty about old Bible and what's in it?,heavenandearth,heaven and earth,anagram,THE NEW TESTAMENT,0
29555,Alter formation? Not yet,later,later,anagram,AMEND,0
87619,CNN hired a drunk with an impediment,hindrance,hindrance,anagram,HINDRANCE,1
949,A notion to be cast as the Merchant of Venice,antonio,antonio,anagram,ANTONIO,1
108587,"Exceptionally animated, sparkling stuff",diamante,diamante,anagram,SPIRITED,0
132564,"Gloom and doom with this blue mood, not married sadly",doubleo,double o,anagram,DISMAL Y,0
123184,"Lumbar puncture for American applicants, annoyed when giving up cocaine",spinaltap,spinal tap,anagram,SPINAL TAP,1
74293,Antipathy from the gallery,allergy,allergy,anagram,AVERSION,0
79087,Time to take in strange rite by the Red Sea,eritrea,eritrea,anagram,ERITREA,1
119268,"Gloomy playing besets universal, faithfully reproduced Chopin study, maybe",musicology,musicology,anagram,REPLICATED,0
75438,Abbey Arts money collection,monastery,monastery,anagram,MONASTERY,1
135596,Odd role rewritten by an idle scribbler,doodler,doodler,anagram,DODDLER,0
86945,Hopeless couple taken in by bad design,despairing,despairing,anagram,DESPAIRING,1
95470,Divine drawing of lots of egrets smeared with oil,sortilege,sortilege,anagram,RELIGIOUS,0
117337,Transferring teacher to university tripled the best habits,hautecouture,haute couture,anagram,TABLE MANNERS,0
101443,Conservative backing the centre was sacked,troy,troy,anagram,AXED,0
41913,In love with exotic demeanour,enamoured,enamoured,anagram,ENAMOURED,1
86303,She went in outlandish make-up to get publicised,inthenews,in the news,anagram,IN THE NEWS,1
139570,"Surly git, ’e's playing at this time of year?",uglysister,ugly sister,anagram,HIGH SEASON,0
127474,They reared up in classic race,thederby,the derby,anagram,THE DERBY,1
96904,"Hard life, or nothing could be more death-defying",foolhardier,foolhardier,anagram,HELLFIRE-ISH,0
99008,Chay - name associated with mast?,yachtsman,yachtsman,anagram,FLAGSTAFF,0
117890,"Deionise compound, infusing two litres as plant extract",linseedoil,linseed oil,anagram,LINSEED OIL,1
29376,"Ray, perhaps, uncovering rare find",infrared,infra red,anagram,MANTA RAY,0
108782,"Peter with men in resort, having no match",preeminent,pre eminent,anagram,TIE BREAKER,0
24035,Clothes worn back-to-front for game,brag,brag,anagram,BRAG,1
105075,Wrong one can upset clergyman,inaccurate,inaccurate,anagram,ARCHDEACON,0
43067,Pea soup everyone sent back - another dish wanted,paella,paella,anagram,PAELLA,1
101750,Left from funerals shaken and more vulnerable,unsafer,unsafer,anagram,FRAILER,0
5651,"Part of a spur that's further down, left to right and vice versa",rowel,rowel,anagram,ROWEL,1
123599,"Paddle in doubt, struggling to find boat's motor",outboard,outboard,anagram,OUTBOARD,1
135953,Daughter is busy frittering allowance,subsidy,subsidy,anagram,SUBSIDY,1
102752,A desperate fellow coming back with nothing,nada,nada,anagram,YOBO,0
60006,Deceptively conclusive state official,viceconsul,vice consul,anagram,VICE CONSUL,1
19080,Character brewing tea with urn,nature,nature,anagram,NATURE,1
122036,Don't interfere before time: let's go wandering,getlost,get lost,anagram,GET LOST,1
102495,Joining EU may be unsuitable,istanbul,istanbul,anagram,UNSUITED,0
60316,Produce to fill a lot - of ships?,flotilla,flotilla,anagram,FLOTILLA,1
38436,A trail possibly taken to rodeo by cowboy,lariat,lariat,anagram,RANGER,0
107308,I misdo translation of particular expressions,idioms,idioms,anagram,IDIOMS,1
10049,Mere mortals about to go wild for Norwegian spinner,maelstrom,maelstrom,anagram,MAELSTROM,1
44652,Our stamina is restored here,sanatorium,sanatorium,anagram,SANATORIUM,1
137362,"Numbers game played with iPad, rules added",epidurals,epidurals,anagram,SLIDE RULE,0
85811,Give out overtime,emit,emit,anagram,EMIT,1
27028,Taunt Linus about blanket at the end,insult,insult,anagram,INSULT,1
89,"Hereditary earls can't, unfortunately",ancestral,ancestral,anagram,ANCESTRAL,1
108989,"Swinging instrumentalist, a corrupt, hag-ridden Trojan",djangoreinhardt,django reinhardt,anagram,SADDLE DRUMMER,0
124188,Lira - foreign currency in Guiana circulating as means of exchange,linguafranca,lingua franca,anagram,BARTER SYSTEM,0
107058,Bad lad drew trailer,dawdler,dawdler,anagram,WADDLED,0
130948,Bone fused at least with arm,metatarsal,metatarsal,anagram,METATARSAL,1
125201,Nearly led astray with erudition?,learnedly,learnedly,anagram,SOPHISTRY,0
119386,"Caspian, say, gets Annie's lad off",inlandsea,inland sea,anagram,INLAND SEA,1
102494,Built as arranged around northern capital at one time,istanbul,istanbul,anagram,SOMETIME,0
38356,Teen rave as a new form of worship,venerate,venerate,anagram,VENERATE,1
138241,"""Almost clean"" Brexit arranged, that can be delivered",extricable,extricable,anagram,EXPLICABLE,0
35073,Fabric made up in the form of a circular cylinder,lycra,lycra,anagram,ORLON,0
45824,Local store has shaved the fuzz for Spooner?,cornershop,corner shop,anagram,CORNER SHOP,1
133934,Normal prices for stocks when re-ordering Super Lava,parvalues,par values,anagram,PAR VALUE,0
49501,Nerve broken? Not at all!,never,never,anagram,NEVER,1
38988,Gun with catches set back,sten,sten,anagram,STEN,1
137586,Lad choosy about place of education,dayschool,day school,anagram,ART SCHOOL,0
8442,Lease administered by the church in London,chelsea,chelsea,anagram,LICENSE,0
16450,Destroyer's ruse at sea to protect stricken boat,saboteur,saboteur,anagram,SCRAPPER,0
37407,"Charge for rope trick, get back inside!",protege,protege,anagram,TRIBUTE,0
46934,Bound to sound like a current variation,tied,tied,anagram,TIED,1
134198,Retired official tucks into entire assorted hamper,interfere,interfere,anagram,INTERFERE,1
84847,Beekeeper looks very much like a pianist,apiarist,apiarist,anagram,APIARIST,1
72615,"Sipped, say, stew causing stomach upset",dyspepsia,dyspepsia,anagram,DYSPEPSIA,1
133502,Don't lose hope! Do I deserve any?,neversaydie,never say die,anagram,LIGHT THE WAY,0
5254,It's maybe left to staircase when it's not there,escalator,escalator,anagram,SCARCITY,0
134316,Neuro-doctor operated on Shakespeare's Globe?,rondure,rondure,anagram,THEATRE,0
93994,There's poor Rodney,yonder,yonder,anagram,YONDER,1
118143,Change from krone needed to join Hellish Biker Club,knobkerrie,knobkerrie,anagram,CONVERSION,0
104266,Drunken pest with dope barred from the bar?,estopped,estopped,anagram,STOPPED,0
91322,"Adrift, mid ocean, without soft puzzle collections",compendia,compendia,anagram,ENIGMATIC,0
18183,Downfall makes temper return,doom,doom,anagram,DOOM,1
4328,Is Helen bound over to be free of obligation?,unbeholden,unbeholden,anagram,UNSHACKLED,0
85540,Times edition for children,mites,mites,anagram,ISSUE,0
69135,Operatic singer keen to make a comeback,diva,diva,anagram,DIVA,1
111270,"Bow to wear, twisted",nod,nod,anagram,NOD,1
107952,Draw spirit miles up,raffle,raffle,anagram,SUMMON,0
15724,Principles embodying rights of one in the crumbling Civil Service,ethics,ethics,anagram,ETHICS,1
29034,Opposes odd-looking sisters,resists,resists,anagram,RESISTS,1
56345,Fancy coping with bare adults dancing around?,balustrade,balustrade,anagram,COPULATING,0
131404,Bit of a setback for brownie lovers,snaffle,snaffle,anagram,DESSERT,0
65277,Turning grey? Not us - nor him,youngster,youngster,anagram,SYNONYMOU,0
137515,Scientist works here with harpoon and cage? Not he,oceanographer,oceanographer,anagram,PALEONTOLOGIST,0
95370,"A month back, penniless in old money",lira,lira,anagram,LIRA,1
96273,Medicines that vary in cost,tonics,tonics,anagram,TONICS,1
45120,Spilt glue on loaf!,lounge,lounge,anagram,LOUNGE,1
50506,Aunt Ryder switched to a cheaper fare,dayreturn,day return,anagram,DRY NUTTER,0
47980,"Go for a jog, taking wrong turn",trot,trot,anagram,TROT,1
19550,"Prune, I gathered, not ready to eat",unripe,unripe,anagram,UNRIPE,1
102427,"Irritated seducer, not being alone",unescorted,unescorted,anagram,INTRODUCED,0
83419,Absorbent soup or stew,porous,porous,anagram,SPONGE,0
45035,Confused order in account associated with cooking?,coriander,coriander,anagram,CORIANDER,1
84499,Very amusing - unruly hairstyle covers Conservative,hysterical,hysterical,anagram,HILARIOUSLY,0
41517,Composer's important name changed a bit where the rubbish goes,bernstein,bernstein,anagram,SCRAPYARD,0
95732,A toy used at tea time said to make one hoarse,throaty,throaty,anagram,S-T-E-A-M-E-R,0
84386,Al names Dickey in sign language,ameslan,ameslan,anagram,SIGNALS,0
105829,Can come to play with model construction set,meccano,meccano,anagram,CONTAIN,0
80712,Maniacs fit to bust - displaying this,fanaticism,fanaticism,anagram,FANATICISM,1
141016,"Refusing to change opinion of university, Wayne Slob, a mess, drops round",unswayable,unswayable,anagram,UNWAVERING,0
121551,Rubbish put out? It rusted!,detritus,detritus,anagram,DETRITUS,1
111306,Ringtones are annoying,resonate,resonate,anagram,IRRITANT,0
28408,Shape of playing field a mess,rectangle,rectangle,anagram,FORMATION,0
115660,Such food's origin can be suspicious,inorganic,inorganic,anagram,DUBIOUSLY,0
121234,"Long dress, backless, seen in French capital",londres,londres,anagram,PARMAXI,0
128191,Paul's wife in cutie snatched by virtually mad African,zimbabwean,zimbabwean,anagram,MADAGASCAN,0
142116,Backward-looking philosophy to suit minister being nasty,restitutionism,restitutionism,anagram,RETROFITTINGS,0
50168,New seat given to sailors behind,astern,astern,anagram,SATURN,0
85326,Sadie's naughty whispers,asides,asides,anagram,ASIDES,1
79954,"Possibly found in bar seats, but they're not drinking",abstainers,abstainers,anagram,BARSTOOLS,0
99131,House of lead: fear melting within,prefab,prefab,anagram,PENCIL,0
105061,Shelter shimmering in sunset gets hot inside,nissenhut,nissen hut,anagram,STONES HUT,0
58991,"Lass, like this clue, n end f rpe?",noose,noose,anagram,SYLPH,0
118501,A little pretence and no mistake,onepercent,one percent,anagram,AIR TIGHTLY,0
104850,One Turin game that's free of charge,neutrino,neutrino,anagram,GRATUITO,0
186,Put off one with disease returning,repel,repel,anagram,REPEL,1
141528,"Executive position, brewing cider - sort drunk with joint",directorship,directorship,anagram,DIRECTORSHIP,1
58320,Nader the stabiliser - so peril's averted,spoiler,spoiler,anagram,SANDERD,0
63885,Let priest go to cast out unwanted spirit,poltergeist,poltergeist,anagram,POLTERGEIST,1
131773,Turning in one's irritation increased,risen,risen,anagram,UPPED,0
34039,Averts disaster fast!,starve,starve,anagram,AVERTS,0
117901,"In old English, revision of chapter left by Lords to Commons",otherplace,other place,anagram,LOWER HOUSE,0
78168,"Without preparation, extreme confusion surrounds Post Office",extempore,extempore,anagram,EXTEMPORE,1
134193,Those going through life with US and Iraq in conflict,qualifiers,qualifiers,anagram,SQUIRRELS,0
122725,Very large animal initially kept in pen (hint: eel's wrong),elephantine,elephantine,anagram,PACHYDERMIC,0
44727,"Attic half overturned, brought to order",garter,garter,anagram,TIDIED,0
115494,Bearing maintained by naughty nineties director,eisenstein,eisenstein,anagram,DIMENSIONS,0
19272,Broken lance not spotted,clean,clean,anagram,CLEAN,1
129429,A brother we found devastated by conflict,theboerwar,the boer war,anagram,THE BOER WAR,1
117766,"Setter mistakenly missing turn, goes without nothing but throws up",disgorges,disgorges,anagram,SICKENING,0
8764,"Mad to reverse, try going forward",stab,stab,anagram,STEP,0
130149,Compel family to cycle (should not go out during major sporting event),olympicflame,olympic flame,anagram,OLYMPIC FLAME,1
18542,"Boatman's cover is partial, unsurprisingly",tarpaulin,tarpaulin,anagram,TARPAULIN,1
117057,Handles books don ordered about queen,doorknobs,doorknobs,anagram,MODERATES,0
95882,Scotched her father's inspiration,freshheart,fresh heart,anagram,FRESH START,0
142353,Dodgy polaroids safe? Happiness short-lived,foolsparadise,fools paradise,anagram,SHORT PLEASURE,0
111010,Asian last to rattle adversary,assailant,assailant,anagram,ANTAGONIST,0
41906,"Spoony, perhaps, with stirring demeanour",enamoured,enamoured,anagram,ENAMORED,0
85804,Derby date produced a favourite among three-year-olds,teddybear,teddy bear,anagram,TEDDY BEAR,1
132807,"Raises cost somehow, or gets cut off",ostracises,ostracises,anagram,SECTIONING,0
7879,Temper the effects of sausage roll,assuage,assuage,anagram,ASSUAGE,1
36689,Mysterious name from masonic tiles?,mosaic,mosaic,anagram,ENIGMA,0
106251,Way to be impressed by sunrise's form - or lack of it?,rustiness,rustiness,anagram,FOOTPRINT,0
64158,"Voltaire, say - deep cynic lost at sea",encyclopedist,encyclopedist,anagram,ENCYCLOPEDIST,1
85727,Hour in which ethnic group rises for fresh start,rebirth,rebirth,anagram,REBIRTH,1
24378,Past master in sari and hot pants,historian,historian,anagram,ARISTOTLE,0
74304,See a clip supposed to be great,especial,especial,anagram,EPISCOPE,0
45126,"Sends Evelyn, as I'd rectified a number of faults",sevendeadlysins,seven deadly sins,anagram,SEVEN DEADLY SINS,1
142173,"It's Red Revolution, the worst",direst,direst,anagram,DIREST,1
79999,Insisted order must be a good order,tidiness,tidiness,anagram,ASSERTED,0
86848,Wizards are most active on Sunday,maestros,maestros,anagram,SPELLERS,0
83436,Translate name found in prettier version,interpret,interpret,anagram,INTERPRET,1
74572,Artisan alters creation,slater,slater,anagram,RECAST,0
33740,Man trained with choir for musical,harmonic,harmonic,anagram,HARMONIC,1
59224,Bear guest destroying plant,sugarbeet,sugar beet,anagram,SUGAR BEET,1
64901,"One sumo wrestling in Finland, as locals would say",suomi,suomi,anagram,SUOMI,1
111096,Scientists here made flexible card envelopes,academe,academe,anagram,PLIABLE,0
100214,Presley lives again!,elvis,elvis,anagram,SEVIL,0
37294,Sad ears need music,serenade,serenade,anagram,SERENADE,1
130173,Tiny creature avoiding northern frontier resort,rotifer,rotifer,anagram,TERMITE,0
39575,Soup with ices? Unusually plausible but wrong!,specious,specious,anagram,SPURIOUS,0
