Index,Clue,Solution,Spaced_Solution,gemma_predicted,gpt_solved_answer
130470,Model curtsied for starters,crudites,crudites,anagram,CURTSIED,0
134320,How rifles may be carried by soldiers not wanted in retreat,ported,ported,anagram,RIFLES,0
59282,Cut off and also tie off,isolate,isolate,anagram,CUTTIE,0
142364,Ideal version of Mexican pearl one's able to 'disappear',exemplar,exemplar,anagram,IDEALIZE,0
49815,Drunken men docked in early naval vessel,minelayer,minelayer,anagram,MERCENAR,0
136950,Let's see those teeth beginning to decay - I weep on failing to contain it,openwide,open wide,anagram,COLD TEA,0
125621,Crew men showing little variation in strokes,stokers,stokers,anagram,CREWMEN,0
66079,Is it after five or later he calls?,visitor,visitor,anagram,SEVEN,0
134995,Name-dropping Dubliner shattered and put back together,rebuild,rebuild,anagram,DUBLINER,0
134455,Pain he's suffering to get fit,inshape,in shape,anagram,HE'S FIT,0
90639,Furnace where link is forged,kiln,kiln,anagram,FURNACE,0
89291,"Cast my anchor in Norway, say",monarchy,monarchy,anagram,ANCHORED,0
56748,She surprised Alice,celia,celia,anagram,ALICE,0
49003,Sort of nut that is loose,untie,untie,anagram,PECAN,0
136829,"Hacking, will fear this security measure?",firewall,firewall,anagram,FIREWALL,1
11830,Doctor can sue for time to redeem foreign bills,usance,usance,anagram,CURRENCY,0
81250,"With belly in unusually bad order, lain over",abdominal,abdominal,anagram,BILLYLAIN,0
130168,Cosy conga (line dancing?),congenial,congenial,anagram,COSYCONGA,0
12944,Abrasive doctor appears extremely narked,sandpaper,sandpaper,anagram,SANDPAPER,1
11832,Time permitted for transferring note in dubious cause,usance,usance,anagram,MOTIVE,0
60106,Certainly bound to be different,nodoubt,no doubt,anagram,TO BE,0
59209,"Sad, losing out in this sliding scale",glissando,glissando,anagram,DOWNSCALE,0
120891,Floods spread sludge around Mile End,deluges,deluges,anagram,MUDSLIDE,0
84115,Are spades imported to make tracks?,exist,exist,anagram,TRAINS,0
127215,As might be brakes of tank with coil rotation,antilock,anti lock,anagram,TANK TOP,0
39461,"Flies parted, I pissed",diptera,diptera,anagram,DIPLOID,0
60699,Indeed a complicated case gets passed over,deceased,deceased,anagram,INDEED,0
31298,"Communication with naked ladies, say",email,email,anagram,EMAIL,1
49328,Salad dressing envied,endive,endive,anagram,DRESS,0
102936,"No good in house that lacks order, if untidy - might this help?",fengshui,feng shui,anagram,CLUTCH,0
103706,Stock owner can let charter lapse,cattlerancher,cattle rancher,anagram,CHARTERED,0
134957,Old tray I renovated with skill,adroitly,adroitly,anagram,ARTISAN,0
1454,"Entire NHS in trouble, losing ten to bruise",shiner,shiner,anagram,BRUISE,0
33877,Noble brew of ale that's about right,earl,earl,anagram,NOBLE,0
84522,"Position of king, plus heir, ousted",rulership,rulership,anagram,KINGDOMS,0
38158,Run member of pack over,flow,flow,anagram,WOLF,0
115813,Old councillors learned somehow about a Frenchman,aldermen,aldermen,anagram,SENATORS,0
103476,Could it make ferret wash?,freshwater,fresh water,anagram,FERRET WASH,0
99052,Means of suppressing dreadful shame and panic - seem cold,escapemechanism,escape mechanism,anagram,COLD COMFORT,0
45473,"Found what's potentially sad ""fun"" and cheered, showing this",schadenfreude,schadenfreude,anagram,SADNESS FUN,0
48600,"Monstrously stab king, and profit? It's hard to fathom",abstruse,abstruse,anagram,MYSTICAL,0
105648,City state ground out small business,cottageindustry,cottage industry,anagram,SMALL STATE,0
47492,Retired Scotsman's trick,scam,scam,anagram,CONE,0
5366,Boss lost in dust storm,stud,stud,anagram,BOSS,0
1030,Iberian prince angered in revolt,grandee,grandee,anagram,PRINCE,0
122484,Head of state with guns to tame rioting,maotsetung,mao tse tung,anagram,THE BIG GUNS,0
116450,Inexperience wears off: name gained success finally,rawness,rawness,anagram,NAMESAKE,0
9207,Sat Latin translation in a lost realm of fancy,atlantis,atlantis,anagram,DREAMLAND,0
40287,Laciest piece in the sewing box? That's stretching it!,elastic,elastic,anagram,ELASTIC,1
34241,One's captivated by star-shaped feature of fluted column,stria,stria,anagram,STARS,0
79225,No bunker could be perfectly even,unbroken,unbroken,anagram,UNEVENLY,0
86453,Crossover door,rood,rood,anagram,HINGE,0
84783,Sent us out at the end of the day,sunset,sunset,anagram,SUNSET,1
22379,Old king failing to make the grade,edgar,edgar,anagram,LEAR,0
106492,"Alas, old Bob Dylan cut short touring",sadly,sadly,anagram,ALBUM,0
130471,"Raw food cursed, it needing to be cooked",crudites,crudites,anagram,SCOURGE,0
26686,Knock run off spin bowler,elbow,elbow,anagram,BOWLER,0
71373,Loved to see the dreadnought wrecked,adored,adored,anagram,LOVED,0
120766,President strangely agin dancing,polkaing,polkaing,anagram,DANCING,0
129534,"Try, as arranged, one caught being excessively lustful",satyric,satyric,anagram,LUSTFUL,0
111244,Toxic soup I soon blended,poisonous,poisonous,anagram,SOUPING,0
82539,"Rep's car goes off, making a hasty departure",scarper,scarper,anagram,ESCAPE,0
109400,October's brief time for playing with ritualistic symbolism,totemic,totemic,anagram,OCTOBER,0
101513,A crop is knocked flat,prosaic,prosaic,anagram,CROPS,0
85628,A hem one should repair: everyone knows that,householdname,household name,anagram,COMMON KNOWLEDGE,0
59956,Crazy bit by Len's father needs re-writing,batsinthebelfry,bats in the belfry,anagram,BITE OF THE LEMON,0
95550,Failing to disrupt the indolence,onthedecline,on the decline,anagram,OUT OF HAND,0
129083,Explain about what keeps a wheel on,axlepin,axle pin,anagram,SPIN ON,0
90108,Build new Northern capital,dublin,dublin,anagram,EDINBURGH,0
23025,Cowherd's pie and broth,chowder,chowder,anagram,COTTAGE,0
12794,Pitfall for member when rising,trap,trap,anagram,TRAP,1
8693,"Five earth-filled urinals, recycling all-inclusive",universal,universal,anagram,URINALS,0
107975,Bags of vicious cruelties,reticules,reticules,anagram,SACKFULS,0
59692,A sort able to produce old instrument,astrolabe,astrolabe,anagram,SAXOPHONE,0
82165,Drunken expat in public house has a nagging wife,xanthippe,xanthippe,anagram,PERSISTENT,0
82360,Fantastic start to theatrical career involving N. Coward,recreant,recreant,anagram,COWARDLY,0
125168,Badly-treated migrants feeling hurt,smarting,smarting,anagram,MIGRANTS,0
27602,It peels off note,epistle,epistle,anagram,NOTES,0
65483,"Ear inflammation aggravated, so it doubled",otitis,otitis,anagram,OTITIS,1
126646,Songs of Praise hasn't managed to retain big space,anthems,anthems,anagram,GAPING,0
51261,Flu? See a doctor at home,easeful,easeful,anagram,DOCTOR,0
44011,"After dissection, I preserved dead mammal",peredavidsdeer,pere davids deer,anagram,LIVING DEAD,0
23751,Order alteration in grey coat,category,category,anagram,REORDER,0
85296,Disorderly scene may come to be arranged,beargarden,bear garden,anagram,CAMEO,0
113761,"Rescue injured relative, overcoming resistance",retrieval,retrieval,anagram,RELATIVES,0
4874,Playfully delicate life abused and shortened,elfin,elfin,anagram,LIFE,0
35477,"Tandoor cooking, though aromatic, ...",odorant,odorant,anagram,TANDOOR,0
109810,Circle left to access champ hit badly about the eye,ophthalmic,ophthalmic,anagram,CIRCUMFERENCE,0
11062,"Taken aback by swindles, tag was changed outside",aghast,aghast,anagram,TAGGED,0
113847,Where some African countries are off the leash,sahel,sahel,anagram,LEASH,0
63839,Roger eagerly brewing tea for this prime minister,earlgrey,earl grey,anagram,ROGER,0
95584,"Bone came apart, fragments left",metacarpal,metacarpal,anagram,BONEFRAGMENTS,0
25834,Player's boot is undone,oboist,oboist,anagram,BOOTED,0
131014,Does nothing in particular for protest movement,potters,potters,anagram,PROTEST,0
43572,A bit of a laugh in porn version of Oliver!?,orphan,orphan,anagram,GIGGLE,0
140261,Islander with a sore bum getting into heavy metal,faroese,faroese,anagram,MAORI,0
135475,Regular myth set in rich ground,rhythmic,rhythmic,anagram,MYTHICAL,0
96009,Epstein left centre awfully cross,splenetic,splenetic,anagram,CROSSBOW,0
120515,Yes-men with absurd cares about a line,accorders,accorders,anagram,SYCOPHANT,0
64540,It currently controls others at assembly,rheostat,rheostat,anagram,CURRENT,0
129187,Gentleman grappling with tens of complicated relationships,entanglements,entanglements,anagram,GENTLEMANLY,0
44083,"Language barrier in American intelligence, being backward",arabic,arabic,anagram,BARRIER,0
102607,"When terribly lost, read navigation guide",lodestar,lodestar,anagram,DIRECTION,0
88338,Vegetable in garden for a change,orach,orach,anagram,RADISH,0
103214,Broken zip not that unknown - fasten with another fastener,safetypin,safety pin,anagram,ZIPPERED,0
109241,Simple or complicated requests,implores,implores,anagram,REQUESTS,0
8558,Unusual topic related to the eye,optic,optic,anagram,TOPIC,0
18331,Odd dialect in fortress,citadel,citadel,anagram,CASTLE,0
38773,It is eaten from this Paget dish,spaghetti,spaghetti,anagram,PLATTER,0
25189,Lawgiver is left in flowing river,legislator,legislator,anagram,LEGISLATOR,1
74352,Eliza Doolittle's refined arts?,hertfordshire,hertfordshire,anagram,LITERATURE,0
37578,Resembled a damaged knee-cap on the outside,likened,likened,anagram,LOOKED,0
112464,Composer's displaced river birds,bitterns,bitterns,anagram,SINGERS,0
88537,Reissued order to a fighter in the ring,toreador,toreador,anagram,REORDERED,0
114480,E. John's backing out of Italian rock,oolite,oolite,anagram,NEOLOG,0
19289,"A Fowler, perhaps, spoiled Rene's date",eastender,eastender,anagram,RENEGADE,0
89600,"Greatness, sadly, sets one apart",estranges,estranges,anagram,DISTINCTION,0
87582,Unpleasantly satisfied when turning sticks,smug,smug,anagram,CRUD,0
68576,Tails begin to stop wagging - how sad!,shadows,shadows,anagram,SADNESS,0
129260,"Angstrom bewitched women ultimately, pick-ups being his forte",strongman,strong man,anagram,WOMANIZER,0
6351,Signary used in the plant,syringa,syringa,anagram,SIGNAL,0
42197,Some porn he circulated could account for sexual arousal,pheromones,pheromones,anagram,PORNOGRAPHY,0
130732,Presiding officers trading power for new shoes?,sneakers,sneakers,anagram,SHOES,0
140167,Raises false alarm as crow flies not straight,crieswolf,cries wolf,anagram,FALSE ALARM,0
136748,They provided new items here and original Christmas gifts,threewisemen,three wise men,anagram,STORE ROOM,0
95415,A song about tourist information centre initially uncertain,agnostic,agnostic,anagram,UNCERTAIN,0
109758,"Senior cleric, unfortunately never competent",venerable,venerable,anagram,INCOMPETENT,0
108503,Any hitch may be attributable to this bulb going out,hyacinth,hyacinth,anagram,HEADLIGHT,0
62952,Tie leaves back,strap,strap,anagram,KNOTS,0
64537,"Teaches a number in English, perhaps",enlightens,enlightens,anagram,EDUCATES,0
120652,"Sell pint that's dodgy, getting wasted",illspent,ill spent,anagram,TOP SELL,0
126582,What could make florist pay for baker's item?,filopastry,filo pastry,anagram,FLORIST'S,0
8256,A bird others turn to,skua,skua,anagram,TERN,0
14424,Something suggestive of the rise of corporations,smut,smut,anagram,SIGN,0
90882,Unexpected gripe about live changes producing special benefit,privilege,privilege,anagram,DIVIDENDS,0
11567,Fashion arbiter of Welsh taste,rarebit,rarebit,anagram,STYLEMA,0
6382,Tropical plant's a mess when crushed by earth,sesame,sesame,anagram,CASSIA,0
28291,"Turn into (maybe) lira, see?",realise,realise,anagram,CURRENCY,0
57375,New deal for vote loser? Hardly,roosevelt,roosevelt,anagram,DEFEATED,0
39962,He'll store brews for the landlord,hosteller,hosteller,anagram,CELLARER,0
39942,Handicap by turning right and heading back,trammel,trammel,anagram,DAMAGE,0
6781,Refrains from upsetting sides on the way back,desists,desists,anagram,STAYING,0
128339,Brown's work for England made sons rebel,angelsanddemons,angels and demons,anagram,HARD TIMES,0
111429,"Upper-class bigot is to peer, roughly, as middle class to lower?",petitbourgeois,petit bourgeois,anagram,SNOBBERY,0
117372,Boy found embracing girl is beaten,lashed,lashed,anagram,BEATEN,0
80305,What can't be caught can be made bad in lieu,inaudible,inaudible,anagram,LIABILITY,0
118630,"Being naughty, entice with sex",existence,existence,anagram,ENTICING,0
63517,"Coming from Greece, men at sea",emergence,emergence,anagram,GREEKISH,0
97230,What's funny about stuff,stow,stow,anagram,STUFF,0
17168,State positive European words maintained by Turner,louisiana,louisiana,anagram,EUPHEMISM,0
23048,Dutch product manufactured to be sent North,edam,edam,anagram,DUTCH,0
99635,Unnatural is the hold-up,heist,heist,anagram,NATURAL,0
103444,Sean sent new order,neatness,neatness,anagram,SEAN,0
21537,"Ran election chaotically, showing inability to endure possible consequence",intolerance,intolerance,anagram,INABILITY,0
98272,Eh? Ben's a confused old-timer,hasbeen,has been,anagram,OLD BOY,0
36665,"Herein a peculiar tale, out of this world",ethereal,ethereal,anagram,ALIENATE,0
75628,Instrument is changing pitch,sitar,sitar,anagram,FIFTHS,0
126186,Comply with the last of compulsory orders in cell,lymphocyte,lymphocyte,anagram,OBEYING,0
13216,Mince pie and kipper for bon vivant,epicure,epicure,anagram,GOURMET,0
18779,Piece of music lisped by beater,thong,thong,anagram,SONG,0
141849,Brew one's drunk with more sediment?,bittier,bittier,anagram,BOTTLED,0
8924,A scene suited for necromancy?,seance,seance,anagram,OUIJA,0
124012,Nasty tear on doll (snapped again?),retaken,retaken,anagram,RAGDOLL,0
75534,"Run down gradient, tumbling close to barricade",denigrate,denigrate,anagram,DESCENT,0
1550,"Writing after death, I go in to bury a revolutionary",obituary,obituary,anagram,DIARIST,0
114995,"I must note effect of putting verbs at end of clauses, say",teutonism,teutonism,anagram,ADVERBIAL,0
41251,Instrument for getting firm out of rotten mess,cornetto,cornetto,anagram,TROMBONE,0
81307,One sort of mansion that would stop you from going off,insomnia,insomnia,anagram,MANORIAL,0
57195,Outlet for dispersing fuel,flue,flue,anagram,NOZZLE,0
134575,Carl and Rita up for a romp - suspect initially these might get taken down,particulars,particulars,anagram,CARNIVOROUS,0
119901,One proving superior bringing about reprieval,prevailer,prevailer,anagram,EXECUTOR,0
111112,Poe's ghost creeps shapelessly round the centre of Seattle,specter,specter,anagram,SPECTER,1
120974,"Bringing off crime, saint not I?",miscreant,miscreant,anagram,SAINTING,0
94310,Deleted it by mistake in an important document,titledeed,title deed,anagram,EDIT OUT,0
25521,Letter arranging to return in first-class accommodation,iota,iota,anagram,LUXE,0
103016,Not believing a lot can be changed,fatalistic,fatalistic,anagram,SKEPTICAL,0
111768,Ascertain unusual view of a philosopher,cartesian,cartesian,anagram,DETERMINE,0
35202,"Singer, collapsing, to bow out",resign,resign,anagram,SINGER,0
85043,Untouchable Costa Ricans want one badly,sacrosanct,sacrosanct,anagram,UNTAMABLE,0
27839,As classical wool gatherers slaughter a runic goat,argonautic,argonautic,anagram,SHEPHERDS,0
132575,Scrap dealer keeps Ethel confused? Exactly!,totheletter,to the letter,anagram,TO THE POINT,0
81545,Stirring march tune may be what weary walkers long for,armchair,armchair,anagram,MARCHING,0
67808,One with a peculiar attachment - perhaps she fits it,fetishist,fetishist,anagram,ATTACHMENT,0
101178,Almost the end of the match?,decreenisi,decree nisi,anagram,FINAL GAME,0
110447,I name this compound an irritant,histamine,histamine,anagram,NITROGEN,0
122705,Unusual instances happening all the time,incessant,incessant,anagram,PERPETUAL,0
110475,"Fantastic scenery: when sun comes out, see the old city",cyrene,cyrene,anagram,GIBRALTA,0
90522,Walk in nature's strange way,saunter,saunter,anagram,WALKING,0
111957,Torpedo carriers ordered to base,eboats,e boats,anagram,A SUB,0
109395,It's hard to recall ingredients of country remedy,emery,emery,anagram,HERB,0
100066,Then hear dean get potty about old Bible and what's in it?,heavenandearth,heaven and earth,anagram,DEAN'S LIST,0
29555,Alter formation? Not yet,later,later,anagram,ALTER,0
87619,CNN hired a drunk with an impediment,hindrance,hindrance,anagram,CANDIDATE,0
949,A notion to be cast as the Merchant of Venice,antonio,antonio,anagram,IDEA,0
61523,A bees' nest disturbed by non-attentive people?,absentees,absentees,anagram,BEEHIVES,0
127953,Cornered gnu dealt a blow,angulated,angulated,anagram,GNAWED,0
99040,Bind by inane church regulation?,enchain,enchain,anagram,ENJOIN,0
12868,Log mania destroyed arboreal specimen,magnolia,magnolia,anagram,MANGROVE,0
141648,Joke brings judge appalling disrepute,jeudesprit,jeu desprit,anagram,BAD JOKE,0
42518,"Apprentice isn't giving up time in plane, say",trainee,trainee,anagram,PILOTED,0
49845,"A humble fan to be moved, too deep for words",unfathomable,unfathomable,anagram,FANATICAL,0
18086,"Regarding difficult clues, one is not inclined to be forthcoming",recluse,recluse,anagram,RETICENT,0
113724,Push blend of US pop and Lion King (short version),propulsion,propulsion,anagram,PUSHBACK,0
121731,Tempera is mixed at leisure,sparetime,spare time,anagram,EASY MIX,0
125877,Royals are distraught in period of world revolution,solaryear,solar year,anagram,WORLD ORDER,0
114177,Edna's kebab is mixed with cheap tinned food,bakedbeans,baked beans,anagram,SHEEP MEAT,0
73103,Newcomer makes engine turn ...,ingenue,ingenue,anagram,ENGINEER,0
39523,Stride about ship in trouble,distress,distress,anagram,STRIDING,0
104166,Hopes are renewed when soldiers ride in Western,horseopera,horse opera,anagram,SOLDIER'S HOPE,0
7077,Kind to preside over slightly twisted board,charitable,charitable,anagram,KINDHEARTED,0
21358,It's dangerous to ruin her plans,shrapnel,shrapnel,anagram,DANGEROUS,0
105213,"Injured sister OK? No? Nephews, except Gilbert, remain calm",keeponesshirton,keep ones shirt on,anagram,SISTER'S OKAY,0
140557,Penalty on account of bad ref I oft rue,forfeiture,forfeiture,anagram,REFEREEING,0
119274,Scots Amish splinter group getting pleasure from pain,masochists,masochists,anagram,MASOCHISTS,1
108587,"Exceptionally animated, sparkling stuff",diamante,diamante,anagram,GLITTERS,0
132564,"Gloom and doom with this blue mood, not married sadly",doubleo,double o,anagram,BLUE,0
123184,"Lumbar puncture for American applicants, annoyed when giving up cocaine",spinaltap,spinal tap,anagram,BACK OFF,0
74293,Antipathy from the gallery,allergy,allergy,anagram,HOSTILITY,0
79087,Time to take in strange rite by the Red Sea,eritrea,eritrea,anagram,TIME,0
119268,"Gloomy playing besets universal, faithfully reproduced Chopin study, maybe",musicology,musicology,anagram,DREARINESS,0
75438,Abbey Arts money collection,monastery,monastery,anagram,TITHINGS,0
135596,Odd role rewritten by an idle scribbler,doodler,doodler,anagram,LORD,0
86945,Hopeless couple taken in by bad design,despairing,despairing,anagram,DESPAIRING,1
95470,Divine drawing of lots of egrets smeared with oil,sortilege,sortilege,anagram,DIVINATION,0
117337,Transferring teacher to university tripled the best habits,hautecouture,haute couture,anagram,BEST PRACTICES,0
101443,Conservative backing the centre was sacked,troy,troy,anagram,CENS,0
41913,In love with exotic demeanour,enamoured,enamoured,anagram,ENAMORED,0
86303,She went in outlandish make-up to get publicised,inthenews,in the news,anagram,TOO MUCH,0
139570,"Surly git, ’e's playing at this time of year?",uglysister,ugly sister,anagram,WINTER GIT,0
127474,They reared up in classic race,thederby,the derby,anagram,OLD RACE,0
96904,"Hard life, or nothing could be more death-defying",foolhardier,foolhardier,anagram,LIFE-THREATENING,0
99008,Chay - name associated with mast?,yachtsman,yachtsman,anagram,CHAYOTE,0
117890,"Deionise compound, infusing two litres as plant extract",linseedoil,linseed oil,anagram,DEIONISED,0
29376,"Ray, perhaps, uncovering rare find",infrared,infra red,anagram,GOLD MINE,0
108782,"Peter with men in resort, having no match",preeminent,pre eminent,anagram,PETER PAN,0
24035,Clothes worn back-to-front for game,brag,brag,anagram,TROU,0
105075,Wrong one can upset clergyman,inaccurate,inaccurate,anagram,PRIESTLY,0
43067,Pea soup everyone sent back - another dish wanted,paella,paella,anagram,SPOON,0
101750,Left from funerals shaken and more vulnerable,unsafer,unsafer,anagram,FRAIL,0
5651,"Part of a spur that's further down, left to right and vice versa",rowel,rowel,anagram,SPUR,0
123599,"Paddle in doubt, struggling to find boat's motor",outboard,outboard,anagram,OUTBOARD,1
135953,Daughter is busy frittering allowance,subsidy,subsidy,anagram,DOLLAR,0
102752,A desperate fellow coming back with nothing,nada,nada,anagram,FELL,0
60006,Deceptively conclusive state official,viceconsul,vice consul,anagram,STATE OF,0
19080,Character brewing tea with urn,nature,nature,anagram,AUTHOR,0
122036,Don't interfere before time: let's go wandering,getlost,get lost,anagram,LET'S GO,0
102495,Joining EU may be unsuitable,istanbul,istanbul,anagram,UNSUITABLE,0
60316,Produce to fill a lot - of ships?,flotilla,flotilla,anagram,CARGOES,0
38436,A trail possibly taken to rodeo by cowboy,lariat,lariat,anagram,RODEO,0
107308,I misdo translation of particular expressions,idioms,idioms,anagram,IDIOMS,1
10049,Mere mortals about to go wild for Norwegian spinner,maelstrom,maelstrom,anagram,SPINNERS,0
44652,Our stamina is restored here,sanatorium,sanatorium,anagram,RESTORATION,0
137362,"Numbers game played with iPad, rules added",epidurals,epidurals,anagram,NUMBERS,0
85811,Give out overtime,emit,emit,anagram,GIVE,0
27028,Taunt Linus about blanket at the end,insult,insult,anagram,SNEER,0
89,"Hereditary earls can't, unfortunately",ancestral,ancestral,anagram,INHERIT,0
108989,"Swinging instrumentalist, a corrupt, hag-ridden Trojan",djangoreinhardt,django reinhardt,anagram,GUITARIST,0
124188,Lira - foreign currency in Guiana circulating as means of exchange,linguafranca,lingua franca,anagram,DOLLAR,0
107058,Bad lad drew trailer,dawdler,dawdler,anagram,DRAWLED,0
130948,Bone fused at least with arm,metatarsal,metatarsal,anagram,FUSIONED,0
125201,Nearly led astray with erudition?,learnedly,learnedly,anagram,LEARNING,0
119386,"Caspian, say, gets Annie's lad off",inlandsea,inland sea,anagram,CASPIC,0
102494,Built as arranged around northern capital at one time,istanbul,istanbul,anagram,BULKHEAD,0
38356,Teen rave as a new form of worship,venerate,venerate,anagram,REVERENT,0
138241,"""Almost clean"" Brexit arranged, that can be delivered",extricable,extricable,anagram,DELIVERED,0
35073,Fabric made up in the form of a circular cylinder,lycra,lycra,anagram,TUBE,0
45824,Local store has shaved the fuzz for Spooner?,cornershop,corner shop,anagram,SPOONER,0
133934,Normal prices for stocks when re-ordering Super Lava,parvalues,par values,anagram,LAVA,0
49501,Nerve broken? Not at all!,never,never,anagram,NERVE,0
38988,Gun with catches set back,sten,sten,anagram,GUNS,0
137586,Lad choosy about place of education,dayschool,day school,anagram,CHOOSY,0
8442,Lease administered by the church in London,chelsea,chelsea,anagram,LEASED,0
16450,Destroyer's ruse at sea to protect stricken boat,saboteur,saboteur,anagram,RUSE,0
37407,"Charge for rope trick, get back inside!",protege,protege,anagram,CHARGE,0
46934,Bound to sound like a current variation,tied,tied,anagram,TIDE,0
134198,Retired official tucks into entire assorted hamper,interfere,interfere,anagram,ENTIRELY,0
84847,Beekeeper looks very much like a pianist,apiarist,apiarist,anagram,APICULTOR,0
72615,"Sipped, say, stew causing stomach upset",dyspepsia,dyspepsia,anagram,DISPEPSIA,0
133502,Don't lose hope! Do I deserve any?,neversaydie,never say die,anagram,DONT GIVE UP,0
5254,It's maybe left to staircase when it's not there,escalator,escalator,anagram,STAIRCASE,0
134316,Neuro-doctor operated on Shakespeare's Globe?,rondure,rondure,anagram,DOCTOR,0
93994,There's poor Rodney,yonder,yonder,anagram,RODNEY,0
118143,Change from krone needed to join Hellish Biker Club,knobkerrie,knobkerrie,anagram,KONVERGENCE,0
104266,Drunken pest with dope barred from the bar?,estopped,estopped,anagram,PESTO,0
91322,"Adrift, mid ocean, without soft puzzle collections",compendia,compendia,anagram,CROSSWORD,0
18183,Downfall makes temper return,doom,doom,anagram,FALL,0
4328,Is Helen bound over to be free of obligation?,unbeholden,unbeholden,anagram,EXEMPTION,0
85540,Times edition for children,mites,mites,anagram,TIMES,0
69135,Operatic singer keen to make a comeback,diva,diva,anagram,MEZZO,0
111270,"Bow to wear, twisted",nod,nod,anagram,BOW,0
107952,Draw spirit miles up,raffle,raffle,anagram,SPIRIT,0
15724,Principles embodying rights of one in the crumbling Civil Service,ethics,ethics,anagram,ETHICS,1
29034,Opposes odd-looking sisters,resists,resists,anagram,RESISTS,1
56345,Fancy coping with bare adults dancing around?,balustrade,balustrade,anagram,ACROBATICS,0
131404,Bit of a setback for brownie lovers,snaffle,snaffle,anagram,SETBACK,0
65277,Turning grey? Not us - nor him,youngster,youngster,anagram,GREYHOUND,0
137515,Scientist works here with harpoon and cage? Not he,oceanographer,oceanographer,anagram,INSTITUTION,0
95370,"A month back, penniless in old money",lira,lira,anagram,PENCE,0
96273,Medicines that vary in cost,tonics,tonics,anagram,COSTLY,0
45120,Spilt glue on loaf!,lounge,lounge,anagram,GLUED,0
50506,Aunt Ryder switched to a cheaper fare,dayreturn,day return,anagram,AUNTIE,0
47980,"Go for a jog, taking wrong turn",trot,trot,anagram,GOTO,0
19550,"Prune, I gathered, not ready to eat",unripe,unripe,anagram,UNRIPE,1
102427,"Irritated seducer, not being alone",unescorted,unescorted,anagram,IRRITATED,0
83419,Absorbent soup or stew,porous,porous,anagram,SPONGE,0
45035,Confused order in account associated with cooking?,coriander,coriander,anagram,CASSEROLE,0
84499,Very amusing - unruly hairstyle covers Conservative,hysterical,hysterical,anagram,HILARIOUS,0
41517,Composer's important name changed a bit where the rubbish goes,bernstein,bernstein,anagram,LANDFILL,0
95732,A toy used at tea time said to make one hoarse,throaty,throaty,anagram,TEAPOT,0
84386,Al names Dickey in sign language,ameslan,ameslan,anagram,SIGNAL,0
105829,Can come to play with model construction set,meccano,meccano,anagram,KITSCH,0
80712,Maniacs fit to bust - displaying this,fanaticism,fanaticism,anagram,MANICURES,0
141016,"Refusing to change opinion of university, Wayne Slob, a mess, drops round",unswayable,unswayable,anagram,UNWAVERING,0
121551,Rubbish put out? It rusted!,detritus,detritus,anagram,GARBAGE,0
111306,Ringtones are annoying,resonate,resonate,anagram,TUNES,0
28408,Shape of playing field a mess,rectangle,rectangle,anagram,PITCHED,0
115660,Such food's origin can be suspicious,inorganic,inorganic,anagram,SUSPICIOUS,0
121234,"Long dress, backless, seen in French capital",londres,londres,anagram,COUTURE,0
128191,Paul's wife in cutie snatched by virtually mad African,zimbabwean,zimbabwean,anagram,CATHERINE,0
