Index,Clue,Solution,Spaced_Solution,gemma_predicted,gpt_solved_answer
136017,Disciples are against books by stars,votaries,votaries,assemblage,APOSTLES,0
97645,A politician's current measure,amps,amps,assemblage,AMP,0
49653,Society follows better customs,mores,mores,assemblage,SOCIETY,0
68452,Turn and hide glass,windscreen,windscreen,assemblage,SPECTACLE,0
110387,Briefly contemplate a chop reserved for Spaniard's meal,gazpacho,gazpacho,assemblage,TACOS,0
3418,A buddy rejects sport for which he's not paid,amateur,amateur,assemblage,AMATEUR,1
76110,Virgil's lines against leaving heaven during tide change,theaeneid,the aeneid,assemblage,DIVINE COMEDY,0
12579,Benefit favouring the healthy,profit,profit,assemblage,BENEFIT,0
53052,Fish ate weed,haddock,haddock,assemblage,TROUT,0
6637,One vintage port that's perfect,ideal,ideal,assemblage,VINTAGE,0
75375,Parliament success: what about Mr Coe? Negative,naseby,naseby,assemblage,COEFFICIENT,0
101963,Where to hole a vessel among the fleet,amidships,amidships,assemblage,HARBOR,0
137716,Fiddle with French car that's dropping back,fraud,fraud,assemblage,FERRARI,0
136954,One hesitates to revive English leader after knockout,anaesthetise,anaesthetise,assemblage,DISAPPOINTMENT,0
14556,The bicycle provided for coppers at one time,pennyfarthing,penny farthing,assemblage,POLICE BICYCLE,0
78921,Poem about Ulysses essentially at end of Troy,odyssey,odyssey,assemblage,EPIC,0
46124,Backward country's government relinquished control,rein,rein,assemblage,CUBA,0
18147,Cautionary cry in Somerset,watchet,watchet,assemblage,WARNING,0
83781,Lack of control in a Hackney report,ataxy,ataxy,assemblage,CHAOS,0
135550,"Ruin what you do, separating messily in NYC",insolvency,insolvency,assemblage,DESTROYING,0
89259,"Better old city parking, as on board?",surpass,surpass,assemblage,CARTER,0
131774,How one may make progress on one's feet,insteps,insteps,assemblage,ADVANCE,0
118699,"Awake, went out rejuvenated",updated,updated,assemblage,AWAKEN,0
49154,Give up because of one's self-image?,forego,forego,assemblage,IMAGE,0
33759,Bishop has to dismiss rising resistance to church,exarch,exarch,assemblage,BISHOP,0
88824,Unpleasant period having fibre to eat,roughage,roughage,assemblage,DISCOMFORT,0
36873,One may have a fair throw at it,coconutshy,coconut shy,assemblage,FAIR GAME,0
136427,They're not static water towers,tugboats,tugboats,assemblage,DYNAMIC,0
20590,"Very strict cook, marginally improved",rigid,rigid,assemblage,STERN,0
27022,"Silver and jade, like Yeatsian midnight",aglimmer,aglimmer,assemblage,SILVERED,0
68631,Ascetic almost spoiled food,yoghurt,yoghurt,assemblage,ASCETIC,0
52780,A despatch note?,deathwarrant,death warrant,assemblage,MAIL SHOT,0
113746,Influence of Tory boor,clout,clout,assemblage,TROPE,0
97348,"If that's really the hat you want, I'm not stopping you",onyourheadbeit,on your head be it,assemblage,HAT'S OFF TO,0
103047,Firm recalled watchmaker at noon for special event,occasion,occasion,assemblage,AFTERNOON,0
130037,Agency worker almost the last word in saucy humour,temperament,temperament,assemblage,AGENCY WORKER,0
58815,Sexy bottom? It might encourage rapid but unwelcome developments,hotbed,hotbed,assemblage,TUMORS,0
120027,Off day? That is criminal,baddie,baddie,assemblage,OFFEND,0
131905,"God, who's flipping cut grass that's already been cut and dried?",yahweh,yahweh,assemblage,GODDED,0
8075,Dog mounting sheep,mutton,mutton,assemblage,BASSET,0
90907,What the publican calls late on many occasions,timeaftertime,time after time,assemblage,LAST ORDERS,0
92289,They watch as three points can go to Golf driver,sentinels,sentinels,assemblage,SPECTATOR,0
27833,Finish urge - that woman will,eggshell,eggshell,assemblage,COMPLETION,0
87664,"Gather together in the morning, when heading to school",amass,amass,assemblage,ASSEMBLE,0
136259,Current tests pushed back repressive force,stasi,stasi,assemblage,POWER,0
45328,Judge a royal nipper,arbiter,arbiter,assemblage,CRITIC,0
134097,Best of United's wingers running round Hearts scorer?,georgegershwin,george gershwin,assemblage,BEST PLAYER,0
97538,"Came across a sailor, oddly skin and bones",metatarsi,metatarsi,assemblage,EMACIATED,0
119876,Official order to blockade islands when there's a disturbance,incident,incident,assemblage,MORATORIUM,0
102393,Distress with endless problems one day before,aggrieve,aggrieve,assemblage,ANXIETY,0
110550,Display unit of wine and spirits,reddevils,red devils,assemblage,BARREL AGE,0
114055,Boatman in youth given order to vacate land,navalcadet,naval cadet,assemblage,YOUNG MAN,0
94794,Nothing to bone of bones,osteal,osteal,assemblage,NOBODY,0
12544,One gets up flowers,irises,irises,assemblage,ROSE UP,0
28275,Prepare for scan on the Fourth of July,ready,ready,assemblage,READY,1
64787,"Apart from Spanish white wine, mostly French white wine",barsac,barsac,assemblage,ALTERNAT,0
78750,Paid pounds for something at auction,gavel,gavel,assemblage,PAID,0
45235,Gamble a great deal on a patched-up tyre,lottery,lottery,assemblage,WAGERED,0
80812,One's inclined to strike with Popular Front,ramp,ramp,assemblage,LEFT,0
328,Smooth limb at end of torso,legato,legato,assemblage,SMOOTH,0
101752,"Restricted middle section used to be soft, then it was revised",waspwaist,wasp waist,assemblage,HARD COPY,0
132261,Contract gamble upset live broadcaster?,beeb,beeb,assemblage,LIVE,0
17691,Like to take one to a region where Jesus was born,asia,asia,assemblage,BETH,0
133184,Excite poorly-fed bird first,titillate,titillate,assemblage,EXCITEMENT,0
86199,Alumnus sitting with Scarface is haunted,obsessional,obsessional,assemblage,ALUMNI,0
12053,"Listener's home, the grave?",earnest,earnest,assemblage,HEARTH,0
132191,"When pressed, manages passes",getsby,gets by,assemblage,RUNS,0
120780,"Shows insubordination, giving support to negotiations",talksback,talks back,assemblage,SHOW OF HANDS,0
25985,One bombardier gets in before another,encore,encore,assemblage,STOKER,0
87722,Writer improperly abridged,amis,amis,assemblage,EDIT,0
19647,Old empress giving away last instrument,ocarina,ocarina,assemblage,PIANIST,0
95875,President exchanges vote for new fabric,ninon,ninon,assemblage,TWEED,0
102140,"Floater, one joining church to criticise",icepan,ice pan,assemblage,TOP DOG,0
103076,Function applied to cube with no fixed date,sinedie,sine die,assemblage,SET DATE,0
13659,Wanted revolutionary to support sideshow,desired,desired,assemblage,DEMAND,0
43509,Herod's son to gain entree to Rome ?,antipasto,antipasto,assemblage,ANTIPATER,0
123013,"Lawless one meeting end in electric chair, perhaps",anarchic,anarchic,assemblage,ANARCHY,0
83431,Odd people in error in Eden,originalsin,original sin,assemblage,STRANGE LAND,0
54257,"Squeeze round corners, leaning heads skywards in ravine",gulch,gulch,assemblage,GROVE,0
33788,I follow through with spirit,peri,peri,assemblage,SPIR,0
121561,"After head start, wind up on winners' tail: put your shirt on them?",hangers,hangers,assemblage,BETTING,0
89373,Quarrel can get personal in place like Harrogate,spatown,spa town,assemblage,ROWING,0
61851,Astonished by one-way fold,awestruck,awestruck,assemblage,ASTOUND,0
70788,"Mammals (the last shall be first), named like Washington, say",eponymous,eponymous,assemblage,WALRUSES,0
88354,"Former eastern country, catching bug, going west with eastern dressing",mayonnaise,mayonnaise,assemblage,EX-COUNTRY,0
42965,Emitting light from silver base,aglow,aglow,assemblage,GLINT,0
116963,"Taking public transport back to worker after ten, he pays part of lease",subtenant,subtenant,assemblage,LESSEE,0
87505,"Argument tense, blowing top",tiff,tiff,assemblage,TILT,0
68732,Prompt service for TV presenters,idiotboard,idiot board,assemblage,AFTER SHOW,0
260,Provincial half of army behind endless abuse,insular,insular,assemblage,REGION,0
71142,Poet having gone short of books,abse,abse,assemblage,BARD,0
104224,Numbers of a nonstarter,nono,no no,assemblage,NO GO,0
69095,Blue wine is a washout,sadsack,sad sack,assemblage,BAD WINE,0
20326,A daughter in French port finally off? Not so fast!,andante,andante,assemblage,SPEEDY,0
47811,Artists apply to less than saintly monk,rasputin,rasputin,assemblage,APPLYING,0
85426,Mechanism for turning right in an agitated state,lather,lather,assemblage,GIMLET,0
107684,Composer's scornful work not given run,satie,satie,assemblage,CANT,0
139214,Over the moon here to have secret room,deepspace,deep space,assemblage,LOFT ROOM,0
83334,"Crude, Puck? Not at first, with well-connected people",oilmen,oilmen,assemblage,CRONIES,0
140963,Actor with sheet sings from the bottom,filmstar,film star,assemblage,SING SONG,0
99777,The work yet to come from PL for truly harmon-ious movement,poetryinmotion,poetry in motion,assemblage,FUTURE OF,0
111745,"Dead popular thought, disposing of male!",insentient,insentient,assemblage,DEADMALE,0
83741,"Sailor, soldier and girl join in dance",tarantella,tarantella,assemblage,SOLDIERS,0
35240,Hair and metallic mineral stink,furore,furore,assemblage,HAIRY,0
77728,"Superior selection of wines, we hear, which has sold a lot",bestseller,bestseller,assemblage,SUPERIOR,0
14218,Circulator to bear losing head,eddy,eddy,assemblage,BEAR,0
20346,"First letter is open, perhaps letter from abroad",epsilon,epsilon,assemblage,ABROAD,0
44148,Bridge team that's in switched-off state - it can't last,transience,transience,assemblage,BRIDGE,0
115544,Gym instruction by top man in place of games once,peking,peking,assemblage,COACH,0
91339,More than is required for six deliveries?,overcapacity,overcapacity,assemblage,OVERKILL,0
35103,United supporters come back in a mess,snafu,snafu,assemblage,MESSY,0
79676,Make use of the quality of diamonds - without diamonds,harness,harness,assemblage,USAGE,0
116745,Hit I have in a regular series,successive,successive,assemblage,HITLIST,0
42522,Insects delightful? Not one - that's right!,licence,licence,assemblage,INSECT,0
131796,Mate rounded Cape unnoticed,hubby,hubby,assemblage,MATEY,0
62123,Indian sage that's been topped and crushed by child's mother,mahatma,mahatma,assemblage,MOTHER,0
10169,Nation in plan to lose weight,india,india,assemblage,CHILE,0
110915,Lady golfer embraces feminist model in smart dress,whitetie,white tie,assemblage,LADY IN,0
33803,Tot's taking mother across river,dram,dram,assemblage,MUMS,0
9566,Volunteers to return sombre tunic,tabard,tabard,assemblage,CLOAKS,0
104675,Graphic artist uses wire and string,signwriter,signwriter,assemblage,WIRELESS,0
2174,Herb in paper covering's behind the salt,tarragon,tarragon,assemblage,PAPRIKA,0
90362,Article comes together for Guardian messengers?,angels,angels,assemblage,ARTIST,0
83569,Thin binding weed - it's what's observed on road,speedlimit,speed limit,assemblage,BINDING,0
121660,"Sweet where OAP is in EastEnders, perhaps?",afters,afters,assemblage,CANDY,0
91077,Dress up a day in advance for lover,girlfriend,girlfriend,assemblage,DRESSING,0
12080,Lie concerning strength of character,fibre,fibre,assemblage,STEEL,0
121128,Scruffy label on scruffy item of clothing,ragtag,ragtag,assemblage,RAGGED,0
120450,Priest's crime taking time in a clerical residence,parsonage,parsonage,assemblage,SACRILEGE,0
102609,"Suffering different elements, primarily hail",hellothere,hello there,assemblage,NATURAL,0
91484,Composer left a little bit of nonsense,fallal,fallal,assemblage,BLOOM,0
21197,About to experience the finale of William Tell,inform,inform,assemblage,AROUND,0
15736,"Opening for a salesman turned up, true to form",aperture,aperture,assemblage,RELIABLE,0
25655,"Enter Dotty, with bird's dance movement",entrechat,entrechat,assemblage,TRODDEN,0
142265,Cry out for the old record format,yelp,yelp,assemblage,DISC,0
56118,"Petit dejeuner, one tucked away by worker in a bad mood?",croissant,croissant,assemblage,MOODINESS,0
132272,"After a drink, German enthusiast gets a biscuit",gingernut,ginger nut,assemblage,GINGER NUT,1
15122,Drink for each returning academic,pernod,pernod,assemblage,CIDER,0
9582,Top-class detectives initially left in clear,lucid,lucid,assemblage,CLEAR,0
46160,Primitive sailor of marked individuality,aboriginal,aboriginal,assemblage,SEAFARER,0
116989,Parent with fruit,papaw,papaw,assemblage,APPLE,0
58349,Travel through East End district with offensive weapon,crossbow,crossbow,assemblage,SWORDSMAN,0
102947,Bones in the head all turned to point,patellae,patellae,assemblage,DOLLOPS,0
82828,Mark Antony's extreme spirit,brandy,brandy,assemblage,RUMOUR,0
133038,"Go for somewhere in Scotland, as Dickens character",pickwick,pickwick,assemblage,OLIVER,0
24289,Penny has beer and pasty,pale,pale,assemblage,PINT,0
2119,Is young Blair a supporter? Insert number in Irish Sea,isleofman,isle of man,assemblage,KID ON,0
31193,Prince not turning up for dance,charleston,charleston,assemblage,PRINCELESS,0
130810,Joint drinks parties,kneesups,knees ups,assemblage,PUB CRAWL,0
123507,Cats finally sounding happy? That's encouraging,spurring,spurring,assemblage,CATSOUND,0
64343,Clothing society suffering legal action,shellsuit,shell suit,assemblage,CLOTHES SUIT,0
129802,Hawk seizing tail of mynah bird,chough,chough,assemblage,HAWKEYE,0
80173,Returns to digs for economy's sake,retrenches,retrenches,assemblage,COST CUTTING,0
17188,Snooker player breaks with end of cue,white,white,assemblage,RONNIE,0
123957,We murmur a short reply,humans,humans,assemblage,MURMUR,0
84810,"Taffy's home - right, left and roundabout",landofmyfathers,land of my fathers,assemblage,CARDIFF'S,0
46118,Racket's centre starts to buckle under bombardment,hubbub,hubbub,assemblage,RACKET,0
100731,Close to last time food warnings ensue,threats,threats,assemblage,CLOSEST,0
53604,Dramatic confidence?,stagewhisper,stage whisper,assemblage,STAGE FRIGHT,0
137650,Model receiving complaint to consider retiring after hostilities ended,postbellum,post bellum,assemblage,COLD WAR,0
131463,Badger resorted to exit by road,streetdoor,street door,assemblage,BADGERED,0
40206,American small change being found in school is dodgy,suspect,suspect,assemblage,DOLLARS,0
76832,To compensate for one short day is to take heart from another,satisfy,satisfy,assemblage,OFFSET,0
77279,Crazy over North American icon,madonna,madonna,assemblage,NUTCASE,0
85039,"Each one opening, under no circumstances remaining open",uncover,uncover,assemblage,CLOSED,0
132678,East European city where two vessels turned up,krakow,krakow,assemblage,BUDAPEST,0
10979,Check demand for material,damask,damask,assemblage,CHECKS,0
89803,Mobster's joint is cover for card operation,scarface,scarface,assemblage,COVERUP,0
120047,"C, half-cut Bush, for example, gatecrashing his party?",cameron,cameron,assemblage,CRASHER,0
31190,Prince not getting up for the dance,charleston,charleston,assemblage,PRINCE,0
14982,Boy-meets-girl opera,leonora,leonora,assemblage,CARMEN,0
38536,Getting through to farms about ground that's always frozen,permafrost,permafrost,assemblage,THAWING,0
93127,Prima donna gets a quid for appearing in lights,divali,divali,assemblage,DIVAS,0
67110,"An abstract point, to be exact",precise,precise,assemblage,EXACTLY,0
112609,Sleep until noon (twelve),dozen,dozen,assemblage,SLEEP,0
120758,Snowman? College erected it,inuit,inuit,assemblage,COLLEGE,0
6072,Bottom of league in Cheshire and East Lancashire?,cheese,cheese,assemblage,BOTTOM,0
140892,Setter's upset over good answers to puzzles,enigmas,enigmas,assemblage,SETTERS,0
84465,Eat away without starting to bring back,etch,etch,assemblage,EAT,0
56976,European in next cell tortured in capital,excellent,excellent,assemblage,LONDON,0
121312,Hole number dealing with bad habit,crevice,crevice,assemblage,NUMBER,0
61605,"Bulbs shining, these charged",onions,onions,assemblage,TULIPS,0
108513,Its partition was booked,redsea,red sea,assemblage,THEATRE,0
132928,"Beacons required to follow this, if range is to be obtained",brecon,brecon,assemblage,BEACON,0
100257,Help fool individual with attitude,assistance,assistance,assemblage,ASSISTANT,0
70181,Peculiar issue more likely than not,oddson,odds on,assemblage,MORE,0
28384,"I am the cat among dairy produce, going to overlap?",imbricate,imbricate,assemblage,CATASTROPH,0
64671,I throw my weight around the angel,islington,islington,assemblage,THROWING,0
19964,Honour given to boy king ...,oberon,oberon,assemblage,NOBLE,0
1697,"Like mistletoe, it is a hit when put up, caught underneath",parasitic,parasitic,assemblage,HITMISTLE,0
58634,Praise the boot rejected by lieutenant,exalt,exalt,assemblage,BLAME,0
40505,Ass in America leading to American kerfuffle,rumpus,rumpus,assemblage,ASSAM,0
3319,"Blue died, a bit of an act",obscene,obscene,assemblage,BLUEDIE,0
134763,Male children's book character heard singing in church?,hymnody,hymnody,assemblage,MALE,0
61642,Badly treated and is unserviceable in the sea,misused,misused,assemblage,UNSERVICE,0
118902,Tabloid pictures which closely resemble one another,mirrorimages,mirror images,assemblage,TABLOID,0
9249,First of Walter Mitty's turns: provide defence and make me conform,twistmyarm,twist my arm,assemblage,MAKE UP,0
20073,"One in dock, employed by a county council",accused,accused,assemblage,CLERK,0
84068,Contrary commercial jingle,adverse,adverse,assemblage,ANTHEM,0
103255,Anxiety about hair stops you sleeping,alarmclock,alarm clock,assemblage,NIGHTMARE,0
25043,Australian one needing invigorating air,ozone,ozone,assemblage,BREEZY,0
90023,Live at home after a short break as an artist,holbein,holbein,assemblage,RESIDENT,0
38309,"Very French attempt to seduce is wrong, legally",trespass,trespass,assemblage,ILLEGAL,0
41551,Report to do with extremity,retail,retail,assemblage,REPORT,0
40401,Town's ancient guy who must have been out of the ark,oldham,oldham,assemblage,BATHS,0
86393,Tick Kennedy's heart's condition,jiff,jiff,assemblage,TICK,0
17359,Student caught with a dictionary,coed,coed,assemblage,KID,0
14827,Battle later developed into chase,waterloo,waterloo,assemblage,CHASING,0
121362,Pet with pal struggling over a tree,catalpa,catalpa,assemblage,PALM,0
123072,"Bird back after season abroad, man's problem afoot?",fallenarches,fallen arches,assemblage,MAN'S PROBLEM,0
129375,Resident superpower stuffing herb in meat product,liversausage,liver sausage,assemblage,SHEPHERD,0
91232,"Power governs tube centrally - US tube, that is",subway,subway,assemblage,TUBING,0
26262,Finally gives woman liquid nitrogen to make frozen sculpture,snowman,snowman,assemblage,GIVES,0
59714,She provides father with cooked meal,pamela,pamela,assemblage,FATHER,0
85449,Musicians send naughty messages to alien,sextet,sextet,assemblage,ALIEN,0
91286,"North African halves a number, then doubles it",berber,berber,assemblage,HALVES,0
32282,Asian city is unfinished - that's symbolic,mandala,mandala,assemblage,BANGKOK,0
85069,First class return to Southern Pacific country,australia,australia,assemblage,AUSTRALIA,1
85059,"Understands about grinding lens with cunning, but without reason",senselessly,senselessly,assemblage,COMPREHENDS,0
110739,Poet (Her Majesty's jester) in banjo performance,sirjohnbetjeman,sir john betjeman,assemblage,THE OLD CURIOSITY,0
133661,Setting about ’eadgear to protect aviator,flyingat,flying at,assemblage,SET TO,0
7751,One's brief trade with a Mediterranean isle,ibiza,ibiza,assemblage,TRADE,0
63748,Mums and dads are not welcomed by attendant,parentage,parentage,assemblage,ATTENDANT,0
93074,Hotlines to the Met Office,isotherms,isotherms,assemblage,HOTLINES,0
32854,"Stipulation for and against one's opinion, at first",proviso,proviso,assemblage,CONDITION,0
134372,"Initially, Gilbert holds back blows",wafts,wafts,assemblage,GHOST,0
53279,"Drink triple gin, initially, with one rum",eggnog,eggnog,assemblage,GINNY,0
133634,Entrenched bridge adversaries scrap over inches,enshrined,enshrined,assemblage,BATTLEMENT,0
114251,Non-interventionist passes away,handsoff,hands off,assemblage,PASSIVE,0
21379,Fast on the Italian pulse,lentil,lentil,assemblage,FASOLA,0
88237,"Unfaithful wife seen in food shop, note",delilah,delilah,assemblage,CASSEROLE,0
109206,The Guardian starts to assess Roman government under Severus,argus,argus,assemblage,TACIT,0
32865,Excited by a small bet,aflutter,aflutter,assemblage,STIMULATED,0
111818,One comes across despondency behind the game,humpbackbridge,humpback bridge,assemblage,CROSSWORD,0
109262,One article by Belgian author,ianfleming,ian fleming,assemblage,THEOLOGIAN,0
46284,A small drink including minimum of table wine for starters,antipasti,antipasti,assemblage,APERTURE,0
93561,"Abroad, I start to eat angel cakes for tea",darjeeling,darjeeling,assemblage,TARTANES,0
23791,Question One is on Irish force seen in the Middle East,iraqi,iraqi,assemblage,IRISH,0
80430,Allows to go free the wrong way round shops,outlets,outlets,assemblage,RELEASE,0
92531,Exercise about to strengthen soldiers' disposition,placement,placement,assemblage,TRAINING,0
107908,Dislike Greece?,hellas,hellas,assemblage,HATE,0
56894,Drunken Scottish soldiers vote for abuse to the optically challenged,foureyes,four eyes,assemblage,SCOT FREE,0
140402,"Almost stop working, stupid",goof,goof,assemblage,DUMB,0
123938,Special quality that's needed by female member of cast,xfactor,x factor,assemblage,XFACTOR,1
56836,Dives with power to crap - occasionally gull slightly worried tour leader,plutocrat,plutocrat,assemblage,SCARED,0
24314,Fancy a chart-topping single,imagine,imagine,assemblage,SINGLE,0
134583,Leading pairs eliminated from race came late - very grave situation,cemetery,cemetery,assemblage,CATASTROPH,0
40818,Entertained everyone sitting initially in the pit,hades,hades,assemblage,ELOPE,0
48911,"Deceived by the devil, though not in so many words",implied,implied,assemblage,MISLEAD,0
123424,People of intelligence love to have the last word,ciao,ciao,assemblage,GEMS,0
61555,"Say: ""Don't stop her entering ring or pillar?""",letterbox,letter box,assemblage,STOP GAP,0
119780,Label report of familiar ex-captain,gucci,gucci,assemblage,LABEL,0
29427,"Home Secretary and rock'n'roll guitarist: one's barren, another's wild",strawberry,strawberry,assemblage,DESOLATION,0
43832,About to pick up Boris's book,rebecca,rebecca,assemblage,ABOUT,0
18596,"Sailor, for example, said to observe traveller",seafarer,seafarer,assemblage,NAVIGATOR,0
134677,Writer's sweet Breton confection,charlottebronte,charlotte bronte,assemblage,PEN CAKE,0
71414,"Exhortation to study ""The Maid of the Mountain""",oread,oread,assemblage,READS,0
51311,"Eat half of plate, then drink",digin,dig in,assemblage,EAT UP,0
34678,To have one return a casual hug is sufficient,enough,enough,assemblage,SUFFIC,0
83450,Spirit of revolutionary beasts? Extremely serious!,spunkiness,spunkiness,assemblage,ANIMALS,0
60190,Earwig could make part of house fall down,eavesdrop,eavesdrop,assemblage,WIGWAM,0
111345,"Sanction a run in souped-up car, a small one for racing",gokart,go kart,assemblage,GO KART,1
86446,Escorts backing The One Show,gigolos,gigolos,assemblage,STAGGER,0
22268,Boy game to help people across the Thames,albertbridge,albert bridge,assemblage,LIFEGAME,0
120159,"He's done his money and he's back for mine too, note",prodigalson,prodigal son,assemblage,CASH COW,0
28086,The French in their way backing Swiss mathematician,euler,euler,assemblage,LEONARD,0
8939,Where there's very little point to motor to London?,scarcity,scarcity,assemblage,WATERLOO,0
125319,Broadcast with some singers heard in military locations,airbases,airbases,assemblage,CANTONED,0
37108,"No longer single speed, that's clear",exonerate,exonerate,assemblage,UNMARRIED,0
107391,Patriots withdrawing singular honour for Hollywood legend?,stanlaurel,stan laurel,assemblage,CLOONEY,0
38175,Love Jack's preaching,orating,orating,assemblage,JACKSON,0
111666,"Weber's first, A minor (unfinished) - it's avant-garde",wayout,way out,assemblage,ARTSY,0
108542,Firm support in car ...,fastback,fastback,assemblage,BACKING,0
105720,"Rhythmic sound heard initially in jazz performer, pet scarpering",thrum,thrum,assemblage,BLOOP,0
13664,Spare a bob - by one having plenty to spare,slender,slender,assemblage,LAVISH,0
37110,"Solitary sailor, capsized in river, gets clear",exonerate,exonerate,assemblage,ISOLATED,0
66726,"Without moving anything, replaces money in cash register",stockstill,stock still,assemblage,CASH FLOW,0
19537,Anticipate everyone's after lots of trees,forestall,forestall,assemblage,FORESTED,0
53125,Perform in panto horse perhaps? That creates interest,behalf,behalf,assemblage,EARNED,0
44923,Adult paper under discussion,atissue,at issue,assemblage,IN PAPER,0
61299,State whether it's high and rocky,massif,massif,assemblage,MOUNTAINS,0
78323,Learned a lot of rubbish about time,literate,literate,assemblage,LEARNED,0
24523,"Don't cook enough food, red nuts having been shelled and sent back",underdo,underdo,assemblage,UNDERS,0
123841,"Extract from pool: if hurt, yell",fishout,fish out,assemblage,POOL OF,0
63158,"After St Giles' day, many are turning rotten",septic,septic,assemblage,SAGGING,0
55980,"Savage, being sorrowful, is twitching",sadistic,sadistic,assemblage,SADNESS,0
66489,Dim British king on stage,blear,blear,assemblage,DIMLY,0
36268,Shakespeare gave her a dream lover. Her mother grabbed one too!,hermia,hermia,assemblage,MIRANDA,0
94662,Drinker's hangover?,beergut,beer gut,assemblage,HANGOVER,0
62973,Unhappy lord outside Parliament finally gives indication of imminent departure,bluepeter,blue peter,assemblage,LORDLY,0
133577,Fine to repeat old clue about diamonds,okeydokey,okey dokey,assemblage,FINEST,0
95206,"It's remote without a good car, that is - so his work is done on the hoof",farrier,farrier,assemblage,REMOTE,0
32820,Smart girl with copper chain,cutie,cutie,assemblage,CHAIN,0
49005,The BBC hasn't begun to deliver,untie,untie,assemblage,BEGIN,0
66368,Unpredictable after opening of safety pin,skittle,skittle,assemblage,SPINOUT,0
95297,Centre back in attack last to display violence,ferocity,ferocity,assemblage,VIOLENCE,0
69595,Ride high where observation was out of this world,goonhilly,goonhilly,assemblage,ASTRONAUT,0
38198,Army block retreat to capital,rabat,rabat,assemblage,BLOCK,0
71503,Sailor to keep going round with vocalist,nelsoneddy,nelson eddy,assemblage,SINGING,0
