Index,Clue,Solution,Spaced_Solution,gemma_predicted,llama_solved_answer
137457,"Poor Billy, regularly infested with moth",beggarly,beggarly,container,BILLBUG,0
119800,A spinner's short period in work,gyro,gyro,container,ARIA,0
46277,They do up house: home counties housing spikes,shoelaces,shoelaces,container,CARPENT,0
1792,"Plane perhaps hijacked by buccaneer, turning back",tree,tree,container,ARAB,0
111215,Parson first in seat to see what's coming,preview,preview,container,VICARS,0
76959,Nothing less holds nothing threatening,ominous,ominous,container,NILNIL,0
127854,Former partners keep pamphlet of selected passages,extracts,extracts,container,EXCERPT,0
104569,Prepared to pass through study,readied,readied,container,REHEARS,0
55717,Make annoyed and angry about unfinished ceremony,irritate,irritate,container,IRATATED,0
81603,Unfeeling male absorbed in the nitty-gritty,numb,numb,container,CRASS,0
73538,Smack around side of face: buzz off!,clearout,clear out,container,SLAP ON,0
54350,Writer goes round stone consumer's place,bistro,bistro,container,AUTHOR,0
107398,Force occupants of central Venice to be displaced by macho types,vehemence,vehemence,container,BRUTALISE,0
46677,Screw going round prison in fear,panicky,panicky,container,INTWINE,0
16962,"Most insignificant little bird circling European river, endlessly rising",tiniest,tiniest,container,MINUTIA,0
54089,"Going round by word of mouth, part gets assimilated",orbital,orbital,container,HEARSAY,0
116756,Upending Brad in a barrel is courageous,valiant,valiant,container,VALIANT,1
121689,A king given independence in new surroundings is a bit odd,freakish,freakish,container,ANOMALIC,0
24565,Hear about a new type of pen without getting excited,tranquilly,tranquilly,container,UNEMOTIONAL,0
119271,Meat Hazard placed in trap,griskin,griskin,container,HAMSTER,0
109281,Drive around in carriage with zeal,fervidly,fervidly,container,CARRIAGE,0
63155,"Perishes, without help, from illness",diabetes,diabetes,container,SICKENS,0
57658,"Sign of something wrong with performance? See about that, just!",exactly,exactly,container,ERRATIC,0
22728,"Checked in, in a rush",reined,reined,container,RANIN,0
127164,Time in replicated environment provides excitement,stimulation,stimulation,container,THRILLSEEKER,0
71619,One caught by the actual crime,thievery,thievery,container,OFFENDER,0
13974,It was created with latitude in the scriptures,world,world,container,BIBLE,0
61074,Happen to see bird nesting as resident,occupier,occupier,container,MEETINGS,0
95092,"Having ensnared male, sexy cuddles on the agenda",scheduled,scheduled,container,ENTICING,0
63169,Attractive catch in illusionism,magnetic,magnetic,container,DECEITS,0
46189,Philosopher passing through American Customs,usages,usages,container,KANTOR,0
84221,"Bottle company prompt, coming about midday",courage,courage,container,WINECO,0
81856,Poster plugging good show is boasting,bravado,bravado,container,BOASTER,0
111133,Fruit getting stuffed with date and walnut toppings for tellers of tales,oldwives,old wives,container,FIG TREE,0
50977,In favour of accepting a pound in coin,florin,florin,container,FORTUN,0
123823,Rejects chipped plate with pasty in it,disallows,disallows,container,TURNDOWN,0
76829,Stays if made content,satisfy,satisfy,container,ABIDES,0
5641,"Winds about, missing the German ways",means,means,container,TWIRL,0
79354,"Female in a feeble way in sultan's place, in need",womanish,womanish,container,WEAKLING,0
29728,"Poem, say, inscribed in cathedral",elegy,elegy,container,ODEIC,0
117222,Monsters out of hospital go to fatherland,wales,wales,container,OGRES,0
57663,Go through childhood with small gang of people around,growup,grow up,container,AGE WITH,0
110364,"Something online for minors, I say, drinking liquor",choochoo,choo choo,container,UNDER AGE,0
113959,"Essay penned by school square, a killer",strychnine,strychnine,container,ASSASSIN,0
104392,"Vicious in a swarm, moreover",besides,besides,container,FERALER,0
52548,One accepts student as dim,unlit,unlit,container,DULLS,0
133404,Cherish men forgoing male hour during function,enshrine,enshrine,container,TREASURE,0
71078,Nothing can interrupt drink and drug,aloe,aloe,container,TEAS,0
87795,Tonic for yuppie flu found in truck,pickmeup,pick me up,container,IN THE RED,0
16759,Letter from Greece about favoured animals,rhino,rhino,container,PHOBI,0
66546,Rubbish government consumed by nastiness,bilge,bilge,container,REGAL,0
89334,Caught amid whimsical manoeuvre,jockey,jockey,container,CAPTURED,0
14131,Suitable belief accepted by primate,apposite,apposite,container,OPINIONS,0
21851,Pick boundaries for lake district environs,selection,selection,container,SELECTED,0
138255,"Like English chaps in financial difficulty, in shame",debasement,debasement,container,BROKENENGLISH,0
52453,Understand about opening heart in solemn procession,cortege,cortege,container,COMPREND,0
71966,"Drive first person boarding cleaner, low-level transport",pushchair,pushchair,container,MONORAIL,0
34960,Guarantee securing a boy for a limited period,seasonal,seasonal,container,ASSURED,0
118295,Thinks the current recession splits friends,meditates,meditates,container,BELIEVES,0
65352,Aim to skirt centre of Manchester after all,intheend,in the end,container,TO GET BY,0
101378,Wrongdoing concealed by angry criminal where lawyers abound,graysinn,grays inn,container,AT LAW,0
74120,A province with street harbouring cunning freedom fighter?,anarchist,anarchist,container,GUERRILLA,0
139585,Japanese game is uplifting when astride pig,shogi,shogi,container,GOATIE,0
7090,"Miserable miss, on reflection, breaking engagement",desolate,desolate,container,UNHAPPY,0
63262,Helpful having fluorine in the water,ofuse,of use,container,OF USE,1
134039,"Agreed it's forged, detectives admitted",coincided,coincided,container,CONFESSED,0
7060,"Shown the way in, as well, in Spain",toledo,toledo,container,SEENIN,0
103054,United Nations upholding a role for American statesman,utahan,utahan,container,UNIONS,0
99308,Tiny distance covered by which bird?,whinchat,whinchat,container,SPARROW,0
135048,Guts shown by couple turning and smothering last of fire,duodena,duodena,container,VALOUR,0
7355,London university splitting noble gas particle,nucleon,nucleon,container,NEONATE,0
139050,Not at home during quiet quarter,south,south,container,OUTAT,0
50399,Wait under a second with the eyes of an optimist,starry,starry,container,DELAY,0
66633,A painful condition oppresses one rodent,agouti,agouti,container,ACHING,0
43447,Point to a hundred in stock that's prolific,fecund,fecund,container,ACORN,0
7916,Ignore alarm bells echoing in error,sleepin,sleep in,container,TURN A,0
61682,American thug pinches Nintendo console for child,godson,godson,container,WIIKID,0
8033,Plain tart takes in Romeo's look,prairie,prairie,container,PLAINLY,0
75425,"Reached high to marry, taking in royalty",towered,towered,container,REACHED,0
54837,"Doctor having admitted crime, it's curtains for him!",draper,draper,container,GUILITY,0
62087,Animosity about responsibilities is concerning rogues,picaresque,picaresque,container,CONCERNS,0
85318,Crowds turning up for play about love,troops,troops,container,AUDIENCE,0
114810,Relative beings from an edge of space bounded by locators,sisters,sisters,container,KINSMEN,0
128642,"Emits gas skyward, securing incomplete image of sports icon",steffigraf,steffi graf,container,ERUPTS MUHAMMAD,0
12734,"Panic, being about a hundred short",scarce,scarce,container,PANICS,0
69809,Teach development in the glen,enlighten,enlighten,container,DEVELOPED,0
79037,Can active culture protect against disease?,vaccinate,vaccinate,container,VACCINES,0
87103,Convict surrounded by a stack of booty,pillage,pillage,container,CONVICT,0
103666,Lots of storage needed when Ms Roslin moves into French accommodation,gigabytes,gigabytes,container,HOTELIERS,0
21701,Book in first-class accommodation for one in opposition,anti,anti,container,ABED,0
27085,Very pretty is Peg when carrying little weight,twee,twee,container,PETE,0
22962,The Castilian comes into part of the story,relation,relation,container,CHAPTER,0
74518,Soldiers authorised to appropriate a vehicle - and appropriate's the word for it!,relevant,relevant,container,MARAUDS,0
84417,Sound of crew receiving nowt?,moan,moan,container,ZERO,0
85266,Model is bashful grabbing a pee,copy,copy,container,MODES,0
123776,Steal work left during work period,shoplift,shoplift,container,PILFERED,0
57601,Animal makes nest in rubbish,rodent,rodent,container,VERMIN,0
54707,Cover for beast that eats cooked hams,yashmak,yashmak,container,HAYCOCK,0
27169,Make certain of result by capturing rook,ensure,ensure,container,ENSURE,1
91518,Bridge player takes smack that's most pure,whitest,whitest,container,BRIDGE,0
112618,Allen losing everything in Sin City,venice,venice,container,LASVEG,0
55582,Diligent couple welcoming Lawrence to the States,duteous,duteous,container,HARDER,0
76166,Prejudice exists to break up a masterpiece,ageism,ageism,container,BIASIS,0
65112,Death of parent touring Peru,reaper,reaper,container,MOMENT,0
40949,Shade round bottom of willow tree,rowan,rowan,container,UMBER,0
120945,Conflict taking month to heat up,warm,warm,container,WARS,0
17095,Place where no one tense is put up,situation,situation,container,TOLERANCE,0
43581,"Cry from wolf, perhaps, breaking gate",entreaty,entreaty,container,HOWLGATE,0
104171,Poet's written about return of Irish hooligan,larrikin,larrikin,container,THUGGERY,0
70663,I wave - interrupting myself with skill - to show no chance of leaks,impermeability,impermeability,container,WATERTIGHT,0
117563,Primate includes a bishop in blessing,baboon,baboon,container,ORANGS,0
33680,Agent without sleep is irritable,snappy,snappy,container,AGENTS,0
35458,Endless Soviet labour camp fenced by stake with spikes,angulate,angulate,container,GULAGS,0
16319,Islander gutted coastal town,briton,briton,container,MAORIS,0
81877,"Journos, gathering in loose ends, raise them in anger",hackles,hackles,container,PRESS,0
13481,Abuse found in rapid dispensing of drugs,pharmacy,pharmacy,container,MISUSE,0
13035,Bound to put small amount in hat,limited,limited,container,DONATED,0
45571,Laments about flowers for virtuous statues,plastersaints,plaster saints,container,LOTUS EATERS,0
3200,A foot of water in the diocese,spondee,spondee,container,SEEFOOT,0
60472,Councillor that is protecting main character in Miami Vice,crime,crime,container,TUBBS,0
49189,Girl came in to study the weapon,cannon,cannon,container,MISSAL,0
55307,Sadness in love in some ways,pathos,pathos,container,SORELY,0
70427,Fatherly friend swallows a tear,parental,parental,container,PATERNAL,0
15239,It's carried on a sleigh (wherein is a joke),luggage,luggage,container,SLEDGE,0
17091,Upset about head of family one's butted?,rifle,rifle,container,RAMIE,0
92006,Company importing wine is manageable,plastic,plastic,container,VINTAGE,0
5752,"Most respected member, female poet entertaining you",doyenne,doyenne,container,MOTHER,0
65442,It's pinned to hold in fabric,grenadine,grenadine,container,NEEDLES,0
141335,"Create difference, namely in refereeing scandal?",variegate,variegate,container,MAKEDIFF,0
139094,"Rich man making appeal for help, having hoarded gold",soros,soros,container,MIDAS,0
57065,UN quits panel sitting in judgment of a group,tribal,tribal,container,JURIES,0
12537,Make allowances when catching the tube,catheter,catheter,container,MITIGATE,0
58833,"In the stretch between wings, a sole player",thespian,thespian,container,SOLISTAS,0
121204,"Universal fighter in imaginative work, Asia's missing pest controller",fumigant,fumigant,container,MARTIALS,0
33279,Captain is first into bed,pilot,pilot,container,ABEDS,0
90495,"They're here, being inexperienced in the ATS",attenders,attenders,container,RECRUITS,0
71891,"Father in pain, but brave",apache,apache,container,FATHER,0
44521,"Cut inside out, including first chapter",incised,incised,container,EDITED,0
12896,Adult taken in by party game,snap,snap,container,ADULT,0
83720,Dancer to see in uniform,salome,salome,container,BALLER,0
13482,Drug provider causing fast internal damage,pharmacy,pharmacy,container,PUSHERS,0
34947,Meal inside the German hotel,dinner,dinner,container,ESSENCE,0
3354,English associate adopts an issue,emanate,emanate,container,ALLIES,0
137986,Be inclined to keep work of the highest quality,topend,top end,container,TOP NOTCH,0
102660,Politician with burst ulcer getting out of crush,crumple,crumple,container,MINISTER,0
20350,Space to include afterthought on one line over letter,epsilon,epsilon,container,PSALTER,0
103019,Smirked before getting taken outside,leered,leered,container,LEERED,1
139048,Desolate portrait painter holds on,lonely,lonely,container,HOLDES,0
140509,Foxy Liberal secured for Strictly,slavishly,slavishly,container,CRAIGREVEL,0
67897,Lied about a king's garment,sarong,sarong,container,CLOAKS,0
109040,"Conceals in hand, holding second book of verses",psalms,psalms,container,HIDING,0
109953,"Foot I test out, trapping two balls?",tootsie,tootsie,container,TRYOUTS,0
82109,Came across a can containing nothing in the bottom,foundation,foundation,container,STUMBLED,0
109800,Chief designer admitting resistance to shock treatment …,director,director,container,LEADINGS,0
124475,Decisive defeat with terrorist group at first in poor spirits,rotgut,rotgut,container,ROUTED,0
14785,Article about soldier's figure,three,three,container,TORSO,0
77439,Gubbins the church brought in for limiting population,contraception,contraception,container,ECCLESIASTICAL,0
82772,Explosive individual in explosive situation off the coast,thesolent,the solent,container,AT SEA,0
42374,Excited about nothing? That's a laugh!,hoot,hoot,container,HAHA,0
44670,Meeting of opponents in choice setting,plenum,plenum,container,ARENA,0
82599,Merseyside Blues become green in time,everton,everton,container,EVERTON,1
61990,Girl taken in by scholar's miraculous food,manna,manna,container,MANNA,1
122645,Nordic person catches an extra fish,finnan,finnan,container,VIKINGS,0
115979,Prospector keeps sick retailer,milliner,milliner,container,CLAIMANT,0
71111,It's cunning to carry a weapon with a loud noise,stridently,stridently,container,ARTFULNESS,0
47608,Informer keeps president absorbed,rapt,rapt,container,RATI,0
41044,Sound made by soldier entering hostelry,logical,logical,container,INNINGS,0
39386,Makes financial provision on getting bad news about party,endows,endows,container,INSURE,0
32773,Settled group covered in embarrassment,resided,resided,container,SITTING,0
52696,Discover ruffian keeps right in front of the fire,hearthrug,hearthrug,container,FINDOUTS,0
58680,Home established in primitive setting with determination,earnestly,earnestly,container,HOMESTEAD,0
55455,Tame animal - it is eaten by wild one wanting food,appetite,appetite,container,DOMESTIC,0
24542,"Flower, European, containing odd bits of blue receding",danube,danube,container,LILACS,0
115372,Obscene play - interrupt endlessly,prurient,prurient,container,STOPPAGE,0
1134,Worker accepted Lawrence before becoming a fan,adherent,adherent,container,LABOURER,0
72813,Butcher eating right seafood,krill,krill,container,STEAK,0
66417,Put down action restricting newspapers,depressed,depressed,container,CENSURES,0
57932,One in a row put in dries out,disputer,disputer,container,DEHYDRS,0
51436,Richard about to drop a brick from crane,derrick,derrick,container,DERRICK,1
135242,Many a servant wants to hold you back,lackeys,lackeys,container,RETINUE,0
115225,Fuss about drink - situation causing disapproval?,arumdo,a rum do,container,ADO,0
58079,Jocularly feared? Jocularly killed's about right,dreaded,dreaded,container,SLAYERS,0
130032,Bean you are told to put in liqueur,curacao,curacao,container,LIMABEAN,0
118835,"Presiding officer, a Marxist, driven round in car",moderator,moderator,container,CHAIRMAN,0
138930,"Plucks out, at last, name amongst sporting partners",twangs,twangs,container,TEAMS,0
114302,Country put in a word of thanks for foreign capital,tirana,tirana,container,ANKARA,0
100749,Roman leader's watching out for Roman poet,virgil,virgil,container,CAESAR,0
61652,Ring road goes round a kiln,oast,oast,container,ORKS,0
125182,Be involved with a lot of time put into unfinished machine,engagein,engage in,container,IN ON IT,0
103977,Journalists in house taken up as recruits for the navy,impresses,impresses,container,PRESSGANG,0
95274,Jailed Liberal group?,clan,clan,container,CELL,0
5601,Maintain penniless specialist,exert,exert,container,KEEPER,0
73737,Setter withdraws; Berber remains,embers,embers,container,SETTER,0
120101,Waterside bird going unsteadily around end of pond,reedling,reedling,container,HERONRY,0
62128,Saving firm beset by money trouble,economy,economy,container,THRIFTY,0
137279,Revered former editor pinching a large journalist's bottom,exalted,exalted,container,DEIFIED,0
103517,Shanty about popular salt?,seasoning,seasoning,container,SEASALTS,0
12739,Having clear head in panic is unusual,scarce,scarce,container,CALMER,0
86561,"Liberated, topless and hot, embraced by one who pulls hippie type",treehugger,tree hugger,container,FREE LOVE,0
108483,Reserves have to practise during breaks,restraints,restraints,container,SPARETIME,0
112949,French university in German city's resentful about it,sorbonne,sorbonne,container,SORBONNE,1
30914,Passage taken from book unless grabbing reader at the start,excerpt,excerpt,container,EXCERPT,1
92929,Elizabeth I's favourite beer in curtailed privilege,raleigh,raleigh,container,ALEHOUSE,0
137810,Shifty of you French to pinch Naomi's bottom,devious,devious,container,SNEAKYFU,0
8523,I keep a number of lawyers from Prohibition,embargo,embargo,container,KEEPERS,0
38626,"Round, with brains in colour, not straight",oblique,oblique,container,CEREBAL,0
5428,Finished in a state between Scylla and Charybdis?,endangered,endangered,container,BETWEENDEV,0
78155,Something fishy leads to warning about air trip,caviare,caviare,container,FISHING,0
112584,Offered and was inclined to embrace soldier,tendered,tendered,container,TENDERED,1
105988,Unaware of nice mess in egg container,nescient,nescient,container,IGNORANT,0
124311,Men taking the bait and ringing,orbiting,orbiting,container,LANDLINE,0
43804,"It's a capital living, admits one leading jockey",beijing,beijing,container,ATHENS,0
28437,A case of silence stifling passion,sheath,sheath,container,APATHY,0
96141,A measure adopted by prince of the blood,haemal,haemal,container,UNITS,0
84685,"George Orwell and Colette finally breaking even, which produces a high note",flageolet,flageolet,container,EQUATING,0
140446,African people go off into depot,barotse,barotse,container,MASAIS,0
74584,Diva cries about article,callas,callas,container,PRIMAD,0
29525,Fellows entering into a welcome correspondence,agreement,agreement,container,MAILMEN,0
135527,Gardner is hugged by admirer in plant,favabean,fava bean,container,ERICA S,0
129908,Therapist of the nose? Pay attention to include wise report about that,psychoanalyst,psychoanalyst,container,RHINOLOGIST,0
37465,What's gloomy about me - I can't concentrate,dreamer,dreamer,container,MELANCH,0
135701,Leaked info set back work during disputes,tipoffs,tip offs,container,LET IT,0
45234,Draw sleek creature in lovely shell,lottery,lottery,container,TURTLE,0
128742,A radio personality in a hairstyle that's a mess,abadjob,a bad job,container,DJ MESS,0
26632,"Bishop drinking whiskey with solver, unemotional",dryeyed,dry eyed,container,ICE MAN,0
22563,Greek captured by wanton scoundrel,rogue,rogue,container,ROGUE,1
54349,Way out writer in French restaurant,bistro,bistro,container,AUTHOR,0
72395,"Sage, I'm sorry to say, comes back around six",salvia,salvia,container,WISDOM,0
99858,Column of Dutch sheep?,newel,newel,container,FLOCK,0
67831,Reel drunkenly in game lacking spirit,cheerless,cheerless,container,STUMBLE,0
24369,Experts attempt to incorporate new blood,ancestry,ancestry,container,PROFESSION,0
84007,Refusal to include pollarded tree in mock sea battle,naumachy,naumachy,container,DENIALS,0
72899,"Look in the bin, to wit, to get one's own back",scavenge,scavenge,container,REVENGE,0
4624,Roundhead boarding weary compiler's boat,trireme,trireme,container,CRABBER,0
68820,"Descartes seen outside clinic, half-shattered, needing rest",recline,recline,container,CARERES,0
29936,Communist receives a caution over Socialist fortune-tellers,tarotcards,tarot cards,container,RED SEERS,0
73739,Cavalryman turns back without thinking about us,hussar,hussar,container,TROOPER,0
30843,"Paddy takes it, being small",petit,petit,container,RICES,0
110483,Blend includes art arranged in rectangular array,matrix,matrix,container,MIXING,0
58232,Turn evil during temperance drive by New Labour?,modernisation,modernisation,container,CORRUPTION,0
64335,"Rope, look, tethering donkey",lasso,lasso,container,HALTER,0
9137,Force hospital into consortium,thrust,thrust,container,THRUST,1
119364,Where top artists seek inclusion with nude?,intheraw,in the raw,container,IN THE,0
21240,"The rock of ""rock, paper, scissors"" keeps right on top",first,first,container,STONE,0
12824,Charlie leaves boat for shrine,oracle,oracle,container,CHURCH,0
122095,"Solicitor nabs service people, securing title in contest",tournament,tournament,container,CHAMPIONS,0
1219,Juliet's town is not on for her,vera,vera,container,VERO,0
21003,Insect burrowing into straight banana,plantain,plantain,container,EARWIGS,0
20182,Skin disease going around English riding school,manege,manege,container,ECZEMA,0
9485,It's an effort to go round Waterloo with it,trendy,trendy,container,STRAIN,0
96325,Swirling mist hides the way forward,immodest,immodest,container,NEBULAE,0
93475,Smirks about power of social outcasts,lepers,lepers,container,SNEERS,0
16414,Nasty skin complaint through sprawling outside,bitchy,bitchy,container,ECZEMA,0
73202,Falsely accused by FBI man about crash,framed,framed,container,FRAMED,1
115234,Excessive praise about Edward at university starting course for mature students,adulteducation,adult education,container,OVER THE TOP,0
104625,Boy from the West in Scottish burgh,edwin,edwin,container,LADDI,0
123401,Spicy stuff to read outside pub before lunch,cinnamon,cinnamon,container,HORSERAD,0
43593,Like beauty of a sort with ooze about it,skindeep,skin deep,container,OF A KIND,0
107689,"Politician, during progressive period, is acquiring intelligence",reconnaissance,reconnaissance,container,POLITICIAN,0
37564,Miracle drug for backside in trouble,elixir,elixir,container,ASPIRIN,0
7968,"A powerful man, the ambassador makes a pronouncement about cold",hercules,hercules,container,TSARINA,0
65680,Belief about view endlessly increasing,crescendo,crescendo,container,OPINIONS,0
38417,"Refuse to ride horse, using whip",thrash,thrash,container,DENIAL,0
102956,Individual giant houses for Renaissance man,titian,titian,container,ATLAS,0
9206,"Continent, not island, shortly to be put in geography book",atlantis,atlantis,container,AFRICA,0
4790,Beefy type crosses state to find gem,onyx,onyx,container,OPAL,0
124445,Began to wriggle around in truck,loganberry,loganberry,container,STARTLING,0
126215,Hot glow of anger in experience with BA?,firelight,firelight,container,IREFULBA,0
40719,Secretary in the States is a sap,upas,upas,container,SECR,0
70011,Vulgar American four entertained by their President no longer,abusive,abusive,container,CRASSUS,0
45410,A number observed outside happening,seventeen,seventeen,container,AN EVENT,0
