Index,Clue,Solution,Spaced_Solution,gemma_predicted,gemma_solved_answer
46124,Backward country's government relinquished control,rein,rein,assemblage,CEDE,0
18147,Cautionary cry in Somerset,watchet,watchet,assemblage,WARNING,0
83781,Lack of control in a Hackney report,ataxy,ataxy,assemblage,CHAOS,0
135550,"Ruin what you do, separating messily in NYC",insolvency,insolvency,assemblage,BANKRUPTCY,0
89259,"Better old city parking, as on board?",surpass,surpass,assemblage,SURPASS,1
131774,How one may make progress on one's feet,insteps,insteps,assemblage,STRIDES,0
118699,"Awake, went out rejuvenated",updated,updated,assemblage,REVIVED,0
49154,Give up because of one's self-image?,forego,forego,assemblage,RESIGN,0
33759,Bishop has to dismiss rising resistance to church,exarch,exarch,assemblage,BISHOP,0
88824,Unpleasant period having fibre to eat,roughage,roughage,assemblage,HARDSHIP,0
36873,One may have a fair throw at it,coconutshy,coconut shy,assemblage,DARTBOARD,0
136427,They're not static water towers,tugboats,tugboats,assemblage,CASCADES,0
20590,"Very strict cook, marginally improved",rigid,rigid,assemblage,RIGID,1
27022,"Silver and jade, like Yeatsian midnight",aglimmer,aglimmer,assemblage,ARGENTINE,0
68631,Ascetic almost spoiled food,yoghurt,yoghurt,assemblage,SPARTAN,0
52780,A despatch note?,deathwarrant,death warrant,assemblage,DEATH WARRANT,1
113746,Influence of Tory boor,clout,clout,assemblage,CLOUT,1
97348,"If that's really the hat you want, I'm not stopping you",onyourheadbeit,on your head be it,assemblage,GO AHEAD AND WEAR IT,0
103047,Firm recalled watchmaker at noon for special event,occasion,occasion,assemblage,OCCASION,1
130037,Agency worker almost the last word in saucy humour,temperament,temperament,assemblage,SASSINESS,0
58815,Sexy bottom? It might encourage rapid but unwelcome developments,hotbed,hotbed,assemblage,SWELLS,0
120027,Off day? That is criminal,baddie,baddie,assemblage,BADDIE,1
131905,"God, who's flipping cut grass that's already been cut and dried?",yahweh,yahweh,assemblage,YAHWEH,1
8075,Dog mounting sheep,mutton,mutton,assemblage,PURSUE,0
90907,What the publican calls late on many occasions,timeaftertime,time after time,assemblage,TIME'S LAST CALL,0
92289,They watch as three points can go to Golf driver,sentinels,sentinels,assemblage,SPECTATOR,0
27833,Finish urge - that woman will,eggshell,eggshell,assemblage,TERMINATE,0
87664,"Gather together in the morning, when heading to school",amass,amass,assemblage,AMASS,1
136259,Current tests pushed back repressive force,stasi,stasi,assemblage,TIDAL,0
45328,Judge a royal nipper,arbiter,arbiter,assemblage,ARBITER,1
134097,Best of United's wingers running round Hearts scorer?,georgegershwin,george gershwin,assemblage,GEORGE BEST,0
97538,"Came across a sailor, oddly skin and bones",metatarsi,metatarsi,assemblage,EMACIATED,0
119876,Official order to blockade islands when there's a disturbance,incident,incident,assemblage,BARRISTER,0
102393,Distress with endless problems one day before,aggrieve,aggrieve,assemblage,STRESSED,0
110550,Display unit of wine and spirits,reddevils,red devils,assemblage,BIN SPIRITS,0
114055,Boatman in youth given order to vacate land,navalcadet,naval cadet,assemblage,FERRY MAN,0
94794,Nothing to bone of bones,osteal,osteal,assemblage,OSSEOUS,0
12544,One gets up flowers,irises,irises,assemblage,IRISES,1
28275,Prepare for scan on the Fourth of July,ready,ready,assemblage,READY,1
64787,"Apart from Spanish white wine, mostly French white wine",barsac,barsac,assemblage,SAVES,0
78750,Paid pounds for something at auction,gavel,gavel,assemblage,SPENT,0
45235,Gamble a great deal on a patched-up tyre,lottery,lottery,assemblage,LOTTERY,1
80812,One's inclined to strike with Popular Front,ramp,ramp,assemblage,LIST,0
328,Smooth limb at end of torso,legato,legato,assemblage,ARMED,0
101752,"Restricted middle section used to be soft, then it was revised",waspwaist,wasp waist,assemblage,WAIST BAND,0
132261,Contract gamble upset live broadcaster?,beeb,beeb,assemblage,TERM,0
17691,Like to take one to a region where Jesus was born,asia,asia,assemblage,ASIA,1
133184,Excite poorly-fed bird first,titillate,titillate,assemblage,STIMULATE,0
86199,Alumnus sitting with Scarface is haunted,obsessional,obsessional,assemblage,ALUMNUS-SITTING,0
12053,"Listener's home, the grave?",earnest,earnest,assemblage,EARTHEN,0
132191,"When pressed, manages passes",getsby,gets by,assemblage,IRON ON,0
120780,"Shows insubordination, giving support to negotiations",talksback,talks back,assemblage,BACKS DOWN,0
25985,One bombardier gets in before another,encore,encore,assemblage,BEFORE,0
87722,Writer improperly abridged,amis,amis,assemblage,REED,0
19647,Old empress giving away last instrument,ocarina,ocarina,assemblage,SOPRANO,0
95875,President exchanges vote for new fabric,ninon,ninon,assemblage,VOILE,0
102140,"Floater, one joining church to criticise",icepan,ice pan,assemblage,ICE CAP,0
103076,Function applied to cube with no fixed date,sinedie,sine die,assemblage,OPEN END,0
13659,Wanted revolutionary to support sideshow,desired,desired,assemblage,SIDEBAR,0
43509,Herod's son to gain entree to Rome ?,antipasto,antipasto,assemblage,ANTIOCHUS,0
123013,"Lawless one meeting end in electric chair, perhaps",anarchic,anarchic,assemblage,OUTLAWED,0
83431,Odd people in error in Eden,originalsin,original sin,assemblage,SQUARE PEG,0
54257,"Squeeze round corners, leaning heads skywards in ravine",gulch,gulch,assemblage,GORGE,0
33788,I follow through with spirit,peri,peri,assemblage,PERI,1
121561,"After head start, wind up on winners' tail: put your shirt on them?",hangers,hangers,assemblage,HANGERS,1
89373,Quarrel can get personal in place like Harrogate,spatown,spa town,assemblage,SPA TOWN,1
61851,Astonished by one-way fold,awestruck,awestruck,assemblage,STUNNED,0
70788,"Mammals (the last shall be first), named like Washington, say",eponymous,eponymous,assemblage,PRIMATES,0
88354,"Former eastern country, catching bug, going west with eastern dressing",mayonnaise,mayonnaise,assemblage,SASHIMI,0
42965,Emitting light from silver base,aglow,aglow,assemblage,AGLOW,1
116963,"Taking public transport back to worker after ten, he pays part of lease",subtenant,subtenant,assemblage,SUBTENANT,1
87505,"Argument tense, blowing top",tiff,tiff,assemblage,TIFF,1
68732,Prompt service for TV presenters,idiotboard,idiot board,assemblage,CUE CARDS,0
260,Provincial half of army behind endless abuse,insular,insular,assemblage,VULGAR,0
71142,Poet having gone short of books,abse,abse,assemblage,OVID,0
104224,Numbers of a nonstarter,nono,no no,assemblage,NO NO,1
69095,Blue wine is a washout,sadsack,sad sack,assemblage,SAD SACK,1
20326,A daughter in French port finally off? Not so fast!,andante,andante,assemblage,ANDANTE,1
47811,Artists apply to less than saintly monk,rasputin,rasputin,assemblage,TRAPPIST,0
85426,Mechanism for turning right in an agitated state,lather,lather,assemblage,WINDER,0
107684,Composer's scornful work not given run,satie,satie,assemblage,SATIE,1
139214,Over the moon here to have secret room,deepspace,deep space,assemblage,BACK ROOM,0
83334,"Crude, Puck? Not at first, with well-connected people",oilmen,oilmen,assemblage,GENTRY,0
140963,Actor with sheet sings from the bottom,filmstar,film star,assemblage,DEEP BASS,0
99777,The work yet to come from PL for truly harmon-ious movement,poetryinmotion,poetry in motion,assemblage,BALLET DE L'OPERA,0
111745,"Dead popular thought, disposing of male!",insentient,insentient,assemblage,DEPOPULATE,0
83741,"Sailor, soldier and girl join in dance",tarantella,tarantella,assemblage,TANGOING,0
35240,Hair and metallic mineral stink,furore,furore,assemblage,METALLIC,0
77728,"Superior selection of wines, we hear, which has sold a lot",bestseller,bestseller,assemblage,AUCTIONEER,0
14218,Circulator to bear losing head,eddy,eddy,assemblage,EARS,0
20346,"First letter is open, perhaps letter from abroad",epsilon,epsilon,assemblage,ALPHABET,0
44148,Bridge team that's in switched-off state - it can't last,transience,transience,assemblage,EVANESCENT,0
115544,Gym instruction by top man in place of games once,peking,peking,assemblage,LIFTED,0
91339,More than is required for six deliveries?,overcapacity,overcapacity,assemblage,OVERABUNDANT,0
35103,United supporters come back in a mess,snafu,snafu,assemblage,SNAFU,1
79676,Make use of the quality of diamonds - without diamonds,harness,harness,assemblage,HARNESS,1
116745,Hit I have in a regular series,successive,successive,assemblage,PERIODICAL,0
42522,Insects delightful? Not one - that's right!,licence,licence,assemblage,MANTIDS,0
131796,Mate rounded Cape unnoticed,hubby,hubby,assemblage,SLYLY,0
62123,Indian sage that's been topped and crushed by child's mother,mahatma,mahatma,assemblage,MAHATMA,1
10169,Nation in plan to lose weight,india,india,assemblage,SPAIN,0
110915,Lady golfer embraces feminist model in smart dress,whitetie,white tie,assemblage,CLEAN CUT,0
33803,Tot's taking mother across river,dram,dram,assemblage,DRAM,1
9566,Volunteers to return sombre tunic,tabard,tabard,assemblage,TABARD,1
104675,Graphic artist uses wire and string,signwriter,signwriter,assemblage,LINEDRAWER,0
2174,Herb in paper covering's behind the salt,tarragon,tarragon,assemblage,SALTWORT,0
90362,Article comes together for Guardian messengers?,angels,angels,assemblage,ANGELS,1
83569,Thin binding weed - it's what's observed on road,speedlimit,speed limit,assemblage,SPEED LIMIT,1
121660,"Sweet where OAP is in EastEnders, perhaps?",afters,afters,assemblage,SORBET,0
91077,Dress up a day in advance for lover,girlfriend,girlfriend,assemblage,SWEETHEART,0
12080,Lie concerning strength of character,fibre,fibre,assemblage,SPINE,0
121128,Scruffy label on scruffy item of clothing,ragtag,ragtag,assemblage,BLAZER,0
120450,Priest's crime taking time in a clerical residence,parsonage,parsonage,assemblage,PARSONAGE,1
102609,"Suffering different elements, primarily hail",hellothere,hello there,assemblage,SMALL HOURS,0
91484,Composer left a little bit of nonsense,fallal,fallal,assemblage,STRAUSS,0
21197,About to experience the finale of William Tell,inform,inform,assemblage,RECALL,0
15736,"Opening for a salesman turned up, true to form",aperture,aperture,assemblage,S-S-T-A-N-D-S,0
25655,"Enter Dotty, with bird's dance movement",entrechat,entrechat,assemblage,TREADMILL,0
142265,Cry out for the old record format,yelp,yelp,assemblage,YELL,0
56118,"Petit dejeuner, one tucked away by worker in a bad mood?",croissant,croissant,assemblage,BREAKFAST,0
132272,"After a drink, German enthusiast gets a biscuit",gingernut,ginger nut,assemblage,GINGER NUT,1
15122,Drink for each returning academic,pernod,pernod,assemblage,PERNOD,1
9582,Top-class detectives initially left in clear,lucid,lucid,assemblage,LUCID,1
46160,Primitive sailor of marked individuality,aboriginal,aboriginal,assemblage,ARCHETYPAL,0
116989,Parent with fruit,papaw,papaw,assemblage,ELDER,0
58349,Travel through East End district with offensive weapon,crossbow,crossbow,assemblage,CROSSBOW,1
102947,Bones in the head all turned to point,patellae,patellae,assemblage,AXILLAE,0
82828,Mark Antony's extreme spirit,brandy,brandy,assemblage,MYSTIC,0
133038,"Go for somewhere in Scotland, as Dickens character",pickwick,pickwick,assemblage,STEERFORTH,0
24289,Penny has beer and pasty,pale,pale,assemblage,PALE,1
2119,Is young Blair a supporter? Insert number in Irish Sea,isleofman,isle of man,assemblage,BACK TO BACK,0
31193,Prince not turning up for dance,charleston,charleston,assemblage,SARABANDE,0
130810,Joint drinks parties,kneesups,knees ups,assemblage,SPARE RIB,0
123507,Cats finally sounding happy? That's encouraging,spurring,spurring,assemblage,SPURRING,1
64343,Clothing society suffering legal action,shellsuit,shell suit,assemblage,COURT CASE,0
129802,Hawk seizing tail of mynah bird,chough,chough,assemblage,SHRIKE,0
80173,Returns to digs for economy's sake,retrenches,retrenches,assemblage,RETRENCHES,1
17188,Snooker player breaks with end of cue,white,white,assemblage,SPLIT,0
123957,We murmur a short reply,humans,humans,assemblage,ANSWER,0
84810,"Taffy's home - right, left and roundabout",landofmyfathers,land of my fathers,assemblage,ROAD TO WALES,0
46118,Racket's centre starts to buckle under bombardment,hubbub,hubbub,assemblage,BARRAGE,0
100731,Close to last time food warnings ensue,threats,threats,assemblage,SAUSAGE,0
53604,Dramatic confidence?,stagewhisper,stage whisper,assemblage,STAGE WHISPER,1
137650,Model receiving complaint to consider retiring after hostilities ended,postbellum,post bellum,assemblage,SIGHED PEACE,0
131463,Badger resorted to exit by road,streetdoor,street door,assemblage,STREET WALK,0
40206,American small change being found in school is dodgy,suspect,suspect,assemblage,SUSPECT,1
76832,To compensate for one short day is to take heart from another,satisfy,satisfy,assemblage,REDRESS,0
77279,Crazy over North American icon,madonna,madonna,assemblage,MADONNA,1
85039,"Each one opening, under no circumstances remaining open",uncover,uncover,assemblage,STAYING,0
132678,East European city where two vessels turned up,krakow,krakow,assemblage,WARSAW,0
10979,Check demand for material,damask,damask,assemblage,CANVAS,0
89803,Mobster's joint is cover for card operation,scarface,scarface,assemblage,CASEWORK,0
120047,"C, half-cut Bush, for example, gatecrashing his party?",cameron,cameron,assemblage,CABINET,0
31190,Prince not getting up for the dance,charleston,charleston,assemblage,PASODOBLES,0
14982,Boy-meets-girl opera,leonora,leonora,assemblage,FIDELIO,0
38536,Getting through to farms about ground that's always frozen,permafrost,permafrost,assemblage,PERMAFROST,1
93127,Prima donna gets a quid for appearing in lights,divali,divali,assemblage,DIALED,0
67110,"An abstract point, to be exact",precise,precise,assemblage,PRECISE,1
112609,Sleep until noon (twelve),dozen,dozen,assemblage,DOZEN,1
120758,Snowman? College erected it,inuit,inuit,assemblage,IGLOO,0
6072,Bottom of league in Cheshire and East Lancashire?,cheese,cheese,assemblage,SADDLE,0
140892,Setter's upset over good answers to puzzles,enigmas,enigmas,assemblage,ENIGMAS,1
84465,Eat away without starting to bring back,etch,etch,assemblage,EDOR,0
56976,European in next cell tortured in capital,excellent,excellent,assemblage,EXCELLENT,1
121312,Hole number dealing with bad habit,crevice,crevice,assemblage,SNARENO,0
61605,"Bulbs shining, these charged",onions,onions,assemblage,ONIONS,1
108513,Its partition was booked,redsea,red sea,assemblage,THE BOX,0
132928,"Beacons required to follow this, if range is to be obtained",brecon,brecon,assemblage,STOVE,0
100257,Help fool individual with attitude,assistance,assistance,assemblage,ASSISTANCE,1
70181,Peculiar issue more likely than not,oddson,odds on,assemblage,ODDS ON,1
28384,"I am the cat among dairy produce, going to overlap?",imbricate,imbricate,assemblage,IMBRICATE,1
64671,I throw my weight around the angel,islington,islington,assemblage,SERAPHINA,0
19964,Honour given to boy king ...,oberon,oberon,assemblage,ALFRED,0
1697,"Like mistletoe, it is a hit when put up, caught underneath",parasitic,parasitic,assemblage,PARASITIC,1
58634,Praise the boot rejected by lieutenant,exalt,exalt,assemblage,EXTOL,0
40505,Ass in America leading to American kerfuffle,rumpus,rumpus,assemblage,ASSASS,0
3319,"Blue died, a bit of an act",obscene,obscene,assemblage,BLUEYED,0
134763,Male children's book character heard singing in church?,hymnody,hymnody,assemblage,SUNGCHO,0
61642,Badly treated and is unserviceable in the sea,misused,misused,assemblage,SOUSEDS,0
118902,Tabloid pictures which closely resemble one another,mirrorimages,mirror images,assemblage,DOUBLE IMAGES,0
9249,First of Walter Mitty's turns: provide defence and make me conform,twistmyarm,twist my arm,assemblage,WRITE IN,0
20073,"One in dock, employed by a county council",accused,accused,assemblage,ACCUSED,1
84068,Contrary commercial jingle,adverse,adverse,assemblage,ADVERSE,1
103255,Anxiety about hair stops you sleeping,alarmclock,alarm clock,assemblage,SLEEP APNEA,0
25043,Australian one needing invigorating air,ozone,ozone,assemblage,OZONE,1
90023,Live at home after a short break as an artist,holbein,holbein,assemblage,RENOIR,0
38309,"Very French attempt to seduce is wrong, legally",trespass,trespass,assemblage,LAWFULLY,0
41551,Report to do with extremity,retail,retail,assemblage,RETAIL,1
40401,Town's ancient guy who must have been out of the ark,oldham,oldham,assemblage,OLDHAM,1
86393,Tick Kennedy's heart's condition,jiff,jiff,assemblage,MINT,0
17359,Student caught with a dictionary,coed,coed,assemblage,COED,1
14827,Battle later developed into chase,waterloo,waterloo,assemblage,WATERLOO,1
121362,Pet with pal struggling over a tree,catalpa,catalpa,assemblage,CATALPA,1
123072,"Bird back after season abroad, man's problem afoot?",fallenarches,fallen arches,assemblage,FRENCH POLISH,0
129375,Resident superpower stuffing herb in meat product,liversausage,liver sausage,assemblage,LIVER SAUSAGE,1
91232,"Power governs tube centrally - US tube, that is",subway,subway,assemblage,SUBWAY,1
26262,Finally gives woman liquid nitrogen to make frozen sculpture,snowman,snowman,assemblage,SNOWMAN,1
59714,She provides father with cooked meal,pamela,pamela,assemblage,PAMELA,1
85449,Musicians send naughty messages to alien,sextet,sextet,assemblage,SEXTET,1
91286,"North African halves a number, then doubles it",berber,berber,assemblage,NUBIAN,0
32282,Asian city is unfinished - that's symbolic,mandala,mandala,assemblage,TOKENLY,0
85069,First class return to Southern Pacific country,australia,australia,assemblage,INDONESIA,0
85059,"Understands about grinding lens with cunning, but without reason",senselessly,senselessly,assemblage,IRRATIONAL,0
110739,Poet (Her Majesty's jester) in banjo performance,sirjohnbetjeman,sir john betjeman,assemblage,THE LAST MOHICAN,0
133661,Setting about ’eadgear to protect aviator,flyingat,flying at,assemblage,SITTING IN,0
7751,One's brief trade with a Mediterranean isle,ibiza,ibiza,assemblage,MALTA,0
63748,Mums and dads are not welcomed by attendant,parentage,parentage,assemblage,CARETAKER,0
93074,Hotlines to the Met Office,isotherms,isotherms,assemblage,STEAMPIPE,0
32854,"Stipulation for and against one's opinion, at first",proviso,proviso,assemblage,PROVISO,1
134372,"Initially, Gilbert holds back blows",wafts,wafts,assemblage,GUSTS,0
53279,"Drink triple gin, initially, with one rum",eggnog,eggnog,assemblage,GINGER,0
133634,Entrenched bridge adversaries scrap over inches,enshrined,enshrined,assemblage,INGRAINED,0
114251,Non-interventionist passes away,handsoff,hands off,assemblage,HANDS OFF,1
21379,Fast on the Italian pulse,lentil,lentil,assemblage,LENTIL,1
88237,"Unfaithful wife seen in food shop, note",delilah,delilah,assemblage,INFIDEL,0
109206,The Guardian starts to assess Roman government under Severus,argus,argus,assemblage,CURIA,0
32865,Excited by a small bet,aflutter,aflutter,assemblage,AGITATED,0
111818,One comes across despondency behind the game,humpbackbridge,humpback bridge,assemblage,BILLIARD TABLE,0
109262,One article by Belgian author,ianfleming,ian fleming,assemblage,THE VAN,0
46284,A small drink including minimum of table wine for starters,antipasti,antipasti,assemblage,APERITIFS,0
93561,"Abroad, I start to eat angel cakes for tea",darjeeling,darjeeling,assemblage,TISANOLOGY,0
23791,Question One is on Irish force seen in the Middle East,iraqi,iraqi,assemblage,IRAQI,1
80430,Allows to go free the wrong way round shops,outlets,outlets,assemblage,RELEASE,0
92531,Exercise about to strengthen soldiers' disposition,placement,placement,assemblage,ALIGNMENT,0
107908,Dislike Greece?,hellas,hellas,assemblage,LOATHE,0
56894,Drunken Scottish soldiers vote for abuse to the optically challenged,foureyes,four eyes,assemblage,SOFT SOAP,0
140402,"Almost stop working, stupid",goof,goof,assemblage,DAFT,0
123938,Special quality that's needed by female member of cast,xfactor,x factor,assemblage,X-FACTOR,1
56836,Dives with power to crap - occasionally gull slightly worried tour leader,plutocrat,plutocrat,assemblage,PRECIPICE,0
24314,Fancy a chart-topping single,imagine,imagine,assemblage,CURIOSA,0
134583,Leading pairs eliminated from race came late - very grave situation,cemetery,cemetery,assemblage,CEMETERY,1
40818,Entertained everyone sitting initially in the pit,hades,hades,assemblage,STALL,0
48911,"Deceived by the devil, though not in so many words",implied,implied,assemblage,TACITLY,0
123424,People of intelligence love to have the last word,ciao,ciao,assemblage,SPYS,0
61555,"Say: ""Don't stop her entering ring or pillar?""",letterbox,letter box,assemblage,DORIC COLUMN,0
119780,Label report of familiar ex-captain,gucci,gucci,assemblage,BRAND,0
29427,"Home Secretary and rock'n'roll guitarist: one's barren, another's wild",strawberry,strawberry,assemblage,HENDRIXIAN,0
43832,About to pick up Boris's book,rebecca,rebecca,assemblage,RECORDS,0
18596,"Sailor, for example, said to observe traveller",seafarer,seafarer,assemblage,VAGABOND,0
134677,Writer's sweet Breton confection,charlottebronte,charlotte bronte,assemblage,CHOCOLATE TRUFFLE,0
71414,"Exhortation to study ""The Maid of the Mountain""",oread,oread,assemblage,OPERA,0
51311,"Eat half of plate, then drink",digin,dig in,assemblage,ATE UP,0
34678,To have one return a casual hug is sufficient,enough,enough,assemblage,ENOUGH,1
83450,Spirit of revolutionary beasts? Extremely serious!,spunkiness,spunkiness,assemblage,STERNLY,0
60190,Earwig could make part of house fall down,eavesdrop,eavesdrop,assemblage,EAVESDROP,1
111345,"Sanction a run in souped-up car, a small one for racing",gokart,go kart,assemblage,GO KART,1
86446,Escorts backing The One Show,gigolos,gigolos,assemblage,CONVOYS,0
22268,Boy game to help people across the Thames,albertbridge,albert bridge,assemblage,LONDON BRIDGE,0
120159,"He's done his money and he's back for mine too, note",prodigalson,prodigal son,assemblage,BANKRUPT BILL,0
28086,The French in their way backing Swiss mathematician,euler,euler,assemblage,EULER,1
8939,Where there's very little point to motor to London?,scarcity,scarcity,assemblage,DRIVELON,0
125319,Broadcast with some singers heard in military locations,airbases,airbases,assemblage,AIRBASES,1
37108,"No longer single speed, that's clear",exonerate,exonerate,assemblage,DISSIPATE,0
107391,Patriots withdrawing singular honour for Hollywood legend?,stanlaurel,stan laurel,assemblage,JUDY GARLAND,0
38175,Love Jack's preaching,orating,orating,assemblage,ORATING,1
111666,"Weber's first, A minor (unfinished) - it's avant-garde",wayout,way out,assemblage,NEW ART,0
108542,Firm support in car ...,fastback,fastback,assemblage,BALUSTER,0
105720,"Rhythmic sound heard initially in jazz performer, pet scarpering",thrum,thrum,assemblage,TEMPO,0
13664,Spare a bob - by one having plenty to spare,slender,slender,assemblage,RESERVE,0
37110,"Solitary sailor, capsized in river, gets clear",exonerate,exonerate,assemblage,ELUCIDATE,0
66726,"Without moving anything, replaces money in cash register",stockstill,stock still,assemblage,STAND STILL,0
19537,Anticipate everyone's after lots of trees,forestall,forestall,assemblage,FORESTALL,1
53125,Perform in panto horse perhaps? That creates interest,behalf,behalf,assemblage,ACCRUE,0
44923,Adult paper under discussion,atissue,at issue,assemblage,AT ISSUE,1
61299,State whether it's high and rocky,massif,massif,assemblage,ALASKA,0
78323,Learned a lot of rubbish about time,literate,literate,assemblage,SCHOOLED,0
24523,"Don't cook enough food, red nuts having been shelled and sent back",underdo,underdo,assemblage,STUNDER,0
123841,"Extract from pool: if hurt, yell",fishout,fish out,assemblage,BAIL OUT,0
63158,"After St Giles' day, many are turning rotten",septic,septic,assemblage,PUTRID,0
55980,"Savage, being sorrowful, is twitching",sadistic,sadistic,assemblage,SPASMODIC,0
66489,Dim British king on stage,blear,blear,assemblage,BROWN,0
36268,Shakespeare gave her a dream lover. Her mother grabbed one too!,hermia,hermia,assemblage,HERMIA,1
94662,Drinker's hangover?,beergut,beer gut,assemblage,BEER MAT,0
62973,Unhappy lord outside Parliament finally gives indication of imminent departure,bluepeter,blue peter,assemblage,STOP WATCH,0
133577,Fine to repeat old clue about diamonds,okeydokey,okey dokey,assemblage,RICE FIELD,0
95206,"It's remote without a good car, that is - so his work is done on the hoof",farrier,farrier,assemblage,FARRIER,1
32820,Smart girl with copper chain,cutie,cutie,assemblage,CUTIE,1
49005,The BBC hasn't begun to deliver,untie,untie,assemblage,UTTER,0
66368,Unpredictable after opening of safety pin,skittle,skittle,assemblage,ERRATIC,0
95297,Centre back in attack last to display violence,ferocity,ferocity,assemblage,SLAUGHTER,0
69595,Ride high where observation was out of this world,goonhilly,goonhilly,assemblage,SKYROCKET,0
38198,Army block retreat to capital,rabat,rabat,assemblage,MADRID,0
71503,Sailor to keep going round with vocalist,nelsoneddy,nelson eddy,assemblage,SINGER BIRD,0
79562,"Back off beach, returning catch to dock",shorten,shorten,assemblage,SHORTEN,1
62477,Thought of money spent,mused,mused,assemblage,MUSED,1
91085,"Old actor, getting wiser over time",stager,stager,assemblage,STAGER,1
126158,Jazz pianist's ideal climbing shrub,fatsia,fatsia,assemblage,SENAIL,0
26031,"Vegetable, small and sweet",spud,spud,assemblage,PEAS,0
83379,"Secretary's individual letters, one in black and white?",panda,panda,assemblage,ZEBRA,0
112757,Religious man's reluctance to spend if he has a lot of money,parsi,parsi,assemblage,PRIOR,0
89921,"Fledgling business in sheep, the main attraction!",startup,start up,assemblage,SHEEP DIP,0
24906,You mean two jurors are incompetent? That's with defence potential,tenable,tenable,assemblage,URETHRA,0
120265,"Poem girl's written, top off pen, on state's port",riodejaneiro,rio de janeiro,assemblage,THE OLD CURIOUS,0
71549,Become familiar with ABBA's debut song on the radio,attune,attune,assemblage,ABSORB,0
87371,Vegetables spoil the lines of a garden,marrows,marrows,assemblage,PARSNIP,0
47909,Royal bash involves performing music,rondo,rondo,assemblage,PARTY,0
44336,Restrain employee taking smack,handcuff,handcuff,assemblage,CURBSTEP,0
120294,Suddenly Arthur's beginning to suspect Lancelot,allatonce,all at once,assemblage,ALL AT ONCE,1
48454,Footprint creates initially unvoiced terror,tread,tread,assemblage,TREAD,1
84760,Banker having shrewd effect,execute,execute,assemblage,TREASUR,0
97241,Sponsor of art ultimately was consumer,tate,tate,assemblage,USER,0
63687,"Watch next to key, a surprising sight",eyeopener,eye opener,assemblage,EYE OPENER,1
96332,Majority is cut in Bosnia,mostar,mostar,assemblage,MOSTLY,0
75090,"Joked about TV programme, one with leaves",gateleggedtable,gate legged table,assemblage,FOUR LEAF CLOVER,0
110110,"Fleas dancing below stairs, Uriah Heep's speciality",selfabasement,self abasement,assemblage,FALSE HUMILITY,0
131553,Utopian plan son's told tales about,idealised,idealised,assemblage,SOCIALISM,0
2449,Lord Muck in effusion by Charlie Chaplin,goldrush,gold rush,assemblage,SOFT SOAP,0
47179,"Morgan, say, and Paddy dress down",carpet,carpet,assemblage,BERATE,0
25434,Game not started by a back,ridge,ridge,assemblage,SNARE,0
103367,Opening removed and fixed,outset,outset,assemblage,SETTLED,0
