Index,Clue,Solution,gemma_predicted,Spaced_Solution,llama_solved_answer
40287,Laciest piece in the sewing box? That's stretching it!,elastic,anagram,elastic,LACELET,0
34241,One's captivated by star-shaped feature of fluted column,stria,anagram,stria,ASTRA,0
79225,No bunker could be perfectly even,unbroken,anagram,unbroken,UNEVENLY,0
86453,Crossover door,rood,anagram,rood,PORT,0
84783,Sent us out at the end of the day,sunset,anagram,sunset,DISMISS,0
22379,Old king failing to make the grade,edgar,anagram,edgar,KINGO,0
106492,"Alas, old Bob Dylan cut short touring",sadly,anagram,sadly,ALACK,0
130471,"Raw food cursed, it needing to be cooked",crudites,anagram,crudites,UNCOOKED,0
26686,Knock run off spin bowler,elbow,anagram,elbow,OVERS,0
71373,Loved to see the dreadnought wrecked,adored,anagram,adored,ADORED,1
120766,President strangely agin dancing,polkaing,anagram,polkaing,REAGAN,0
129534,"Try, as arranged, one caught being excessively lustful",satyric,anagram,satyric,LECHERO,0
111244,Toxic soup I soon blended,poisonous,anagram,poisonous,POISONED,0
82539,"Rep's car goes off, making a hasty departure",scarper,anagram,scarper,LEGISLA,0
109400,October's brief time for playing with ritualistic symbolism,totemic,anagram,totemic,HALLOWE,0
101513,A crop is knocked flat,prosaic,anagram,prosaic,PROSTR,0
85628,A hem one should repair: everyone knows that,householdname,anagram,household name,SEAMSTRESS,0
59956,Crazy bit by Len's father needs re-writing,batsinthebelfry,anagram,bats in the belfry,GO MAD IN LIFE,0
95550,Failing to disrupt the indolence,onthedecline,anagram,on the decline,NO IT SLOTH,0
129083,Explain about what keeps a wheel on,axlepin,anagram,axle pin,AXLE,0
90108,Build new Northern capital,dublin,anagram,dublin,EDIFIES,0
23025,Cowherd's pie and broth,chowder,anagram,chowder,COWPIE,0
12794,Pitfall for member when rising,trap,anagram,trap,SNARE,0
8693,"Five earth-filled urinals, recycling all-inclusive",universal,anagram,universal,TOILETS,0
107975,Bags of vicious cruelties,reticules,anagram,reticules,ATROCITIES,0
59692,A sort able to produce old instrument,astrolabe,anagram,astrolabe,LUTISTABLE,0
82165,Drunken expat in public house has a nagging wife,xanthippe,anagram,xanthippe,EXPATRIATE,0
82360,Fantastic start to theatrical career involving N. Coward,recreant,anagram,recreant,NOVELIST,0
125168,Badly-treated migrants feeling hurt,smarting,anagram,smarting,REFUGEES,0
27602,It peels off note,epistle,anagram,epistle,ONIONS,0
65483,"Ear inflammation aggravated, so it doubled",otitis,anagram,otitis,OTITIS,1
126646,Songs of Praise hasn't managed to retain big space,anthems,anagram,anthems,HYMNSAP,0
51261,Flu? See a doctor at home,easeful,anagram,easeful,INFLUEN,0
44011,"After dissection, I preserved dead mammal",peredavidsdeer,anagram,pere davids deer,I PICKED A DEAD ANIMAL,0
23751,Order alteration in grey coat,category,anagram,category,TWEEDJACKET,0
85296,Disorderly scene may come to be arranged,beargarden,anagram,bear garden,MELEE SEAT,0
113761,"Rescue injured relative, overcoming resistance",retrieval,anagram,retrieval,RELIEVED,0
4874,Playfully delicate life abused and shortened,elfin,anagram,elfin,LILTS,0
35477,"Tandoor cooking, though aromatic, ...",odorant,anagram,odorant,ODOROUS,0
109810,Circle left to access champ hit badly about the eye,ophthalmic,anagram,ophthalmic,ECCENTRIC,0
11062,"Taken aback by swindles, tag was changed outside",aghast,anagram,aghast,STUNG,0
113847,Where some African countries are off the leash,sahel,anagram,sahel,SAHARA,0
63839,Roger eagerly brewing tea for this prime minister,earlgrey,anagram,earl grey,MAY BE,0
95584,"Bone came apart, fragments left",metacarpal,anagram,metacarpal,DISJOINT,0
25834,Player's boot is undone,oboist,anagram,oboist,UNTIES,0
131014,Does nothing in particular for protest movement,potters,anagram,potters,IDLENESS,0
43572,A bit of a laugh in porn version of Oliver!?,orphan,anagram,orphan,HUMOUR,0
140261,Islander with a sore bum getting into heavy metal,faroese,anagram,faroese,MAORIST,0
135475,Regular myth set in rich ground,rhythmic,anagram,rhythmic,PARABLES,0
96009,Epstein left centre awfully cross,splenetic,anagram,splenetic,IRELANDS,0
120515,Yes-men with absurd cares about a line,accorders,anagram,accorders,SYESMENIA,0
64540,It currently controls others at assembly,rheostat,anagram,rheostat,REGENTS,0
129187,Gentleman grappling with tens of complicated relationships,entanglements,anagram,entanglements,COMPATRIOT,0
44083,"Language barrier in American intelligence, being backward",arabic,anagram,arabic,LINGUA,0
102607,"When terribly lost, read navigation guide",lodestar,anagram,lodestar,ATLASIS,0
88338,Vegetable in garden for a change,orach,anagram,orach,PEAS,0
103214,Broken zip not that unknown - fasten with another fastener,safetypin,anagram,safety pin,REZIP ME,0
109241,Simple or complicated requests,implores,anagram,implores,PLEASING,0
8558,Unusual topic related to the eye,optic,anagram,optic,IRISES,0
18331,Odd dialect in fortress,citadel,anagram,citadel,PATOIS,0
38773,It is eaten from this Paget dish,spaghetti,anagram,spaghetti,PLATTER,0
25189,Lawgiver is left in flowing river,legislator,anagram,legislator,LEGISLATOR,1
74352,Eliza Doolittle's refined arts?,hertfordshire,anagram,hertfordshire,CULTIVATED,0
37578,Resembled a damaged knee-cap on the outside,likened,anagram,likened,PATINAE,0
112464,Composer's displaced river birds,bitterns,anagram,bitterns,SCHUBERT,0
88537,Reissued order to a fighter in the ring,toreador,anagram,toreador,REMATCHED,0
114480,E. John's backing out of Italian rock,oolite,anagram,oolite,ELTON,0
19289,"A Fowler, perhaps, spoiled Rene's date",eastender,anagram,eastender,RENOUNCE,0
89600,"Greatness, sadly, sets one apart",estranges,anagram,estranges,ISOLATED,0
87582,Unpleasantly satisfied when turning sticks,smug,anagram,smug,GLUT,0
68576,Tails begin to stop wagging - how sad!,shadows,anagram,shadows,DROOPED,0
129260,"Angstrom bewitched women ultimately, pick-ups being his forte",strongman,anagram,strong man,CASANOVA,0
6351,Signary used in the plant,syringa,anagram,syringa,ROOTSYSTEM,0
42197,Some porn he circulated could account for sexual arousal,pheromones,anagram,pheromones,HOTSTUFF,0
130732,Presiding officers trading power for new shoes?,sneakers,anagram,sneakers,CHAIRMAN,0
140167,Raises false alarm as crow flies not straight,crieswolf,anagram,cries wolf,SQUAWKS,0
136748,They provided new items here and original Christmas gifts,threewisemen,anagram,three wise men,MALL SANTA CLAUS,0
95415,A song about tourist information centre initially uncertain,agnostic,anagram,agnostic,TOURIST,0
109758,"Senior cleric, unfortunately never competent",venerable,anagram,venerable,ARCHBISHOP,0
108503,Any hitch may be attributable to this bulb going out,hyacinth,anagram,hyacinth,GLITCHES,0
62952,Tie leaves back,strap,anagram,strap,NECKT,0
64537,"Teaches a number in English, perhaps",enlightens,anagram,enlightens,EDUCATES,0
120652,"Sell pint that's dodgy, getting wasted",illspent,anagram,ill spent,PIN UP,0
126582,What could make florist pay for baker's item?,filopastry,anagram,filo pastry,FLOWER POT,0
8256,A bird others turn to,skua,anagram,skua,IBIS,0
14424,Something suggestive of the rise of corporations,smut,anagram,smut,PLCS,0
90882,Unexpected gripe about live changes producing special benefit,privilege,anagram,privilege,WINDFALL,0
11567,Fashion arbiter of Welsh taste,rarebit,anagram,rarebit,DRUIDS,0
6382,Tropical plant's a mess when crushed by earth,sesame,anagram,sesame,CANNAE,0
28291,"Turn into (maybe) lira, see?",realise,anagram,realise,CONVERT,0
57375,New deal for vote loser? Hardly,roosevelt,anagram,roosevelt,RECOUNT,0
39962,He'll store brews for the landlord,hosteller,anagram,hosteller,CELLARMAN,0
39942,Handicap by turning right and heading back,trammel,anagram,trammel,HAMPER,0
6781,Refrains from upsetting sides on the way back,desists,anagram,desists,ABSTAIN,0
128339,Brown's work for England made sons rebel,angelsanddemons,anagram,angels and demons,LLOYD GEORGE,0
111429,"Upper-class bigot is to peer, roughly, as middle class to lower?",petitbourgeois,anagram,petit bourgeois,SNOB TO NOB,0
117372,Boy found embracing girl is beaten,lashed,anagram,lashed,THROBS,0
80305,What can't be caught can be made bad in lieu,inaudible,anagram,inaudible,INCURABLE,0
118630,"Being naughty, entice with sex",existence,anagram,existence,MISBEHAVE,0
63517,"Coming from Greece, men at sea",emergence,anagram,emergence,HELLENES,0
97230,What's funny about stuff,stow,anagram,stow,MATA,0
17168,State positive European words maintained by Turner,louisiana,anagram,louisiana,ASSERTS,0
23048,Dutch product manufactured to be sent North,edam,anagram,edam,MAIL,0
99635,Unnatural is the hold-up,heist,anagram,heist,AWRY,0
103444,Sean sent new order,neatness,anagram,neatness,REORDER,0
21537,"Ran election chaotically, showing inability to endure possible consequence",intolerance,anagram,intolerance,STANDSTILL,0
98272,Eh? Ben's a confused old-timer,hasbeen,anagram,has been,BEHIND,0
36665,"Herein a peculiar tale, out of this world",ethereal,anagram,ethereal,ALIENATE,0
75628,Instrument is changing pitch,sitar,anagram,sitar,VIOLAS,0
126186,Comply with the last of compulsory orders in cell,lymphocyte,anagram,lymphocyte,OBEYTHELAW,0
13216,Mince pie and kipper for bon vivant,epicure,anagram,epicure,GOURMET,0
18779,Piece of music lisped by beater,thong,anagram,thong,SONAT,0
141849,Brew one's drunk with more sediment?,bittier,anagram,bittier,RESIDUE,0
8924,A scene suited for necromancy?,seance,anagram,seance,SEANCE,1
124012,Nasty tear on doll (snapped again?),retaken,anagram,retaken,RIPPEDU,0
75534,"Run down gradient, tumbling close to barricade",denigrate,anagram,denigrate,DOWNHILL,0
1550,"Writing after death, I go in to bury a revolutionary",obituary,anagram,obituary,OBITUARY,1
114995,"I must note effect of putting verbs at end of clauses, say",teutonism,anagram,teutonism,IMPLICIT,0
41251,Instrument for getting firm out of rotten mess,cornetto,anagram,cornetto,LYREBIRD,0
81307,One sort of mansion that would stop you from going off,insomnia,anagram,insomnia,ANCHORS,0
57195,Outlet for dispersing fuel,flue,anagram,flue,NOZZ,0
134575,Carl and Rita up for a romp - suspect initially these might get taken down,particulars,anagram,particulars,CURTAINCALL,0
119901,One proving superior bringing about reprieval,prevailer,anagram,prevailer,REDEMPTION,0
111112,Poe's ghost creeps shapelessly round the centre of Seattle,specter,anagram,specter,RAVENING,0
120974,"Bringing off crime, saint not I?",miscreant,anagram,miscreant,PERPETRATE,0
94310,Deleted it by mistake in an important document,titledeed,anagram,title deed,ERASED IT,0
25521,Letter arranging to return in first-class accommodation,iota,anagram,iota,ABCD,0
103016,Not believing a lot can be changed,fatalistic,anagram,fatalistic,SCEPTICAL,0
111768,Ascertain unusual view of a philosopher,cartesian,anagram,cartesian,VIEWPOINT,0
35202,"Singer, collapsing, to bow out",resign,anagram,resign,WARBLE,0
85043,Untouchable Costa Ricans want one badly,sacrosanct,anagram,sacrosanct,TICORICANS,0
27839,As classical wool gatherers slaughter a runic goat,argonautic,anagram,argonautic,CLASSICAL,0
132575,Scrap dealer keeps Ethel confused? Exactly!,totheletter,anagram,to the letter,IT IS TRUE,0
81545,Stirring march tune may be what weary walkers long for,armchair,anagram,armchair,RESTSTOP,0
67808,One with a peculiar attachment - perhaps she fits it,fetishist,anagram,fetishist,SHEATHES,0
101178,Almost the end of the match?,decreenisi,anagram,decree nisi,NEAR END,0
110447,I name this compound an irritant,histamine,anagram,histamine,ALLERGEN,0
122705,Unusual instances happening all the time,incessant,anagram,incessant,EVERMORE,0
110475,"Fantastic scenery: when sun comes out, see the old city",cyrene,anagram,cyrene,EDENIC,0
90522,Walk in nature's strange way,saunter,anagram,saunter,RAMBLES,0
111957,Torpedo carriers ordered to base,eboats,anagram,e boats,SUBMAR,0
109395,It's hard to recall ingredients of country remedy,emery,anagram,emery,SALVE,0
100066,Then hear dean get potty about old Bible and what's in it?,heavenandearth,anagram,heaven and earth,GENESIS,0
29555,Alter formation? Not yet,later,anagram,later,SHAPE,0
87619,CNN hired a drunk with an impediment,hindrance,anagram,hindrance,STAMMER,0
949,A notion to be cast as the Merchant of Venice,antonio,anagram,antonio,SHYLOCK,0
61523,A bees' nest disturbed by non-attentive people?,absentees,anagram,absentees,INATTENDS,0
127953,Cornered gnu dealt a blow,angulated,anagram,angulated,GNUSTRIKE,0
99040,Bind by inane church regulation?,enchain,anagram,enchain,ENTHRALL,0
12868,Log mania destroyed arboreal specimen,magnolia,anagram,magnolia,TIMBERED,0
141648,Joke brings judge appalling disrepute,jeudesprit,anagram,jeu desprit,BAD JUDGE,0
42518,"Apprentice isn't giving up time in plane, say",trainee,anagram,trainee,TRAINEE,1
49845,"A humble fan to be moved, too deep for words",unfathomable,anagram,unfathomable,SPEECHLESS,0
18086,"Regarding difficult clues, one is not inclined to be forthcoming",recluse,anagram,recluse,RETICENT,0
113724,Push blend of US pop and Lion King (short version),propulsion,anagram,propulsion,PUSHBUTTON,0
121731,Tempera is mixed at leisure,sparetime,anagram,spare time,AT EASELY,0
125877,Royals are distraught in period of world revolution,solaryear,anagram,solar year,KINGS IN,0
114177,Edna's kebab is mixed with cheap tinned food,bakedbeans,anagram,baked beans,DONER KEBAB,0
73103,Newcomer makes engine turn ...,ingenue,anagram,ingenue,ROOKIE,0
39523,Stride about ship in trouble,distress,anagram,distress,PACEMAKER,0
104166,Hopes are renewed when soldiers ride in Western,horseopera,anagram,horse opera,REINDEER,0
7077,Kind to preside over slightly twisted board,charitable,anagram,charitable,BENIGNLY,0
21358,It's dangerous to ruin her plans,shrapnel,anagram,shrapnel,PERILOUS,0
105213,"Injured sister OK? No? Nephews, except Gilbert, remain calm",keeponesshirton,anagram,keep ones shirt on,ISIS OK NO US,0
140557,Penalty on account of bad ref I oft rue,forfeiture,anagram,forfeiture,REGRETTABLE,0
119274,Scots Amish splinter group getting pleasure from pain,masochists,anagram,masochists,MASOCHISTIC,0
108587,"Exceptionally animated, sparkling stuff",diamante,anagram,diamante,SPARKLER,0
132564,"Gloom and doom with this blue mood, not married sadly",doubleo,anagram,double o,BLUE INK,0
123184,"Lumbar puncture for American applicants, annoyed when giving up cocaine",spinaltap,anagram,spinal tap,LUMBAR,0
74293,Antipathy from the gallery,allergy,anagram,allergy,HATREDS,0
79087,Time to take in strange rite by the Red Sea,eritrea,anagram,eritrea,RITUALS,0
119268,"Gloomy playing besets universal, faithfully reproduced Chopin study, maybe",musicology,anagram,musicology,REPLAYING,0
75438,Abbey Arts money collection,monastery,anagram,monastery,CANONRY,0
135596,Odd role rewritten by an idle scribbler,doodler,anagram,doodler,SCRIBBLE,0
86945,Hopeless couple taken in by bad design,despairing,anagram,despairing,DESIGNING,0
95470,Divine drawing of lots of egrets smeared with oil,sortilege,anagram,sortilege,SORTITION,0
117337,Transferring teacher to university tripled the best habits,hautecouture,anagram,haute couture,GOODHABITS,0
101443,Conservative backing the centre was sacked,troy,anagram,troy,TORA,0
41913,In love with exotic demeanour,enamoured,anagram,enamoured,INFATUA,0
86303,She went in outlandish make-up to get publicised,inthenews,anagram,in the news,IN ON IT,0
139570,"Surly git, ’e's playing at this time of year?",uglysister,anagram,ugly sister,EASTERT,0
127474,They reared up in classic race,thederby,anagram,the derby,THE DERBY,1
96904,"Hard life, or nothing could be more death-defying",foolhardier,anagram,foolhardier,HARDCORE,0
99008,Chay - name associated with mast?,yachtsman,anagram,yachtsman,TEACHING,0
117890,"Deionise compound, infusing two litres as plant extract",linseedoil,anagram,linseed oil,HERBALTEA,0
29376,"Ray, perhaps, uncovering rare find",infrared,anagram,infra red,RARE FIND,0
108782,"Peter with men in resort, having no match",preeminent,anagram,pre eminent,PETER PAN,0
24035,Clothes worn back-to-front for game,brag,anagram,brag,DART,0
105075,Wrong one can upset clergyman,inaccurate,anagram,inaccurate,MINISTER,0
43067,Pea soup everyone sent back - another dish wanted,paella,anagram,paella,PEASE,0
101750,Left from funerals shaken and more vulnerable,unsafer,anagram,unsafer,WEAKEN,0
5651,"Part of a spur that's further down, left to right and vice versa",rowel,anagram,rowel,ROWEL,1
123599,"Paddle in doubt, struggling to find boat's motor",outboard,anagram,outboard,PUDDLES,0
135953,Daughter is busy frittering allowance,subsidy,anagram,subsidy,SQUAND,0
102752,A desperate fellow coming back with nothing,nada,anagram,nada,NEAT,0
60006,Deceptively conclusive state official,viceconsul,anagram,vice consul,NO GO,0
19080,Character brewing tea with urn,nature,anagram,nature,PERSON,0
122036,Don't interfere before time: let's go wandering,getlost,anagram,get lost,LET IT,0
102495,Joining EU may be unsuitable,istanbul,anagram,istanbul,INAPPLIC,0
60316,Produce to fill a lot - of ships?,flotilla,anagram,flotilla,LAUNCHER,0
38436,A trail possibly taken to rodeo by cowboy,lariat,anagram,lariat,LASSOER,0
107308,I misdo translation of particular expressions,idioms,anagram,idioms,IDIOLECT,0
10049,Mere mortals about to go wild for Norwegian spinner,maelstrom,anagram,maelstrom,MORTALCOIL,0
44652,Our stamina is restored here,sanatorium,anagram,sanatorium,OURSPARETIME,0
137362,"Numbers game played with iPad, rules added",epidurals,anagram,epidurals,RISKADDICT,0
85811,Give out overtime,emit,anagram,emit,EXERT,0
27028,Taunt Linus about blanket at the end,insult,anagram,insult,TEASES,0
89,"Hereditary earls can't, unfortunately",ancestral,anagram,ancestral,TITLEDEED,0
108989,"Swinging instrumentalist, a corrupt, hag-ridden Trojan",djangoreinhardt,anagram,django reinhardt,"PIANIST, HECUBA",0
124188,Lira - foreign currency in Guiana circulating as means of exchange,linguafranca,anagram,lingua franca,"ITALIAN, LIRE",0
107058,Bad lad drew trailer,dawdler,anagram,dawdler,DRAWBAR,0
130948,Bone fused at least with arm,metatarsal,anagram,metatarsal,OSSEOUSLY,0
125201,Nearly led astray with erudition?,learnedly,anagram,learnedly,MISLEDGER,0
119386,"Caspian, say, gets Annie's lad off",inlandsea,anagram,inland sea,"SEALION, SON",0
102494,Built as arranged around northern capital at one time,istanbul,anagram,istanbul,ERECTED,0
38356,Teen rave as a new form of worship,venerate,anagram,venerate,RITUALS,0
138241,"""Almost clean"" Brexit arranged, that can be delivered",extricable,anagram,extricable,PARCELED,0
35073,Fabric made up in the form of a circular cylinder,lycra,anagram,lycra,CREPE,0
45824,Local store has shaved the fuzz for Spooner?,cornershop,anagram,corner shop,CORNER SHOP,1
133934,Normal prices for stocks when re-ordering Super Lava,parvalues,anagram,par values,PAR VALUES,1
49501,Nerve broken? Not at all!,never,anagram,never,NEURS,0
38988,Gun with catches set back,sten,anagram,sten,RATS,0
137586,Lad choosy about place of education,dayschool,anagram,day school,MAN CHOIR,0
8442,Lease administered by the church in London,chelsea,anagram,chelsea,RECTORY,0
16450,Destroyer's ruse at sea to protect stricken boat,saboteur,anagram,saboteur,SMOKESCREEN,0
37407,"Charge for rope trick, get back inside!",protege,anagram,protege,RESCUE,0
46934,Bound to sound like a current variation,tied,anagram,tied,RASH,0
134198,Retired official tucks into entire assorted hamper,interfere,anagram,interfere,HAMPERS,0
84847,Beekeeper looks very much like a pianist,apiarist,anagram,apiarist,APIARIST,1
72615,"Sipped, say, stew causing stomach upset",dyspepsia,anagram,dyspepsia,DRUNKENS,0
133502,Don't lose hope! Do I deserve any?,neversaydie,anagram,never say die,DONT LOSE HOPE,0
5254,It's maybe left to staircase when it's not there,escalator,anagram,escalator,BALUSTER,0
134316,Neuro-doctor operated on Shakespeare's Globe?,rondure,anagram,rondure,NEUROSE,0
93994,There's poor Rodney,yonder,anagram,yonder,RODDEN,0
118143,Change from krone needed to join Hellish Biker Club,knobkerrie,anagram,knobkerrie,HARLEYDA,0
104266,Drunken pest with dope barred from the bar?,estopped,anagram,estopped,ROWDYBAR,0
91322,"Adrift, mid ocean, without soft puzzle collections",compendia,anagram,compendia,ATSEALEVEL,0
18183,Downfall makes temper return,doom,anagram,doom,IRAT,0
4328,Is Helen bound over to be free of obligation?,unbeholden,anagram,unbeholden,UNACCOUNTABLE,0
85540,Times edition for children,mites,anagram,mites,KIDST,0
69135,Operatic singer keen to make a comeback,diva,anagram,diva,ALTO,0
111270,"Bow to wear, twisted",nod,anagram,nod,TIE,0
107952,Draw spirit miles up,raffle,anagram,raffle,ARTIST,0
15724,Principles embodying rights of one in the crumbling Civil Service,ethics,anagram,ethics,TENETS,0
29034,Opposes odd-looking sisters,resists,anagram,resists,RESISTS,1
56345,Fancy coping with bare adults dancing around?,balustrade,anagram,balustrade,IMAGINATIVE,0
131404,Bit of a setback for brownie lovers,snaffle,anagram,snaffle,BLOWNIT,0
65277,Turning grey? Not us - nor him,youngster,anagram,youngster,NEITHER,0
137515,Scientist works here with harpoon and cage? Not he,oceanographer,anagram,oceanographer,LABORATORIES,0
95370,"A month back, penniless in old money",lira,anagram,lira,APRIL,0
96273,Medicines that vary in cost,tonics,anagram,tonics,PRICES,0
45120,Spilt glue on loaf!,lounge,anagram,lounge,STICKY,0
50506,Aunt Ryder switched to a cheaper fare,dayreturn,anagram,day return,AND BUS,0
47980,"Go for a jog, taking wrong turn",trot,anagram,trot,RUNS,0
19550,"Prune, I gathered, not ready to eat",unripe,anagram,unripe,UNRIPE,1
102427,"Irritated seducer, not being alone",unescorted,anagram,unescorted,TEASEFUL,0
83419,Absorbent soup or stew,porous,anagram,porous,BISQUE,0
45035,Confused order in account associated with cooking?,coriander,anagram,coriander,RECIPE,0
84499,Very amusing - unruly hairstyle covers Conservative,hysterical,anagram,hysterical,HILARIOUS,0
41517,Composer's important name changed a bit where the rubbish goes,bernstein,anagram,bernstein,BINETTI,0
95732,A toy used at tea time said to make one hoarse,throaty,anagram,throaty,WHISTLE,0
84386,Al names Dickey in sign language,ameslan,anagram,ameslan,ALADDIN,0
105829,Can come to play with model construction set,meccano,anagram,meccano,LEGOSET,0
80712,Maniacs fit to bust - displaying this,fanaticism,anagram,fanaticism,DEMOCRACY,0
141016,"Refusing to change opinion of university, Wayne Slob, a mess, drops round",unswayable,anagram,unswayable,STUBBORN,0
121551,Rubbish put out? It rusted!,detritus,anagram,detritus,REFUSED,0
111306,Ringtones are annoying,resonate,anagram,resonate,IRKSOME,0
28408,Shape of playing field a mess,rectangle,anagram,rectangle,RECTANGLE,1
115660,Such food's origin can be suspicious,inorganic,anagram,inorganic,SUSPECT,0
121234,"Long dress, backless, seen in French capital",londres,anagram,londres,MAXIDRESS,0
