Index,Clue,Solution
11644,"Queen's favourite isle? Crete, possibly",leicester
135532,Cells turn to fix as drug dealt externally,guardrooms
34715,Depression sure to develop after hip contracts,indentures
30176,Not in the pink,offcolour
112074,Author of Great Expectations?,hope
107027,"Rising, or just turning over?",revolution
88450,"Anti-government group still rising, securing a role",teaparty
131217,"Surgeries' tender, qualified as medical worker",registerednurse
97107,Party in which lovely lass is injected with drug,finegael
121984,Crosspiece with front for model,perfection
2603,Right one in cultured surrounds ã one in a million?,rarity
112080,Lodging for friend in disgrace?,doghouse
67755,Tree associated with one king,acer
65010,Its shadow was a sign of the times,gnomon
77076,Prom performers duck out of this world,temporal
35412,Exploding grenade creates disorder,derange
105382,"Unsteady, like teetotaller drinking more rum, mostly",doddery
25388,Authorisation required for this sort of sale?,clearance
118625,Cruel followers of a so-called marquis,sadists
80412,Shabby trio carrying plug and soap?,threadbare
99179,Spread arranged by oil producer - the aggressive goat!,peanutbutter
41297,Current squeezes right hot and steamy!,tropical
63551,A poisonous creeper,snake
123986,US TV celebrity losing heart for fish,opah
85229,Perhaps Cherie starts to write lampoons and satirical verse,clerihew
90719,"Neon in its natural state, element initially inferior to fellow element",manganese
136903,Annalist busy acquiring old papers,nationals
39635,Is perversely advanced still,silent
106762,"Attractive person on a poster, primarily exposed in a state of undress",dishabille
26857,Nodding off in the Cowes road? A thousand times no!,somnolent
76927,Clothes worn in topless TV programme?,gear
21980,Like to strip off when retiring or having a snooze,asleep
132163,Daisy's relative's crazy over crazy girl about love,marigold
2569,Leave opera singer for naked lady,godiva
25255,Thou - quietly - not upright?,grandpiano
18713,"Happy with goal, flip",upend
94761,Theft from canonized studio,stealing
93581,Saw mishap jumping over sort of gate,aphorism
133714,Part of American train track's fine,taillight
100966,Point out drunk has answer to clue,highlight
47987,Revolutionary Dame,trot
45758,"Wearing fewer clothes, for example?",lesson
51639,"Act less, try broadcast for radio once",crystalset
79348,China supporting offensive game,badminton
105842,Opening date that is desperate,doordie
77545,Like going over Guardian leaders after a fight with spears,asparagus
62488,"At a function, carrying shabby clothes",astatine
59915,Pamphlet man placed outside,sheet
117883,Film on Aussie experts - they help keep the wheels of industry turning,greaseguns
112670,Educational degrees give support in retirement,beds
134727,A quantity of drink is both good and bad,gill
88446,Points to one of several children as being bright,sequin
38576,Cancel a do strangely retaining odd bit of finale which is forgettable,oldacquaintance
98379,Literary traveller initially altered Eliot's character,tulliver
40925,Piece of music has to carry a sound,toccata
102611,Cricket sides seen occasionally,offandon
90840,Pioneer showed the way in a state of shock,startled
35700,House of Lords is backing contents of your letter in outline,silhouette
23491,Portable power source for teetotal assault,drybattery
22964,Some telephones transmit direct,honest
27159,Agree about journalist being taken in by star,accede
62684,"Short, tailless dog",cur
55194,Aim to identify shuttle,endeavour
139259,Removes difficulty with brief direction,rubsout
61620,Those vanquished by the Spanish head east as a precaution,incase
24469,Lose control at breakfast? Have a drink!,eggflip
101117,Was book's content order intended to be restrictive?,asbo
111945,No alternative,yes
29932,Room can be found for plonk,chambertin
141270,Arms trade leaders entertained by numerous delegates,legation
130069,"Some ran badly, running not being their sport",oarsmen
27925,Chance in rugby game to get head ripped off,evens
12548,One grows up and blooms,irises
59880,Don't stay on the road - it's a bore,turnoff
48884,Drink and a biscuit for royalty,bourbon
15537,Speed up in home improvement regimen,dietary
141893,"My sonny's ill - tired and worn out, maybe",synonyms
89361,It turns green once church leaves Devon town,tiverton
102674,Slam outside hospital with a narcotic,bhang
102969,Screamer used the current hustings - the tops!,sutch
16421,"You may see a hunchback, perhaps, double",ringer
123234,"Tiny pigs swallowing coin, nuts and bolts",rudiments
124309,Turtle's head fit for consumption - on this?,teatable
125340,Gives up about pet in trouble from bugs,centipedes
62450,Land or borough in Holland for Spooner,touchdown
67167,Moderate entertainment,fair
127533,Such a suit might make Ian pretty upset,paternity
68770,"What the Israelites went through the wrong way round, getting cooked very fast",seared
25691,Record some inadvertent errors,enter
135939,Survive a heavy blow,weatherthestorm
686,Time off for parties in secluded spot,recess
67811,Representation in holding company,icon
73753,Partner would make supermarket run if opening of tills moved to the earliest slot,escort
62090,Party unknown to a foreign country,libya
70926,"Friendly, am I? - Vince",amicable
38475,Officer knowledgeable about voucher,coupon
51051,Everlastin?,endless
52575,They entertain a tourist on board,strippers
29226,Standard artillery pistol held up,regular
68503,Author on track of plants,greenery
112624,Accommodation unlet - perhaps it's windy,flatulent
129099,Old economist keeping nothing at English distillery,malthouse
15585,Would it take another like him to be of one mind?,halfwit
83590,Thus honour deceased invalid's support,sickbed
78083,Traffic controller's lines set in committee,bollard
7191,Mythological princess performed with nothing on,dido
124909,That chap's very quiet round caged beasts,hippos
103040,Antonio's vessels from ancient city that is to south,argosies
114354,Very nice romp - and hard all the way,everyinch
127098,"Legendary royal butt raised in support of performance by Callas, say?",ariadne
66853,Plot to blow up prison in church,conspire
93883,Tenant clutching bottle's last to come in again,reenter
93592,A sweet girl's name for a flier,airman
35559,Circus artiste's value is tumbling,acrobat
82154,Level playing field,pitch
38163,Skeleton said to be a man,draught
39544,"Even question being in Europe; from set of data, it's time to leave",equable
1878,"Lecherous man with sex appeal - despot, not half",satyr
124662,Pirate boy in previous day across the water,hijacker
30903,Partner going off when there's no going on,stalemate
93748,"Refreshing place, Newgate Forest",teagarden
46247,Flower girl is seen in time,daisy
41383,Attractive bars,magnets
106331,Legal successor heard to gain from flying hazard,airpocket
38854,Hairstyle covers very retro crew member,bosun
63718,"More stylish going over line, one who finishes nicely?",polisher
54865,"Being completely taken aback, girl admits the sport's attraction",allure
30371,Subsequently the French turned sideways,lateral
50444,Came clean: he'd worse troubles,showered
1424,Cut for a game of cards,abridge
115759,Blue stain,dirty
108673,Academics accepting old work of mathematicians,proofs
57162,Junction in electricity supply service,matins
64559,Hermit endlessly rejected Indonesian buyer's furs,ermines
67571,Railway served by Scots police?,metro
95075,Kind of servant one keeps,retainer
36402,Extreme Right following United Nations,undue
94582,"Pack, card player works out, lacking spades",wolves
117659,A scolded bishop ignored bubbly,aerated
103891,One causing trouble in a washing machine?,agitator
34605,Transport for Conservative replacing miners' leader in union,carriage
88178,Some characters in Tristram Shandy are flipping clever!,smart
131864,Copies I need to revise at times,imitates
48571,Old instrument's gloss masking rising cut,seraphine
134717,Rich soup in unfinished pottery,bisque
29506,Control shown as others fall,restrain
72199,Lime and cats affected plant,clematis
140029,"Carbon tip in abseil device, suitable for climbers",ascendible
14377,Reportedly bright criminal devised means of support,livelihood
129321,"Making pie, I'd most bananas made best use of",optimised
1999,Honour account company''s to deal out,accolade
107131,Work on an island operation,manoeuvre
65306,"Sweet, flat fish",pomfret
101991,"Highly strung, one whose life may be in the balance",tightropewalker
138319,"Herb we eat with bliss, when cooked",sweetbasil
118079,"Idiot concealing brains but not heart, almost touching",closeset
21346,"One always on hand for a date, say",palm
131031,Kid cradles rook in bower,dupre
129687,"Black liquid, supplied by Native American, old drunk swallowed",creosote
25462,Want symbolic home to have entrance changed,dearth
66238,Thus I list Rodin's silent retrospective of noted works,oratorios
8277,Bird seen on street in pushchair,stroller
60209,Lambretta-rider taking exercise on one?,moped
15359,Cyclist's condition?,rider
123071,Redhead swimmer nets redhead German boy,carrottop
99813,Hefty cow loses firm figure,weighty
39977,Rose and disconnected speaker,rambler
116022,Support for hovercraft's vent shield,aircushion
3976,Rise lest soldiers invade,increase
25813,The theatrical profession includes one from long ago,stoneage
70638,"Went off and again stood around, say",retreated
23035,Dutch Redcoat on board,edam
69643,Controlled by the computer stealthily?,underthecounter
40313,Food out East,eats
111998,"Different girl, one in Italy, to approve of",unalike
88238,Mean to entertain Indian poet,pindar
3715,Utterly base and gruesome moral tale,allegory
96041,"Short of time, they run about in stadia",greyhounds
13152,Nearly caught involved in crime,larceny
79168,Lady of ill report,porter
117783,Irregular design - zigzag on reverse,wayward
20586,Penny puts on weight in spring,pounce
124968,Exciting? No!,turningon
121490,"Eager to embrace quarrel with some elders all about tattooing, say",needlework
4189,Book not one's first choice,reserve
137104,They're presently taking up space,stockingfillers
4911,"Game, part of it inspiring local backs",tennis
45949,Poppy's first piece has some musical backing,opium
88323,Fire starting on haystack engulfs busted dam of European monarch,frederick
123644,Daughter admitted to knowing online programs,adware
137631,"Out of uniform, mark down artist for head of state",devalera
67732,The Spanish invested in second-rate capital,belgrade
124169,Incidental information in window by door,sidelight
119878,"Henry joins in expression of disapproval, missing nothing",catchall
73672,Footwear's the making of Sal,sandal
38045,US composer into percussive sounds,ives
32002,Where we hear the canopy of power may be brought down,overthrown
140260,Short-changed minor name in finance,rothschild
99957,Sturm und Drang applied to mopheads?,shocktactics
65634,Place for finding big hats and misshapen coats,ascot
117993,Physicist has current going to earth cut short,dirac
29966,Hide away from the French and American tax service,lair
46941,"Priest leaving church leader a true tale translated for Alfred, Lord Tennyson once",poetlaureate
60136,It's what it does to another Rev,butterfly
140921,Pharaoh dips into sea and a lake in the morning,matutinal
141633,Apply water to cut flowers,spray
73557,Ban citation right away,except
17849,Producing elastic,yielding
20425,It's what could snatch victory from one side,laterally
119552,Musicians' dosh reportedly censored,brassband
130920,Registers failing to show separate A&E charges,indicts
43928,Swallow single drink,martini
108131,Such a church can omit choral composition,romancatholic
43206,Cheese is strong when expected,feta
139778,Conservationists with the confidence of the country?,nationaltrust
124816,"Cryptically, what might one do with a Cornish pasty and where? That's bliss!",beatitude
128450,One advocates love with it on tart,hippie
116829,Query the manner in which I turn red,erythema
54482,It's not normal to make dancing bear caper without money,aberrance
76111,On strike? Pass!,overhit
123861,Salt that may be extracted from china clay?,sodiumchloride
52465,Snare ten squirming fish,entangle
26492,Ask for ring the French held sacred,inviolate
102194,Some protection for annoying person with paramilitary involvement,cuirass
124634,Pregnant warbler? It's the sound of spring!,boing
16183,"Sam's wife Sally, perhaps",aunt
107925,"Fake left behind lorry: if pinched, one heading for auction",artificial
116650,"Is beyond the reach of social services, which is inevitable",cantbehelped
109401,Child torturing mice is symbolic,totemic
110656,This month every edition is placed,installed
53359,Free trade - comic sort of rule,democratic
111929,"Intermediary's game gamble with small gain, ultimately",gobetween
78774,It could include Red Queen,royalflush
65271,Pipe obtained from branch that is by river,brier
46630,"Rationing being distributed, one cannot be seen in the dark",ignorant
110058,You'll hardly find whips as tolerant as this,aslaponthewrist
109340,Catastrophic changes to a musical,calamitous
62379,"Unhealthy state of America, briefly",ill
18563,Teams in drinks break after last pair dismissed,elevens
131737,Grabbed one McDonald's in a hurry,impressed
75905,"Brewer's lad, eg working as a flier",sedgewarbler
71754,Tiresome magistrates get used to it,trying
149,I held wrong capital,delhi
87234,Foreign Office backed in media claim,profess
123563,Completely virtuous plus ’aving the wherewithal to make tricks?,goodand
45864,He suffers from a lack of balance,bankrupt
111069,"Show best speed, perhaps?",topgear
75502,Plant in a vertical line at back,plumbago
24614,Cure for extreme dyslexia,remedy
54394,"Atypical girl, grave with minimal yen to admit love",tomboy
51309,Invitation to trencherman,digin
93972,"From barn, as horse led out, they steer",handlebars
107363,Might contain live wire?,powerhouse
2592,"Action of a lowdown, gutless cowboy",agency
67039,Bird making rude noise,ruff
54186,Silver ring on the floor,aground
104607,Opera house chap that was lauded by Betjeman?,metroland
67873,Old girl working as model,damosel
65705,Further instruction in drinking?,refreshercourse
123585,Behold Victoria and Albert's framed painting,voila
102150,Tea - its anagram - tea?,eatbetweenmeals
39078,Rap song and wild flower,snapdragon
131166,Old Irishman describing rugby with the ultimate in ugly savagery,cruelty
92775,One offers concessions in a shopping centre to wipe out first of retailers to go back,appeaser
126391,Deer takes one for a ride,does
86581,Porky's tip on the radio,tale
32041,Shipmates upset on the Queen Elizabeth?,steamer
124757,Endless succession of agency clerks,cycle
70552,A trail that leads to the summit,ascent
47432,"Article written about the professional stage, perhaps",apron
117459,Club menu the AA had changed?,athenaeum
109517,Spooner's municipal sewer prescribed for a lazy student,downtrain
122312,The lady writer short on ideas may inhibit growth,herbicide
126445,Leading at snooker - a conspiracy?,frameup
67268,Communist statesman spread gold around,castro
15253,Big hitter trimmed hedge in prison,sledgehammer
49343,Film awards back to front at the back,abaft
54922,It's strange in Scotland and is found around lake where it winds down,uncoils
96483,Signal that could be great help,telegraph
120759,Girl including work on piano for ballet,coppelia
17524,Run over?,extra
94586,Partisan located outside Iraqi capital,biased
113229,Protect against wild speculation (odds off),inoculate
67801,"The little devil! Telling stories, making insinuations",implying
64232,"One supporter stands for Judas, but not one judge",arbitrator
37376,Charm in French song,enchant
65388,Transported sheets by tube? It doesn't have much hope,pipedream
100024,Seen and heard in a Kentish garden?,canterburybells
5964,Sort of rate boy's bad behaviour,goingson
107638,Poor quality drinking water in river,tatty
84642,US city turning up in atlas,saintpaul
139443,"Legless man, one goes into pub to participate",joinin
50161,A small bird's behind,astern
98673,Greek citizens' interjections to take notice over voting?,hoipolloi
67328,"Import teak, say, brought in by sea",driftwood
35806,Name backing European exit,gate
98588,Unnecessary words? Not about bear,paddington
83158,Nameless bone in substance virtually like another,fibular
131950,Kind offer to pick up Edward,tenderhearted
13314,Groundbreaker I used in wharf,pioneer
139340,Statesman's charity rolling in money once,floridian
105714,A royal holding first place in Law,principle
103966,Plant poles in river,tansy
138420,Examine local yokels - to put through the wringer,lookcloselyat
27748,Difficult universal and timeless tale is deceptive,illusory
95045,"Street covered in rotten food, aside from the majority going downhill",offpiste
28763,"Hundreds into riding here and briefly golf, say",lincolnshire
55022,Furnishing periodical with set of figures,occasionaltable
48173,They don't mind their own business,agents
15566,French and German articles appear below,under
119427,Look into top player's huge pulsating body,xraystar
40174,Man without shape having a little defect?,malformed
95272,"House is virtuous, no drug being found",clan
46693,Leaves courses without one point!,deserts
24165,Many get permission to unite,cleave
38443,When the gracious appear to make a point in a study?,tuesday
115649,"I err, made drunk and getting more vague",dreamier
57712,Sail across this or surf several?,channel
47005,Mock attempt to reverse in vehicle,bogus
35487,"It's comparatively skilful to take head off a header, you say?",abler
22136,"Paul, perhaps, threw wobbly - blimey!",strewth
76130,Small in two ways?,modest
29978,Dramatist arranging central part for top actor,star
30440,Stable chap stole pickled cucumber in the end,ostler
18900,New Testament stories about money,talents
126370,Loss of player - perhaps from something that disagreed with him?,foolsparsley
98828,"Flighty young woman says: ""Father swallows bad apple""",flapper
41651,Mate captured by crew coming back for incendiary fuel,napalm
77077,Material in test given to secretary?,temporal
103136,Supply a team reserve,putononeside
118824,Ought queen to enter plump and slumped?,roundshouldered
114157,Hills split internally by floods,torrents
14291,Stop a squad playing,abandon
13137,Disrupt current London theatre offensive,intrude
5181,Two monarchs giving sovereign's first greeting in long ago county,yorkshire
44972,The power of a waterfall,force
49011,Free … or the BBC's heading for extinction,untie
65753,"Conductor, oddly, became hot",beecham
88513,Fellow restraining good one with irregular blows,gusty
135631,Result of depression whilst husband's away? Could be,lowspiritedness
118064,Airdrie resident's more in need of liquid refreshment,drier
84948,Beginning of the Hindu festival in round buildings,tholi
126563,"Composer putting king in check, brought back knight alongside queen",bruckner
32296,Mother puts a fellow in the shade,magenta
32982,Heartless poet performed,done
10063,Creditworthy?,believable
110534,Small section of church upset theatrical dame,evans
125845,Native close to joining argument in pub,ingrown
92841,"Its subject: in messy warfare, male lost",afarewelltoarms
68110,"Without lid, drain jug",ewer
24845,Elaborate blossom,develop
28089,Mathematician starts to expand upon Lagrange's extraordinary results,euler
97412,A party opening up a temple,pagoda
92599,A reason to corner the woodchuck,groundhog
128356,Sporty car's first one produced for islanders,cypriots
77645,Snow vehicle to slide out of control into ducks,skidoo
50740,Old navigator giving coiners trouble,ericson
13464,Stop New York baseball team getting turned over,stem
88776,Hooligan displays sheer audacity on part of the golf course,roughneck
103123,"Chance minimal change in New York, bringing in detectives",accident
130272,Pansy among daffodils is symbolic,sissy
87055,Horse sick around the withers initially; get a cloth!,cavalrytwill
138607,"After study, no women find time for revision",readjustment
87653,We're told sailor's girlfriend may be dressing,oliveoil
92598,Light reveals sick bird looking up,illume
129752,Here's the latest deplorably bad ratatouille!,readallaboutit
93788,"Ultimately, Marilyn Monroe had to appear ditzy - never mind!",noharmdone
72400,Gregarious agents in the sun,social
123902,It is found growing next to the trunk,tusk
134158,Battle between black and white bags Lidl supply without issue,childless
49672,Retired men need purpose to get up,rouse
66950,Everyone bound to be properly organised,alltiedup
47073,Prince enters flat of major,staple
60023,Propose relocation,move
132726,"Cash substitute, if Kent got hit",gifttoken
12846,"Seasoned beef as ""Armpit Stew""",pastrami
73796,Back seats worth their weight in gold?,tonneau
125049,"Because investing billions inspiring you and I, certain things gathering dust",cobwebs
46135,In which train times are disrupted!,transit
140232,"Flipping dull, echoing gong",tamtam
47033,Monkey's beginning to pick apples up,scamp
62608,"Rupert Bear, say?",brooke
18905,Leave city's wet environment,decamp
105188,"Foolish American boy, who makes you think of Wallis?",simpson
81650,"Novelist nicking lines from Moliere?, lazy hack!",emilezola
1689,It can result in call for reserve,netcord
6025,How the rise is transformed with this beastly carving!,whitehorse
58982,"Cave in Spain, base for one male tramp",implode
76857,Women's work in underground river in Wales,distaff
82605,Club gets tennis champion further,everton
36218,Admire a fast rider,revere
102531,Blooming monarch abdicating as movement arriving,inflow
99187,"River grass encircling path, not a river grass",deepthroat
88555,Mineral (barium) taken from church,silica
72148,It keeps its mouth open to strike victim,lamprey
123466,Pacific republic drink tipped to get gold,palau
135266,Formal protests about gifts,representations
58811,Place where dangerous plot may be hatched,hotbed
88350,Authors announced titles,writes
48851,Listlessness can make one reject help,acedia
81200,Stir a large watercourse,canal
51763,Rock band followed by American uncle telling folk stories,remus
134676,Again Emperor's given order - Congress won't be restricted by it,openmarriage
37720,It secures a superior item for ladies,hatpin
62992,Delegate seen briefly by river to get rid of insects,delouse
62463,Places of danger to sailors suffering with sore heels,leeshores
61792,Refuse to reply at notorious flash point,balkans
49709,Love writer accessible to everyone,open
119150,I'm cold - I move home,domicil
44655,Primarily demonic and wicked - the master from hell?,devil
21627,Payment going up - aim to adjust paperwork,origami
67716,"From Istanbul, a way of getting to African city",bulawayo
86152,"Game, or its start, as heard on radio",golf
68427,"Leaving home, freeloading daughter made ungracious remarks, all concluding",egress
26718,Aim to impress girl in skin-treatment establishment,tannery
102285,Island for outcast in Copperbelt,corfu
138037,"Arbitrary comment, I agree, is kind of average",geometricmean
26388,Engage in rigging,tackle
1599,Drop in standards scratching head in church,apse
37990,US lawman conceals memory of tragedy?,drama
67742,Engineering graduate is an elaborate fraud,besancon
60027,Choreographer's position in the company,cranko
48614,Fool has faith leader hold recruits' capital,moron
103277,Part of Spain's rainy and scandal-wracked,canaryislands
122587,Advocate appearing for a Venetian explorer gains essential point,apologist
105606,Shocking word repeated in error,booboo
28996,Audibly voiced low spirits,mood
84538,Heap makes a bushel,epha
35728,Strongly experienced entre-left alignment,heartfelt
105085,Vessel placed in middle of maidservant's drawer,sketcher
59774,One getting into expensive car to compete,racer
96564,Network Rail's inner workings?,entrails
117755,Drop of wine,plonk
86571,"Set Australian into popping crease, anticipating an incutting delivery",caesarean
60173,Free bananas came in savoury paste,emancipate
99991,God has little room to turn round where battle heroes feast,valhalla
71771,Shuffling feet in the bazaar,fete
25783,"First male (Adam) had no ma, surprisingly",head
73171,Main part of a resort,seafront
20066,"Man of rank paints silver, they say",coloursergeant
133091,Gives clue to fill bottom,assigns
142366,Mood in which artist visualises his painting exhibited?,frameofmind
113933,Prize chicken perhaps that's quickly produced for money,potboiler
37609,"Lower with awful dread, for example",degrade
101394,Mediterranean plant propagated in sea,anise
11983,Rash Hotspur's danger?,nettle
117275,"Warm around volcanic rim, so may be asserted",affirmable
2854,On hill we pick every second flower,nile
119605,Country in which blouse is confused with sari,belorussia
133283,A number work out how to delegate,devolve
78882,"Having too much on, even a lord can go to pieces",overladen
122001,Raider unfortunately behind time - becoming more so?,tardier
98832,Got together and improved,rallied
92629,"I, would-be president Ralph, losing my head as testing starts, am not up to the job",inadequate
133188,Former president from whom no traveller returns,peron
109795,"Listed as sick, unable to get up?",billed
125194,Conservative with funny pants,crummy
109988,"When out of order, bleating evident",tangible
43811,New arrival has me pinching my own bottom?,settler
108300,Old singer's about to take ours in error,caruso
10645,Record overseas resident returning when vote is lost,tape
34034,Wooden strip holds king fast,starve
35350,Kind of party animal,stag
83490,What's French and saucy incited Americans' glee,cremeanglaise
95692,Buses start running irregularly out of the centre,suburbs
4988,Junk food,spam
24803,Keep going in Felixtowe Road,tower
29833,Coin for pig,napoleon
10193,Payment for artist making a comeback,reward
83340,André Gide initially appears in quiet street in French capital,prague
65050,Animal put out by the ear,ratel
16654,"Bareheaded, going after crooked horse",skewbald
135840,Worker restores ends in new building,stonedresser
20090,Deal possibly set aside,offcut
116500,Ferocious avian charge on hill,raptor
104990,"Much of day is left, leaving remaining horses happy",satisfied
70515,Subverting enemy country,yemen
135444,Dryden character in a note on work he left,achitophel
36729,It is bound to show the titles,peerage
139377,"Fabric items, manufactured stuff for Germany",macrame
54128,Idol given name of bird,heron
39838,Hero Elsie had declared,elcid
114276,Unimportant part of indicator at motorway junction,minor
80680,Blameless watering hole given zero cash in US,innocent
31047,Water with jolly blue colour,aquamarine
121110,Tiddley explosive,lyddite
59427,Frosty waitress in old corner house,nippy
85790,Steak went off stuffed with duck (extra large),tournedos
24037,Supporter's grand boast,brag
94069,Shooting failure in the Caribbean?,tobago
124574,Fix up starter of pilau with reduced packaging. Spices strong with it?,girlpower
139567,"Men score, cutting through Harlequins' sides, or Wasps",hornets
107823,Emptied cocktail over the dress,clothe
13154,Apparent disgust often betrays enthusiasm,gusto
11892,Realist to upset philosopher,aristotle
61989,The way people talk of miracle food,manna
113257,"For me, goal is to tuck into health food",brendan
34412,Go after switching neon sign,noentry
120129,Looking to understand card,seeking
45501,"Detectives in US agency retired, remaining sharp",acidic
112244,Ecological group plant northern vegetable in a Mediterranean country,greenpeace
33425,Wife abroad? Cheat endlessly!,frau
91652,Drains designed to reach the lowest depths,nadirs
118053,Be aware of a calf keeping its head in the shade,haveaclue
35821,A bus broken down on the way is ridiculous,absurd
53153,Cheat to get violin,fiddle
33327,Doctor's prescription for management,treatment
62753,"With a degree, true: his work is not polished",amateurish
95995,Reluctant to have a port with philanderer,lothario
19057,Club member doing a good turn?,rotarian
16622,Percy's resistance to push for change in advance,hotspur
24382,Hero achieves eminence amongst top men,achilles
16075,Weapon did its job on maiden,cutlass
63484,Note down new present,endow
77958,"Make merry, as lyricist bags English girl",rejoice
14704,French model Nicole stripped for casting?,clio
41007,English tea break keeps US workers involved,elaborate
36206,"Recalled shorter answer, stuck with leading pair from Audreus, in the bath!",sauna
67521,Attempt to cage wolf in peace deal,treaty
141737,New painting captures Queen - that's concerning,pertaining
63400,Leading Republicans' euphemism naively downplaying illegal torture in other nations,rendition
67987,Fighter pilot with boat crew,flyweight
25488,No encore for such a performance? That's gross!,unrepeatable
98213,Explorer is eating last of the sledge dogs,scotties
31326,"King Lear's opening, rubbish",offal
44343,One is well rid of it,illhealth
74878,"It could be eaten sailing, or it could be sweeping",generalisation
96863,Woman kept by journalist enters hard work with toy animal,sleevedog
80036,A lot of filth by leader of Lords causes brief storm,squall
77968,Hollywood's top director exhibiting arrogance,hauteur
90158,Soldiers follow one in specialist trial,experiment
125198,Awkward to do then with precision,onthedot
122902,"Following closely, a lot on site for development",nosetotail
22793,Left before recess - a blunder,lapse
43716,Carry round goods for one who can't afford them,beggar
76833,"Supply what was wanted, for instance, including clenched fist?",satisfy
84706,Get lady confused with poet,lydgate
130622,"In front of mirror, taking advantage of reflection",musing
46932,Relief organisation for the hot and peevish?,redcross
126022,Becoming attached to band after getting head turned,adhering
114096,Woman takes motorway into city,emily
71144,"Some papers are amusing, to some extent",ream
141355,Mars - a visit (ET) to be arranged?,vitiates
58597,"Cloak for wife, South African style",capedutch
28713,He will see what others have to say,lipreader
109433,"Doing backstroke, swim round lake with fish - such as this",pilchard
54368,Sound beast carrying rubbish carrier,orthodox
123944,People wanting a new landlord,publican
55185,Meet with elected scoundrel,incur
38004,Rude and very Scottish sort of hut,uncouth
53082,"Talented Lib Dem, no longer the leader",able
124133,"Impure, I quietly run away and sleep at home when he calls",muezzin
60250,"Begin to sparkle, as smoker might?",lightup
108914,"Construct a house as advertised, we hear",build
989,Revolutionary with fish head to cook,chef
67503,Engineer left broadcasting: one's unable to stick it,teflon
5855,Unwanted growth has proceeded round the whole street,gallstone
105452,Criminal underground starts many a feud in America,mafia
56720,A driven out intruder,invader
22400,The foreign fashion revealed by a singing John,elton
85136,Drink order placed in ancient language,homebrew
82285,A little animal taken in island,malta
29650,Parody about Liberal providing winter sports facility,skilift
104651,Silly gag about Wossy's comeback - he started it!,aggressor
93785,Gas enveloping a part of Spain,aragon
6344,Team given extra exam,elevenplus
43035,Strikers going round pit take a dip,pickpocket
118953,Something added on the end of affectionate princess's letter?,annex
111529,A venerable name in our illustrious past,bede
4515,Seed that's old removed from a loch,almond
114711,Work's inside and out which is good for plant,topsoil
136938,Billionaire's first to not offer tip in bar,blacklist
16704,Aim by listener to win affection,endear
102993,Irish operator is such a person in trade,shopkeeper
9830,Insect biting back inside cave,beware
60087,"Robson beating Williams, for example, winning at least six games",upset
51355,Stay faithful,staunch
89120,"Likely to give an answer, especially in revised version",responsive
133412,Bluish-grey bench one removed from row,pewter
79822,Supporters with lots of hard facts,brasstacks
123901,You'll find me introducing very French measures,metres
60795,Plant fruit trees here? One for middle of park,orchid
95541,The girl to take action,sue
20070,"Condemned? Not right, put on trial",accused
17555,A band from the capital to boot,also
