Index,Clue,Solution,gemma_predicted
57162,Junction in electricity supply service,matins,container
64559,Hermit endlessly rejected Indonesian buyer's furs,ermines,assemblage
67571,Railway served by Scots police?,metro,assemblage
95075,Kind of servant one keeps,retainer,double definition
36402,Extreme Right following United Nations,undue,assemblage
94582,"Pack, card player works out, lacking spades",wolves,assemblage
117659,A scolded bishop ignored bubbly,aerated,assemblage
103891,One causing trouble in a washing machine?,agitator,double definition
34605,Transport for Conservative replacing miners' leader in union,carriage,assemblage
88178,Some characters in Tristram Shandy are flipping clever!,smart,hidden word
131864,Copies I need to revise at times,imitates,anagram
48571,Old instrument's gloss masking rising cut,seraphine,container
134717,Rich soup in unfinished pottery,bisque,double definition
29506,Control shown as others fall,restrain,assemblage
72199,Lime and cats affected plant,clematis,anagram
140029,"Carbon tip in abseil device, suitable for climbers",ascendible,container
14377,Reportedly bright criminal devised means of support,livelihood,assemblage
129321,"Making pie, I'd most bananas made best use of",optimised,anagram
1999,Honour account company''s to deal out,accolade,assemblage
107131,Work on an island operation,manoeuvre,assemblage
65306,"Sweet, flat fish",pomfret,assemblage
101991,"Highly strung, one whose life may be in the balance",tightropewalker,double definition
138319,"Herb we eat with bliss, when cooked",sweetbasil,anagram
118079,"Idiot concealing brains but not heart, almost touching",closeset,container
21346,"One always on hand for a date, say",palm,double definition
131031,Kid cradles rook in bower,dupre,container
129687,"Black liquid, supplied by Native American, old drunk swallowed",creosote,container
25462,Want symbolic home to have entrance changed,dearth,assemblage
66238,Thus I list Rodin's silent retrospective of noted works,oratorios,assemblage
8277,Bird seen on street in pushchair,stroller,assemblage
60209,Lambretta-rider taking exercise on one?,moped,double definition
15359,Cyclist's condition?,rider,double definition
123071,Redhead swimmer nets redhead German boy,carrottop,container
99813,Hefty cow loses firm figure,weighty,assemblage
39977,Rose and disconnected speaker,rambler,double definition
116022,Support for hovercraft's vent shield,aircushion,assemblage
3976,Rise lest soldiers invade,increase,container
25813,The theatrical profession includes one from long ago,stoneage,container
70638,"Went off and again stood around, say",retreated,assemblage
23035,Dutch Redcoat on board,edam,assemblage
69643,Controlled by the computer stealthily?,underthecounter,double definition
40313,Food out East,eats,anagram
111998,"Different girl, one in Italy, to approve of",unalike,assemblage
88238,Mean to entertain Indian poet,pindar,assemblage
3715,Utterly base and gruesome moral tale,allegory,assemblage
96041,"Short of time, they run about in stadia",greyhounds,anagram
13152,Nearly caught involved in crime,larceny,anagram
79168,Lady of ill report,porter,anagram
117783,Irregular design - zigzag on reverse,wayward,assemblage
20586,Penny puts on weight in spring,pounce,assemblage
124968,Exciting? No!,turningon,double definition
121490,"Eager to embrace quarrel with some elders all about tattooing, say",needlework,assemblage
4189,Book not one's first choice,reserve,double definition
137104,They're presently taking up space,stockingfillers,assemblage
4911,"Game, part of it inspiring local backs",tennis,assemblage
45949,Poppy's first piece has some musical backing,opium,assemblage
88323,Fire starting on haystack engulfs busted dam of European monarch,frederick,assemblage
123644,Daughter admitted to knowing online programs,adware,container
137631,"Out of uniform, mark down artist for head of state",devalera,assemblage
67732,The Spanish invested in second-rate capital,belgrade,container
124169,Incidental information in window by door,sidelight,double definition
119878,"Henry joins in expression of disapproval, missing nothing",catchall,assemblage
73672,Footwear's the making of Sal,sandal,anagram
38045,US composer into percussive sounds,ives,hidden word
32002,Where we hear the canopy of power may be brought down,overthrown,double definition
140260,Short-changed minor name in finance,rothschild,anagram
99957,Sturm und Drang applied to mopheads?,shocktactics,double definition
65634,Place for finding big hats and misshapen coats,ascot,anagram
117993,Physicist has current going to earth cut short,dirac,assemblage
29966,Hide away from the French and American tax service,lair,assemblage
46941,"Priest leaving church leader a true tale translated for Alfred, Lord Tennyson once",poetlaureate,assemblage
60136,It's what it does to another Rev,butterfly,double definition
140921,Pharaoh dips into sea and a lake in the morning,matutinal,assemblage
141633,Apply water to cut flowers,spray,double definition
73557,Ban citation right away,except,assemblage
17849,Producing elastic,yielding,double definition
20425,It's what could snatch victory from one side,laterally,double definition
119552,Musicians' dosh reportedly censored,brassband,assemblage
130920,Registers failing to show separate A&E charges,indicts,anagram
43928,Swallow single drink,martini,assemblage
108131,Such a church can omit choral composition,romancatholic,anagram
43206,Cheese is strong when expected,feta,anagram
139778,Conservationists with the confidence of the country?,nationaltrust,assemblage
124816,"Cryptically, what might one do with a Cornish pasty and where? That's bliss!",beatitude,assemblage
128450,One advocates love with it on tart,hippie,assemblage
116829,Query the manner in which I turn red,erythema,hidden word
54482,It's not normal to make dancing bear caper without money,aberrance,anagram
76111,On strike? Pass!,overhit,assemblage
123861,Salt that may be extracted from china clay?,sodiumchloride,assemblage
52465,Snare ten squirming fish,entangle,anagram
26492,Ask for ring the French held sacred,inviolate,container
102194,Some protection for annoying person with paramilitary involvement,cuirass,assemblage
124634,Pregnant warbler? It's the sound of spring!,boing,double definition
16183,"Sam's wife Sally, perhaps",aunt,double definition
107925,"Fake left behind lorry: if pinched, one heading for auction",artificial,assemblage
116650,"Is beyond the reach of social services, which is inevitable",cantbehelped,double definition
109401,Child torturing mice is symbolic,totemic,assemblage
110656,This month every edition is placed,installed,assemblage
53359,Free trade - comic sort of rule,democratic,anagram
111929,"Intermediary's game gamble with small gain, ultimately",gobetween,assemblage
78774,It could include Red Queen,royalflush,double definition
65271,Pipe obtained from branch that is by river,brier,double definition
46630,"Rationing being distributed, one cannot be seen in the dark",ignorant,anagram
110058,You'll hardly find whips as tolerant as this,aslaponthewrist,double definition
109340,Catastrophic changes to a musical,calamitous,anagram
62379,"Unhealthy state of America, briefly",ill,double definition
18563,Teams in drinks break after last pair dismissed,elevens,assemblage
131737,Grabbed one McDonald's in a hurry,impressed,assemblage
75905,"Brewer's lad, eg working as a flier",sedgewarbler,anagram
71754,Tiresome magistrates get used to it,trying,double definition
149,I held wrong capital,delhi,anagram
87234,Foreign Office backed in media claim,profess,container
123563,Completely virtuous plus ’aving the wherewithal to make tricks?,goodand,assemblage
45864,He suffers from a lack of balance,bankrupt,double definition
111069,"Show best speed, perhaps?",topgear,assemblage
75502,Plant in a vertical line at back,plumbago,assemblage
24614,Cure for extreme dyslexia,remedy,double definition
54394,"Atypical girl, grave with minimal yen to admit love",tomboy,assemblage
51309,Invitation to trencherman,digin,double definition
93972,"From barn, as horse led out, they steer",handlebars,anagram
107363,Might contain live wire?,powerhouse,double definition
2592,"Action of a lowdown, gutless cowboy",agency,assemblage
67039,Bird making rude noise,ruff,double definition
54186,Silver ring on the floor,aground,assemblage
104607,Opera house chap that was lauded by Betjeman?,metroland,assemblage
67873,Old girl working as model,damosel,anagram
65705,Further instruction in drinking?,refreshercourse,assemblage
123585,Behold Victoria and Albert's framed painting,voila,container
102150,Tea - its anagram - tea?,eatbetweenmeals,double definition
39078,Rap song and wild flower,snapdragon,anagram
131166,Old Irishman describing rugby with the ultimate in ugly savagery,cruelty,container
92775,One offers concessions in a shopping centre to wipe out first of retailers to go back,appeaser,assemblage
126391,Deer takes one for a ride,does,double definition
86581,Porky's tip on the radio,tale,double definition
32041,Shipmates upset on the Queen Elizabeth?,steamer,assemblage
124757,Endless succession of agency clerks,cycle,hidden word
70552,A trail that leads to the summit,ascent,assemblage
47432,"Article written about the professional stage, perhaps",apron,container
117459,Club menu the AA had changed?,athenaeum,anagram
109517,Spooner's municipal sewer prescribed for a lazy student,downtrain,anagram
122312,The lady writer short on ideas may inhibit growth,herbicide,assemblage
126445,Leading at snooker - a conspiracy?,frameup,assemblage
67268,Communist statesman spread gold around,castro,assemblage
15253,Big hitter trimmed hedge in prison,sledgehammer,container
49343,Film awards back to front at the back,abaft,anagram
54922,It's strange in Scotland and is found around lake where it winds down,uncoils,assemblage
96483,Signal that could be great help,telegraph,assemblage
120759,Girl including work on piano for ballet,coppelia,container
17524,Run over?,extra,double definition
94586,Partisan located outside Iraqi capital,biased,container
113229,Protect against wild speculation (odds off),inoculate,anagram
67801,"The little devil! Telling stories, making insinuations",implying,assemblage
64232,"One supporter stands for Judas, but not one judge",arbitrator,assemblage
37376,Charm in French song,enchant,assemblage
65388,Transported sheets by tube? It doesn't have much hope,pipedream,assemblage
100024,Seen and heard in a Kentish garden?,canterburybells,assemblage
5964,Sort of rate boy's bad behaviour,goingson,assemblage
107638,Poor quality drinking water in river,tatty,container
84642,US city turning up in atlas,saintpaul,anagram
139443,"Legless man, one goes into pub to participate",joinin,assemblage
50161,A small bird's behind,astern,assemblage
98673,Greek citizens' interjections to take notice over voting?,hoipolloi,assemblage
67328,"Import teak, say, brought in by sea",driftwood,assemblage
35806,Name backing European exit,gate,assemblage
98588,Unnecessary words? Not about bear,paddington,assemblage
83158,Nameless bone in substance virtually like another,fibular,assemblage
131950,Kind offer to pick up Edward,tenderhearted,assemblage
13314,Groundbreaker I used in wharf,pioneer,container
139340,Statesman's charity rolling in money once,floridian,container
105714,A royal holding first place in Law,principle,container
103966,Plant poles in river,tansy,container
138420,Examine local yokels - to put through the wringer,lookcloselyat,double definition
27748,Difficult universal and timeless tale is deceptive,illusory,assemblage
95045,"Street covered in rotten food, aside from the majority going downhill",offpiste,container
28763,"Hundreds into riding here and briefly golf, say",lincolnshire,container
55022,Furnishing periodical with set of figures,occasionaltable,assemblage
48173,They don't mind their own business,agents,double definition
15566,French and German articles appear below,under,assemblage
119427,Look into top player's huge pulsating body,xraystar,assemblage
40174,Man without shape having a little defect?,malformed,assemblage
95272,"House is virtuous, no drug being found",clan,container
46693,Leaves courses without one point!,deserts,container
24165,Many get permission to unite,cleave,assemblage
38443,When the gracious appear to make a point in a study?,tuesday,container
115649,"I err, made drunk and getting more vague",dreamier,anagram
57712,Sail across this or surf several?,channel,double definition
47005,Mock attempt to reverse in vehicle,bogus,container
35487,"It's comparatively skilful to take head off a header, you say?",abler,container
22136,"Paul, perhaps, threw wobbly - blimey!",strewth,assemblage
76130,Small in two ways?,modest,double definition
29978,Dramatist arranging central part for top actor,star,hidden word
30440,Stable chap stole pickled cucumber in the end,ostler,anagram
18900,New Testament stories about money,talents,container
126370,Loss of player - perhaps from something that disagreed with him?,foolsparsley,double definition
98828,"Flighty young woman says: ""Father swallows bad apple""",flapper,anagram
41651,Mate captured by crew coming back for incendiary fuel,napalm,container
77077,Material in test given to secretary?,temporal,assemblage
103136,Supply a team reserve,putononeside,assemblage
118824,Ought queen to enter plump and slumped?,roundshouldered,assemblage
114157,Hills split internally by floods,torrents,container
14291,Stop a squad playing,abandon,assemblage
13137,Disrupt current London theatre offensive,intrude,assemblage
5181,Two monarchs giving sovereign's first greeting in long ago county,yorkshire,assemblage
44972,The power of a waterfall,force,double definition
49011,Free … or the BBC's heading for extinction,untie,double definition
65753,"Conductor, oddly, became hot",beecham,anagram
88513,Fellow restraining good one with irregular blows,gusty,container
135631,Result of depression whilst husband's away? Could be,lowspiritedness,double definition
118064,Airdrie resident's more in need of liquid refreshment,drier,double definition
84948,Beginning of the Hindu festival in round buildings,tholi,assemblage
126563,"Composer putting king in check, brought back knight alongside queen",bruckner,assemblage
32296,Mother puts a fellow in the shade,magenta,assemblage
32982,Heartless poet performed,done,assemblage
10063,Creditworthy?,believable,double definition
110534,Small section of church upset theatrical dame,evans,assemblage
125845,Native close to joining argument in pub,ingrown,assemblage
92841,"Its subject: in messy warfare, male lost",afarewelltoarms,anagram
68110,"Without lid, drain jug",ewer,assemblage
24845,Elaborate blossom,develop,double definition
28089,Mathematician starts to expand upon Lagrange's extraordinary results,euler,assemblage
97412,A party opening up a temple,pagoda,assemblage
92599,A reason to corner the woodchuck,groundhog,assemblage
128356,Sporty car's first one produced for islanders,cypriots,anagram
77645,Snow vehicle to slide out of control into ducks,skidoo,assemblage
50740,Old navigator giving coiners trouble,ericson,anagram
13464,Stop New York baseball team getting turned over,stem,assemblage
88776,Hooligan displays sheer audacity on part of the golf course,roughneck,assemblage
103123,"Chance minimal change in New York, bringing in detectives",accident,container
130272,Pansy among daffodils is symbolic,sissy,hidden word
87055,Horse sick around the withers initially; get a cloth!,cavalrytwill,assemblage
138607,"After study, no women find time for revision",readjustment,assemblage
87653,We're told sailor's girlfriend may be dressing,oliveoil,double definition
92598,Light reveals sick bird looking up,illume,assemblage
129752,Here's the latest deplorably bad ratatouille!,readallaboutit,anagram
93788,"Ultimately, Marilyn Monroe had to appear ditzy - never mind!",noharmdone,double definition
72400,Gregarious agents in the sun,social,container
123902,It is found growing next to the trunk,tusk,double definition
134158,Battle between black and white bags Lidl supply without issue,childless,container
49672,Retired men need purpose to get up,rouse,anagram
66950,Everyone bound to be properly organised,alltiedup,assemblage
47073,Prince enters flat of major,staple,container
60023,Propose relocation,move,double definition
132726,"Cash substitute, if Kent got hit",gifttoken,anagram
12846,"Seasoned beef as ""Armpit Stew""",pastrami,anagram
73796,Back seats worth their weight in gold?,tonneau,double definition
125049,"Because investing billions inspiring you and I, certain things gathering dust",cobwebs,container
46135,In which train times are disrupted!,transit,anagram
140232,"Flipping dull, echoing gong",tamtam,assemblage
47033,Monkey's beginning to pick apples up,scamp,assemblage
62608,"Rupert Bear, say?",brooke,double definition
18905,Leave city's wet environment,decamp,container
105188,"Foolish American boy, who makes you think of Wallis?",simpson,assemblage
81650,"Novelist nicking lines from Moliere?, lazy hack!",emilezola,anagram
1689,It can result in call for reserve,netcord,double definition
6025,How the rise is transformed with this beastly carving!,whitehorse,anagram
58982,"Cave in Spain, base for one male tramp",implode,assemblage
76857,Women's work in underground river in Wales,distaff,assemblage
82605,Club gets tennis champion further,everton,assemblage
36218,Admire a fast rider,revere,double definition
102531,Blooming monarch abdicating as movement arriving,inflow,double definition
99187,"River grass encircling path, not a river grass",deepthroat,assemblage
88555,Mineral (barium) taken from church,silica,container
72148,It keeps its mouth open to strike victim,lamprey,double definition
123466,Pacific republic drink tipped to get gold,palau,assemblage
135266,Formal protests about gifts,representations,assemblage
58811,Place where dangerous plot may be hatched,hotbed,double definition
88350,Authors announced titles,writes,double definition
48851,Listlessness can make one reject help,acedia,assemblage
81200,Stir a large watercourse,canal,assemblage
51763,Rock band followed by American uncle telling folk stories,remus,assemblage
134676,Again Emperor's given order - Congress won't be restricted by it,openmarriage,assemblage
37720,It secures a superior item for ladies,hatpin,assemblage
62992,Delegate seen briefly by river to get rid of insects,delouse,assemblage
62463,Places of danger to sailors suffering with sore heels,leeshores,anagram
61792,Refuse to reply at notorious flash point,balkans,assemblage
49709,Love writer accessible to everyone,open,assemblage
119150,I'm cold - I move home,domicil,anagram
44655,Primarily demonic and wicked - the master from hell?,devil,double definition
21627,Payment going up - aim to adjust paperwork,origami,assemblage
67716,"From Istanbul, a way of getting to African city",bulawayo,hidden word
86152,"Game, or its start, as heard on radio",golf,double definition
68427,"Leaving home, freeloading daughter made ungracious remarks, all concluding",egress,assemblage
26718,Aim to impress girl in skin-treatment establishment,tannery,container
102285,Island for outcast in Copperbelt,corfu,anagram
138037,"Arbitrary comment, I agree, is kind of average",geometricmean,anagram
26388,Engage in rigging,tackle,double definition
1599,Drop in standards scratching head in church,apse,assemblage
37990,US lawman conceals memory of tragedy?,drama,container
67742,Engineering graduate is an elaborate fraud,besancon,assemblage
60027,Choreographer's position in the company,cranko,container
48614,Fool has faith leader hold recruits' capital,moron,assemblage
103277,Part of Spain's rainy and scandal-wracked,canaryislands,anagram
122587,Advocate appearing for a Venetian explorer gains essential point,apologist,assemblage
105606,Shocking word repeated in error,booboo,assemblage
28996,Audibly voiced low spirits,mood,assemblage
84538,Heap makes a bushel,epha,anagram
35728,Strongly experienced entre-left alignment,heartfelt,assemblage
34034,Wooden strip holds king fast,starve,container
35350,Kind of party animal,stag,double definition
83490,What's French and saucy incited Americans' glee,cremeanglaise,anagram
95692,Buses start running irregularly out of the centre,suburbs,anagram
4988,Junk food,spam,double definition
24803,Keep going in Felixtowe Road,tower,hidden word
29833,Coin for pig,napoleon,double definition
10193,Payment for artist making a comeback,reward,anagram
83340,André Gide initially appears in quiet street in French capital,prague,assemblage
65050,Animal put out by the ear,ratel,anagram
16654,"Bareheaded, going after crooked horse",skewbald,assemblage
135840,Worker restores ends in new building,stonedresser,assemblage
20090,Deal possibly set aside,offcut,double definition
116500,Ferocious avian charge on hill,raptor,assemblage
104990,"Much of day is left, leaving remaining horses happy",satisfied,assemblage
70515,Subverting enemy country,yemen,anagram
135444,Dryden character in a note on work he left,achitophel,assemblage
36729,It is bound to show the titles,peerage,double definition
139377,"Fabric items, manufactured stuff for Germany",macrame,anagram
54128,Idol given name of bird,heron,assemblage
39838,Hero Elsie had declared,elcid,anagram
114276,Unimportant part of indicator at motorway junction,minor,assemblage
80680,Blameless watering hole given zero cash in US,innocent,assemblage
31047,Water with jolly blue colour,aquamarine,assemblage
121110,Tiddley explosive,lyddite,anagram
59427,Frosty waitress in old corner house,nippy,double definition
85790,Steak went off stuffed with duck (extra large),tournedos,container
24037,Supporter's grand boast,brag,assemblage
94069,Shooting failure in the Caribbean?,tobago,double definition
124574,Fix up starter of pilau with reduced packaging. Spices strong with it?,girlpower,assemblage
139567,"Men score, cutting through Harlequins' sides, or Wasps",hornets,container
107823,Emptied cocktail over the dress,clothe,assemblage
13154,Apparent disgust often betrays enthusiasm,gusto,hidden word
11892,Realist to upset philosopher,aristotle,anagram
61989,The way people talk of miracle food,manna,assemblage
113257,"For me, goal is to tuck into health food",brendan,container
34412,Go after switching neon sign,noentry,anagram
120129,Looking to understand card,seeking,assemblage
45501,"Detectives in US agency retired, remaining sharp",acidic,container
112244,Ecological group plant northern vegetable in a Mediterranean country,greenpeace,assemblage
33425,Wife abroad? Cheat endlessly!,frau,double definition
91652,Drains designed to reach the lowest depths,nadirs,anagram
118053,Be aware of a calf keeping its head in the shade,haveaclue,container
35821,A bus broken down on the way is ridiculous,absurd,anagram
53153,Cheat to get violin,fiddle,double definition
33327,Doctor's prescription for management,treatment,double definition
62753,"With a degree, true: his work is not polished",amateurish,anagram
95995,Reluctant to have a port with philanderer,lothario,assemblage
19057,Club member doing a good turn?,rotarian,double definition
16622,Percy's resistance to push for change in advance,hotspur,double definition
24382,Hero achieves eminence amongst top men,achilles,assemblage
16075,Weapon did its job on maiden,cutlass,assemblage
63484,Note down new present,endow,assemblage
77958,"Make merry, as lyricist bags English girl",rejoice,assemblage
