Index,Clue,Solution,Spaced_Solution
120504,Expression of surprise at topless Winnie,ooh,ooh
131856,Band crew/outfit leaders on road - useful for light adjustment,sashcord,sash cord
51680,Top man secures first place for author,kipling,kipling
36053,Turkish leader about to conclude the business,agenda,agenda
142129,Motor enthusiast modifies other pedal,petrolhead,petrolhead
15514,Star surprisingly is over a year missing,astray,astray
30402,One of the Stones appearing worn - affected by the drink?,pebble,pebble
12866,See animal go wild in the bush,magnolia,magnolia
86325,Figure seizing hotel involved in fund-raiser,telethon,telethon
41678,The old racer racing around Italy?,charioteer,charioteer
53157,What Mrs Sprat might do with rabbit,chewthefat,chew the fat
36723,Carry on in the theatre,operate,operate
123534,Double up refashioning citadel walls,duplicate,duplicate
8288,Feel sorry when soldiers get to guard Roundhead,regret,regret
24258,"Irritates spaniel's head, which is uncalled for",needless,needless
26394,Temporarily relocate help,second,second
51064,Coming to no conclusion,endless,endless
39018,"Rising artist, ignoring society, matured",aged,aged
137241,Brilliance of one of Elgar's Variations,glare,glare
71008,Think of son being corrupted in drink,consider,consider
30362,Temporary work welcomed by young boxer?,popup,pop up
121272,Name and return address in America,dub,dub
60674,Where one is involved as an ex-president,eisenhower,eisenhower
2115,Bird of prey,raven,raven
124142,Country girl briefly eating duck,laos,laos
112643,Found out such appliances are dangerous,unearthed,unearthed
30742,I take five outside to do test again,resit,resit
139806,Midsummer Day ends with a group of sailors,rya,rya
87240,"Place order, getting from pick-up to destination, showing self-possession",aplomb,aplomb
48018,"Unusually irate, not otherwise disposed to attack",tearinto,tear into
56653,Scrap a piece of classical music,raga,raga
90180,Trophy girls tricked into serious predicament,sorryplight,sorry plight
40199,Doubt one may be apprehended,suspect,suspect
25715,Noble's wayward cousin hugged by retired transvestite,viscount,viscount
112535,Novel with first part abbreviated: unruly mob around me aren't consistent,mmebovary,mme bovary
42571,Some women's double confinement - insane!,sabine,sabine
9639,Continue to strike a man,ramon,ramon
41758,Second in importance,moment,moment
99593,"Part of Tennessee Williams' last ""hip"" production: morose, electrifying Marlon initially in the lead",memphis,memphis
111136,Assembled tediously for amateurish work,doityourself,do it yourself
7013,Tension disturbed rest on ship,stress,stress
3711,Go really wild with a symbolic tale,allegory,allegory
107759,"Utters a dictum, so there's nothing missed",says,says
81319,Primate with cross in position of eminence,apex,apex
112041,Chap sadly back around houses in Spanish city,salamanca,salamanca
62445,"Set well back, marsh east of Senegalese capital",stiffen,stiffen
137544,Grouped together with a retired joiner,banded,banded
11241,Drink without a container sent back source of milk,coconut,coconut
105358,"Writer in a hurry to do so, too",rushdie,rushdie
75815,Make an effective stab at providing a short survey,runthrough,run through
119085,"Residence in block, a squat",bungalow,bungalow
26973,"Subscribed to the ""Listener"" and the ""Pantheon"", say",rotunda,rotunda
87379,"A slippery customer, the winter sportsman!",skier,skier
79884,No laughs disrupted Evert's closing attack,onslaught,onslaught
11494,Listened when eccentric signed on,enlisted,enlisted
136017,Disciples are against books by stars,votaries,votaries
85137,Whom beer affected should keep away from it!,homebrew,home brew
140113,He scripted nice revised report of spoken words,indirectspeech,indirect speech
97645,A politician's current measure,amps,amps
49653,Society follows better customs,mores,mores
132156,Range of dumps accommodating virile blokes by day,themendips,the mendips
63736,Knock cap off sleeping policeman,hump,hump
68452,Turn and hide glass,windscreen,windscreen
27894,Reportedly waited around grave,staid,staid
47499,Put up rainwear in a swindle,scam,scam
46777,Country song about American getting back from Detroit,austria,austria
110387,Briefly contemplate a chop reserved for Spaniard's meal,gazpacho,gazpacho
33300,"Write, for instance, ""to rise"" as your answer?",getup,get up
134309,Holder and others sounded greatly impressed,slayed,slayed
3418,A buddy rejects sport for which he's not paid,amateur,amateur
76110,Virgil's lines against leaving heaven during tide change,theaeneid,the aeneid
12579,Benefit favouring the healthy,profit,profit
53052,Fish ate weed,haddock,haddock
6637,One vintage port that's perfect,ideal,ideal
75375,Parliament success: what about Mr Coe? Negative,naseby,naseby
101963,Where to hole a vessel among the fleet,amidships,amidships
51733,Where accidents are affecting the roses,blackspot,black spot
91152,"In tight spot, swear!",plight,plight
137716,Fiddle with French car that's dropping back,fraud,fraud
136954,One hesitates to revive English leader after knockout,anaesthetise,anaesthetise
54535,Morse's last case stirring up memories,evocative,evocative
2975,Spoken for a large section,oral,oral
24929,Night is unusual source of enlightenment,insight,insight
14556,The bicycle provided for coppers at one time,pennyfarthing,penny farthing
78921,Poem about Ulysses essentially at end of Troy,odyssey,odyssey
46124,Backward country's government relinquished control,rein,rein
95281,"""Country mania"" is touring round in the same place",namibia,namibia
46199,Cooked potato with cold joint,chip,chip
56548,Fooled by absorbing Resistance story,hardtimes,hard times
107238,Bar containing drop of liquid comfort,salve,salve
18147,Cautionary cry in Somerset,watchet,watchet
101319,Lionesses becoming silent,noiseless,noiseless
83781,Lack of control in a Hackney report,ataxy,ataxy
63341,Heartlessness and senselessness about olfactory offensiveness,inhumanity,inhumanity
83831,Live in red wellies?,dwell,dwell
135550,"Ruin what you do, separating messily in NYC",insolvency,insolvency
89259,"Better old city parking, as on board?",surpass,surpass
131774,How one may make progress on one's feet,insteps,insteps
118699,"Awake, went out rejuvenated",updated,updated
49154,Give up because of one's self-image?,forego,forego
33759,Bishop has to dismiss rising resistance to church,exarch,exarch
88824,Unpleasant period having fibre to eat,roughage,roughage
36873,One may have a fair throw at it,coconutshy,coconut shy
136427,They're not static water towers,tugboats,tugboats
1091,"""Caine Mutiny"" originally flickered here",cinema,cinema
20590,"Very strict cook, marginally improved",rigid,rigid
134666,"God's dog and ten animals I slam in a net, perhaps?",palindromes,palindromes
27022,"Silver and jade, like Yeatsian midnight",aglimmer,aglimmer
35372,Enormous scratch by the ear,great,great
68631,Ascetic almost spoiled food,yoghurt,yoghurt
41246,Bird's heavy defeat overturned,linnet,linnet
52780,A despatch note?,deathwarrant,death warrant
113746,Influence of Tory boor,clout,clout
97348,"If that's really the hat you want, I'm not stopping you",onyourheadbeit,on your head be it
103047,Firm recalled watchmaker at noon for special event,occasion,occasion
83563,Cast supporting the Queen's Speech?,thrown,thrown
130037,Agency worker almost the last word in saucy humour,temperament,temperament
58815,Sexy bottom? It might encourage rapid but unwelcome developments,hotbed,hotbed
60290,Secure forward position,lock,lock
7214,"Each hoop, but only every other ring",echo,echo
120027,Off day? That is criminal,baddie,baddie
98299,It is difficult being so sensitive,ticklish,ticklish
131905,"God, who's flipping cut grass that's already been cut and dried?",yahweh,yahweh
130470,Model curtsied for starters,crudites,crudites
134320,How rifles may be carried by soldiers not wanted in retreat,ported,ported
8075,Dog mounting sheep,mutton,mutton
116464,"Having broken a personal record, though on the decline",pastonesbest,past ones best
90907,What the publican calls late on many occasions,timeaftertime,time after time
92289,They watch as three points can go to Golf driver,sentinels,sentinels
27833,Finish urge - that woman will,eggshell,eggshell
87664,"Gather together in the morning, when heading to school",amass,amass
136259,Current tests pushed back repressive force,stasi,stasi
6256,Scandal in the sluice,watergate,watergate
45346,Relish an Indian addition to the meal,chutney,chutney
59282,Cut off and also tie off,isolate,isolate
121944,Quoted poet sounds like Mary's garden,shelly,shelly
45328,Judge a royal nipper,arbiter,arbiter
139462,"Began turning up carrying cargo, initially of spoils",detracts,detracts
134097,Best of United's wingers running round Hearts scorer?,georgegershwin,george gershwin
50807,A reward for the taking?,priceononeshead,price on ones head
97538,"Came across a sailor, oddly skin and bones",metatarsi,metatarsi
119876,Official order to blockade islands when there's a disturbance,incident,incident
102393,Distress with endless problems one day before,aggrieve,aggrieve
110550,Display unit of wine and spirits,reddevils,red devils
99967,Get a bit of a sore back tossing it?,caber,caber
134682,Cheers solvers are barred from getting,youshouldnthave,you shouldnt have
43900,Identifying pattern that's bound to squash one irritant,signature,signature
114055,Boatman in youth given order to vacate land,navalcadet,naval cadet
94794,Nothing to bone of bones,osteal,osteal
12544,One gets up flowers,irises,irises
91690,Performance of capital detachment,execution,execution
50572,Free husband,save,save
17405,Vivacity normal in retreating deer,sparkle,sparkle
38373,Small and delicate,slight,slight
29441,Calm North Yorkshire town,settle,settle
142364,Ideal version of Mexican pearl one's able to 'disappear',exemplar,exemplar
28275,Prepare for scan on the Fourth of July,ready,ready
49815,Drunken men docked in early naval vessel,minelayer,minelayer
64787,"Apart from Spanish white wine, mostly French white wine",barsac,barsac
78750,Paid pounds for something at auction,gavel,gavel
45235,Gamble a great deal on a patched-up tyre,lottery,lottery
136950,Let's see those teeth beginning to decay - I weep on failing to contain it,openwide,open wide
34965,Jack's screwdriver?,propeller,propeller
80812,One's inclined to strike with Popular Front,ramp,ramp
328,Smooth limb at end of torso,legato,legato
89801,Hood hardly ever appears over nothing,scarface,scarface
101752,"Restricted middle section used to be soft, then it was revised",waspwaist,wasp waist
132261,Contract gamble upset live broadcaster?,beeb,beeb
17691,Like to take one to a region where Jesus was born,asia,asia
133184,Excite poorly-fed bird first,titillate,titillate
125621,Crew men showing little variation in strokes,stokers,stokers
66079,Is it after five or later he calls?,visitor,visitor
86199,Alumnus sitting with Scarface is haunted,obsessional,obsessional
134995,Name-dropping Dubliner shattered and put back together,rebuild,rebuild
114209,"Discreet, caught in bad fault",tactful,tactful
12053,"Listener's home, the grave?",earnest,earnest
134455,Pain he's suffering to get fit,inshape,in shape
90639,Furnace where link is forged,kiln,kiln
132191,"When pressed, manages passes",getsby,gets by
89291,"Cast my anchor in Norway, say",monarchy,monarchy
120780,"Shows insubordination, giving support to negotiations",talksback,talks back
3128,"Clifftop home creepy, we hear?",eyrie,eyrie
25985,One bombardier gets in before another,encore,encore
87722,Writer improperly abridged,amis,amis
19647,Old empress giving away last instrument,ocarina,ocarina
115851,Struggle across line to finish,complete,complete
95875,President exchanges vote for new fabric,ninon,ninon
56748,She surprised Alice,celia,celia
49003,Sort of nut that is loose,untie,untie
119926,Warning to speculators on gravy train ?,mindthegap,mind the gap
102140,"Floater, one joining church to criticise",icepan,ice pan
103076,Function applied to cube with no fixed date,sinedie,sine die
13659,Wanted revolutionary to support sideshow,desired,desired
43509,Herod's son to gain entree to Rome ?,antipasto,antipasto
123013,"Lawless one meeting end in electric chair, perhaps",anarchic,anarchic
136829,"Hacking, will fear this security measure?",firewall,firewall
83431,Odd people in error in Eden,originalsin,original sin
37022,Wrinkles between features in a premature state,earliness,earliness
98100,A marvellous idea taking off in dream,aspiration,aspiration
46325,It's cryptic woman's paper,tissue,tissue
54257,"Squeeze round corners, leaning heads skywards in ravine",gulch,gulch
40368,Make new arrangements for the holiday place,resort,resort
33788,I follow through with spirit,peri,peri
121561,"After head start, wind up on winners' tail: put your shirt on them?",hangers,hangers
101215,Come down to earth about p-payment for a sweet,toffeeapple,toffee apple
11830,Doctor can sue for time to redeem foreign bills,usance,usance
41398,Acts as executor - some teachers want to,beheads,beheads
81250,"With belly in unusually bad order, lain over",abdominal,abdominal
13238,Motorists seen in distance - it's inexplicable,miracle,miracle
130168,Cosy conga (line dancing?),congenial,congenial
89373,Quarrel can get personal in place like Harrogate,spatown,spa town
22648,The end of the New Testament,amen,amen
103162,Type of verse inspired by daemon or Hymen,monorhyme,monorhyme
12944,Abrasive doctor appears extremely narked,sandpaper,sandpaper
26545,I mostly remain in agreement in believing in God,deistical,deistical
11832,Time permitted for transferring note in dubious cause,usance,usance
61851,Astonished by one-way fold,awestruck,awestruck
70788,"Mammals (the last shall be first), named like Washington, say",eponymous,eponymous
112205,Displace journalist that has complaint about energy,edgeout,edge out
88354,"Former eastern country, catching bug, going west with eastern dressing",mayonnaise,mayonnaise
60106,Certainly bound to be different,nodoubt,no doubt
42965,Emitting light from silver base,aglow,aglow
59209,"Sad, losing out in this sliding scale",glissando,glissando
120891,Floods spread sludge around Mile End,deluges,deluges
116963,"Taking public transport back to worker after ten, he pays part of lease",subtenant,subtenant
87505,"Argument tense, blowing top",tiff,tiff
52288,Rubber reported by my sister in Paris?,masseur,masseur
68732,Prompt service for TV presenters,idiotboard,idiot board
260,Provincial half of army behind endless abuse,insular,insular
71142,Poet having gone short of books,abse,abse
104224,Numbers of a nonstarter,nono,no no
69095,Blue wine is a washout,sadsack,sad sack
20326,A daughter in French port finally off? Not so fast!,andante,andante
47811,Artists apply to less than saintly monk,rasputin,rasputin
4871,Charming and delicate female seen in reflection of river,elfin,elfin
85426,Mechanism for turning right in an agitated state,lather,lather
107684,Composer's scornful work not given run,satie,satie
139214,Over the moon here to have secret room,deepspace,deep space
83334,"Crude, Puck? Not at first, with well-connected people",oilmen,oilmen
140963,Actor with sheet sings from the bottom,filmstar,film star
99777,The work yet to come from PL for truly harmon-ious movement,poetryinmotion,poetry in motion
111745,"Dead popular thought, disposing of male!",insentient,insentient
83741,"Sailor, soldier and girl join in dance",tarantella,tarantella
2591,A representative business,agency,agency
62314,Snakes top their opposites,adders,adders
35240,Hair and metallic mineral stink,furore,furore
51626,A hard thing to catch,nail,nail
77728,"Superior selection of wines, we hear, which has sold a lot",bestseller,bestseller
14218,Circulator to bear losing head,eddy,eddy
93701,Where people go in for charms,entrances,entrances
102896,Soul music?,spiritual,spiritual
84115,Are spades imported to make tracks?,exist,exist
127215,As might be brakes of tank with coil rotation,antilock,anti lock
20346,"First letter is open, perhaps letter from abroad",epsilon,epsilon
44148,Bridge team that's in switched-off state - it can't last,transience,transience
115544,Gym instruction by top man in place of games once,peking,peking
91339,More than is required for six deliveries?,overcapacity,overcapacity
30758,The keynote to good health?,tonic,tonic
54355,"Writer, a good man, seen inside foreign restaurant",bistro,bistro
39461,"Flies parted, I pissed",diptera,diptera
12774,Dragged to the altar?,towed,towed
87168,Confinement which sounds yellow?,custody,custody
28479,A building in Slough,shed,shed
549,Pain beginning to hurt in one,ache,ache
35103,United supporters come back in a mess,snafu,snafu
100634,Poem about mountains given top grade -- sparkling stuff,orangeade,orangeade
79676,Make use of the quality of diamonds - without diamonds,harness,harness
116745,Hit I have in a regular series,successive,successive
60699,Indeed a complicated case gets passed over,deceased,deceased
31298,"Communication with naked ladies, say",email,email
67248,Aspect of Spain no fiction's written about,facet,facet
49328,Salad dressing envied,endive,endive
42522,Insects delightful? Not one - that's right!,licence,licence
131796,Mate rounded Cape unnoticed,hubby,hubby
62123,Indian sage that's been topped and crushed by child's mother,mahatma,mahatma
10169,Nation in plan to lose weight,india,india
131081,"In a maddening way, shrewd Brown standing inside",frustratingly,frustratingly
102936,"No good in house that lacks order, if untidy - might this help?",fengshui,feng shui
129531,Emission - tax to the limit,exhaust,exhaust
78366,Factory philosopher,mill,mill
110915,Lady golfer embraces feminist model in smart dress,whitetie,white tie
33803,Tot's taking mother across river,dram,dram
31731,"Wild duck swallows English dram, if dry",teetotal,teetotal
117834,Order a course,sequence,sequence
63174,The black arts conceal trap that's attractive,magnetic,magnetic
9566,Volunteers to return sombre tunic,tabard,tabard
46683,Where Horatio asked for the kiss of death?,trafalgar,trafalgar
39851,He fails to show up the defect in the return pipe,defaulter,defaulter
104675,Graphic artist uses wire and string,signwriter,signwriter
103706,Stock owner can let charter lapse,cattlerancher,cattle rancher
74952,Made up a number,composed,composed
108257,Be punctilious having to get back for the fish,stickle,stickle
2174,Herb in paper covering's behind the salt,tarragon,tarragon
90362,Article comes together for Guardian messengers?,angels,angels
134957,Old tray I renovated with skill,adroitly,adroitly
89346,Some auxiliary bones,ilia,ilia
77048,Deliver a blackbird,bowl,bowl
83569,Thin binding weed - it's what's observed on road,speedlimit,speed limit
121660,"Sweet where OAP is in EastEnders, perhaps?",afters,afters
91077,Dress up a day in advance for lover,girlfriend,girlfriend
78770,Uncalled for correspondence,deadletter,dead letter
1543,Community to pay workers overtime,settlement,settlement
91842,Spending allowance to be cut in move,budge,budge
12080,Lie concerning strength of character,fibre,fibre
121128,Scruffy label on scruffy item of clothing,ragtag,ragtag
1478,Snick a boundary,edge,edge
90127,Giving medical treatment to stray pet held,dosing,dosing
75508,"A day in dopey stupor, endlessly like t-h-i-s?",spacedout,spaced out
43685,Player with no time for a bet,fluter,fluter
120450,Priest's crime taking time in a clerical residence,parsonage,parsonage
28758,"A stroke by a batsman going for a run, perhaps?",ondrive,on drive
134058,Harry and Henry nabbed by someone not in uniform,chivvy,chivvy
1454,"Entire NHS in trouble, losing ten to bruise",shiner,shiner
102609,"Suffering different elements, primarily hail",hellothere,hello there
120426,Prime made out to include another,seven,seven
98043,Occasion to eat a piece of cake,picnic,picnic
91484,Composer left a little bit of nonsense,fallal,fallal
44396,No time for Mister Scrooge,miser,miser
77843,Sailors sought by TV producer,ratings,ratings
5419,Core of expedition is a long way off,afar,afar
121029,Sydney's landmark before building works?,operahouse,opera house
21197,About to experience the finale of William Tell,inform,inform
15736,"Opening for a salesman turned up, true to form",aperture,aperture
33877,Noble brew of ale that's about right,earl,earl
85944,Biblical dupe keeping bridge players up with sense of foreboding,unease,unease
102268,Strangler with soldiers going around in band,garroter,garroter
84522,"Position of king, plus heir, ousted",rulership,rulership
25655,"Enter Dotty, with bird's dance movement",entrechat,entrechat
142265,Cry out for the old record format,yelp,yelp
102328,Not even a soldier,irregular,irregular
56118,"Petit dejeuner, one tucked away by worker in a bad mood?",croissant,croissant
132272,"After a drink, German enthusiast gets a biscuit",gingernut,ginger nut
15122,Drink for each returning academic,pernod,pernod
72759,"To be lying here, it's serious!",grave,grave
9582,Top-class detectives initially left in clear,lucid,lucid
38158,Run member of pack over,flow,flow
32745,A-class grass,alfa,alfa
46160,Primitive sailor of marked individuality,aboriginal,aboriginal
44642,How ill was the reviewer?,critically,critically
116989,Parent with fruit,papaw,papaw
88477,"'To the bride', perhaps, in German (Browning)",toasting,toasting
58349,Travel through East End district with offensive weapon,crossbow,crossbow
102947,Bones in the head all turned to point,patellae,patellae
82828,Mark Antony's extreme spirit,brandy,brandy
133038,"Go for somewhere in Scotland, as Dickens character",pickwick,pickwick
138620,Manual actions in service taking a long time,massages,massages
24289,Penny has beer and pasty,pale,pale
2119,Is young Blair a supporter? Insert number in Irish Sea,isleofman,isle of man
31193,Prince not turning up for dance,charleston,charleston
130810,Joint drinks parties,kneesups,knees ups
123507,Cats finally sounding happy? That's encouraging,spurring,spurring
26494,"European composer, in recital, has things to do",checklist,checklist
64343,Clothing society suffering legal action,shellsuit,shell suit
30462,It's supposed to prevent travellers' bags getting in a snarl-up,bfcycleclip,bfcycle clip
115813,Old councillors learned somehow about a Frenchman,aldermen,aldermen
64648,Spare fire,letoff,let off
129802,Hawk seizing tail of mynah bird,chough,chough
80173,Returns to digs for economy's sake,retrenches,retrenches
32909,Be nippy? Not a lot!,dash,dash
103476,Could it make ferret wash?,freshwater,fresh water
17188,Snooker player breaks with end of cue,white,white
81195,"Flash not very bright, introducing copper for a bit",modicum,modicum
123957,We murmur a short reply,humans,humans
99052,Means of suppressing dreadful shame and panic - seem cold,escapemechanism,escape mechanism
45473,"Found what's potentially sad ""fun"" and cheered, showing this",schadenfreude,schadenfreude
53033,Said to be the story's end,tail,tail
84810,"Taffy's home - right, left and roundabout",landofmyfathers,land of my fathers
46118,Racket's centre starts to buckle under bombardment,hubbub,hubbub
100731,Close to last time food warnings ensue,threats,threats
53604,Dramatic confidence?,stagewhisper,stage whisper
14106,"Not wanted at the feast, best left in the cupboard",skeleton,skeleton
137650,Model receiving complaint to consider retiring after hostilities ended,postbellum,post bellum
131463,Badger resorted to exit by road,streetdoor,street door
40206,American small change being found in school is dodgy,suspect,suspect
10926,Act as an agitator and get jail,stir,stir
76832,To compensate for one short day is to take heart from another,satisfy,satisfy
77279,Crazy over North American icon,madonna,madonna
104766,Spike has doll that is missing,barb,barb
85039,"Each one opening, under no circumstances remaining open",uncover,uncover
132678,East European city where two vessels turned up,krakow,krakow
48600,"Monstrously stab king, and profit? It's hard to fathom",abstruse,abstruse
10979,Check demand for material,damask,damask
141319,Radioactive element in preservative for good health,salut,salut
14311,Plant with a sting stuck in the chimney,laburnum,laburnum
89803,Mobster's joint is cover for card operation,scarface,scarface
6110,Close check,stop,stop
120047,"C, half-cut Bush, for example, gatecrashing his party?",cameron,cameron
40179,Peculiar game,rummy,rummy
105648,City state ground out small business,cottageindustry,cottage industry
31190,Prince not getting up for the dance,charleston,charleston
14639,Playboy stereotypically gobbling reputed aphrodisiac,oyster,oyster
36078,"Soldier's gear, which stays at home",tinhat,tin hat
25486,Violinist's private room,bower,bower
14982,Boy-meets-girl opera,leonora,leonora
38536,Getting through to farms about ground that's always frozen,permafrost,permafrost
93127,Prima donna gets a quid for appearing in lights,divali,divali
34853,He designed a water container,adam,adam
47492,Retired Scotsman's trick,scam,scam
67110,"An abstract point, to be exact",precise,precise
112609,Sleep until noon (twelve),dozen,dozen
120758,Snowman? College erected it,inuit,inuit
6072,Bottom of league in Cheshire and East Lancashire?,cheese,cheese
140892,Setter's upset over good answers to puzzles,enigmas,enigmas
57863,Carry on in summary fashion,resume,resume
84465,Eat away without starting to bring back,etch,etch
96014,Sharp stone for the remaining persons,alltherest,all the rest
56976,European in next cell tortured in capital,excellent,excellent
121312,Hole number dealing with bad habit,crevice,crevice
61605,"Bulbs shining, these charged",onions,onions
50761,"Telephone bell starting off, but not so loud",lower,lower
108513,Its partition was booked,redsea,red sea
5366,Boss lost in dust storm,stud,stud
132928,"Beacons required to follow this, if range is to be obtained",brecon,brecon
119078,"Time off, stuff punctuated by irregular pay",gapyear,gap year
93033,Record claiming uranium is brownish-grey,taupe,taupe
88134,Wolf circling eastern Galloway?,george,george
58772,"Hundreds pocketed by accountants, the rotters!",cads,cads
100257,Help fool individual with attitude,assistance,assistance
109072,Something dentist may have to do with lineage,extraction,extraction
123726,Vegetable essence,marrow,marrow
1030,Iberian prince angered in revolt,grandee,grandee
87361,Heartless Shakespeare heroine keeping beret for a head,percapita,per capita
70181,Peculiar issue more likely than not,oddson,odds on
93892,Solid grasp of company case?,firmgrip,firm grip
116622,Ruled measure government introduced must be reversed,reigned,reigned
28384,"I am the cat among dairy produce, going to overlap?",imbricate,imbricate
64671,I throw my weight around the angel,islington,islington
21476,"Engaged, that's the outcome about me and a girl",enmeshed,enmeshed
8968,What's got out of bed?,rose,rose
122484,Head of state with guns to tame rioting,maotsetung,mao tse tung
19964,Honour given to boy king ...,oberon,oberon
116450,Inexperience wears off: name gained success finally,rawness,rawness
10829,Religious house is too much for this priest,abbe,abbe
1697,"Like mistletoe, it is a hit when put up, caught underneath",parasitic,parasitic
128290,Tough solidity for road transport crossing a bit of rail track,burliness,burliness
31476,Artist in car skirting ancient city,seurat,seurat
58634,Praise the boot rejected by lieutenant,exalt,exalt
114956,"Exciting book, ""The Musician's Aide""",pageturner,page turner
40505,Ass in America leading to American kerfuffle,rumpus,rumpus
33947,Law suit finally disposed of - for a figure,statue,statue
74212,"What maintenance staff should do at points, etc",checkrails,checkrails
36567,PM essentially disappointed England,eden,eden
3319,"Blue died, a bit of an act",obscene,obscene
103221,One seen in a hanging basket?,balloonist,balloonist
9207,Sat Latin translation in a lost realm of fancy,atlantis,atlantis
40287,Laciest piece in the sewing box? That's stretching it!,elastic,elastic
36592,Male child consumes duck quickly,soon,soon
34241,One's captivated by star-shaped feature of fluted column,stria,stria
134763,Male children's book character heard singing in church?,hymnody,hymnody
61642,Badly treated and is unserviceable in the sea,misused,misused
118902,Tabloid pictures which closely resemble one another,mirrorimages,mirror images
83799,Vehicles boy goes in are always late,cadavers,cadavers
28350,Best food Mike's brother found in the continent,ambrosia,ambrosia
9249,First of Walter Mitty's turns: provide defence and make me conform,twistmyarm,twist my arm
37285,Like supporter at home holding a kind of sign inside boundary,infavour,in favour
20073,"One in dock, employed by a county council",accused,accused
38183,Monster fish,troll,troll
79225,No bunker could be perfectly even,unbroken,unbroken
11951,What Italians drink in the Mestre: Galliano,strega,strega
84068,Contrary commercial jingle,adverse,adverse
103255,Anxiety about hair stops you sleeping,alarmclock,alarm clock
86453,Crossover door,rood,rood
25043,Australian one needing invigorating air,ozone,ozone
29221,"Poet's dawn air ""threaded with gold""",aurora,aurora
84783,Sent us out at the end of the day,sunset,sunset
90023,Live at home after a short break as an artist,holbein,holbein
38309,"Very French attempt to seduce is wrong, legally",trespass,trespass
100999,Dessert like jelly seen around the globe,sorbet,sorbet
41551,Report to do with extremity,retail,retail
138851,"Only a proportion taken from income, a tax evaded is a dangerous thing",meataxe,meat axe
40401,Town's ancient guy who must have been out of the ark,oldham,oldham
22379,Old king failing to make the grade,edgar,edgar
18838,Danger for sailors in popular music,rock,rock
198,Fend off leader of pirates in film,repel,repel
86393,Tick Kennedy's heart's condition,jiff,jiff
17359,Student caught with a dictionary,coed,coed
106492,"Alas, old Bob Dylan cut short touring",sadly,sadly
38797,English general accepts tax raise,elevate,elevate
130471,"Raw food cursed, it needing to be cooked",crudites,crudites
14827,Battle later developed into chase,waterloo,waterloo
121362,Pet with pal struggling over a tree,catalpa,catalpa
101788,West Indian play groups,steelbands,steel bands
77301,Gets the dog and looks around,secures,secures
13695,Grim prospect for yachtsman trying to catch rival,stern,stern
123072,"Bird back after season abroad, man's problem afoot?",fallenarches,fallen arches
26686,Knock run off spin bowler,elbow,elbow
27162,Books for more than one opera,libretti,libretti
129375,Resident superpower stuffing herb in meat product,liversausage,liver sausage
135945,Tubes bringing a form of medication to stop decay,capillaries,capillaries
111629,Criminals returning so as to be split in opposing,cosanostra,cosa nostra
71373,Loved to see the dreadnought wrecked,adored,adored
91232,"Power governs tube centrally - US tube, that is",subway,subway
7600,Left holding baby after this,labour,labour
26262,Finally gives woman liquid nitrogen to make frozen sculpture,snowman,snowman
59714,She provides father with cooked meal,pamela,pamela
82252,Bit of a gut for Goon (pronounced),caecum,caecum
10326,Lousiest material editor's chucked out,worst,worst
120766,President strangely agin dancing,polkaing,polkaing
