Index,Clue,Solution,gemma_predicted,Spaced_Solution
142129,Motor enthusiast modifies other pedal,petrolhead,anagram,petrolhead
15514,Star surprisingly is over a year missing,astray,assemblage,astray
30402,One of the Stones appearing worn - affected by the drink?,pebble,double definition,pebble
12866,See animal go wild in the bush,magnolia,anagram,magnolia
86325,Figure seizing hotel involved in fund-raiser,telethon,anagram,telethon
41678,The old racer racing around Italy?,charioteer,anagram,charioteer
53157,What Mrs Sprat might do with rabbit,chewthefat,double definition,chew the fat
36723,Carry on in the theatre,operate,double definition,operate
123534,Double up refashioning citadel walls,duplicate,anagram,duplicate
8288,Feel sorry when soldiers get to guard Roundhead,regret,container,regret
24258,"Irritates spaniel's head, which is uncalled for",needless,assemblage,needless
26394,Temporarily relocate help,second,double definition,second
51064,Coming to no conclusion,endless,double definition,endless
39018,"Rising artist, ignoring society, matured",aged,anagram,aged
137241,Brilliance of one of Elgar's Variations,glare,anagram,glare
71008,Think of son being corrupted in drink,consider,anagram,consider
30362,Temporary work welcomed by young boxer?,popup,container,pop up
121272,Name and return address in America,dub,anagram,dub
60674,Where one is involved as an ex-president,eisenhower,anagram,eisenhower
2115,Bird of prey,raven,double definition,raven
124142,Country girl briefly eating duck,laos,container,laos
112643,Found out such appliances are dangerous,unearthed,double definition,unearthed
30742,I take five outside to do test again,resit,assemblage,resit
139806,Midsummer Day ends with a group of sailors,rya,assemblage,rya
87240,"Place order, getting from pick-up to destination, showing self-possession",aplomb,assemblage,aplomb
48018,"Unusually irate, not otherwise disposed to attack",tearinto,anagram,tear into
56653,Scrap a piece of classical music,raga,assemblage,raga
90180,Trophy girls tricked into serious predicament,sorryplight,anagram,sorry plight
40199,Doubt one may be apprehended,suspect,double definition,suspect
25715,Noble's wayward cousin hugged by retired transvestite,viscount,container,viscount
112535,Novel with first part abbreviated: unruly mob around me aren't consistent,mmebovary,assemblage,mme bovary
42571,Some women's double confinement - insane!,sabine,hidden word,sabine
9639,Continue to strike a man,ramon,assemblage,ramon
41758,Second in importance,moment,double definition,moment
99593,"Part of Tennessee Williams' last ""hip"" production: morose, electrifying Marlon initially in the lead",memphis,assemblage,memphis
111136,Assembled tediously for amateurish work,doityourself,anagram,do it yourself
7013,Tension disturbed rest on ship,stress,assemblage,stress
3711,Go really wild with a symbolic tale,allegory,anagram,allegory
107759,"Utters a dictum, so there's nothing missed",says,assemblage,says
81319,Primate with cross in position of eminence,apex,assemblage,apex
112041,Chap sadly back around houses in Spanish city,salamanca,assemblage,salamanca
62445,"Set well back, marsh east of Senegalese capital",stiffen,assemblage,stiffen
137544,Grouped together with a retired joiner,banded,double definition,banded
11241,Drink without a container sent back source of milk,coconut,assemblage,coconut
105358,"Writer in a hurry to do so, too",rushdie,assemblage,rushdie
75815,Make an effective stab at providing a short survey,runthrough,double definition,run through
119085,"Residence in block, a squat",bungalow,assemblage,bungalow
26973,"Subscribed to the ""Listener"" and the ""Pantheon"", say",rotunda,double definition,rotunda
87379,"A slippery customer, the winter sportsman!",skier,double definition,skier
79884,No laughs disrupted Evert's closing attack,onslaught,assemblage,onslaught
11494,Listened when eccentric signed on,enlisted,anagram,enlisted
136017,Disciples are against books by stars,votaries,assemblage,votaries
85137,Whom beer affected should keep away from it!,homebrew,anagram,home brew
140113,He scripted nice revised report of spoken words,indirectspeech,anagram,indirect speech
97645,A politician's current measure,amps,assemblage,amps
49653,Society follows better customs,mores,assemblage,mores
132156,Range of dumps accommodating virile blokes by day,themendips,container,the mendips
63736,Knock cap off sleeping policeman,hump,double definition,hump
68452,Turn and hide glass,windscreen,assemblage,windscreen
27894,Reportedly waited around grave,staid,double definition,staid
47499,Put up rainwear in a swindle,scam,double definition,scam
46777,Country song about American getting back from Detroit,austria,container,austria
110387,Briefly contemplate a chop reserved for Spaniard's meal,gazpacho,assemblage,gazpacho
33300,"Write, for instance, ""to rise"" as your answer?",getup,double definition,get up
134309,Holder and others sounded greatly impressed,slayed,double definition,slayed
3418,A buddy rejects sport for which he's not paid,amateur,assemblage,amateur
76110,Virgil's lines against leaving heaven during tide change,theaeneid,assemblage,the aeneid
12579,Benefit favouring the healthy,profit,assemblage,profit
53052,Fish ate weed,haddock,assemblage,haddock
6637,One vintage port that's perfect,ideal,assemblage,ideal
75375,Parliament success: what about Mr Coe? Negative,naseby,assemblage,naseby
101963,Where to hole a vessel among the fleet,amidships,assemblage,amidships
51733,Where accidents are affecting the roses,blackspot,double definition,black spot
91152,"In tight spot, swear!",plight,double definition,plight
137716,Fiddle with French car that's dropping back,fraud,assemblage,fraud
136954,One hesitates to revive English leader after knockout,anaesthetise,assemblage,anaesthetise
54535,Morse's last case stirring up memories,evocative,anagram,evocative
2975,Spoken for a large section,oral,hidden word,oral
24929,Night is unusual source of enlightenment,insight,anagram,insight
14556,The bicycle provided for coppers at one time,pennyfarthing,assemblage,penny farthing
78921,Poem about Ulysses essentially at end of Troy,odyssey,assemblage,odyssey
46124,Backward country's government relinquished control,rein,assemblage,rein
95281,"""Country mania"" is touring round in the same place",namibia,anagram,namibia
46199,Cooked potato with cold joint,chip,double definition,chip
56548,Fooled by absorbing Resistance story,hardtimes,container,hard times
107238,Bar containing drop of liquid comfort,salve,container,salve
18147,Cautionary cry in Somerset,watchet,assemblage,watchet
101319,Lionesses becoming silent,noiseless,anagram,noiseless
83781,Lack of control in a Hackney report,ataxy,assemblage,ataxy
63341,Heartlessness and senselessness about olfactory offensiveness,inhumanity,container,inhumanity
83831,Live in red wellies?,dwell,hidden word,dwell
135550,"Ruin what you do, separating messily in NYC",insolvency,assemblage,insolvency
89259,"Better old city parking, as on board?",surpass,assemblage,surpass
131774,How one may make progress on one's feet,insteps,assemblage,insteps
118699,"Awake, went out rejuvenated",updated,assemblage,updated
49154,Give up because of one's self-image?,forego,assemblage,forego
33759,Bishop has to dismiss rising resistance to church,exarch,assemblage,exarch
88824,Unpleasant period having fibre to eat,roughage,assemblage,roughage
36873,One may have a fair throw at it,coconutshy,assemblage,coconut shy
136427,They're not static water towers,tugboats,assemblage,tugboats
1091,"""Caine Mutiny"" originally flickered here",cinema,anagram,cinema
20590,"Very strict cook, marginally improved",rigid,assemblage,rigid
134666,"God's dog and ten animals I slam in a net, perhaps?",palindromes,double definition,palindromes
27022,"Silver and jade, like Yeatsian midnight",aglimmer,assemblage,aglimmer
35372,Enormous scratch by the ear,great,double definition,great
68631,Ascetic almost spoiled food,yoghurt,assemblage,yoghurt
41246,Bird's heavy defeat overturned,linnet,anagram,linnet
52780,A despatch note?,deathwarrant,assemblage,death warrant
113746,Influence of Tory boor,clout,assemblage,clout
97348,"If that's really the hat you want, I'm not stopping you",onyourheadbeit,assemblage,on your head be it
103047,Firm recalled watchmaker at noon for special event,occasion,assemblage,occasion
83563,Cast supporting the Queen's Speech?,thrown,anagram,thrown
130037,Agency worker almost the last word in saucy humour,temperament,assemblage,temperament
58815,Sexy bottom? It might encourage rapid but unwelcome developments,hotbed,assemblage,hotbed
60290,Secure forward position,lock,double definition,lock
7214,"Each hoop, but only every other ring",echo,hidden word,echo
120027,Off day? That is criminal,baddie,assemblage,baddie
98299,It is difficult being so sensitive,ticklish,double definition,ticklish
131905,"God, who's flipping cut grass that's already been cut and dried?",yahweh,assemblage,yahweh
130470,Model curtsied for starters,crudites,anagram,crudites
134320,How rifles may be carried by soldiers not wanted in retreat,ported,anagram,ported
8075,Dog mounting sheep,mutton,assemblage,mutton
116464,"Having broken a personal record, though on the decline",pastonesbest,double definition,past ones best
90907,What the publican calls late on many occasions,timeaftertime,assemblage,time after time
92289,They watch as three points can go to Golf driver,sentinels,assemblage,sentinels
27833,Finish urge - that woman will,eggshell,assemblage,eggshell
87664,"Gather together in the morning, when heading to school",amass,assemblage,amass
136259,Current tests pushed back repressive force,stasi,assemblage,stasi
6256,Scandal in the sluice,watergate,double definition,watergate
45346,Relish an Indian addition to the meal,chutney,double definition,chutney
59282,Cut off and also tie off,isolate,anagram,isolate
121944,Quoted poet sounds like Mary's garden,shelly,double definition,shelly
45328,Judge a royal nipper,arbiter,assemblage,arbiter
139462,"Began turning up carrying cargo, initially of spoils",detracts,container,detracts
134097,Best of United's wingers running round Hearts scorer?,georgegershwin,assemblage,george gershwin
50807,A reward for the taking?,priceononeshead,double definition,price on ones head
97538,"Came across a sailor, oddly skin and bones",metatarsi,assemblage,metatarsi
119876,Official order to blockade islands when there's a disturbance,incident,assemblage,incident
102393,Distress with endless problems one day before,aggrieve,assemblage,aggrieve
110550,Display unit of wine and spirits,reddevils,assemblage,red devils
99967,Get a bit of a sore back tossing it?,caber,hidden word,caber
134682,Cheers solvers are barred from getting,youshouldnthave,double definition,you shouldnt have
43900,Identifying pattern that's bound to squash one irritant,signature,container,signature
114055,Boatman in youth given order to vacate land,navalcadet,assemblage,naval cadet
94794,Nothing to bone of bones,osteal,assemblage,osteal
12544,One gets up flowers,irises,assemblage,irises
91690,Performance of capital detachment,execution,double definition,execution
50572,Free husband,save,double definition,save
17405,Vivacity normal in retreating deer,sparkle,container,sparkle
38373,Small and delicate,slight,double definition,slight
29441,Calm North Yorkshire town,settle,double definition,settle
142364,Ideal version of Mexican pearl one's able to 'disappear',exemplar,anagram,exemplar
28275,Prepare for scan on the Fourth of July,ready,assemblage,ready
49815,Drunken men docked in early naval vessel,minelayer,anagram,minelayer
64787,"Apart from Spanish white wine, mostly French white wine",barsac,assemblage,barsac
78750,Paid pounds for something at auction,gavel,assemblage,gavel
45235,Gamble a great deal on a patched-up tyre,lottery,assemblage,lottery
136950,Let's see those teeth beginning to decay - I weep on failing to contain it,openwide,anagram,open wide
34965,Jack's screwdriver?,propeller,double definition,propeller
80812,One's inclined to strike with Popular Front,ramp,assemblage,ramp
328,Smooth limb at end of torso,legato,assemblage,legato
89801,Hood hardly ever appears over nothing,scarface,container,scarface
101752,"Restricted middle section used to be soft, then it was revised",waspwaist,assemblage,wasp waist
132261,Contract gamble upset live broadcaster?,beeb,assemblage,beeb
17691,Like to take one to a region where Jesus was born,asia,assemblage,asia
133184,Excite poorly-fed bird first,titillate,assemblage,titillate
125621,Crew men showing little variation in strokes,stokers,anagram,stokers
66079,Is it after five or later he calls?,visitor,anagram,visitor
86199,Alumnus sitting with Scarface is haunted,obsessional,assemblage,obsessional
134995,Name-dropping Dubliner shattered and put back together,rebuild,anagram,rebuild
114209,"Discreet, caught in bad fault",tactful,container,tactful
12053,"Listener's home, the grave?",earnest,assemblage,earnest
134455,Pain he's suffering to get fit,inshape,anagram,in shape
90639,Furnace where link is forged,kiln,anagram,kiln
132191,"When pressed, manages passes",getsby,assemblage,gets by
89291,"Cast my anchor in Norway, say",monarchy,anagram,monarchy
120780,"Shows insubordination, giving support to negotiations",talksback,assemblage,talks back
3128,"Clifftop home creepy, we hear?",eyrie,double definition,eyrie
25985,One bombardier gets in before another,encore,assemblage,encore
87722,Writer improperly abridged,amis,assemblage,amis
19647,Old empress giving away last instrument,ocarina,assemblage,ocarina
115851,Struggle across line to finish,complete,container,complete
95875,President exchanges vote for new fabric,ninon,assemblage,ninon
56748,She surprised Alice,celia,anagram,celia
49003,Sort of nut that is loose,untie,anagram,untie
119926,Warning to speculators on gravy train ?,mindthegap,double definition,mind the gap
102140,"Floater, one joining church to criticise",icepan,assemblage,ice pan
103076,Function applied to cube with no fixed date,sinedie,assemblage,sine die
13659,Wanted revolutionary to support sideshow,desired,assemblage,desired
43509,Herod's son to gain entree to Rome ?,antipasto,assemblage,antipasto
123013,"Lawless one meeting end in electric chair, perhaps",anarchic,assemblage,anarchic
136829,"Hacking, will fear this security measure?",firewall,anagram,firewall
83431,Odd people in error in Eden,originalsin,assemblage,original sin
37022,Wrinkles between features in a premature state,earliness,container,earliness
98100,A marvellous idea taking off in dream,aspiration,double definition,aspiration
46325,It's cryptic woman's paper,tissue,double definition,tissue
54257,"Squeeze round corners, leaning heads skywards in ravine",gulch,assemblage,gulch
40368,Make new arrangements for the holiday place,resort,double definition,resort
33788,I follow through with spirit,peri,assemblage,peri
121561,"After head start, wind up on winners' tail: put your shirt on them?",hangers,assemblage,hangers
101215,Come down to earth about p-payment for a sweet,toffeeapple,container,toffee apple
11830,Doctor can sue for time to redeem foreign bills,usance,anagram,usance
41398,Acts as executor - some teachers want to,beheads,double definition,beheads
81250,"With belly in unusually bad order, lain over",abdominal,anagram,abdominal
13238,Motorists seen in distance - it's inexplicable,miracle,container,miracle
130168,Cosy conga (line dancing?),congenial,anagram,congenial
89373,Quarrel can get personal in place like Harrogate,spatown,assemblage,spa town
22648,The end of the New Testament,amen,double definition,amen
103162,Type of verse inspired by daemon or Hymen,monorhyme,hidden word,monorhyme
12944,Abrasive doctor appears extremely narked,sandpaper,anagram,sandpaper
26545,I mostly remain in agreement in believing in God,deistical,container,deistical
11832,Time permitted for transferring note in dubious cause,usance,anagram,usance
61851,Astonished by one-way fold,awestruck,assemblage,awestruck
70788,"Mammals (the last shall be first), named like Washington, say",eponymous,assemblage,eponymous
112205,Displace journalist that has complaint about energy,edgeout,container,edge out
88354,"Former eastern country, catching bug, going west with eastern dressing",mayonnaise,assemblage,mayonnaise
60106,Certainly bound to be different,nodoubt,anagram,no doubt
42965,Emitting light from silver base,aglow,assemblage,aglow
59209,"Sad, losing out in this sliding scale",glissando,anagram,glissando
120891,Floods spread sludge around Mile End,deluges,anagram,deluges
116963,"Taking public transport back to worker after ten, he pays part of lease",subtenant,assemblage,subtenant
87505,"Argument tense, blowing top",tiff,assemblage,tiff
52288,Rubber reported by my sister in Paris?,masseur,double definition,masseur
68732,Prompt service for TV presenters,idiotboard,assemblage,idiot board
260,Provincial half of army behind endless abuse,insular,assemblage,insular
71142,Poet having gone short of books,abse,assemblage,abse
104224,Numbers of a nonstarter,nono,assemblage,no no
69095,Blue wine is a washout,sadsack,assemblage,sad sack
20326,A daughter in French port finally off? Not so fast!,andante,assemblage,andante
47811,Artists apply to less than saintly monk,rasputin,assemblage,rasputin
4871,Charming and delicate female seen in reflection of river,elfin,container,elfin
85426,Mechanism for turning right in an agitated state,lather,assemblage,lather
107684,Composer's scornful work not given run,satie,assemblage,satie
139214,Over the moon here to have secret room,deepspace,assemblage,deep space
83334,"Crude, Puck? Not at first, with well-connected people",oilmen,assemblage,oilmen
140963,Actor with sheet sings from the bottom,filmstar,assemblage,film star
99777,The work yet to come from PL for truly harmon-ious movement,poetryinmotion,assemblage,poetry in motion
111745,"Dead popular thought, disposing of male!",insentient,assemblage,insentient
83741,"Sailor, soldier and girl join in dance",tarantella,assemblage,tarantella
2591,A representative business,agency,double definition,agency
62314,Snakes top their opposites,adders,double definition,adders
35240,Hair and metallic mineral stink,furore,assemblage,furore
51626,A hard thing to catch,nail,double definition,nail
77728,"Superior selection of wines, we hear, which has sold a lot",bestseller,assemblage,bestseller
14218,Circulator to bear losing head,eddy,assemblage,eddy
93701,Where people go in for charms,entrances,double definition,entrances
102896,Soul music?,spiritual,double definition,spiritual
84115,Are spades imported to make tracks?,exist,anagram,exist
127215,As might be brakes of tank with coil rotation,antilock,anagram,anti lock
20346,"First letter is open, perhaps letter from abroad",epsilon,assemblage,epsilon
44148,Bridge team that's in switched-off state - it can't last,transience,assemblage,transience
115544,Gym instruction by top man in place of games once,peking,assemblage,peking
91339,More than is required for six deliveries?,overcapacity,assemblage,overcapacity
30758,The keynote to good health?,tonic,double definition,tonic
54355,"Writer, a good man, seen inside foreign restaurant",bistro,container,bistro
39461,"Flies parted, I pissed",diptera,anagram,diptera
12774,Dragged to the altar?,towed,double definition,towed
87168,Confinement which sounds yellow?,custody,double definition,custody
28479,A building in Slough,shed,double definition,shed
549,Pain beginning to hurt in one,ache,container,ache
35103,United supporters come back in a mess,snafu,assemblage,snafu
100634,Poem about mountains given top grade -- sparkling stuff,orangeade,container,orangeade
79676,Make use of the quality of diamonds - without diamonds,harness,assemblage,harness
116745,Hit I have in a regular series,successive,assemblage,successive
60699,Indeed a complicated case gets passed over,deceased,anagram,deceased
31298,"Communication with naked ladies, say",email,anagram,email
67248,Aspect of Spain no fiction's written about,facet,hidden word,facet
49328,Salad dressing envied,endive,anagram,endive
42522,Insects delightful? Not one - that's right!,licence,assemblage,licence
131796,Mate rounded Cape unnoticed,hubby,assemblage,hubby
62123,Indian sage that's been topped and crushed by child's mother,mahatma,assemblage,mahatma
10169,Nation in plan to lose weight,india,assemblage,india
131081,"In a maddening way, shrewd Brown standing inside",frustratingly,container,frustratingly
102936,"No good in house that lacks order, if untidy - might this help?",fengshui,anagram,feng shui
129531,Emission - tax to the limit,exhaust,double definition,exhaust
78366,Factory philosopher,mill,double definition,mill
110915,Lady golfer embraces feminist model in smart dress,whitetie,assemblage,white tie
33803,Tot's taking mother across river,dram,assemblage,dram
31731,"Wild duck swallows English dram, if dry",teetotal,container,teetotal
117834,Order a course,sequence,double definition,sequence
63174,The black arts conceal trap that's attractive,magnetic,hidden word,magnetic
9566,Volunteers to return sombre tunic,tabard,assemblage,tabard
46683,Where Horatio asked for the kiss of death?,trafalgar,double definition,trafalgar
39851,He fails to show up the defect in the return pipe,defaulter,container,defaulter
104675,Graphic artist uses wire and string,signwriter,assemblage,signwriter
103706,Stock owner can let charter lapse,cattlerancher,anagram,cattle rancher
74952,Made up a number,composed,double definition,composed
108257,Be punctilious having to get back for the fish,stickle,double definition,stickle
2174,Herb in paper covering's behind the salt,tarragon,assemblage,tarragon
90362,Article comes together for Guardian messengers?,angels,assemblage,angels
134957,Old tray I renovated with skill,adroitly,anagram,adroitly
89346,Some auxiliary bones,ilia,hidden word,ilia
77048,Deliver a blackbird,bowl,double definition,bowl
83569,Thin binding weed - it's what's observed on road,speedlimit,assemblage,speed limit
121660,"Sweet where OAP is in EastEnders, perhaps?",afters,assemblage,afters
91077,Dress up a day in advance for lover,girlfriend,assemblage,girlfriend
78770,Uncalled for correspondence,deadletter,double definition,dead letter
1543,Community to pay workers overtime,settlement,double definition,settlement
91842,Spending allowance to be cut in move,budge,container,budge
12080,Lie concerning strength of character,fibre,assemblage,fibre
121128,Scruffy label on scruffy item of clothing,ragtag,assemblage,ragtag
1478,Snick a boundary,edge,double definition,edge
90127,Giving medical treatment to stray pet held,dosing,container,dosing
75508,"A day in dopey stupor, endlessly like t-h-i-s?",spacedout,double definition,spaced out
43685,Player with no time for a bet,fluter,container,fluter
120450,Priest's crime taking time in a clerical residence,parsonage,assemblage,parsonage
28758,"A stroke by a batsman going for a run, perhaps?",ondrive,double definition,on drive
134058,Harry and Henry nabbed by someone not in uniform,chivvy,container,chivvy
1454,"Entire NHS in trouble, losing ten to bruise",shiner,anagram,shiner
102609,"Suffering different elements, primarily hail",hellothere,assemblage,hello there
120426,Prime made out to include another,seven,container,seven
98043,Occasion to eat a piece of cake,picnic,double definition,picnic
91484,Composer left a little bit of nonsense,fallal,assemblage,fallal
44396,No time for Mister Scrooge,miser,container,miser
77843,Sailors sought by TV producer,ratings,double definition,ratings
5419,Core of expedition is a long way off,afar,hidden word,afar
121029,Sydney's landmark before building works?,operahouse,double definition,opera house
21197,About to experience the finale of William Tell,inform,assemblage,inform
15736,"Opening for a salesman turned up, true to form",aperture,assemblage,aperture
33877,Noble brew of ale that's about right,earl,anagram,earl
85944,Biblical dupe keeping bridge players up with sense of foreboding,unease,container,unease
102268,Strangler with soldiers going around in band,garroter,container,garroter
84522,"Position of king, plus heir, ousted",rulership,anagram,rulership
25655,"Enter Dotty, with bird's dance movement",entrechat,assemblage,entrechat
142265,Cry out for the old record format,yelp,assemblage,yelp
102328,Not even a soldier,irregular,double definition,irregular
56118,"Petit dejeuner, one tucked away by worker in a bad mood?",croissant,assemblage,croissant
132272,"After a drink, German enthusiast gets a biscuit",gingernut,assemblage,ginger nut
15122,Drink for each returning academic,pernod,assemblage,pernod
72759,"To be lying here, it's serious!",grave,double definition,grave
9582,Top-class detectives initially left in clear,lucid,assemblage,lucid
38158,Run member of pack over,flow,anagram,flow
32745,A-class grass,alfa,double definition,alfa
46160,Primitive sailor of marked individuality,aboriginal,assemblage,aboriginal
44642,How ill was the reviewer?,critically,double definition,critically
116989,Parent with fruit,papaw,assemblage,papaw
88477,"'To the bride', perhaps, in German (Browning)",toasting,double definition,toasting
58349,Travel through East End district with offensive weapon,crossbow,assemblage,crossbow
102947,Bones in the head all turned to point,patellae,assemblage,patellae
82828,Mark Antony's extreme spirit,brandy,assemblage,brandy
133038,"Go for somewhere in Scotland, as Dickens character",pickwick,assemblage,pickwick
138620,Manual actions in service taking a long time,massages,container,massages
24289,Penny has beer and pasty,pale,assemblage,pale
2119,Is young Blair a supporter? Insert number in Irish Sea,isleofman,assemblage,isle of man
31193,Prince not turning up for dance,charleston,assemblage,charleston
130810,Joint drinks parties,kneesups,assemblage,knees ups
123507,Cats finally sounding happy? That's encouraging,spurring,assemblage,spurring
26494,"European composer, in recital, has things to do",checklist,container,checklist
64343,Clothing society suffering legal action,shellsuit,assemblage,shell suit
30462,It's supposed to prevent travellers' bags getting in a snarl-up,bfcycleclip,double definition,bfcycle clip
115813,Old councillors learned somehow about a Frenchman,aldermen,anagram,aldermen
64648,Spare fire,letoff,double definition,let off
129802,Hawk seizing tail of mynah bird,chough,assemblage,chough
80173,Returns to digs for economy's sake,retrenches,assemblage,retrenches
32909,Be nippy? Not a lot!,dash,double definition,dash
103476,Could it make ferret wash?,freshwater,anagram,fresh water
17188,Snooker player breaks with end of cue,white,assemblage,white
81195,"Flash not very bright, introducing copper for a bit",modicum,container,modicum
123957,We murmur a short reply,humans,assemblage,humans
99052,Means of suppressing dreadful shame and panic - seem cold,escapemechanism,anagram,escape mechanism
45473,"Found what's potentially sad ""fun"" and cheered, showing this",schadenfreude,anagram,schadenfreude
53033,Said to be the story's end,tail,double definition,tail
84810,"Taffy's home - right, left and roundabout",landofmyfathers,assemblage,land of my fathers
46118,Racket's centre starts to buckle under bombardment,hubbub,assemblage,hubbub
100731,Close to last time food warnings ensue,threats,assemblage,threats
53604,Dramatic confidence?,stagewhisper,assemblage,stage whisper
14106,"Not wanted at the feast, best left in the cupboard",skeleton,double definition,skeleton
137650,Model receiving complaint to consider retiring after hostilities ended,postbellum,assemblage,post bellum
131463,Badger resorted to exit by road,streetdoor,assemblage,street door
40206,American small change being found in school is dodgy,suspect,assemblage,suspect
10926,Act as an agitator and get jail,stir,double definition,stir
76832,To compensate for one short day is to take heart from another,satisfy,assemblage,satisfy
77279,Crazy over North American icon,madonna,assemblage,madonna
104766,Spike has doll that is missing,barb,double definition,barb
85039,"Each one opening, under no circumstances remaining open",uncover,assemblage,uncover
132678,East European city where two vessels turned up,krakow,assemblage,krakow
48600,"Monstrously stab king, and profit? It's hard to fathom",abstruse,anagram,abstruse
10979,Check demand for material,damask,assemblage,damask
141319,Radioactive element in preservative for good health,salut,container,salut
14311,Plant with a sting stuck in the chimney,laburnum,container,laburnum
89803,Mobster's joint is cover for card operation,scarface,assemblage,scarface
6110,Close check,stop,double definition,stop
120047,"C, half-cut Bush, for example, gatecrashing his party?",cameron,assemblage,cameron
40179,Peculiar game,rummy,double definition,rummy
105648,City state ground out small business,cottageindustry,anagram,cottage industry
31190,Prince not getting up for the dance,charleston,assemblage,charleston
14639,Playboy stereotypically gobbling reputed aphrodisiac,oyster,hidden word,oyster
36078,"Soldier's gear, which stays at home",tinhat,container,tin hat
25486,Violinist's private room,bower,double definition,bower
14982,Boy-meets-girl opera,leonora,assemblage,leonora
38536,Getting through to farms about ground that's always frozen,permafrost,assemblage,permafrost
93127,Prima donna gets a quid for appearing in lights,divali,assemblage,divali
34853,He designed a water container,adam,double definition,adam
47492,Retired Scotsman's trick,scam,anagram,scam
67110,"An abstract point, to be exact",precise,assemblage,precise
112609,Sleep until noon (twelve),dozen,assemblage,dozen
120758,Snowman? College erected it,inuit,assemblage,inuit
6072,Bottom of league in Cheshire and East Lancashire?,cheese,assemblage,cheese
140892,Setter's upset over good answers to puzzles,enigmas,assemblage,enigmas
57863,Carry on in summary fashion,resume,double definition,resume
84465,Eat away without starting to bring back,etch,assemblage,etch
96014,Sharp stone for the remaining persons,alltherest,double definition,all the rest
56976,European in next cell tortured in capital,excellent,assemblage,excellent
121312,Hole number dealing with bad habit,crevice,assemblage,crevice
61605,"Bulbs shining, these charged",onions,assemblage,onions
50761,"Telephone bell starting off, but not so loud",lower,double definition,lower
108513,Its partition was booked,redsea,assemblage,red sea
5366,Boss lost in dust storm,stud,anagram,stud
132928,"Beacons required to follow this, if range is to be obtained",brecon,assemblage,brecon
119078,"Time off, stuff punctuated by irregular pay",gapyear,container,gap year
93033,Record claiming uranium is brownish-grey,taupe,container,taupe
88134,Wolf circling eastern Galloway?,george,container,george
58772,"Hundreds pocketed by accountants, the rotters!",cads,container,cads
100257,Help fool individual with attitude,assistance,assemblage,assistance
109072,Something dentist may have to do with lineage,extraction,double definition,extraction
123726,Vegetable essence,marrow,double definition,marrow
1030,Iberian prince angered in revolt,grandee,anagram,grandee
87361,Heartless Shakespeare heroine keeping beret for a head,percapita,container,per capita
