Index,Clue,Solution,Spaced_Solution,gemma_predicted
124178,Mason's fermented juice?,perry,perry,double definition
120504,Expression of surprise at topless Winnie,ooh,ooh,assemblage
131856,Band crew/outfit leaders on road - useful for light adjustment,sashcord,sash cord,assemblage
51680,Top man secures first place for author,kipling,kipling,assemblage
36053,Turkish leader about to conclude the business,agenda,agenda,assemblage
142129,Motor enthusiast modifies other pedal,petrolhead,petrolhead,anagram
15514,Star surprisingly is over a year missing,astray,astray,assemblage
30402,One of the Stones appearing worn - affected by the drink?,pebble,pebble,double definition
12866,See animal go wild in the bush,magnolia,magnolia,anagram
86325,Figure seizing hotel involved in fund-raiser,telethon,telethon,anagram
41678,The old racer racing around Italy?,charioteer,charioteer,anagram
53157,What Mrs Sprat might do with rabbit,chewthefat,chew the fat,double definition
36723,Carry on in the theatre,operate,operate,double definition
123534,Double up refashioning citadel walls,duplicate,duplicate,anagram
8288,Feel sorry when soldiers get to guard Roundhead,regret,regret,container
24258,"Irritates spaniel's head, which is uncalled for",needless,needless,assemblage
26394,Temporarily relocate help,second,second,double definition
51064,Coming to no conclusion,endless,endless,double definition
39018,"Rising artist, ignoring society, matured",aged,aged,anagram
137241,Brilliance of one of Elgar's Variations,glare,glare,anagram
71008,Think of son being corrupted in drink,consider,consider,anagram
30362,Temporary work welcomed by young boxer?,popup,pop up,container
121272,Name and return address in America,dub,dub,anagram
60674,Where one is involved as an ex-president,eisenhower,eisenhower,anagram
2115,Bird of prey,raven,raven,double definition
124142,Country girl briefly eating duck,laos,laos,container
112643,Found out such appliances are dangerous,unearthed,unearthed,double definition
30742,I take five outside to do test again,resit,resit,assemblage
139806,Midsummer Day ends with a group of sailors,rya,rya,assemblage
87240,"Place order, getting from pick-up to destination, showing self-possession",aplomb,aplomb,assemblage
48018,"Unusually irate, not otherwise disposed to attack",tearinto,tear into,anagram
56653,Scrap a piece of classical music,raga,raga,assemblage
90180,Trophy girls tricked into serious predicament,sorryplight,sorry plight,anagram
40199,Doubt one may be apprehended,suspect,suspect,double definition
25715,Noble's wayward cousin hugged by retired transvestite,viscount,viscount,container
112535,Novel with first part abbreviated: unruly mob around me aren't consistent,mmebovary,mme bovary,assemblage
42571,Some women's double confinement - insane!,sabine,sabine,hidden word
9639,Continue to strike a man,ramon,ramon,assemblage
41758,Second in importance,moment,moment,double definition
99593,"Part of Tennessee Williams' last ""hip"" production: morose, electrifying Marlon initially in the lead",memphis,memphis,assemblage
111136,Assembled tediously for amateurish work,doityourself,do it yourself,anagram
7013,Tension disturbed rest on ship,stress,stress,assemblage
3711,Go really wild with a symbolic tale,allegory,allegory,anagram
107759,"Utters a dictum, so there's nothing missed",says,says,assemblage
81319,Primate with cross in position of eminence,apex,apex,assemblage
112041,Chap sadly back around houses in Spanish city,salamanca,salamanca,assemblage
62445,"Set well back, marsh east of Senegalese capital",stiffen,stiffen,assemblage
137544,Grouped together with a retired joiner,banded,banded,double definition
11241,Drink without a container sent back source of milk,coconut,coconut,assemblage
105358,"Writer in a hurry to do so, too",rushdie,rushdie,assemblage
75815,Make an effective stab at providing a short survey,runthrough,run through,double definition
119085,"Residence in block, a squat",bungalow,bungalow,assemblage
26973,"Subscribed to the ""Listener"" and the ""Pantheon"", say",rotunda,rotunda,double definition
87379,"A slippery customer, the winter sportsman!",skier,skier,double definition
79884,No laughs disrupted Evert's closing attack,onslaught,onslaught,assemblage
11494,Listened when eccentric signed on,enlisted,enlisted,anagram
136017,Disciples are against books by stars,votaries,votaries,assemblage
85137,Whom beer affected should keep away from it!,homebrew,home brew,anagram
140113,He scripted nice revised report of spoken words,indirectspeech,indirect speech,anagram
97645,A politician's current measure,amps,amps,assemblage
49653,Society follows better customs,mores,mores,assemblage
132156,Range of dumps accommodating virile blokes by day,themendips,the mendips,container
63736,Knock cap off sleeping policeman,hump,hump,double definition
68452,Turn and hide glass,windscreen,windscreen,assemblage
27894,Reportedly waited around grave,staid,staid,double definition
47499,Put up rainwear in a swindle,scam,scam,double definition
46777,Country song about American getting back from Detroit,austria,austria,container
110387,Briefly contemplate a chop reserved for Spaniard's meal,gazpacho,gazpacho,assemblage
33300,"Write, for instance, ""to rise"" as your answer?",getup,get up,double definition
134309,Holder and others sounded greatly impressed,slayed,slayed,double definition
3418,A buddy rejects sport for which he's not paid,amateur,amateur,assemblage
76110,Virgil's lines against leaving heaven during tide change,theaeneid,the aeneid,assemblage
12579,Benefit favouring the healthy,profit,profit,assemblage
53052,Fish ate weed,haddock,haddock,assemblage
6637,One vintage port that's perfect,ideal,ideal,assemblage
75375,Parliament success: what about Mr Coe? Negative,naseby,naseby,assemblage
101963,Where to hole a vessel among the fleet,amidships,amidships,assemblage
51733,Where accidents are affecting the roses,blackspot,black spot,double definition
91152,"In tight spot, swear!",plight,plight,double definition
137716,Fiddle with French car that's dropping back,fraud,fraud,assemblage
136954,One hesitates to revive English leader after knockout,anaesthetise,anaesthetise,assemblage
54535,Morse's last case stirring up memories,evocative,evocative,anagram
2975,Spoken for a large section,oral,oral,hidden word
24929,Night is unusual source of enlightenment,insight,insight,anagram
14556,The bicycle provided for coppers at one time,pennyfarthing,penny farthing,assemblage
78921,Poem about Ulysses essentially at end of Troy,odyssey,odyssey,assemblage
46124,Backward country's government relinquished control,rein,rein,assemblage
95281,"""Country mania"" is touring round in the same place",namibia,namibia,anagram
46199,Cooked potato with cold joint,chip,chip,double definition
56548,Fooled by absorbing Resistance story,hardtimes,hard times,container
107238,Bar containing drop of liquid comfort,salve,salve,container
18147,Cautionary cry in Somerset,watchet,watchet,assemblage
101319,Lionesses becoming silent,noiseless,noiseless,anagram
83781,Lack of control in a Hackney report,ataxy,ataxy,assemblage
63341,Heartlessness and senselessness about olfactory offensiveness,inhumanity,inhumanity,container
83831,Live in red wellies?,dwell,dwell,hidden word
135550,"Ruin what you do, separating messily in NYC",insolvency,insolvency,assemblage
89259,"Better old city parking, as on board?",surpass,surpass,assemblage
131774,How one may make progress on one's feet,insteps,insteps,assemblage
118699,"Awake, went out rejuvenated",updated,updated,assemblage
49154,Give up because of one's self-image?,forego,forego,assemblage
33759,Bishop has to dismiss rising resistance to church,exarch,exarch,assemblage
88824,Unpleasant period having fibre to eat,roughage,roughage,assemblage
36873,One may have a fair throw at it,coconutshy,coconut shy,assemblage
136427,They're not static water towers,tugboats,tugboats,assemblage
1091,"""Caine Mutiny"" originally flickered here",cinema,cinema,anagram
20590,"Very strict cook, marginally improved",rigid,rigid,assemblage
134666,"God's dog and ten animals I slam in a net, perhaps?",palindromes,palindromes,double definition
27022,"Silver and jade, like Yeatsian midnight",aglimmer,aglimmer,assemblage
35372,Enormous scratch by the ear,great,great,double definition
68631,Ascetic almost spoiled food,yoghurt,yoghurt,assemblage
41246,Bird's heavy defeat overturned,linnet,linnet,anagram
52780,A despatch note?,deathwarrant,death warrant,assemblage
113746,Influence of Tory boor,clout,clout,assemblage
97348,"If that's really the hat you want, I'm not stopping you",onyourheadbeit,on your head be it,assemblage
103047,Firm recalled watchmaker at noon for special event,occasion,occasion,assemblage
83563,Cast supporting the Queen's Speech?,thrown,thrown,anagram
130037,Agency worker almost the last word in saucy humour,temperament,temperament,assemblage
58815,Sexy bottom? It might encourage rapid but unwelcome developments,hotbed,hotbed,assemblage
60290,Secure forward position,lock,lock,double definition
7214,"Each hoop, but only every other ring",echo,echo,hidden word
120027,Off day? That is criminal,baddie,baddie,assemblage
98299,It is difficult being so sensitive,ticklish,ticklish,double definition
131905,"God, who's flipping cut grass that's already been cut and dried?",yahweh,yahweh,assemblage
130470,Model curtsied for starters,crudites,crudites,anagram
134320,How rifles may be carried by soldiers not wanted in retreat,ported,ported,anagram
8075,Dog mounting sheep,mutton,mutton,assemblage
116464,"Having broken a personal record, though on the decline",pastonesbest,past ones best,double definition
90907,What the publican calls late on many occasions,timeaftertime,time after time,assemblage
92289,They watch as three points can go to Golf driver,sentinels,sentinels,assemblage
27833,Finish urge - that woman will,eggshell,eggshell,assemblage
87664,"Gather together in the morning, when heading to school",amass,amass,assemblage
136259,Current tests pushed back repressive force,stasi,stasi,assemblage
6256,Scandal in the sluice,watergate,watergate,double definition
45346,Relish an Indian addition to the meal,chutney,chutney,double definition
59282,Cut off and also tie off,isolate,isolate,anagram
121944,Quoted poet sounds like Mary's garden,shelly,shelly,double definition
45328,Judge a royal nipper,arbiter,arbiter,assemblage
139462,"Began turning up carrying cargo, initially of spoils",detracts,detracts,container
134097,Best of United's wingers running round Hearts scorer?,georgegershwin,george gershwin,assemblage
50807,A reward for the taking?,priceononeshead,price on ones head,double definition
97538,"Came across a sailor, oddly skin and bones",metatarsi,metatarsi,assemblage
119876,Official order to blockade islands when there's a disturbance,incident,incident,assemblage
102393,Distress with endless problems one day before,aggrieve,aggrieve,assemblage
110550,Display unit of wine and spirits,reddevils,red devils,assemblage
99967,Get a bit of a sore back tossing it?,caber,caber,hidden word
134682,Cheers solvers are barred from getting,youshouldnthave,you shouldnt have,double definition
43900,Identifying pattern that's bound to squash one irritant,signature,signature,container
114055,Boatman in youth given order to vacate land,navalcadet,naval cadet,assemblage
94794,Nothing to bone of bones,osteal,osteal,assemblage
12544,One gets up flowers,irises,irises,assemblage
91690,Performance of capital detachment,execution,execution,double definition
50572,Free husband,save,save,double definition
17405,Vivacity normal in retreating deer,sparkle,sparkle,container
38373,Small and delicate,slight,slight,double definition
29441,Calm North Yorkshire town,settle,settle,double definition
142364,Ideal version of Mexican pearl one's able to 'disappear',exemplar,exemplar,anagram
28275,Prepare for scan on the Fourth of July,ready,ready,assemblage
49815,Drunken men docked in early naval vessel,minelayer,minelayer,anagram
64787,"Apart from Spanish white wine, mostly French white wine",barsac,barsac,assemblage
78750,Paid pounds for something at auction,gavel,gavel,assemblage
45235,Gamble a great deal on a patched-up tyre,lottery,lottery,assemblage
136950,Let's see those teeth beginning to decay - I weep on failing to contain it,openwide,open wide,anagram
34965,Jack's screwdriver?,propeller,propeller,double definition
80812,One's inclined to strike with Popular Front,ramp,ramp,assemblage
328,Smooth limb at end of torso,legato,legato,assemblage
89801,Hood hardly ever appears over nothing,scarface,scarface,container
101752,"Restricted middle section used to be soft, then it was revised",waspwaist,wasp waist,assemblage
132261,Contract gamble upset live broadcaster?,beeb,beeb,assemblage
17691,Like to take one to a region where Jesus was born,asia,asia,assemblage
133184,Excite poorly-fed bird first,titillate,titillate,assemblage
125621,Crew men showing little variation in strokes,stokers,stokers,anagram
66079,Is it after five or later he calls?,visitor,visitor,anagram
86199,Alumnus sitting with Scarface is haunted,obsessional,obsessional,assemblage
134995,Name-dropping Dubliner shattered and put back together,rebuild,rebuild,anagram
114209,"Discreet, caught in bad fault",tactful,tactful,container
12053,"Listener's home, the grave?",earnest,earnest,assemblage
134455,Pain he's suffering to get fit,inshape,in shape,anagram
90639,Furnace where link is forged,kiln,kiln,anagram
132191,"When pressed, manages passes",getsby,gets by,assemblage
89291,"Cast my anchor in Norway, say",monarchy,monarchy,anagram
120780,"Shows insubordination, giving support to negotiations",talksback,talks back,assemblage
3128,"Clifftop home creepy, we hear?",eyrie,eyrie,double definition
25985,One bombardier gets in before another,encore,encore,assemblage
87722,Writer improperly abridged,amis,amis,assemblage
19647,Old empress giving away last instrument,ocarina,ocarina,assemblage
115851,Struggle across line to finish,complete,complete,container
95875,President exchanges vote for new fabric,ninon,ninon,assemblage
56748,She surprised Alice,celia,celia,anagram
49003,Sort of nut that is loose,untie,untie,anagram
119926,Warning to speculators on gravy train ?,mindthegap,mind the gap,double definition
102140,"Floater, one joining church to criticise",icepan,ice pan,assemblage
103076,Function applied to cube with no fixed date,sinedie,sine die,assemblage
13659,Wanted revolutionary to support sideshow,desired,desired,assemblage
43509,Herod's son to gain entree to Rome ?,antipasto,antipasto,assemblage
123013,"Lawless one meeting end in electric chair, perhaps",anarchic,anarchic,assemblage
136829,"Hacking, will fear this security measure?",firewall,firewall,anagram
83431,Odd people in error in Eden,originalsin,original sin,assemblage
37022,Wrinkles between features in a premature state,earliness,earliness,container
98100,A marvellous idea taking off in dream,aspiration,aspiration,double definition
46325,It's cryptic woman's paper,tissue,tissue,double definition
54257,"Squeeze round corners, leaning heads skywards in ravine",gulch,gulch,assemblage
40368,Make new arrangements for the holiday place,resort,resort,double definition
33788,I follow through with spirit,peri,peri,assemblage
121561,"After head start, wind up on winners' tail: put your shirt on them?",hangers,hangers,assemblage
101215,Come down to earth about p-payment for a sweet,toffeeapple,toffee apple,container
11830,Doctor can sue for time to redeem foreign bills,usance,usance,anagram
41398,Acts as executor - some teachers want to,beheads,beheads,double definition
81250,"With belly in unusually bad order, lain over",abdominal,abdominal,anagram
13238,Motorists seen in distance - it's inexplicable,miracle,miracle,container
130168,Cosy conga (line dancing?),congenial,congenial,anagram
89373,Quarrel can get personal in place like Harrogate,spatown,spa town,assemblage
22648,The end of the New Testament,amen,amen,double definition
103162,Type of verse inspired by daemon or Hymen,monorhyme,monorhyme,hidden word
12944,Abrasive doctor appears extremely narked,sandpaper,sandpaper,anagram
26545,I mostly remain in agreement in believing in God,deistical,deistical,container
11832,Time permitted for transferring note in dubious cause,usance,usance,anagram
61851,Astonished by one-way fold,awestruck,awestruck,assemblage
70788,"Mammals (the last shall be first), named like Washington, say",eponymous,eponymous,assemblage
112205,Displace journalist that has complaint about energy,edgeout,edge out,container
88354,"Former eastern country, catching bug, going west with eastern dressing",mayonnaise,mayonnaise,assemblage
60106,Certainly bound to be different,nodoubt,no doubt,anagram
42965,Emitting light from silver base,aglow,aglow,assemblage
59209,"Sad, losing out in this sliding scale",glissando,glissando,anagram
120891,Floods spread sludge around Mile End,deluges,deluges,anagram
116963,"Taking public transport back to worker after ten, he pays part of lease",subtenant,subtenant,assemblage
87505,"Argument tense, blowing top",tiff,tiff,assemblage
52288,Rubber reported by my sister in Paris?,masseur,masseur,double definition
68732,Prompt service for TV presenters,idiotboard,idiot board,assemblage
260,Provincial half of army behind endless abuse,insular,insular,assemblage
71142,Poet having gone short of books,abse,abse,assemblage
104224,Numbers of a nonstarter,nono,no no,assemblage
69095,Blue wine is a washout,sadsack,sad sack,assemblage
20326,A daughter in French port finally off? Not so fast!,andante,andante,assemblage
47811,Artists apply to less than saintly monk,rasputin,rasputin,assemblage
4871,Charming and delicate female seen in reflection of river,elfin,elfin,container
85426,Mechanism for turning right in an agitated state,lather,lather,assemblage
107684,Composer's scornful work not given run,satie,satie,assemblage
139214,Over the moon here to have secret room,deepspace,deep space,assemblage
83334,"Crude, Puck? Not at first, with well-connected people",oilmen,oilmen,assemblage
140963,Actor with sheet sings from the bottom,filmstar,film star,assemblage
99777,The work yet to come from PL for truly harmon-ious movement,poetryinmotion,poetry in motion,assemblage
111745,"Dead popular thought, disposing of male!",insentient,insentient,assemblage
83741,"Sailor, soldier and girl join in dance",tarantella,tarantella,assemblage
2591,A representative business,agency,agency,double definition
62314,Snakes top their opposites,adders,adders,double definition
35240,Hair and metallic mineral stink,furore,furore,assemblage
51626,A hard thing to catch,nail,nail,double definition
77728,"Superior selection of wines, we hear, which has sold a lot",bestseller,bestseller,assemblage
14218,Circulator to bear losing head,eddy,eddy,assemblage
93701,Where people go in for charms,entrances,entrances,double definition
102896,Soul music?,spiritual,spiritual,double definition
84115,Are spades imported to make tracks?,exist,exist,anagram
127215,As might be brakes of tank with coil rotation,antilock,anti lock,anagram
20346,"First letter is open, perhaps letter from abroad",epsilon,epsilon,assemblage
44148,Bridge team that's in switched-off state - it can't last,transience,transience,assemblage
115544,Gym instruction by top man in place of games once,peking,peking,assemblage
91339,More than is required for six deliveries?,overcapacity,overcapacity,assemblage
30758,The keynote to good health?,tonic,tonic,double definition
54355,"Writer, a good man, seen inside foreign restaurant",bistro,bistro,container
39461,"Flies parted, I pissed",diptera,diptera,anagram
12774,Dragged to the altar?,towed,towed,double definition
87168,Confinement which sounds yellow?,custody,custody,double definition
28479,A building in Slough,shed,shed,double definition
549,Pain beginning to hurt in one,ache,ache,container
35103,United supporters come back in a mess,snafu,snafu,assemblage
100634,Poem about mountains given top grade -- sparkling stuff,orangeade,orangeade,container
79676,Make use of the quality of diamonds - without diamonds,harness,harness,assemblage
116745,Hit I have in a regular series,successive,successive,assemblage
60699,Indeed a complicated case gets passed over,deceased,deceased,anagram
31298,"Communication with naked ladies, say",email,email,anagram
67248,Aspect of Spain no fiction's written about,facet,facet,hidden word
49328,Salad dressing envied,endive,endive,anagram
42522,Insects delightful? Not one - that's right!,licence,licence,assemblage
131796,Mate rounded Cape unnoticed,hubby,hubby,assemblage
62123,Indian sage that's been topped and crushed by child's mother,mahatma,mahatma,assemblage
10169,Nation in plan to lose weight,india,india,assemblage
131081,"In a maddening way, shrewd Brown standing inside",frustratingly,frustratingly,container
102936,"No good in house that lacks order, if untidy - might this help?",fengshui,feng shui,anagram
129531,Emission - tax to the limit,exhaust,exhaust,double definition
78366,Factory philosopher,mill,mill,double definition
110915,Lady golfer embraces feminist model in smart dress,whitetie,white tie,assemblage
33803,Tot's taking mother across river,dram,dram,assemblage
31731,"Wild duck swallows English dram, if dry",teetotal,teetotal,container
117834,Order a course,sequence,sequence,double definition
63174,The black arts conceal trap that's attractive,magnetic,magnetic,hidden word
9566,Volunteers to return sombre tunic,tabard,tabard,assemblage
46683,Where Horatio asked for the kiss of death?,trafalgar,trafalgar,double definition
39851,He fails to show up the defect in the return pipe,defaulter,defaulter,container
104675,Graphic artist uses wire and string,signwriter,signwriter,assemblage
103706,Stock owner can let charter lapse,cattlerancher,cattle rancher,anagram
74952,Made up a number,composed,composed,double definition
108257,Be punctilious having to get back for the fish,stickle,stickle,double definition
2174,Herb in paper covering's behind the salt,tarragon,tarragon,assemblage
90362,Article comes together for Guardian messengers?,angels,angels,assemblage
134957,Old tray I renovated with skill,adroitly,adroitly,anagram
89346,Some auxiliary bones,ilia,ilia,hidden word
77048,Deliver a blackbird,bowl,bowl,double definition
83569,Thin binding weed - it's what's observed on road,speedlimit,speed limit,assemblage
121660,"Sweet where OAP is in EastEnders, perhaps?",afters,afters,assemblage
91077,Dress up a day in advance for lover,girlfriend,girlfriend,assemblage
78770,Uncalled for correspondence,deadletter,dead letter,double definition
1543,Community to pay workers overtime,settlement,settlement,double definition
91842,Spending allowance to be cut in move,budge,budge,container
12080,Lie concerning strength of character,fibre,fibre,assemblage
121128,Scruffy label on scruffy item of clothing,ragtag,ragtag,assemblage
1478,Snick a boundary,edge,edge,double definition
90127,Giving medical treatment to stray pet held,dosing,dosing,container
75508,"A day in dopey stupor, endlessly like t-h-i-s?",spacedout,spaced out,double definition
43685,Player with no time for a bet,fluter,fluter,container
120450,Priest's crime taking time in a clerical residence,parsonage,parsonage,assemblage
28758,"A stroke by a batsman going for a run, perhaps?",ondrive,on drive,double definition
134058,Harry and Henry nabbed by someone not in uniform,chivvy,chivvy,container
1454,"Entire NHS in trouble, losing ten to bruise",shiner,shiner,anagram
102609,"Suffering different elements, primarily hail",hellothere,hello there,assemblage
120426,Prime made out to include another,seven,seven,container
98043,Occasion to eat a piece of cake,picnic,picnic,double definition
91484,Composer left a little bit of nonsense,fallal,fallal,assemblage
44396,No time for Mister Scrooge,miser,miser,container
77843,Sailors sought by TV producer,ratings,ratings,double definition
5419,Core of expedition is a long way off,afar,afar,hidden word
121029,Sydney's landmark before building works?,operahouse,opera house,double definition
21197,About to experience the finale of William Tell,inform,inform,assemblage
15736,"Opening for a salesman turned up, true to form",aperture,aperture,assemblage
33877,Noble brew of ale that's about right,earl,earl,anagram
85944,Biblical dupe keeping bridge players up with sense of foreboding,unease,unease,container
102268,Strangler with soldiers going around in band,garroter,garroter,container
84522,"Position of king, plus heir, ousted",rulership,rulership,anagram
25655,"Enter Dotty, with bird's dance movement",entrechat,entrechat,assemblage
142265,Cry out for the old record format,yelp,yelp,assemblage
102328,Not even a soldier,irregular,irregular,double definition
56118,"Petit dejeuner, one tucked away by worker in a bad mood?",croissant,croissant,assemblage
132272,"After a drink, German enthusiast gets a biscuit",gingernut,ginger nut,assemblage
15122,Drink for each returning academic,pernod,pernod,assemblage
72759,"To be lying here, it's serious!",grave,grave,double definition
9582,Top-class detectives initially left in clear,lucid,lucid,assemblage
38158,Run member of pack over,flow,flow,anagram
32745,A-class grass,alfa,alfa,double definition
46160,Primitive sailor of marked individuality,aboriginal,aboriginal,assemblage
44642,How ill was the reviewer?,critically,critically,double definition
116989,Parent with fruit,papaw,papaw,assemblage
88477,"To the bride', perhaps, in German (Browning)",toasting,toasting,double definition
58349,Travel through East End district with offensive weapon,crossbow,crossbow,assemblage
102947,Bones in the head all turned to point,patellae,patellae,assemblage
82828,Mark Antony's extreme spirit,brandy,brandy,assemblage
133038,"Go for somewhere in Scotland, as Dickens character",pickwick,pickwick,assemblage
138620,Manual actions in service taking a long time,massages,massages,container
24289,Penny has beer and pasty,pale,pale,assemblage
2119,Is young Blair a supporter? Insert number in Irish Sea,isleofman,isle of man,assemblage
31193,Prince not turning up for dance,charleston,charleston,assemblage
130810,Joint drinks parties,kneesups,knees ups,assemblage
123507,Cats finally sounding happy? That's encouraging,spurring,spurring,assemblage
26494,"European composer, in recital, has things to do",checklist,checklist,container
64343,Clothing society suffering legal action,shellsuit,shell suit,assemblage
30462,It's supposed to prevent travellers' bags getting in a snarl-up,bfcycleclip,bfcycle clip,double definition
115813,Old councillors learned somehow about a Frenchman,aldermen,aldermen,anagram
64648,Spare fire,letoff,let off,double definition
129802,Hawk seizing tail of mynah bird,chough,chough,assemblage
80173,Returns to digs for economy's sake,retrenches,retrenches,assemblage
32909,Be nippy? Not a lot!,dash,dash,double definition
103476,Could it make ferret wash?,freshwater,fresh water,anagram
17188,Snooker player breaks with end of cue,white,white,assemblage
81195,"Flash not very bright, introducing copper for a bit",modicum,modicum,container
123957,We murmur a short reply,humans,humans,assemblage
99052,Means of suppressing dreadful shame and panic - seem cold,escapemechanism,escape mechanism,anagram
45473,"Found what's potentially sad ""fun"" and cheered, showing this",schadenfreude,schadenfreude,anagram
53033,Said to be the story's end,tail,tail,double definition
84810,"Taffy's home - right, left and roundabout",landofmyfathers,land of my fathers,assemblage
46118,Racket's centre starts to buckle under bombardment,hubbub,hubbub,assemblage
100731,Close to last time food warnings ensue,threats,threats,assemblage
53604,Dramatic confidence?,stagewhisper,stage whisper,assemblage
14106,"Not wanted at the feast, best left in the cupboard",skeleton,skeleton,double definition
137650,Model receiving complaint to consider retiring after hostilities ended,postbellum,post bellum,assemblage
131463,Badger resorted to exit by road,streetdoor,street door,assemblage
40206,American small change being found in school is dodgy,suspect,suspect,assemblage
10926,Act as an agitator and get jail,stir,stir,double definition
76832,To compensate for one short day is to take heart from another,satisfy,satisfy,assemblage
77279,Crazy over North American icon,madonna,madonna,assemblage
104766,Spike has doll that is missing,barb,barb,double definition
85039,"Each one opening, under no circumstances remaining open",uncover,uncover,assemblage
132678,East European city where two vessels turned up,krakow,krakow,assemblage
48600,"Monstrously stab king, and profit? It's hard to fathom",abstruse,abstruse,anagram
10979,Check demand for material,damask,damask,assemblage
141319,Radioactive element in preservative for good health,salut,salut,container
14311,Plant with a sting stuck in the chimney,laburnum,laburnum,container
89803,Mobster's joint is cover for card operation,scarface,scarface,assemblage
6110,Close check,stop,stop,double definition
120047,"C, half-cut Bush, for example, gatecrashing his party?",cameron,cameron,assemblage
40179,Peculiar game,rummy,rummy,double definition
105648,City state ground out small business,cottageindustry,cottage industry,anagram
31190,Prince not getting up for the dance,charleston,charleston,assemblage
14639,Playboy stereotypically gobbling reputed aphrodisiac,oyster,oyster,hidden word
36078,"Soldier's gear, which stays at home",tinhat,tin hat,container
25486,Violinist's private room,bower,bower,double definition
14982,Boy-meets-girl opera,leonora,leonora,assemblage
38536,Getting through to farms about ground that's always frozen,permafrost,permafrost,assemblage
93127,Prima donna gets a quid for appearing in lights,divali,divali,assemblage
34853,He designed a water container,adam,adam,double definition
47492,Retired Scotsman's trick,scam,scam,anagram
67110,"An abstract point, to be exact",precise,precise,assemblage
112609,Sleep until noon (twelve),dozen,dozen,assemblage
120758,Snowman? College erected it,inuit,inuit,assemblage
6072,Bottom of league in Cheshire and East Lancashire?,cheese,cheese,assemblage
140892,Setter's upset over good answers to puzzles,enigmas,enigmas,assemblage
57863,Carry on in summary fashion,resume,resume,double definition
84465,Eat away without starting to bring back,etch,etch,assemblage
96014,Sharp stone for the remaining persons,alltherest,all the rest,double definition
56976,European in next cell tortured in capital,excellent,excellent,assemblage
121312,Hole number dealing with bad habit,crevice,crevice,assemblage
61605,"Bulbs shining, these charged",onions,onions,assemblage
50761,"Telephone bell starting off, but not so loud",lower,lower,double definition
108513,Its partition was booked,redsea,red sea,assemblage
5366,Boss lost in dust storm,stud,stud,anagram
132928,"Beacons required to follow this, if range is to be obtained",brecon,brecon,assemblage
119078,"Time off, stuff punctuated by irregular pay",gapyear,gap year,container
93033,Record claiming uranium is brownish-grey,taupe,taupe,container
88134,Wolf circling eastern Galloway?,george,george,container
58772,"Hundreds pocketed by accountants, the rotters!",cads,cads,container
100257,Help fool individual with attitude,assistance,assistance,assemblage
109072,Something dentist may have to do with lineage,extraction,extraction,double definition
123726,Vegetable essence,marrow,marrow,double definition
1030,Iberian prince angered in revolt,grandee,grandee,anagram
87361,Heartless Shakespeare heroine keeping beret for a head,percapita,per capita,container
